anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-29,1,psiphon
0,0,0,9,2022-01-30,9,psiphon
0,0,0,1,2022-03-24,1,psiphon
0,0,0,1,2022-05-11,1,psiphon
0,0,0,1,2022-06-18,1,psiphon
0,0,0,1,2022-09-17,1,psiphon
0,0,0,5,2022-09-18,5,psiphon
0,0,0,1,2022-09-19,1,psiphon
0,0,0,1,2022-09-20,1,psiphon
0,0,0,5,2022-10-07,5,psiphon
0,0,0,5,2022-10-08,5,psiphon
0,0,0,12,2022-03-24,12,stunreachability
0,0,0,12,2022-09-17,12,stunreachability
0,0,0,12,2022-09-18,12,stunreachability
0,0,0,12,2022-09-20,12,stunreachability
0,0,0,60,2022-10-07,60,stunreachability
0,0,0,60,2022-10-08,60,stunreachability
0,0,0,1,2022-01-29,1,tor
0,0,0,9,2022-01-30,9,tor
0,0,0,1,2022-03-24,1,tor
0,0,0,1,2022-05-11,1,tor
0,0,0,1,2022-06-18,1,tor
0,0,0,1,2022-09-17,1,tor
0,0,0,5,2022-09-18,5,tor
0,0,0,1,2022-09-19,1,tor
0,0,0,1,2022-09-20,1,tor
0,0,0,5,2022-10-07,5,tor
0,0,0,5,2022-10-08,5,tor
0,0,0,1,2022-09-18,1,torsf
0,0,0,1,2022-09-20,1,torsf
0,0,0,5,2022-10-07,5,torsf
1,0,0,5,2022-10-08,4,torsf
