anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,2,2022-01-03,2,psiphon
0,0,0,1,2022-01-06,1,psiphon
0,0,0,1,2022-01-15,1,psiphon
0,0,0,1,2022-01-18,1,psiphon
0,0,0,1,2022-01-19,1,psiphon
0,0,0,1,2022-01-21,1,psiphon
0,0,0,3,2022-01-22,3,psiphon
0,0,0,6,2022-01-23,6,psiphon
0,0,0,4,2022-01-24,4,psiphon
0,0,0,10,2022-01-25,10,psiphon
0,0,0,4,2022-01-26,4,psiphon
0,0,0,9,2022-01-27,9,psiphon
0,0,0,8,2022-01-28,8,psiphon
0,0,0,5,2022-01-29,5,psiphon
0,0,0,14,2022-01-30,14,psiphon
2,0,0,6,2022-01-31,4,psiphon
0,0,0,6,2022-02-01,6,psiphon
2,0,0,11,2022-02-02,9,psiphon
0,0,0,3,2022-02-03,3,psiphon
0,0,0,1,2022-02-08,1,psiphon
0,0,0,1,2022-02-09,1,psiphon
0,0,0,1,2022-02-10,1,psiphon
0,0,0,1,2022-02-15,1,psiphon
0,0,0,1,2022-02-17,1,psiphon
0,0,0,5,2022-02-19,5,psiphon
0,0,0,7,2022-02-20,7,psiphon
0,0,0,5,2022-02-21,5,psiphon
0,0,0,8,2022-02-22,8,psiphon
0,0,0,5,2022-02-23,5,psiphon
0,0,0,1,2022-02-24,1,psiphon
0,0,0,6,2022-02-25,6,psiphon
0,0,0,1,2022-02-26,1,psiphon
0,0,0,4,2022-02-27,4,psiphon
0,0,0,4,2022-02-28,4,psiphon
0,0,0,2,2022-03-01,2,psiphon
0,0,0,1,2022-03-02,1,psiphon
0,0,0,8,2022-03-03,8,psiphon
0,0,0,3,2022-03-04,3,psiphon
0,0,0,3,2022-03-05,3,psiphon
0,0,0,3,2022-03-06,3,psiphon
0,0,0,2,2022-03-07,2,psiphon
0,0,0,1,2022-03-08,1,psiphon
0,0,0,3,2022-03-10,3,psiphon
0,0,0,2,2022-03-11,2,psiphon
0,0,0,1,2022-03-12,1,psiphon
0,0,0,6,2022-03-13,6,psiphon
0,0,0,1,2022-03-16,1,psiphon
0,0,0,12,2022-03-19,12,psiphon
1,0,0,9,2022-03-20,8,psiphon
0,0,0,4,2022-03-21,4,psiphon
0,0,0,5,2022-03-22,5,psiphon
1,0,0,11,2022-03-23,10,psiphon
0,0,0,3,2022-03-24,3,psiphon
0,0,0,6,2022-03-25,6,psiphon
0,0,0,8,2022-03-26,8,psiphon
0,0,0,17,2022-03-27,17,psiphon
0,0,0,6,2022-03-28,6,psiphon
0,0,0,13,2022-03-29,13,psiphon
0,0,0,12,2022-03-30,12,psiphon
0,0,0,9,2022-03-31,9,psiphon
0,0,0,9,2022-04-01,9,psiphon
0,0,0,3,2022-04-02,3,psiphon
0,0,0,1,2022-04-03,1,psiphon
0,0,0,6,2022-04-04,6,psiphon
1,0,0,6,2022-04-06,5,psiphon
0,0,0,4,2022-04-08,4,psiphon
0,0,0,9,2022-04-09,9,psiphon
0,0,0,17,2022-04-10,17,psiphon
0,0,0,4,2022-04-11,4,psiphon
0,0,0,3,2022-04-12,3,psiphon
0,0,0,4,2022-04-13,4,psiphon
0,0,0,1,2022-04-14,1,psiphon
0,0,0,3,2022-04-16,3,psiphon
0,0,0,12,2022-04-17,12,psiphon
0,0,0,3,2022-04-18,3,psiphon
0,0,0,3,2022-04-19,3,psiphon
0,0,0,5,2022-04-20,5,psiphon
0,0,0,6,2022-04-21,6,psiphon
0,0,0,9,2022-04-22,9,psiphon
0,0,0,11,2022-04-23,11,psiphon
0,0,0,13,2022-04-24,13,psiphon
0,0,0,1,2022-04-25,1,psiphon
1,0,0,8,2022-04-26,7,psiphon
0,0,0,3,2022-04-27,3,psiphon
0,0,0,3,2022-04-28,3,psiphon
0,0,0,4,2022-04-29,4,psiphon
0,0,0,6,2022-04-30,6,psiphon
0,0,0,4,2022-05-01,4,psiphon
