anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,58,2022-01-01,58,psiphon
0,0,0,51,2022-01-02,51,psiphon
0,0,0,51,2022-01-03,51,psiphon
1,0,0,35,2022-01-04,34,psiphon
0,0,0,46,2022-01-05,46,psiphon
0,0,0,43,2022-01-06,43,psiphon
0,0,0,79,2022-01-07,79,psiphon
0,0,0,55,2022-01-08,55,psiphon
0,0,0,47,2022-01-09,47,psiphon
0,0,0,59,2022-01-10,59,psiphon
1,0,0,60,2022-01-11,59,psiphon
0,0,0,50,2022-01-12,50,psiphon
0,0,0,35,2022-01-13,35,psiphon
0,0,0,32,2022-01-14,32,psiphon
0,0,0,16,2022-01-15,16,psiphon
0,0,0,14,2022-01-16,14,psiphon
0,0,0,27,2022-01-17,27,psiphon
0,0,0,36,2022-01-18,36,psiphon
0,0,0,21,2022-01-19,21,psiphon
0,0,0,23,2022-01-20,23,psiphon
0,0,0,10,2022-01-21,10,psiphon
0,0,0,14,2022-01-22,14,psiphon
0,0,0,46,2022-01-23,46,psiphon
0,0,0,26,2022-01-24,26,psiphon
0,0,0,49,2022-01-25,49,psiphon
0,0,0,35,2022-01-26,35,psiphon
0,0,0,31,2022-01-27,31,psiphon
0,0,0,20,2022-01-28,20,psiphon
0,0,0,28,2022-01-29,28,psiphon
0,0,0,25,2022-01-30,25,psiphon
0,0,0,27,2022-01-31,27,psiphon
0,0,0,40,2022-02-01,40,psiphon
0,0,0,35,2022-02-02,35,psiphon
0,0,0,21,2022-02-03,21,psiphon
0,0,0,21,2022-02-04,21,psiphon
0,0,0,55,2022-02-05,55,psiphon
0,0,0,31,2022-02-06,31,psiphon
0,0,0,36,2022-02-07,36,psiphon
0,0,0,40,2022-02-08,40,psiphon
0,0,0,36,2022-02-09,36,psiphon
0,0,0,39,2022-02-10,39,psiphon
1,0,0,50,2022-02-11,49,psiphon
0,0,0,65,2022-02-12,65,psiphon
0,0,0,62,2022-02-13,62,psiphon
0,0,0,63,2022-02-14,63,psiphon
0,0,0,62,2022-02-15,62,psiphon
0,0,0,46,2022-02-16,46,psiphon
0,0,0,28,2022-02-17,28,psiphon
0,0,0,48,2022-02-18,48,psiphon
0,0,0,34,2022-02-19,34,psiphon
0,0,0,7,2022-02-20,7,psiphon
0,0,0,36,2022-02-21,36,psiphon
0,0,0,34,2022-02-22,34,psiphon
0,0,0,38,2022-02-23,38,psiphon
0,0,0,39,2022-02-24,39,psiphon
0,0,0,26,2022-02-25,26,psiphon
0,0,0,25,2022-02-26,25,psiphon
0,0,0,12,2022-02-27,12,psiphon
0,0,0,23,2022-02-28,23,psiphon
