anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-06,1,psiphon
0,0,0,2,2022-01-07,2,psiphon
1,0,0,9,2022-01-11,8,psiphon
0,0,0,11,2022-01-12,11,psiphon
0,0,0,4,2022-01-13,4,psiphon
0,0,0,5,2022-01-14,5,psiphon
0,0,0,1,2022-01-15,1,psiphon
0,0,0,3,2022-01-16,3,psiphon
0,0,0,3,2022-01-17,3,psiphon
0,0,0,11,2022-01-19,11,psiphon
0,0,0,8,2022-01-20,8,psiphon
0,0,0,7,2022-01-21,7,psiphon
0,0,0,6,2022-01-22,6,psiphon
0,0,0,10,2022-01-23,10,psiphon
2,0,0,5,2022-01-24,3,psiphon
0,0,0,15,2022-01-25,15,psiphon
1,0,0,8,2022-01-26,7,psiphon
0,0,0,5,2022-01-27,5,psiphon
0,0,0,5,2022-01-28,5,psiphon
0,0,0,4,2022-01-29,4,psiphon
0,0,0,4,2022-01-30,4,psiphon
0,0,0,3,2022-01-31,3,psiphon
0,0,0,3,2022-02-01,3,psiphon
0,0,0,3,2022-02-02,3,psiphon
0,0,0,4,2022-02-03,4,psiphon
0,0,0,4,2022-02-04,4,psiphon
0,0,0,3,2022-02-05,3,psiphon
0,0,0,5,2022-02-06,5,psiphon
0,0,0,6,2022-02-07,6,psiphon
0,0,0,7,2022-02-08,7,psiphon
0,0,0,1,2022-02-09,1,psiphon
1,0,0,9,2022-02-10,8,psiphon
0,0,0,9,2022-02-11,9,psiphon
1,0,0,6,2022-02-12,5,psiphon
1,0,0,5,2022-02-13,4,psiphon
1,0,0,10,2022-02-14,9,psiphon
0,0,0,13,2022-02-15,13,psiphon
1,0,0,14,2022-02-16,13,psiphon
0,0,0,13,2022-02-17,13,psiphon
0,0,0,8,2022-02-18,8,psiphon
0,0,0,6,2022-02-19,6,psiphon
0,0,0,3,2022-02-20,3,psiphon
0,0,0,10,2022-02-21,10,psiphon
0,0,0,6,2022-02-22,6,psiphon
0,0,0,8,2022-02-23,8,psiphon
0,0,0,4,2022-02-24,4,psiphon
0,0,0,8,2022-02-25,8,psiphon
0,0,0,2,2022-02-26,2,psiphon
1,0,0,9,2022-02-27,8,psiphon
1,0,0,17,2022-02-28,16,psiphon
1,0,0,18,2022-03-01,17,psiphon
2,0,0,12,2022-03-02,10,psiphon
1,0,0,11,2022-03-03,10,psiphon
0,0,0,10,2022-03-04,10,psiphon
0,0,0,14,2022-03-05,14,psiphon
0,0,0,14,2022-03-06,14,psiphon
0,0,0,4,2022-03-07,4,psiphon
1,0,0,7,2022-03-08,6,psiphon
0,0,0,13,2022-03-09,13,psiphon
0,0,0,12,2022-03-10,12,psiphon
0,0,0,15,2022-03-11,15,psiphon
0,0,0,14,2022-03-12,14,psiphon
0,0,0,6,2022-03-13,6,psiphon
0,0,0,18,2022-03-14,18,psiphon
0,0,0,8,2022-03-15,8,psiphon
0,0,0,15,2022-03-16,15,psiphon
1,0,0,15,2022-03-17,14,psiphon
0,0,0,11,2022-03-18,11,psiphon
0,0,0,7,2022-03-19,7,psiphon
0,0,0,9,2022-03-21,9,psiphon
0,0,0,16,2022-03-22,16,psiphon
0,0,0,2,2022-03-23,2,psiphon
0,0,0,12,2022-03-24,12,psiphon
0,0,0,9,2022-03-25,9,psiphon
0,0,0,16,2022-03-26,16,psiphon
0,0,0,9,2022-03-27,9,psiphon
0,0,0,8,2022-03-28,8,psiphon
0,0,0,2,2022-03-29,2,psiphon
0,0,0,5,2022-03-30,5,psiphon
0,0,0,14,2022-03-31,14,psiphon
0,0,0,14,2022-04-01,14,psiphon
0,0,0,7,2022-04-02,7,psiphon
0,0,0,9,2022-04-03,9,psiphon
0,0,0,14,2022-04-04,14,psiphon
0,0,0,11,2022-04-05,11,psiphon
0,0,0,13,2022-04-06,13,psiphon
1,0,0,13,2022-04-07,12,psiphon
0,0,0,9,2022-04-08,9,psiphon
0,0,0,5,2022-04-09,5,psiphon
0,0,0,19,2022-04-11,19,psiphon
0,0,0,11,2022-04-12,11,psiphon
0,0,0,10,2022-04-13,10,psiphon
0,0,0,5,2022-04-14,5,psiphon
0,0,0,11,2022-04-15,11,psiphon
0,0,0,1,2022-04-16,1,psiphon
0,0,0,5,2022-04-18,5,psiphon
0,0,0,4,2022-04-19,4,psiphon
1,0,0,12,2022-04-20,11,psiphon
0,0,0,4,2022-04-21,4,psiphon
1,0,0,8,2022-04-22,7,psiphon
0,0,0,5,2022-04-23,5,psiphon
0,0,0,1,2022-04-25,1,psiphon
0,0,0,2,2022-04-26,2,psiphon
0,0,0,5,2022-04-27,5,psiphon
0,0,0,5,2022-04-28,5,psiphon
0,0,0,8,2022-04-30,8,psiphon
0,0,0,2,2022-05-03,2,psiphon
0,0,0,11,2022-05-04,11,psiphon
1,0,0,10,2022-05-05,9,psiphon
0,0,0,7,2022-05-06,7,psiphon
0,0,0,1,2022-05-07,1,psiphon
0,0,0,5,2022-05-08,5,psiphon
0,0,0,4,2022-05-09,4,psiphon
0,0,0,5,2022-05-10,5,psiphon
0,0,0,1,2022-05-11,1,psiphon
1,0,0,10,2022-05-12,9,psiphon
1,0,0,11,2022-05-17,10,psiphon
0,0,0,3,2022-05-18,3,psiphon
0,0,0,7,2022-05-19,7,psiphon
0,0,0,5,2022-05-20,5,psiphon
0,0,0,4,2022-05-24,4,psiphon
0,0,0,6,2022-05-25,6,psiphon
0,0,0,4,2022-05-26,4,psiphon
0,0,0,2,2022-05-27,2,psiphon
1,0,0,1,2022-05-28,0,psiphon
0,0,0,8,2022-05-30,8,psiphon
0,0,0,1,2022-05-31,1,psiphon
0,0,0,3,2022-06-01,3,psiphon
0,0,0,1,2022-06-02,1,psiphon
1,0,0,6,2022-06-03,5,psiphon
1,0,0,3,2022-06-05,2,psiphon
0,0,0,9,2022-06-06,9,psiphon
0,0,0,7,2022-06-07,7,psiphon
0,0,0,5,2022-06-08,5,psiphon
1,0,0,6,2022-06-09,5,psiphon
0,0,0,5,2022-06-10,5,psiphon
0,0,0,9,2022-06-11,9,psiphon
0,0,0,5,2022-06-12,5,psiphon
0,0,0,6,2022-06-13,6,psiphon
0,0,0,11,2022-06-14,11,psiphon
0,0,0,6,2022-06-15,6,psiphon
0,0,0,12,2022-06-16,12,psiphon
0,0,0,7,2022-06-17,7,psiphon
0,0,0,7,2022-06-20,7,psiphon
0,0,0,7,2022-06-21,7,psiphon
0,0,0,5,2022-06-22,5,psiphon
1,0,0,9,2022-06-23,8,psiphon
1,0,0,4,2022-06-24,3,psiphon
0,0,0,13,2022-06-25,13,psiphon
0,0,0,11,2022-06-26,11,psiphon
0,0,0,25,2022-06-27,25,psiphon
0,0,0,13,2022-06-28,13,psiphon
0,0,0,22,2022-06-29,22,psiphon
0,0,0,10,2022-06-30,10,psiphon
0,0,0,8,2022-07-01,8,psiphon
0,0,0,6,2022-07-03,6,psiphon
0,0,0,8,2022-07-04,8,psiphon
0,0,0,6,2022-07-05,6,psiphon
0,0,0,10,2022-07-06,10,psiphon
0,0,0,4,2022-07-07,4,psiphon
0,0,0,8,2022-07-08,8,psiphon
0,0,0,4,2022-07-09,4,psiphon
1,0,0,4,2022-07-10,3,psiphon
0,0,0,13,2022-07-11,13,psiphon
0,0,0,5,2022-07-12,5,psiphon
0,0,0,11,2022-07-13,11,psiphon
0,0,0,13,2022-07-14,13,psiphon
0,0,0,11,2022-07-15,11,psiphon
0,0,0,9,2022-07-16,9,psiphon
0,0,0,6,2022-07-17,6,psiphon
0,0,0,1,2022-07-18,1,psiphon
0,0,0,5,2022-07-19,5,psiphon
0,0,0,10,2022-07-20,10,psiphon
1,0,0,7,2022-07-21,6,psiphon
1,0,0,4,2022-07-22,3,psiphon
0,0,0,12,2022-07-26,12,psiphon
0,0,0,3,2022-07-27,3,psiphon
0,0,0,9,2022-07-28,9,psiphon
0,0,0,7,2022-07-29,7,psiphon
0,0,0,5,2022-07-30,5,psiphon
0,0,0,17,2022-08-01,17,psiphon
1,0,0,8,2022-08-02,7,psiphon
1,0,0,9,2022-08-03,8,psiphon
0,0,0,3,2022-08-04,3,psiphon
0,0,0,5,2022-08-06,5,psiphon
0,0,0,5,2022-08-08,5,psiphon
0,0,0,1,2022-08-11,1,psiphon
0,0,0,1,2022-08-17,1,psiphon
0,0,0,2,2022-08-18,2,psiphon
0,0,0,11,2022-08-22,11,psiphon
0,0,0,10,2022-08-23,10,psiphon
0,0,0,7,2022-08-24,7,psiphon
1,0,0,12,2022-08-25,11,psiphon
0,0,0,1,2022-08-26,1,psiphon
0,0,0,2,2022-08-29,2,psiphon
0,0,0,3,2022-08-30,3,psiphon
0,0,0,4,2022-08-31,4,psiphon
0,0,0,2,2022-09-02,2,psiphon
0,0,0,6,2022-09-03,6,psiphon
0,0,0,6,2022-09-04,6,psiphon
0,0,0,1,2022-09-05,1,psiphon
0,0,0,1,2022-09-06,1,psiphon
0,0,0,4,2022-09-07,4,psiphon
0,0,0,3,2022-09-13,3,psiphon
0,0,0,2,2022-09-14,2,psiphon
0,0,0,1,2022-09-20,1,psiphon
0,0,0,1,2022-10-03,1,psiphon
0,0,0,3,2022-10-16,3,psiphon
0,0,0,1,2022-10-17,1,psiphon
0,0,0,1,2022-10-30,1,psiphon
0,0,0,1,2022-11-10,1,psiphon
0,0,0,3,2022-11-17,3,psiphon
0,0,0,1,2022-12-01,1,psiphon
0,0,0,3,2022-12-15,3,psiphon
5,0,0,5,2022-08-03,0,riseupvpn
3,0,0,3,2022-08-04,0,riseupvpn
4,0,0,4,2022-08-06,0,riseupvpn
5,0,0,5,2022-08-08,0,riseupvpn
11,0,0,11,2022-08-22,0,riseupvpn
10,0,0,10,2022-08-23,0,riseupvpn
7,0,0,7,2022-08-24,0,riseupvpn
12,0,0,12,2022-08-25,0,riseupvpn
0,0,38,38,2022-01-11,0,stunreachability
0,0,36,36,2022-01-12,0,stunreachability
0,0,12,12,2022-01-13,0,stunreachability
0,0,12,12,2022-01-19,0,stunreachability
0,0,12,12,2022-01-20,0,stunreachability
0,0,12,12,2022-01-21,0,stunreachability
0,0,12,12,2022-01-25,0,stunreachability
0,0,0,12,2022-04-07,12,stunreachability
0,0,0,12,2022-04-15,12,stunreachability
0,0,0,12,2022-06-02,12,stunreachability
0,0,0,36,2022-06-25,36,stunreachability
0,0,0,24,2022-06-26,24,stunreachability
0,0,0,12,2022-06-27,12,stunreachability
0,0,0,24,2022-07-30,24,stunreachability
0,0,0,34,2022-08-01,34,stunreachability
0,0,0,12,2022-08-17,12,stunreachability
0,0,0,24,2022-08-18,24,stunreachability
0,0,0,12,2022-08-29,12,stunreachability
0,0,0,12,2022-08-30,12,stunreachability
0,0,0,36,2022-08-31,36,stunreachability
0,0,0,24,2022-09-02,24,stunreachability
1,0,0,72,2022-09-03,71,stunreachability
1,0,0,72,2022-09-04,71,stunreachability
0,0,0,12,2022-09-05,12,stunreachability
1,0,0,36,2022-09-07,35,stunreachability
0,0,0,36,2022-09-13,36,stunreachability
0,0,0,24,2022-09-14,24,stunreachability
0,0,0,12,2022-10-03,12,stunreachability
1,0,0,12,2022-10-30,11,stunreachability
1,0,0,12,2022-11-10,11,stunreachability
3,0,0,36,2022-11-17,33,stunreachability
1,0,0,12,2022-12-01,11,stunreachability
3,0,0,36,2022-12-15,33,stunreachability
0,0,0,1,2022-01-06,1,tor
0,0,0,2,2022-01-07,2,tor
0,0,0,8,2022-01-11,8,tor
0,0,0,11,2022-01-12,11,tor
0,0,0,4,2022-01-13,4,tor
0,0,0,4,2022-01-14,4,tor
0,0,0,1,2022-01-15,1,tor
0,0,0,3,2022-01-16,3,tor
0,0,0,3,2022-01-17,3,tor
0,0,0,11,2022-01-19,11,tor
0,0,0,7,2022-01-20,7,tor
0,0,0,7,2022-01-21,7,tor
0,0,0,6,2022-01-22,6,tor
0,0,0,10,2022-01-23,10,tor
0,0,0,5,2022-01-24,5,tor
0,0,0,15,2022-01-25,15,tor
0,0,0,6,2022-01-26,6,tor
0,0,0,5,2022-01-27,5,tor
0,0,0,5,2022-01-28,5,tor
0,0,0,4,2022-01-29,4,tor
0,0,0,4,2022-01-30,4,tor
0,0,0,3,2022-01-31,3,tor
0,0,0,3,2022-02-01,3,tor
0,0,0,3,2022-02-02,3,tor
0,0,0,4,2022-02-03,4,tor
0,0,0,4,2022-02-04,4,tor
0,0,0,3,2022-02-05,3,tor
0,0,0,5,2022-02-06,5,tor
0,0,0,6,2022-02-07,6,tor
0,0,0,7,2022-02-08,7,tor
0,0,0,1,2022-02-09,1,tor
0,0,0,9,2022-02-10,9,tor
0,0,0,9,2022-02-11,9,tor
0,0,0,5,2022-02-12,5,tor
0,0,0,5,2022-02-13,5,tor
0,0,0,10,2022-02-14,10,tor
0,0,0,13,2022-02-15,13,tor
0,0,0,14,2022-02-16,14,tor
0,0,0,13,2022-02-17,13,tor
0,0,0,8,2022-02-18,8,tor
0,0,0,6,2022-02-19,6,tor
0,0,0,3,2022-02-20,3,tor
0,0,0,10,2022-02-21,10,tor
0,0,0,6,2022-02-22,6,tor
0,0,0,8,2022-02-23,8,tor
0,0,0,3,2022-02-24,3,tor
0,0,0,8,2022-02-25,8,tor
0,0,0,2,2022-02-26,2,tor
0,0,0,9,2022-02-27,9,tor
0,0,0,17,2022-02-28,17,tor
0,0,0,17,2022-03-01,17,tor
0,0,0,12,2022-03-02,12,tor
0,0,0,11,2022-03-03,11,tor
0,0,0,10,2022-03-04,10,tor
0,0,0,12,2022-03-05,12,tor
0,0,0,13,2022-03-06,13,tor
0,0,0,4,2022-03-07,4,tor
0,0,0,7,2022-03-08,7,tor
0,0,0,13,2022-03-09,13,tor
0,0,0,12,2022-03-10,12,tor
0,0,0,15,2022-03-11,15,tor
0,0,0,14,2022-03-12,14,tor
0,0,0,6,2022-03-13,6,tor
0,0,0,17,2022-03-14,17,tor
0,0,0,8,2022-03-15,8,tor
0,0,0,15,2022-03-16,15,tor
0,0,0,15,2022-03-17,15,tor
0,0,0,11,2022-03-18,11,tor
0,0,0,7,2022-03-19,7,tor
0,0,0,9,2022-03-21,9,tor
0,0,0,16,2022-03-22,16,tor
0,0,0,2,2022-03-23,2,tor
0,0,0,12,2022-03-24,12,tor
0,0,0,7,2022-03-25,7,tor
0,0,0,16,2022-03-26,16,tor
0,0,0,9,2022-03-27,9,tor
0,0,0,8,2022-03-28,8,tor
0,0,0,2,2022-03-29,2,tor
0,0,0,5,2022-03-30,5,tor
0,0,0,14,2022-03-31,14,tor
0,0,0,14,2022-04-01,14,tor
0,0,0,7,2022-04-02,7,tor
0,0,0,9,2022-04-03,9,tor
0,0,0,14,2022-04-04,14,tor
0,0,0,11,2022-04-05,11,tor
0,0,0,13,2022-04-06,13,tor
0,0,0,13,2022-04-07,13,tor
0,0,0,9,2022-04-08,9,tor
0,0,0,5,2022-04-09,5,tor
0,0,0,19,2022-04-11,19,tor
0,0,0,11,2022-04-12,11,tor
0,0,0,8,2022-04-13,8,tor
0,0,0,5,2022-04-14,5,tor
0,0,0,11,2022-04-15,11,tor
0,0,0,1,2022-04-16,1,tor
0,0,0,5,2022-04-18,5,tor
0,0,0,4,2022-04-19,4,tor
0,0,0,11,2022-04-20,11,tor
0,0,0,4,2022-04-21,4,tor
0,0,0,8,2022-04-22,8,tor
0,0,0,5,2022-04-23,5,tor
0,0,0,2,2022-04-26,2,tor
0,0,0,5,2022-04-27,5,tor
0,0,0,5,2022-04-28,5,tor
0,0,0,8,2022-04-30,8,tor
0,0,0,2,2022-05-03,2,tor
0,0,0,10,2022-05-04,10,tor
0,0,0,10,2022-05-05,10,tor
0,0,0,7,2022-05-06,7,tor
0,0,0,1,2022-05-07,1,tor
0,0,0,5,2022-05-08,5,tor
0,0,0,4,2022-05-09,4,tor
0,0,0,5,2022-05-10,5,tor
0,0,0,1,2022-05-11,1,tor
