anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,10,2022-01-01,10,psiphon
0,0,0,9,2022-01-02,9,psiphon
0,0,0,6,2022-01-04,6,psiphon
0,0,0,11,2022-01-05,11,psiphon
0,0,0,10,2022-01-06,10,psiphon
0,0,0,5,2022-01-07,5,psiphon
0,0,0,2,2022-01-08,2,psiphon
0,0,0,3,2022-01-10,3,psiphon
0,0,0,4,2022-01-11,4,psiphon
0,0,0,2,2022-01-12,2,psiphon
0,0,0,10,2022-01-13,10,psiphon
0,0,0,7,2022-01-14,7,psiphon
0,0,0,8,2022-01-15,8,psiphon
0,0,0,5,2022-01-16,5,psiphon
0,0,0,4,2022-01-17,4,psiphon
0,0,0,3,2022-01-18,3,psiphon
0,0,0,5,2022-01-19,5,psiphon
0,0,0,2,2022-01-23,2,psiphon
0,0,0,5,2022-01-25,5,psiphon
0,0,0,1,2022-01-28,1,psiphon
0,0,0,6,2022-01-29,6,psiphon
0,0,0,3,2022-01-30,3,psiphon
0,0,0,2,2022-01-31,2,psiphon
0,0,0,5,2022-02-01,5,psiphon
0,0,0,3,2022-02-02,3,psiphon
0,0,0,9,2022-02-04,9,psiphon
0,0,0,5,2022-02-06,5,psiphon
0,0,0,1,2022-02-07,1,psiphon
1,0,0,4,2022-02-08,3,psiphon
0,0,0,10,2022-02-09,10,psiphon
0,0,0,1,2022-02-11,1,psiphon
0,0,0,1,2022-02-12,1,psiphon
0,0,0,4,2022-02-13,4,psiphon
0,0,0,5,2022-02-14,5,psiphon
0,0,0,1,2022-02-15,1,psiphon
0,0,0,12,2022-02-16,12,psiphon
0,0,0,1,2022-02-17,1,psiphon
0,0,0,3,2022-02-18,3,psiphon
0,0,0,3,2022-02-19,3,psiphon
0,0,0,4,2022-02-20,4,psiphon
0,0,0,2,2022-02-21,2,psiphon
0,0,0,2,2022-02-22,2,psiphon
0,0,0,7,2022-02-23,7,psiphon
0,0,0,5,2022-02-25,5,psiphon
0,0,0,1,2022-02-26,1,psiphon
0,0,0,10,2022-02-27,10,psiphon
0,0,0,12,2022-02-28,12,psiphon
0,0,0,1,2022-03-02,1,psiphon
0,0,0,4,2022-03-03,4,psiphon
1,0,0,12,2022-03-04,11,psiphon
0,0,0,6,2022-03-05,6,psiphon
0,0,0,13,2022-03-06,13,psiphon
1,0,0,6,2022-03-08,5,psiphon
0,0,0,5,2022-03-09,5,psiphon
0,0,0,3,2022-03-10,3,psiphon
0,0,0,2,2022-03-11,2,psiphon
0,0,0,5,2022-03-12,5,psiphon
0,0,0,8,2022-03-13,8,psiphon
0,0,0,5,2022-03-14,5,psiphon
0,0,0,4,2022-03-15,4,psiphon
0,0,0,6,2022-03-16,6,psiphon
0,0,0,4,2022-03-17,4,psiphon
0,0,0,5,2022-03-19,5,psiphon
0,0,0,4,2022-03-20,4,psiphon
0,0,0,3,2022-03-21,3,psiphon
0,0,0,2,2022-03-24,2,psiphon
0,0,0,2,2022-03-25,2,psiphon
0,0,0,9,2022-03-26,9,psiphon
0,0,0,6,2022-03-27,6,psiphon
0,0,0,3,2022-03-28,3,psiphon
0,0,0,11,2022-03-29,11,psiphon
