anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-04-13,1,psiphon
0,0,0,14,2022-04-14,14,psiphon
1,0,0,5,2022-04-15,4,psiphon
0,0,0,14,2022-04-16,14,psiphon
0,0,0,16,2022-04-17,16,psiphon
0,0,0,14,2022-04-18,14,psiphon
0,0,0,6,2022-04-19,6,psiphon
0,0,0,11,2022-04-20,11,psiphon
0,0,0,12,2022-04-21,12,psiphon
0,0,0,6,2022-04-22,6,psiphon
0,0,0,17,2022-04-23,17,psiphon
0,0,0,6,2022-04-24,6,psiphon
0,0,0,10,2022-04-25,10,psiphon
0,0,0,15,2022-04-26,15,psiphon
0,0,0,17,2022-04-27,17,psiphon
0,0,0,12,2022-04-28,12,psiphon
0,0,0,6,2022-04-29,6,psiphon
0,0,0,15,2022-04-30,15,psiphon
0,0,0,11,2022-05-01,11,psiphon
0,0,0,16,2022-05-02,16,psiphon
0,0,0,9,2022-05-03,9,psiphon
0,0,0,4,2022-05-04,4,psiphon
0,0,0,14,2022-05-05,14,psiphon
0,0,0,10,2022-05-06,10,psiphon
0,0,0,9,2022-05-07,9,psiphon
0,0,0,17,2022-05-08,17,psiphon
0,0,0,16,2022-05-09,16,psiphon
0,0,0,16,2022-05-10,16,psiphon
0,0,0,11,2022-05-11,11,psiphon
0,0,0,12,2022-05-12,12,psiphon
0,0,0,15,2022-05-13,15,psiphon
0,0,0,9,2022-05-14,9,psiphon
0,0,0,3,2022-05-15,3,psiphon
0,0,0,6,2022-05-16,6,psiphon
1,0,0,10,2022-05-17,9,psiphon
0,0,0,11,2022-05-18,11,psiphon
1,0,0,10,2022-05-19,9,psiphon
0,0,0,13,2022-05-20,13,psiphon
0,0,0,2,2022-05-21,2,psiphon
0,0,0,1,2022-04-13,1,tor
0,0,0,14,2022-04-14,14,tor
0,0,0,5,2022-04-15,5,tor
0,0,0,14,2022-04-16,14,tor
0,0,0,16,2022-04-17,16,tor
0,0,0,14,2022-04-18,14,tor
0,0,0,6,2022-04-19,6,tor
0,0,0,11,2022-04-20,11,tor
0,0,0,12,2022-04-21,12,tor
0,0,0,6,2022-04-22,6,tor
0,0,0,17,2022-04-23,17,tor
0,0,0,6,2022-04-24,6,tor
0,0,0,10,2022-04-25,10,tor
0,0,0,15,2022-04-26,15,tor
0,0,0,17,2022-04-27,17,tor
0,0,0,12,2022-04-28,12,tor
0,0,0,6,2022-04-29,6,tor
0,0,0,15,2022-04-30,15,tor
0,0,0,11,2022-05-01,11,tor
0,0,0,16,2022-05-02,16,tor
0,0,0,9,2022-05-03,9,tor
0,0,0,4,2022-05-04,4,tor
0,0,0,14,2022-05-05,14,tor
0,0,0,10,2022-05-06,10,tor
0,0,0,9,2022-05-07,9,tor
0,0,0,17,2022-05-08,17,tor
0,0,0,16,2022-05-09,16,tor
0,0,0,16,2022-05-10,16,tor
0,0,0,11,2022-05-11,11,tor
0,0,0,12,2022-05-12,12,tor
0,0,0,15,2022-05-13,15,tor
0,0,0,9,2022-05-14,9,tor
0,0,0,3,2022-05-15,3,tor
0,0,0,6,2022-05-16,6,tor
0,0,0,10,2022-05-17,10,tor
0,0,0,11,2022-05-18,11,tor
0,0,0,10,2022-05-19,10,tor
0,0,0,13,2022-05-20,13,tor
0,0,0,2,2022-05-21,2,tor
