anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-03-12,1,psiphon
0,0,0,1,2022-06-20,1,psiphon
0,0,0,4,2022-09-18,4,psiphon
0,0,0,10,2022-10-26,10,psiphon
0,0,0,1,2022-11-30,1,psiphon
0,0,0,12,2022-06-20,12,stunreachability
0,0,0,12,2022-09-18,12,stunreachability
9,0,0,108,2022-10-26,99,stunreachability
1,0,0,12,2022-11-30,11,stunreachability
0,0,0,1,2022-03-12,1,tor
0,0,0,1,2022-06-20,1,tor
0,0,0,4,2022-09-18,4,tor
0,0,0,10,2022-10-26,10,tor
0,0,0,1,2022-11-30,1,tor
0,0,0,1,2022-06-20,1,torsf
1,0,0,1,2022-09-18,0,torsf
2,0,0,10,2022-10-26,8,torsf
