anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
9,0,0,11,2022-01-01,2,psiphon
5,0,0,5,2022-01-02,0,psiphon
5,0,0,6,2022-01-03,1,psiphon
4,0,0,9,2022-01-04,5,psiphon
6,0,0,14,2022-01-05,8,psiphon
2,0,0,10,2022-01-06,8,psiphon
5,0,0,14,2022-01-07,9,psiphon
7,0,0,15,2022-01-08,8,psiphon
7,0,0,17,2022-01-09,10,psiphon
5,0,0,7,2022-01-10,2,psiphon
7,0,0,11,2022-01-11,4,psiphon
12,0,0,19,2022-01-12,7,psiphon
5,0,0,11,2022-01-13,6,psiphon
9,0,0,15,2022-01-14,6,psiphon
11,0,0,15,2022-01-15,4,psiphon
17,0,0,17,2022-01-16,0,psiphon
10,0,0,12,2022-01-17,2,psiphon
14,0,0,18,2022-01-18,4,psiphon
13,0,0,14,2022-01-19,1,psiphon
28,0,0,33,2022-01-20,5,psiphon
32,0,0,32,2022-01-21,0,psiphon
27,0,0,29,2022-01-22,2,psiphon
24,0,0,26,2022-01-23,2,psiphon
30,0,0,36,2022-01-24,6,psiphon
22,0,0,25,2022-01-25,3,psiphon
30,0,0,38,2022-01-26,8,psiphon
9,0,0,11,2022-01-27,2,psiphon
14,0,0,19,2022-01-28,5,psiphon
6,0,0,9,2022-01-29,3,psiphon
10,0,0,20,2022-01-30,10,psiphon
11,0,0,12,2022-01-31,1,psiphon
5,0,0,7,2022-02-01,2,psiphon
3,0,0,5,2022-02-02,2,psiphon
15,0,0,16,2022-02-03,1,psiphon
11,0,0,15,2022-02-04,4,psiphon
7,0,0,8,2022-02-05,1,psiphon
15,0,0,17,2022-02-06,2,psiphon
22,0,0,24,2022-02-07,2,psiphon
20,0,0,28,2022-02-08,8,psiphon
14,0,0,20,2022-02-09,6,psiphon
15,0,0,17,2022-02-10,2,psiphon
11,0,0,11,2022-02-11,0,psiphon
6,0,0,8,2022-02-12,2,psiphon
6,0,0,7,2022-02-13,1,psiphon
12,0,0,15,2022-02-14,3,psiphon
1,0,0,17,2022-02-15,16,psiphon
9,0,0,13,2022-02-16,4,psiphon
11,0,0,24,2022-02-17,13,psiphon
10,0,0,18,2022-02-18,8,psiphon
14,0,0,19,2022-02-19,5,psiphon
14,0,0,15,2022-02-20,1,psiphon
11,0,0,12,2022-02-21,1,psiphon
13,0,0,15,2022-02-22,2,psiphon
24,0,0,28,2022-02-23,4,psiphon
14,0,0,19,2022-02-24,5,psiphon
26,0,0,29,2022-02-25,3,psiphon
11,0,0,18,2022-02-26,7,psiphon
13,0,0,20,2022-02-27,7,psiphon
13,0,0,17,2022-02-28,4,psiphon
19,0,0,26,2022-03-01,7,psiphon
16,0,0,22,2022-03-02,6,psiphon
16,0,0,31,2022-03-03,15,psiphon
15,0,0,25,2022-03-04,10,psiphon
2,0,0,12,2022-03-05,10,psiphon
8,0,0,23,2022-03-06,15,psiphon
16,0,0,24,2022-03-07,8,psiphon
12,0,0,42,2022-03-08,30,psiphon
16,0,0,25,2022-03-09,9,psiphon
24,0,0,30,2022-03-10,6,psiphon
30,0,0,37,2022-03-11,7,psiphon
49,0,0,50,2022-03-12,1,psiphon
35,0,0,40,2022-03-13,5,psiphon
39,0,0,41,2022-03-14,2,psiphon
32,0,0,38,2022-03-15,6,psiphon
40,0,0,49,2022-03-16,9,psiphon
29,0,0,32,2022-03-17,3,psiphon
28,0,0,34,2022-03-18,6,psiphon
38,0,0,39,2022-03-19,1,psiphon
37,0,0,39,2022-03-20,2,psiphon
37,0,0,40,2022-03-21,3,psiphon
31,0,0,37,2022-03-22,6,psiphon
36,0,0,42,2022-03-23,6,psiphon
35,0,0,43,2022-03-24,8,psiphon
35,0,0,45,2022-03-25,10,psiphon
39,0,0,56,2022-03-26,17,psiphon
