anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,3,30,2022-01-01,27,psiphon
0,0,1,25,2022-01-02,24,psiphon
0,0,3,38,2022-01-03,35,psiphon
0,0,0,36,2022-01-04,36,psiphon
0,0,0,27,2022-01-05,27,psiphon
0,0,0,24,2022-01-06,24,psiphon
0,0,0,28,2022-01-07,28,psiphon
0,0,0,20,2022-01-08,20,psiphon
0,0,0,21,2022-01-09,21,psiphon
0,0,0,39,2022-01-10,39,psiphon
0,0,0,35,2022-01-11,35,psiphon
0,0,0,29,2022-01-12,29,psiphon
0,0,0,46,2022-01-13,46,psiphon
0,0,0,80,2022-01-14,80,psiphon
0,0,0,29,2022-01-15,29,psiphon
1,0,0,36,2022-01-16,35,psiphon
0,0,0,31,2022-01-17,31,psiphon
0,0,10,69,2022-01-18,59,psiphon
0,0,0,30,2022-01-19,30,psiphon
0,0,6,34,2022-01-20,28,psiphon
0,0,3,38,2022-01-21,35,psiphon
0,0,0,24,2022-01-22,24,psiphon
0,0,0,21,2022-01-23,21,psiphon
0,0,2,43,2022-01-24,41,psiphon
0,0,15,35,2022-01-25,20,psiphon
0,0,0,27,2022-01-26,27,psiphon
0,0,0,20,2022-01-27,20,psiphon
0,0,0,30,2022-01-28,30,psiphon
0,0,0,27,2022-01-29,27,psiphon
0,0,0,18,2022-01-30,18,psiphon
0,0,2,45,2022-01-31,43,psiphon
3,0,6,44,2022-02-01,35,psiphon
1,0,1,43,2022-02-02,41,psiphon
0,0,0,37,2022-02-03,37,psiphon
1,0,0,44,2022-02-04,43,psiphon
0,0,0,72,2022-02-05,72,psiphon
0,0,0,45,2022-02-06,45,psiphon
0,0,0,41,2022-02-07,41,psiphon
0,0,0,42,2022-02-08,42,psiphon
1,0,0,36,2022-02-09,35,psiphon
1,0,0,42,2022-02-10,41,psiphon
0,0,0,39,2022-02-11,39,psiphon
1,0,0,27,2022-02-12,26,psiphon
0,0,0,20,2022-02-13,20,psiphon
1,0,0,35,2022-02-14,34,psiphon
0,0,0,37,2022-02-15,37,psiphon
1,0,0,42,2022-02-16,41,psiphon
1,0,0,31,2022-02-17,30,psiphon
0,0,0,43,2022-02-18,43,psiphon
0,0,0,32,2022-02-19,32,psiphon
1,0,0,43,2022-02-20,42,psiphon
1,0,0,44,2022-02-21,43,psiphon
1,0,0,44,2022-02-22,43,psiphon
0,0,0,32,2022-02-23,32,psiphon
0,0,0,37,2022-02-24,37,psiphon
0,0,0,49,2022-02-25,49,psiphon
2,0,0,50,2022-02-26,48,psiphon
0,0,0,49,2022-02-27,49,psiphon
0,0,0,40,2022-02-28,40,psiphon
0,0,0,39,2022-03-01,39,psiphon
1,0,0,46,2022-03-02,45,psiphon
1,0,0,38,2022-03-03,37,psiphon
0,0,0,34,2022-03-04,34,psiphon
1,0,0,28,2022-03-05,27,psiphon
0,0,0,35,2022-03-06,35,psiphon
0,0,0,33,2022-03-07,33,psiphon
0,0,0,41,2022-03-08,41,psiphon
0,0,0,35,2022-03-09,35,psiphon
0,0,0,39,2022-03-10,39,psiphon
0,0,0,34,2022-03-11,34,psiphon
1,0,0,25,2022-03-12,24,psiphon
0,0,0,30,2022-03-13,30,psiphon
1,0,0,39,2022-03-14,38,psiphon
0,0,0,41,2022-03-15,41,psiphon
2,0,0,46,2022-03-16,44,psiphon
0,0,0,32,2022-03-17,32,psiphon
0,0,0,40,2022-03-18,40,psiphon
0,0,0,46,2022-03-19,46,psiphon
1,0,0,42,2022-03-20,41,psiphon
0,0,0,44,2022-03-21,44,psiphon
0,0,0,54,2022-03-22,54,psiphon
0,0,0,54,2022-03-23,54,psiphon
1,0,0,49,2022-03-24,48,psiphon
0,0,0,46,2022-03-25,46,psiphon
1,0,0,69,2022-03-26,68,psiphon
0,0,0,45,2022-03-27,45,psiphon
0,0,0,57,2022-03-28,57,psiphon
0,0,0,41,2022-03-29,41,psiphon
1,0,0,52,2022-03-30,51,psiphon
0,0,0,58,2022-03-31,58,psiphon
0,0,0,36,2022-04-01,36,psiphon
0,0,0,36,2022-04-02,36,psiphon
0,0,0,27,2022-04-03,27,psiphon
0,0,0,56,2022-04-04,56,psiphon
1,0,0,46,2022-04-05,45,psiphon
0,0,0,40,2022-04-06,40,psiphon
0,0,0,31,2022-04-07,31,psiphon
0,0,0,35,2022-04-08,35,psiphon
0,0,0,26,2022-04-09,26,psiphon
0,0,0,39,2022-04-10,39,psiphon
0,0,0,49,2022-04-11,49,psiphon
0,0,0,49,2022-04-12,49,psiphon
0,0,0,45,2022-04-13,45,psiphon
0,0,0,45,2022-04-14,45,psiphon
0,0,0,36,2022-04-15,36,psiphon
0,0,0,63,2022-04-16,63,psiphon
1,0,0,55,2022-04-17,54,psiphon
0,0,0,48,2022-04-18,48,psiphon
0,0,0,41,2022-04-19,41,psiphon
0,0,0,50,2022-04-20,50,psiphon
0,0,0,43,2022-04-21,43,psiphon
0,0,0,49,2022-04-22,49,psiphon
0,0,0,39,2022-04-23,39,psiphon
0,0,0,28,2022-04-24,28,psiphon
0,0,0,54,2022-04-25,54,psiphon
0,0,0,62,2022-04-26,62,psiphon
1,0,0,51,2022-04-27,50,psiphon
0,0,0,54,2022-04-28,54,psiphon
0,0,0,56,2022-04-29,56,psiphon
0,0,0,32,2022-04-30,32,psiphon
0,0,0,41,2022-05-01,41,psiphon
0,0,0,50,2022-05-02,50,psiphon
0,0,0,49,2022-05-03,49,psiphon
0,0,0,70,2022-05-04,70,psiphon
1,0,0,54,2022-05-05,53,psiphon
0,0,0,60,2022-05-06,60,psiphon
0,0,0,52,2022-05-07,52,psiphon
0,0,0,52,2022-05-08,52,psiphon
1,0,0,56,2022-05-09,55,psiphon
0,0,0,56,2022-05-10,56,psiphon
0,0,0,44,2022-05-11,44,psiphon
0,0,0,56,2022-05-12,56,psiphon
0,0,0,37,2022-05-13,37,psiphon
1,0,0,35,2022-05-14,34,psiphon
0,0,0,46,2022-05-15,46,psiphon
2,0,0,55,2022-05-16,53,psiphon
0,0,0,45,2022-05-17,45,psiphon
0,0,0,57,2022-05-18,57,psiphon
1,0,0,56,2022-05-19,55,psiphon
1,0,0,50,2022-05-20,49,psiphon
0,0,0,46,2022-05-21,46,psiphon
0,0,0,52,2022-05-22,52,psiphon
0,0,0,60,2022-05-23,60,psiphon
1,0,0,53,2022-05-24,52,psiphon
1,0,0,53,2022-05-25,52,psiphon
0,0,0,52,2022-05-26,52,psiphon
1,0,0,73,2022-05-27,72,psiphon
0,0,0,48,2022-05-28,48,psiphon
0,0,2,51,2022-05-29,49,psiphon
0,0,0,56,2022-05-30,56,psiphon
0,0,1,44,2022-05-31,43,psiphon
0,0,0,52,2022-06-01,52,psiphon
0,0,0,44,2022-06-02,44,psiphon
0,0,0,27,2022-06-03,27,psiphon
0,0,0,45,2022-06-04,45,psiphon
0,0,0,53,2022-06-05,53,psiphon
2,0,0,38,2022-06-06,36,psiphon
0,0,0,49,2022-06-07,49,psiphon
0,0,0,48,2022-06-08,48,psiphon
0,0,0,64,2022-06-09,64,psiphon
1,0,0,49,2022-06-10,48,psiphon
1,0,0,60,2022-06-11,59,psiphon
1,0,0,47,2022-06-12,46,psiphon
1,0,0,39,2022-06-13,38,psiphon
1,0,0,30,2022-06-14,29,psiphon
0,0,0,55,2022-06-15,55,psiphon
0,0,0,53,2022-06-16,53,psiphon
1,0,0,53,2022-06-17,52,psiphon
0,0,0,48,2022-06-18,48,psiphon
0,0,0,52,2022-06-19,52,psiphon
0,0,0,50,2022-06-20,50,psiphon
0,0,0,46,2022-06-21,46,psiphon
0,0,0,36,2022-06-22,36,psiphon
0,0,0,49,2022-06-23,49,psiphon
1,0,0,47,2022-06-24,46,psiphon
1,0,0,32,2022-06-25,31,psiphon
1,0,0,29,2022-06-26,28,psiphon
0,0,0,33,2022-06-27,33,psiphon
0,0,0,23,2022-06-28,23,psiphon
0,0,0,23,2022-06-29,23,psiphon
0,0,0,41,2022-06-30,41,psiphon
1,0,0,40,2022-07-01,39,psiphon
0,0,0,31,2022-07-02,31,psiphon
0,0,0,19,2022-07-03,19,psiphon
0,0,0,30,2022-07-04,30,psiphon
0,0,0,48,2022-07-05,48,psiphon
0,0,0,49,2022-07-06,49,psiphon
0,0,0,33,2022-07-07,33,psiphon
0,0,0,43,2022-07-08,43,psiphon
1,0,0,48,2022-07-09,47,psiphon
0,0,0,18,2022-07-10,18,psiphon
0,0,0,23,2022-07-11,23,psiphon
0,0,0,30,2022-07-12,30,psiphon
1,0,0,35,2022-07-13,34,psiphon
1,0,0,30,2022-07-14,29,psiphon
0,0,0,9,2022-07-15,9,psiphon
0,0,0,37,2022-07-16,37,psiphon
0,0,0,32,2022-07-17,32,psiphon
0,0,0,52,2022-07-18,52,psiphon
0,0,0,23,2022-07-19,23,psiphon
0,0,0,23,2022-07-20,23,psiphon
0,0,0,16,2022-07-21,16,psiphon
0,0,0,19,2022-07-22,19,psiphon
0,0,0,23,2022-07-23,23,psiphon
0,0,0,32,2022-07-24,32,psiphon
0,0,0,38,2022-07-25,38,psiphon
0,0,0,41,2022-07-26,41,psiphon
0,0,0,50,2022-07-27,50,psiphon
0,0,0,51,2022-07-28,51,psiphon
0,0,0,26,2022-07-29,26,psiphon
0,0,0,9,2022-07-30,9,psiphon
0,0,0,25,2022-07-31,25,psiphon
1,0,0,31,2022-08-01,30,psiphon
0,0,0,44,2022-08-02,44,psiphon
0,0,0,31,2022-08-03,31,psiphon
0,0,0,41,2022-08-04,41,psiphon
0,0,0,28,2022-08-05,28,psiphon
0,0,0,15,2022-08-06,15,psiphon
0,0,0,8,2022-08-07,8,psiphon
0,0,0,29,2022-08-08,29,psiphon
0,0,0,53,2022-08-09,53,psiphon
1,0,0,35,2022-08-10,34,psiphon
0,0,0,25,2022-08-11,25,psiphon
0,0,0,42,2022-08-12,42,psiphon
0,0,0,22,2022-08-13,22,psiphon
0,0,0,35,2022-08-14,35,psiphon
0,0,0,34,2022-08-15,34,psiphon
1,0,0,35,2022-08-16,34,psiphon
0,0,0,31,2022-08-17,31,psiphon
0,0,0,55,2022-08-18,55,psiphon
0,0,0,35,2022-08-19,35,psiphon
0,0,0,26,2022-08-20,26,psiphon
0,0,0,23,2022-08-21,23,psiphon
1,0,0,40,2022-08-22,39,psiphon
0,0,0,47,2022-08-23,47,psiphon
0,0,0,40,2022-08-24,40,psiphon
