anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-01,1,psiphon
0,0,0,1,2022-01-09,1,psiphon
0,0,0,1,2022-01-14,1,psiphon
0,0,0,2,2022-01-17,2,psiphon
0,0,0,1,2022-01-21,1,psiphon
0,0,0,1,2022-01-23,1,psiphon
0,0,0,2,2022-01-27,2,psiphon
0,0,0,1,2022-01-31,1,psiphon
0,0,0,1,2022-02-01,1,psiphon
0,0,0,1,2022-02-02,1,psiphon
0,0,0,1,2022-02-03,1,psiphon
0,0,0,1,2022-02-07,1,psiphon
0,0,0,1,2022-02-18,1,psiphon
0,0,0,8,2022-02-21,8,psiphon
0,0,0,2,2022-02-22,2,psiphon
0,0,0,1,2022-02-24,1,psiphon
0,0,0,1,2022-03-03,1,psiphon
0,0,0,2,2022-03-11,2,psiphon
0,0,0,1,2022-03-12,1,psiphon
0,0,0,2,2022-03-13,2,psiphon
0,0,0,2,2022-03-14,2,psiphon
0,0,0,2,2022-03-15,2,psiphon
0,0,0,1,2022-03-16,1,psiphon
0,0,0,1,2022-03-19,1,psiphon
0,0,0,1,2022-03-25,1,psiphon
0,0,0,1,2022-04-07,1,psiphon
0,0,0,2,2022-04-09,2,psiphon
0,0,0,1,2022-04-16,1,psiphon
0,0,0,1,2022-04-18,1,psiphon
0,0,0,2,2022-04-19,2,psiphon
0,0,0,1,2022-04-22,1,psiphon
0,0,0,1,2022-04-26,1,psiphon
0,0,0,2,2022-04-27,2,psiphon
0,0,0,2,2022-04-29,2,psiphon
0,0,0,1,2022-05-02,1,psiphon
0,0,0,3,2022-05-03,3,psiphon
0,0,0,1,2022-05-04,1,psiphon
0,0,0,1,2022-05-07,1,psiphon
0,0,0,1,2022-05-08,1,psiphon
0,0,0,1,2022-05-20,1,psiphon
0,0,0,1,2022-05-25,1,psiphon
0,0,0,1,2022-05-28,1,psiphon
0,0,0,3,2022-05-29,3,psiphon
0,0,0,1,2022-05-30,1,psiphon
1,0,0,1,2022-06-03,0,psiphon
0,0,0,2,2022-06-07,2,psiphon
0,0,0,2,2022-06-09,2,psiphon
0,0,0,2,2022-06-13,2,psiphon
0,0,0,1,2022-06-16,1,psiphon
0,0,0,2,2022-06-21,2,psiphon
0,0,0,2,2022-06-26,2,psiphon
0,0,0,1,2022-07-04,1,psiphon
0,0,0,4,2022-07-06,4,psiphon
0,0,0,2,2022-07-07,2,psiphon
0,0,0,1,2022-07-12,1,psiphon
0,0,0,1,2022-07-15,1,psiphon
0,0,0,1,2022-07-19,1,psiphon
0,0,0,1,2022-07-27,1,psiphon
0,0,0,1,2022-08-06,1,psiphon
0,0,0,22,2022-08-18,22,psiphon
0,0,0,12,2022-08-19,12,psiphon
0,0,0,8,2022-08-20,8,psiphon
0,0,0,4,2022-08-21,4,psiphon
0,0,0,11,2022-08-22,11,psiphon
0,0,0,17,2022-08-23,17,psiphon
0,0,0,5,2022-08-24,5,psiphon
0,0,0,10,2022-08-25,10,psiphon
0,0,0,4,2022-08-26,4,psiphon
0,0,0,16,2022-08-27,16,psiphon
0,0,0,5,2022-08-28,5,psiphon
0,0,0,6,2022-08-29,6,psiphon
0,0,0,10,2022-08-30,10,psiphon
0,0,0,2,2022-08-31,2,psiphon
0,0,0,1,2022-09-04,1,psiphon
0,0,0,3,2022-09-05,3,psiphon
0,0,0,3,2022-09-08,3,psiphon
0,0,0,1,2022-09-11,1,psiphon
0,0,0,3,2022-09-12,3,psiphon
0,0,0,1,2022-09-17,1,psiphon
0,0,0,1,2022-09-19,1,psiphon
0,0,0,2,2022-09-22,2,psiphon
0,0,0,2,2022-09-24,2,psiphon
0,0,0,1,2022-09-27,1,psiphon
0,0,0,2,2022-09-28,2,psiphon
0,0,0,3,2022-09-30,3,psiphon
0,0,0,6,2022-10-01,6,psiphon
1,0,0,44,2022-10-02,43,psiphon
0,0,0,3,2022-10-03,3,psiphon
0,0,0,24,2022-10-04,24,psiphon
0,0,0,2,2022-10-05,2,psiphon
0,0,0,20,2022-10-06,20,psiphon
0,0,0,4,2022-10-07,4,psiphon
0,0,0,23,2022-10-08,23,psiphon
0,0,0,14,2022-10-09,14,psiphon
0,0,0,4,2022-10-10,4,psiphon
0,0,0,3,2022-10-11,3,psiphon
0,0,0,9,2022-10-12,9,psiphon
0,0,0,4,2022-10-13,4,psiphon
0,0,0,12,2022-10-14,12,psiphon
0,0,0,1,2022-10-15,1,psiphon
0,0,0,4,2022-10-17,4,psiphon
0,0,0,4,2022-10-18,4,psiphon
1,0,0,2,2022-10-19,1,psiphon
0,0,0,13,2022-10-20,13,psiphon
0,0,0,1,2022-10-21,1,psiphon
0,0,0,3,2022-10-22,3,psiphon
0,0,0,4,2022-10-23,4,psiphon
0,0,0,2,2022-10-24,2,psiphon
0,0,0,5,2022-10-25,5,psiphon
0,0,0,1,2022-10-26,1,psiphon
0,0,0,4,2022-10-27,4,psiphon
0,0,0,21,2022-10-28,21,psiphon
0,0,0,5,2022-10-29,5,psiphon
0,0,0,1,2022-10-30,1,psiphon
0,0,0,1,2022-11-02,1,psiphon
0,0,0,2,2022-11-05,2,psiphon
0,0,0,2,2022-11-07,2,psiphon
0,0,0,29,2022-11-08,29,psiphon
0,0,0,8,2022-11-09,8,psiphon
0,0,0,2,2022-11-10,2,psiphon
0,0,0,3,2022-11-11,3,psiphon
0,0,0,2,2022-11-12,2,psiphon
0,0,0,13,2022-11-13,13,psiphon
0,0,0,11,2022-11-14,11,psiphon
0,0,0,6,2022-11-15,6,psiphon
0,0,0,4,2022-11-17,4,psiphon
0,0,0,8,2022-11-18,8,psiphon
0,0,0,8,2022-11-19,8,psiphon
0,0,0,11,2022-11-20,11,psiphon
0,0,0,3,2022-11-21,3,psiphon
0,0,0,5,2022-11-22,5,psiphon
0,0,0,17,2022-11-24,17,psiphon
0,0,0,10,2022-11-26,10,psiphon
0,0,0,15,2022-11-27,15,psiphon
0,0,0,8,2022-11-28,8,psiphon
0,0,0,2,2022-11-29,2,psiphon
0,0,0,20,2022-12-01,20,psiphon
0,0,0,5,2022-12-02,5,psiphon
0,0,0,1,2022-12-03,1,psiphon
0,0,0,3,2022-12-04,3,psiphon
0,0,0,16,2022-12-05,16,psiphon
0,0,0,2,2022-12-06,2,psiphon
0,0,0,5,2022-12-07,5,psiphon
0,0,0,4,2022-12-08,4,psiphon
0,0,0,13,2022-12-09,13,psiphon
0,0,0,7,2022-12-10,7,psiphon
0,0,0,5,2022-12-11,5,psiphon
0,0,0,9,2022-12-12,9,psiphon
0,0,0,4,2022-12-13,4,psiphon
0,0,0,2,2022-12-14,2,psiphon
0,0,0,1,2022-12-15,1,psiphon
0,0,0,3,2022-12-16,3,psiphon
0,0,0,7,2022-12-17,7,psiphon
