anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
13,0,0,2025,2022-01-01,2012,psiphon
7,0,0,1962,2022-01-02,1955,psiphon
13,0,0,1076,2022-01-03,1063,psiphon
6,0,0,1228,2022-01-04,1222,psiphon
25,0,0,1945,2022-01-05,1920,psiphon
37,0,0,2150,2022-01-06,2113,psiphon
33,0,0,2109,2022-01-07,2076,psiphon
35,0,0,2161,2022-01-08,2126,psiphon
19,0,0,2173,2022-01-09,2154,psiphon
12,0,0,2029,2022-01-10,2017,psiphon
13,0,0,2084,2022-01-11,2071,psiphon
12,0,0,2182,2022-01-12,2170,psiphon
9,0,0,1054,2022-01-13,1045,psiphon
11,0,0,999,2022-01-14,988,psiphon
26,0,0,2246,2022-01-15,2220,psiphon
16,0,0,2294,2022-01-16,2278,psiphon
11,0,0,1770,2022-01-17,1759,psiphon
12,0,0,1647,2022-01-18,1635,psiphon
18,0,0,1878,2022-01-19,1860,psiphon
29,0,0,2455,2022-01-20,2426,psiphon
38,0,0,2649,2022-01-21,2611,psiphon
60,0,0,2855,2022-01-22,2795,psiphon
40,0,0,2864,2022-01-23,2824,psiphon
46,0,0,2864,2022-01-24,2818,psiphon
36,0,0,2947,2022-01-25,2911,psiphon
32,0,0,2961,2022-01-26,2929,psiphon
15,0,0,1115,2022-01-27,1100,psiphon
5,0,0,360,2022-01-28,355,psiphon
8,0,0,370,2022-01-29,362,psiphon
15,0,0,1062,2022-01-30,1047,psiphon
20,0,0,1851,2022-01-31,1831,psiphon
1,0,0,1216,2022-02-01,1215,psiphon
12,0,0,2100,2022-02-02,2088,psiphon
18,0,0,1955,2022-02-03,1937,psiphon
33,0,0,2292,2022-02-04,2259,psiphon
23,0,0,2350,2022-02-05,2327,psiphon
18,0,0,2236,2022-02-06,2218,psiphon
16,0,0,2160,2022-02-07,2144,psiphon
21,0,0,2023,2022-02-08,2002,psiphon
23,0,0,2051,2022-02-09,2028,psiphon
22,0,0,2038,2022-02-10,2016,psiphon
42,0,0,3492,2022-02-11,3450,psiphon
49,0,0,3751,2022-02-12,3702,psiphon
38,0,0,3320,2022-02-13,3282,psiphon
14,0,0,2067,2022-02-14,2053,psiphon
14,0,0,474,2022-02-15,460,psiphon
9,0,0,378,2022-02-16,369,psiphon
12,0,0,412,2022-02-17,400,psiphon
10,0,0,601,2022-02-18,591,psiphon
18,0,0,2011,2022-02-19,1993,psiphon
21,0,0,1793,2022-02-20,1772,psiphon
23,0,0,1485,2022-02-21,1462,psiphon
34,0,0,3118,2022-02-22,3084,psiphon
15,0,0,2830,2022-02-23,2815,psiphon
12,0,0,1689,2022-02-24,1677,psiphon
14,0,0,993,2022-02-25,979,psiphon
12,0,0,924,2022-02-26,912,psiphon
9,0,1,886,2022-02-27,876,psiphon
17,0,0,975,2022-02-28,958,psiphon
9,0,0,1024,2022-03-01,1015,psiphon
12,0,0,1514,2022-03-02,1502,psiphon
