anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,3,2022-01-01,3,psiphon
0,0,0,1,2022-01-03,1,psiphon
0,0,0,1,2022-01-25,1,psiphon
0,0,0,2,2022-01-31,2,psiphon
0,0,0,16,2022-02-01,16,psiphon
0,0,0,6,2022-02-02,6,psiphon
0,0,0,12,2022-02-03,12,psiphon
0,0,0,16,2022-02-04,16,psiphon
0,0,0,9,2022-02-05,9,psiphon
0,0,0,12,2022-02-06,12,psiphon
0,0,0,12,2022-02-07,12,psiphon
0,0,0,16,2022-02-08,16,psiphon
0,0,0,12,2022-02-09,12,psiphon
0,0,0,6,2022-02-10,6,psiphon
0,0,0,10,2022-02-11,10,psiphon
0,0,0,10,2022-02-12,10,psiphon
0,0,0,12,2022-02-13,12,psiphon
0,0,0,17,2022-02-14,17,psiphon
0,0,0,13,2022-02-15,13,psiphon
1,0,0,17,2022-02-16,16,psiphon
0,0,0,14,2022-02-17,14,psiphon
0,0,0,8,2022-02-18,8,psiphon
0,0,0,15,2022-02-19,15,psiphon
0,0,0,10,2022-02-20,10,psiphon
0,0,0,18,2022-02-21,18,psiphon
0,0,0,6,2022-02-22,6,psiphon
0,0,0,14,2022-02-23,14,psiphon
0,0,0,21,2022-02-24,21,psiphon
0,0,0,13,2022-02-25,13,psiphon
0,0,0,2,2022-02-26,2,psiphon
0,0,0,7,2022-02-27,7,psiphon
0,0,0,3,2022-03-02,3,psiphon
0,0,0,4,2022-03-03,4,psiphon
0,0,0,5,2022-03-05,5,psiphon
0,0,0,3,2022-03-07,3,psiphon
0,0,0,2,2022-03-08,2,psiphon
0,0,0,2,2022-03-09,2,psiphon
0,0,0,3,2022-03-10,3,psiphon
0,0,0,1,2022-03-11,1,psiphon
0,0,0,1,2022-03-12,1,psiphon
0,0,0,3,2022-03-15,3,psiphon
0,0,0,2,2022-03-18,2,psiphon
0,0,0,6,2022-03-19,6,psiphon
0,0,0,1,2022-03-20,1,psiphon
0,0,0,2,2022-03-22,2,psiphon
0,0,0,2,2022-03-23,2,psiphon
2,0,0,4,2022-03-25,2,psiphon
0,0,0,1,2022-03-26,1,psiphon
0,0,0,5,2022-03-29,5,psiphon
0,0,0,13,2022-03-30,13,psiphon
0,0,0,4,2022-04-01,4,psiphon
0,0,0,2,2022-04-04,2,psiphon
0,0,0,3,2022-04-05,3,psiphon
0,0,0,7,2022-04-06,7,psiphon
0,0,0,1,2022-04-08,1,psiphon
0,0,0,7,2022-04-09,7,psiphon
0,0,0,2,2022-04-10,2,psiphon
0,0,0,6,2022-04-11,6,psiphon
0,0,0,3,2022-04-13,3,psiphon
0,0,0,2,2022-04-14,2,psiphon
0,0,0,3,2022-04-15,3,psiphon
0,0,0,3,2022-04-16,3,psiphon
0,0,0,2,2022-04-18,2,psiphon
0,0,0,1,2022-04-19,1,psiphon
0,0,0,1,2022-04-29,1,psiphon
0,0,0,2,2022-05-04,2,psiphon
0,0,0,1,2022-05-05,1,psiphon
0,0,0,1,2022-05-06,1,psiphon
0,0,0,3,2022-05-10,3,psiphon
0,0,0,1,2022-05-19,1,psiphon
0,0,0,3,2022-05-21,3,psiphon
0,0,0,1,2022-05-23,1,psiphon
0,0,0,2,2022-05-24,2,psiphon
0,0,0,3,2022-05-25,3,psiphon
0,0,0,2,2022-05-26,2,psiphon
0,0,0,2,2022-05-28,2,psiphon
0,0,0,3,2022-05-31,3,psiphon
0,0,0,3,2022-06-01,3,psiphon
0,0,0,3,2022-06-02,3,psiphon
0,0,0,1,2022-06-05,1,psiphon
0,0,0,3,2022-06-08,3,psiphon
0,0,0,2,2022-06-09,2,psiphon
0,0,0,4,2022-06-14,4,psiphon
0,0,0,3,2022-06-15,3,psiphon
0,0,0,2,2022-06-16,2,psiphon
0,0,0,3,2022-06-17,3,psiphon
0,0,0,1,2022-06-20,1,psiphon
0,0,0,1,2022-06-22,1,psiphon
0,0,0,3,2022-06-24,3,psiphon
0,0,0,1,2022-06-29,1,psiphon
0,0,0,2,2022-06-30,2,psiphon
0,0,0,3,2022-07-01,3,psiphon
0,0,0,5,2022-07-06,5,psiphon
0,0,0,2,2022-07-09,2,psiphon
0,0,0,2,2022-07-13,2,psiphon
0,0,0,1,2022-07-15,1,psiphon
0,0,0,1,2022-07-16,1,psiphon
0,0,0,1,2022-07-17,1,psiphon
0,0,0,2,2022-07-26,2,psiphon
0,0,0,1,2022-08-01,1,psiphon
0,0,0,1,2022-08-05,1,psiphon
0,0,0,2,2022-08-09,2,psiphon
0,0,0,2,2022-08-16,2,psiphon
0,0,0,1,2022-08-26,1,psiphon
0,0,0,3,2022-08-29,3,psiphon
0,0,0,2,2022-08-30,2,psiphon
0,0,0,1,2022-08-31,1,psiphon
0,0,0,2,2022-09-01,2,psiphon
0,0,0,7,2022-09-02,7,psiphon
0,0,0,4,2022-09-09,4,psiphon
0,0,0,1,2022-09-15,1,psiphon
0,0,0,1,2022-09-24,1,psiphon
0,0,0,1,2022-09-29,1,psiphon
0,0,0,1,2022-09-30,1,psiphon
0,0,0,1,2022-10-01,1,psiphon
0,0,0,1,2022-10-11,1,psiphon
0,0,0,2,2022-10-13,2,psiphon
0,0,0,4,2022-10-18,4,psiphon
0,0,0,1,2022-10-19,1,psiphon
0,0,0,1,2022-10-20,1,psiphon
0,0,0,1,2022-10-21,1,psiphon
0,0,0,1,2022-10-22,1,psiphon
0,0,0,1,2022-10-29,1,psiphon
