anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-31,1,psiphon
0,0,0,1,2022-04-19,1,psiphon
0,0,0,3,2022-04-21,3,psiphon
0,0,0,1,2022-06-26,1,psiphon
0,0,0,1,2022-06-27,1,psiphon
0,0,0,1,2022-06-28,1,psiphon
0,0,0,5,2022-06-29,5,psiphon
0,0,0,4,2022-06-30,4,psiphon
0,0,0,6,2022-07-01,6,psiphon
0,0,0,6,2022-07-02,6,psiphon
0,0,0,4,2022-07-03,4,psiphon
0,0,0,6,2022-07-04,6,psiphon
0,0,0,7,2022-07-05,7,psiphon
0,0,0,2,2022-07-06,2,psiphon
0,0,0,10,2022-07-07,10,psiphon
0,0,0,4,2022-07-08,4,psiphon
0,0,0,6,2022-07-09,6,psiphon
0,0,0,14,2022-07-10,14,psiphon
0,0,0,7,2022-07-13,7,psiphon
0,0,0,5,2022-07-14,5,psiphon
0,0,0,6,2022-07-15,6,psiphon
0,0,0,16,2022-07-16,16,psiphon
0,0,0,6,2022-07-17,6,psiphon
0,0,0,19,2022-07-18,19,psiphon
0,0,0,18,2022-07-19,18,psiphon
0,0,0,3,2022-07-20,3,psiphon
0,0,0,1,2022-07-21,1,psiphon
0,0,0,3,2022-07-22,3,psiphon
0,0,0,20,2022-07-23,20,psiphon
0,0,0,4,2022-07-24,4,psiphon
0,0,0,6,2022-07-25,6,psiphon
0,0,0,8,2022-07-26,8,psiphon
0,0,0,3,2022-07-27,3,psiphon
0,0,0,10,2022-07-29,10,psiphon
0,0,0,13,2022-07-30,13,psiphon
0,0,0,1,2022-07-31,1,psiphon
0,0,0,2,2022-08-02,2,psiphon
0,0,0,7,2022-08-03,7,psiphon
0,0,0,6,2022-08-04,6,psiphon
0,0,0,3,2022-08-05,3,psiphon
0,0,0,9,2022-08-06,9,psiphon
0,0,0,14,2022-08-09,14,psiphon
0,0,0,8,2022-08-10,8,psiphon
0,0,0,5,2022-08-11,5,psiphon
0,0,0,22,2022-08-12,22,psiphon
0,0,0,8,2022-08-13,8,psiphon
0,0,0,9,2022-08-14,9,psiphon
0,0,0,39,2022-08-15,39,psiphon
0,0,0,17,2022-08-16,17,psiphon
0,0,0,12,2022-08-18,12,psiphon
0,0,0,17,2022-08-19,17,psiphon
