anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,51,2022-01-01,51,psiphon
2,0,0,40,2022-01-02,38,psiphon
0,0,0,44,2022-01-03,44,psiphon
0,0,0,45,2022-01-04,45,psiphon
0,0,0,72,2022-01-05,72,psiphon
0,0,0,81,2022-01-06,81,psiphon
0,0,0,95,2022-01-07,95,psiphon
1,0,0,95,2022-01-08,94,psiphon
0,0,0,99,2022-01-09,99,psiphon
0,0,0,96,2022-01-10,96,psiphon
0,0,0,83,2022-01-11,83,psiphon
3,0,0,113,2022-01-12,110,psiphon
4,0,0,61,2022-01-13,57,psiphon
0,0,0,60,2022-01-14,60,psiphon
0,0,0,118,2022-01-15,118,psiphon
0,0,0,116,2022-01-16,116,psiphon
0,0,0,81,2022-01-17,81,psiphon
0,0,0,46,2022-01-18,46,psiphon
0,0,0,57,2022-01-19,57,psiphon
0,0,0,86,2022-01-20,86,psiphon
0,0,0,100,2022-01-21,100,psiphon
0,0,0,65,2022-01-22,65,psiphon
0,0,0,68,2022-01-23,68,psiphon
0,0,0,99,2022-01-24,99,psiphon
0,0,0,65,2022-01-25,65,psiphon
0,0,0,57,2022-01-26,57,psiphon
0,0,0,78,2022-01-27,78,psiphon
0,0,0,66,2022-01-28,66,psiphon
0,0,0,38,2022-01-29,38,psiphon
0,0,0,26,2022-01-30,26,psiphon
1,0,0,40,2022-01-31,39,psiphon
0,0,0,61,2022-02-01,61,psiphon
0,0,0,34,2022-02-02,34,psiphon
0,0,0,44,2022-02-03,44,psiphon
0,0,0,48,2022-02-04,48,psiphon
1,0,0,18,2022-02-05,17,psiphon
0,0,0,37,2022-02-06,37,psiphon
0,0,0,36,2022-02-07,36,psiphon
0,0,0,64,2022-02-08,64,psiphon
0,0,0,44,2022-02-09,44,psiphon
0,0,0,44,2022-02-10,44,psiphon
2,0,0,97,2022-02-11,95,psiphon
0,0,0,90,2022-02-12,90,psiphon
0,0,0,86,2022-02-13,86,psiphon
0,0,0,46,2022-02-14,46,psiphon
0,0,0,50,2022-02-15,50,psiphon
0,0,0,58,2022-02-16,58,psiphon
1,0,0,54,2022-02-17,53,psiphon
0,0,0,52,2022-02-18,52,psiphon
0,0,0,68,2022-02-19,68,psiphon
1,0,0,79,2022-02-20,78,psiphon
0,0,0,74,2022-02-21,74,psiphon
2,0,0,72,2022-02-22,70,psiphon
0,0,0,60,2022-02-23,60,psiphon
0,0,0,53,2022-02-24,53,psiphon
1,0,0,65,2022-02-25,64,psiphon
2,0,0,85,2022-02-26,83,psiphon
0,0,0,66,2022-02-27,66,psiphon
1,0,0,69,2022-02-28,68,psiphon
0,0,0,66,2022-03-01,66,psiphon
0,0,0,66,2022-03-02,66,psiphon
0,0,0,47,2022-03-03,47,psiphon
1,0,0,63,2022-03-04,62,psiphon
0,0,0,41,2022-03-05,41,psiphon
0,0,0,60,2022-03-06,60,psiphon
1,0,0,76,2022-03-07,75,psiphon
1,0,0,83,2022-03-08,82,psiphon
