anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-02-18,1,psiphon
0,0,0,3,2022-08-02,3,psiphon
0,0,0,1,2022-09-02,1,psiphon
0,0,0,1,2022-09-08,1,psiphon
0,0,0,2,2022-09-21,2,psiphon
0,0,0,1,2022-09-26,1,psiphon
0,0,0,1,2022-11-25,1,psiphon
0,0,0,1,2022-12-02,1,psiphon
0,0,0,1,2022-12-17,1,psiphon
0,0,0,1,2022-12-23,1,psiphon
0,0,12,12,2022-02-18,0,stunreachability
0,0,0,36,2022-08-02,36,stunreachability
0,0,0,12,2022-09-02,12,stunreachability
0,0,0,12,2022-09-08,12,stunreachability
0,0,0,12,2022-09-21,12,stunreachability
0,0,0,12,2022-09-26,12,stunreachability
1,0,0,12,2022-11-25,11,stunreachability
1,0,0,12,2022-12-02,11,stunreachability
1,0,0,12,2022-12-17,11,stunreachability
1,0,0,12,2022-12-23,11,stunreachability
0,0,0,1,2022-02-18,1,tor
0,0,0,3,2022-08-02,3,tor
0,0,0,1,2022-09-02,1,tor
0,0,0,1,2022-09-08,1,tor
0,0,0,2,2022-09-21,2,tor
0,0,0,1,2022-09-26,1,tor
0,0,0,1,2022-11-25,1,tor
0,0,0,1,2022-12-02,1,tor
0,0,0,1,2022-12-17,1,tor
0,0,0,1,2022-12-23,1,tor
0,0,0,2,2022-08-02,2,torsf
0,0,0,1,2022-09-08,1,torsf
0,0,0,1,2022-09-26,1,torsf
