anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,24,2022-01-01,24,psiphon
0,0,0,32,2022-01-02,32,psiphon
0,0,0,42,2022-01-03,42,psiphon
0,0,0,21,2022-01-04,21,psiphon
2,0,0,38,2022-01-05,36,psiphon
0,0,0,41,2022-01-06,41,psiphon
0,0,0,24,2022-01-07,24,psiphon
0,0,0,36,2022-01-08,36,psiphon
0,0,0,67,2022-01-09,67,psiphon
2,0,0,66,2022-01-10,64,psiphon
1,0,0,61,2022-01-11,60,psiphon
0,0,0,65,2022-01-12,65,psiphon
1,0,0,55,2022-01-13,54,psiphon
1,0,0,51,2022-01-14,50,psiphon
0,0,0,67,2022-01-15,67,psiphon
0,0,0,69,2022-01-16,69,psiphon
0,0,0,66,2022-01-17,66,psiphon
0,0,0,52,2022-01-18,52,psiphon
0,0,0,73,2022-01-19,73,psiphon
0,0,0,76,2022-01-20,76,psiphon
0,0,0,69,2022-01-21,69,psiphon
0,0,0,65,2022-01-22,65,psiphon
1,0,0,73,2022-01-23,72,psiphon
0,0,0,83,2022-01-24,83,psiphon
7,0,0,83,2022-01-25,76,psiphon
0,0,0,65,2022-01-26,65,psiphon
0,0,0,59,2022-01-27,59,psiphon
1,0,0,47,2022-01-28,46,psiphon
0,0,0,60,2022-01-29,60,psiphon
3,0,0,50,2022-01-30,47,psiphon
2,0,0,65,2022-01-31,63,psiphon
0,0,0,69,2022-02-01,69,psiphon
0,0,0,81,2022-02-02,81,psiphon
1,0,0,64,2022-02-03,63,psiphon
0,0,0,49,2022-02-04,49,psiphon
2,0,0,79,2022-02-05,77,psiphon
2,0,0,77,2022-02-06,75,psiphon
1,0,0,92,2022-02-07,91,psiphon
1,0,0,79,2022-02-08,78,psiphon
0,0,0,76,2022-02-09,76,psiphon
1,0,0,111,2022-02-10,110,psiphon
0,0,0,79,2022-02-11,79,psiphon
0,0,0,97,2022-02-12,97,psiphon
1,0,0,95,2022-02-13,94,psiphon
0,0,0,90,2022-02-14,90,psiphon
0,0,0,65,2022-02-15,65,psiphon
1,0,0,57,2022-02-16,56,psiphon
1,0,0,64,2022-02-17,63,psiphon
2,0,0,58,2022-02-18,56,psiphon
0,0,0,57,2022-02-19,57,psiphon
0,0,0,65,2022-02-20,65,psiphon
0,0,0,59,2022-02-21,59,psiphon
1,0,0,74,2022-02-22,73,psiphon
0,0,0,76,2022-02-23,76,psiphon
0,0,0,52,2022-02-24,52,psiphon
0,0,0,63,2022-02-25,63,psiphon
0,0,0,70,2022-02-26,70,psiphon
4,0,0,83,2022-02-27,79,psiphon
0,0,0,62,2022-02-28,62,psiphon
0,0,0,81,2022-03-01,81,psiphon
2,0,0,80,2022-03-02,78,psiphon
2,0,0,89,2022-03-03,87,psiphon
1,0,0,101,2022-03-04,100,psiphon
2,0,0,110,2022-03-05,108,psiphon
1,0,0,104,2022-03-06,103,psiphon
0,0,0,90,2022-03-07,90,psiphon
0,0,0,73,2022-03-08,73,psiphon
0,0,0,48,2022-03-09,48,psiphon
2,0,0,103,2022-03-10,101,psiphon
0,0,0,112,2022-03-11,112,psiphon
0,0,0,99,2022-03-12,99,psiphon
0,0,0,69,2022-03-13,69,psiphon
0,0,0,96,2022-03-14,96,psiphon
1,0,0,98,2022-03-15,97,psiphon
1,0,0,84,2022-03-16,83,psiphon
0,0,0,68,2022-03-17,68,psiphon
3,0,0,101,2022-03-18,98,psiphon
2,0,0,81,2022-03-19,79,psiphon
1,0,0,107,2022-03-20,106,psiphon
0,0,0,110,2022-03-21,110,psiphon
0,0,0,113,2022-03-22,113,psiphon
1,0,0,111,2022-03-23,110,psiphon
0,0,0,111,2022-03-24,111,psiphon
2,0,0,118,2022-03-25,116,psiphon
0,0,0,113,2022-03-26,113,psiphon
2,0,0,111,2022-03-27,109,psiphon
0,0,0,107,2022-03-28,107,psiphon
0,0,0,121,2022-03-29,121,psiphon
0,0,0,116,2022-03-30,116,psiphon
0,0,0,95,2022-03-31,95,psiphon
0,0,0,82,2022-04-01,82,psiphon
0,0,0,81,2022-04-02,81,psiphon
0,0,0,119,2022-04-03,119,psiphon
0,0,0,91,2022-04-04,91,psiphon
0,0,0,92,2022-04-05,92,psiphon
0,0,0,80,2022-04-06,80,psiphon
0,0,0,103,2022-04-07,103,psiphon
0,0,0,108,2022-04-08,108,psiphon
0,0,0,65,2022-04-09,65,psiphon
0,0,0,61,2022-04-10,61,psiphon
0,0,0,71,2022-04-11,71,psiphon
0,0,0,99,2022-04-12,99,psiphon
0,0,0,102,2022-04-13,102,psiphon
1,0,0,101,2022-04-14,100,psiphon
1,0,0,93,2022-04-15,92,psiphon
0,0,0,97,2022-04-16,97,psiphon
0,0,0,91,2022-04-17,91,psiphon
0,0,0,85,2022-04-18,85,psiphon
0,0,0,75,2022-04-19,75,psiphon
0,0,0,61,2022-04-20,61,psiphon
0,0,0,86,2022-04-21,86,psiphon
0,0,0,76,2022-04-22,76,psiphon
0,0,0,89,2022-04-23,89,psiphon
0,0,0,123,2022-04-24,123,psiphon
0,0,0,109,2022-04-25,109,psiphon
1,0,0,107,2022-04-26,106,psiphon
0,0,0,154,2022-04-27,154,psiphon
0,0,0,135,2022-04-28,135,psiphon
2,0,0,120,2022-04-29,118,psiphon
0,0,0,145,2022-04-30,145,psiphon
5,0,0,141,2022-05-01,136,psiphon
1,0,0,147,2022-05-02,146,psiphon
1,0,0,133,2022-05-03,132,psiphon
0,0,0,119,2022-05-04,119,psiphon
0,0,0,133,2022-05-05,133,psiphon
0,0,0,138,2022-05-06,138,psiphon
0,0,0,143,2022-05-07,143,psiphon
0,0,0,106,2022-05-08,106,psiphon
1,0,0,113,2022-05-09,112,psiphon
0,0,0,123,2022-05-10,123,psiphon
0,0,0,117,2022-05-11,117,psiphon
0,0,0,117,2022-05-12,117,psiphon
2,0,0,114,2022-05-13,112,psiphon
0,0,0,101,2022-05-14,101,psiphon
0,0,0,77,2022-05-15,77,psiphon
0,0,0,127,2022-05-16,127,psiphon
1,0,0,115,2022-05-17,114,psiphon
0,0,0,159,2022-05-18,159,psiphon
0,0,0,141,2022-05-19,141,psiphon
0,0,0,123,2022-05-20,123,psiphon
0,0,0,170,2022-05-21,170,psiphon
0,0,0,126,2022-05-22,126,psiphon
0,0,0,152,2022-05-23,152,psiphon
0,0,0,171,2022-05-24,171,psiphon
0,0,0,144,2022-05-25,144,psiphon
0,0,0,140,2022-05-26,140,psiphon
0,0,0,112,2022-05-27,112,psiphon
0,0,0,113,2022-05-28,113,psiphon
1,0,0,129,2022-05-29,128,psiphon
0,0,0,108,2022-05-30,108,psiphon
0,0,0,108,2022-05-31,108,psiphon
0,0,0,83,2022-06-01,83,psiphon
0,0,0,119,2022-06-02,119,psiphon
0,0,0,98,2022-06-03,98,psiphon
1,0,0,105,2022-06-04,104,psiphon
0,0,0,110,2022-06-05,110,psiphon
0,0,0,137,2022-06-06,137,psiphon
1,0,0,116,2022-06-07,115,psiphon
0,0,0,91,2022-06-08,91,psiphon
0,0,0,111,2022-06-09,111,psiphon
0,0,0,120,2022-06-10,120,psiphon
1,0,0,125,2022-06-11,124,psiphon
0,0,0,92,2022-06-12,92,psiphon
2,0,0,100,2022-06-13,98,psiphon
0,0,0,119,2022-06-14,119,psiphon
0,0,0,104,2022-06-15,104,psiphon
0,0,0,118,2022-06-16,118,psiphon
2,0,0,108,2022-06-17,106,psiphon
0,0,0,142,2022-06-18,142,psiphon
2,0,0,141,2022-06-19,139,psiphon
1,0,0,117,2022-06-20,116,psiphon
0,0,0,107,2022-06-21,107,psiphon
0,0,0,114,2022-06-22,114,psiphon
0,0,0,122,2022-06-23,122,psiphon
0,0,0,124,2022-06-24,124,psiphon
0,0,0,155,2022-06-25,155,psiphon
1,0,0,148,2022-06-26,147,psiphon
0,0,0,134,2022-06-27,134,psiphon
0,0,0,142,2022-06-28,142,psiphon
0,0,0,113,2022-06-29,113,psiphon
0,0,0,119,2022-06-30,119,psiphon
1,0,0,113,2022-07-01,112,psiphon
0,0,0,120,2022-07-02,120,psiphon
0,0,0,112,2022-07-03,112,psiphon
0,0,0,129,2022-07-04,129,psiphon
1,0,0,133,2022-07-05,132,psiphon
1,0,0,148,2022-07-06,147,psiphon
1,0,0,141,2022-07-07,140,psiphon
1,0,0,159,2022-07-08,158,psiphon
0,0,0,138,2022-07-09,138,psiphon
0,0,0,149,2022-07-10,149,psiphon
0,0,0,134,2022-07-11,134,psiphon
0,0,0,156,2022-07-12,156,psiphon
0,0,0,127,2022-07-13,127,psiphon
0,0,0,116,2022-07-14,116,psiphon
0,0,0,108,2022-07-15,108,psiphon
0,0,0,105,2022-07-16,105,psiphon
1,0,0,102,2022-07-17,101,psiphon
0,0,0,106,2022-07-18,106,psiphon
0,0,0,100,2022-07-19,100,psiphon
3,0,0,108,2022-07-20,105,psiphon
1,0,0,80,2022-07-21,79,psiphon
0,0,0,97,2022-07-22,97,psiphon
1,0,0,92,2022-07-23,91,psiphon
1,0,0,101,2022-07-24,100,psiphon
2,0,0,68,2022-07-25,66,psiphon
2,0,0,74,2022-07-26,72,psiphon
0,0,0,64,2022-07-27,64,psiphon
1,0,0,118,2022-07-28,117,psiphon
0,0,0,90,2022-07-29,90,psiphon
0,0,0,89,2022-07-30,89,psiphon
0,0,0,71,2022-07-31,71,psiphon
0,0,0,82,2022-08-01,82,psiphon
0,0,0,113,2022-08-02,113,psiphon
0,0,0,96,2022-08-03,96,psiphon
1,0,0,110,2022-08-04,109,psiphon
0,0,0,93,2022-08-05,93,psiphon
0,0,0,68,2022-08-06,68,psiphon
2,0,0,71,2022-08-07,69,psiphon
1,0,0,71,2022-08-08,70,psiphon
2,0,0,102,2022-08-09,100,psiphon
2,0,0,95,2022-08-10,93,psiphon
2,0,0,104,2022-08-11,102,psiphon
0,0,0,101,2022-08-12,101,psiphon
0,0,0,128,2022-08-13,128,psiphon
1,0,0,83,2022-08-14,82,psiphon
0,0,0,96,2022-08-15,96,psiphon
0,0,0,74,2022-08-16,74,psiphon
0,0,0,84,2022-08-17,84,psiphon
2,0,0,102,2022-08-18,100,psiphon
1,0,0,60,2022-08-19,59,psiphon
0,0,0,47,2022-08-20,47,psiphon
0,0,0,63,2022-08-21,63,psiphon
0,0,0,40,2022-08-22,40,psiphon
3,0,0,74,2022-08-23,71,psiphon
1,0,0,72,2022-08-24,71,psiphon
0,0,0,59,2022-08-25,59,psiphon
2,0,0,59,2022-08-26,57,psiphon
0,0,0,70,2022-08-27,70,psiphon
1,0,0,84,2022-08-28,83,psiphon
0,0,0,55,2022-08-29,55,psiphon
0,0,0,62,2022-08-30,62,psiphon
0,0,0,59,2022-08-31,59,psiphon
0,0,0,88,2022-09-01,88,psiphon
0,0,0,75,2022-09-02,75,psiphon
0,0,0,72,2022-09-03,72,psiphon
1,0,0,48,2022-09-04,47,psiphon
0,0,0,33,2022-09-05,33,psiphon
0,0,0,34,2022-09-06,34,psiphon
0,0,0,26,2022-09-07,26,psiphon
2,0,0,52,2022-09-08,50,psiphon
1,0,0,38,2022-09-09,37,psiphon
13,0,0,47,2022-09-10,34,psiphon
21,0,0,41,2022-09-11,20,psiphon
21,0,0,75,2022-09-12,54,psiphon
20,0,0,69,2022-09-13,49,psiphon
21,0,0,74,2022-09-14,53,psiphon
22,0,0,110,2022-09-15,88,psiphon
21,0,0,104,2022-09-16,83,psiphon
22,0,0,47,2022-09-17,25,psiphon
23,0,0,79,2022-09-18,56,psiphon
20,0,0,75,2022-09-19,55,psiphon
24,0,0,79,2022-09-20,55,psiphon
21,0,0,107,2022-09-21,86,psiphon
21,0,0,88,2022-09-22,67,psiphon
21,0,0,77,2022-09-23,56,psiphon
19,0,0,73,2022-09-24,54,psiphon
21,0,0,71,2022-09-25,50,psiphon
22,0,0,66,2022-09-26,44,psiphon
21,0,0,76,2022-09-27,55,psiphon
20,0,0,56,2022-09-28,36,psiphon
21,0,0,59,2022-09-29,38,psiphon
21,0,0,57,2022-09-30,36,psiphon
20,0,0,55,2022-10-01,35,psiphon
21,0,0,44,2022-10-02,23,psiphon
21,0,0,51,2022-10-03,30,psiphon
20,0,0,58,2022-10-04,38,psiphon
22,0,0,62,2022-10-05,40,psiphon
21,0,0,59,2022-10-06,38,psiphon
21,0,0,57,2022-10-07,36,psiphon
21,0,0,100,2022-10-08,79,psiphon
21,0,0,78,2022-10-09,57,psiphon
23,0,0,87,2022-10-10,64,psiphon
21,0,0,78,2022-10-11,57,psiphon
19,0,0,57,2022-10-12,38,psiphon
21,0,0,82,2022-10-13,61,psiphon
21,0,0,65,2022-10-14,44,psiphon
21,0,0,65,2022-10-15,44,psiphon
21,0,0,66,2022-10-16,45,psiphon
21,0,0,83,2022-10-17,62,psiphon
21,0,0,57,2022-10-18,36,psiphon
23,0,0,52,2022-10-19,29,psiphon
22,0,0,67,2022-10-20,45,psiphon
21,0,0,59,2022-10-21,38,psiphon
22,0,0,71,2022-10-22,49,psiphon
20,0,0,66,2022-10-23,46,psiphon
21,0,0,111,2022-10-24,90,psiphon
20,0,0,92,2022-10-25,72,psiphon
21,0,0,104,2022-10-26,83,psiphon
21,0,0,92,2022-10-27,71,psiphon
21,0,0,82,2022-10-28,61,psiphon
21,0,0,88,2022-10-29,67,psiphon
20,0,0,79,2022-10-30,59,psiphon
20,0,0,82,2022-10-31,62,psiphon
21,0,0,99,2022-11-01,78,psiphon
20,0,0,94,2022-11-02,74,psiphon
20,0,0,81,2022-11-03,61,psiphon
20,0,0,72,2022-11-04,52,psiphon
21,0,0,78,2022-11-05,57,psiphon
21,0,0,72,2022-11-06,51,psiphon
21,0,0,79,2022-11-07,58,psiphon
19,0,0,92,2022-11-08,73,psiphon
21,0,0,98,2022-11-09,77,psiphon
19,0,0,75,2022-11-10,56,psiphon
21,0,0,82,2022-11-11,61,psiphon
19,0,0,81,2022-11-12,62,psiphon
20,0,0,98,2022-11-13,78,psiphon
21,0,0,92,2022-11-14,71,psiphon
20,0,0,68,2022-11-15,48,psiphon
20,0,0,104,2022-11-16,84,psiphon
19,0,0,96,2022-11-17,77,psiphon
21,0,0,108,2022-11-18,87,psiphon
21,0,0,81,2022-11-19,60,psiphon
23,0,0,88,2022-11-20,65,psiphon
20,0,0,81,2022-11-21,61,psiphon
20,0,0,93,2022-11-22,73,psiphon
21,0,0,88,2022-11-23,67,psiphon
20,0,0,87,2022-11-24,67,psiphon
22,0,0,89,2022-11-25,67,psiphon
20,0,0,92,2022-11-26,72,psiphon
20,0,0,90,2022-11-27,70,psiphon
21,0,0,96,2022-11-28,75,psiphon
20,0,0,68,2022-11-29,48,psiphon
21,0,0,86,2022-11-30,65,psiphon
20,0,0,78,2022-12-01,58,psiphon
20,0,0,71,2022-12-02,51,psiphon
21,0,0,79,2022-12-03,58,psiphon
20,0,0,91,2022-12-04,71,psiphon
21,0,0,78,2022-12-05,57,psiphon
21,0,0,61,2022-12-06,40,psiphon
23,0,0,78,2022-12-07,55,psiphon
22,0,0,71,2022-12-08,49,psiphon
20,0,0,42,2022-12-09,22,psiphon
21,0,0,36,2022-12-10,15,psiphon
21,0,0,42,2022-12-11,21,psiphon
20,0,0,45,2022-12-12,25,psiphon
21,0,0,39,2022-12-13,18,psiphon
21,0,0,36,2022-12-14,15,psiphon
21,0,0,32,2022-12-15,11,psiphon
20,0,0,36,2022-12-16,16,psiphon
20,0,0,30,2022-12-17,10,psiphon
21,0,0,38,2022-12-18,17,psiphon
21,0,0,44,2022-12-19,23,psiphon
20,0,0,53,2022-12-20,33,psiphon
20,0,0,44,2022-12-21,24,psiphon
19,0,0,42,2022-12-22,23,psiphon
20,0,0,34,2022-12-23,14,psiphon
20,0,0,47,2022-12-24,27,psiphon
19,0,0,37,2022-12-25,18,psiphon
20,0,0,46,2022-12-26,26,psiphon
