anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-01,1,psiphon
0,0,0,2,2022-01-02,2,psiphon
0,0,0,2,2022-01-17,2,psiphon
0,0,0,4,2022-01-18,4,psiphon
0,0,0,1,2022-01-20,1,psiphon
0,0,0,25,2022-01-21,25,psiphon
0,0,0,8,2022-01-22,8,psiphon
0,0,0,8,2022-01-23,8,psiphon
0,0,0,3,2022-01-24,3,psiphon
0,0,0,4,2022-01-25,4,psiphon
0,0,0,2,2022-02-04,2,psiphon
0,0,0,6,2022-02-05,6,psiphon
0,0,0,7,2022-02-07,7,psiphon
0,0,0,1,2022-02-09,1,psiphon
0,0,0,4,2022-02-11,4,psiphon
0,0,0,2,2022-02-14,2,psiphon
0,0,0,1,2022-02-15,1,psiphon
0,0,0,1,2022-02-16,1,psiphon
0,0,0,2,2022-02-17,2,psiphon
0,0,0,1,2022-02-18,1,psiphon
0,0,0,1,2022-02-19,1,psiphon
0,0,0,2,2022-02-20,2,psiphon
0,0,0,2,2022-02-21,2,psiphon
0,0,0,4,2022-02-22,4,psiphon
0,0,0,55,2022-02-23,55,psiphon
2,0,0,394,2022-02-24,392,psiphon
0,0,0,11,2022-02-25,11,psiphon
0,0,0,5,2022-02-26,5,psiphon
0,0,0,7,2022-02-27,7,psiphon
0,0,0,5,2022-02-28,5,psiphon
0,0,0,6,2022-03-01,6,psiphon
0,0,0,7,2022-03-02,7,psiphon
0,0,0,10,2022-03-03,10,psiphon
0,0,0,6,2022-03-04,6,psiphon
0,0,0,12,2022-03-05,12,psiphon
0,0,0,7,2022-03-06,7,psiphon
0,0,0,6,2022-03-07,6,psiphon
0,0,0,7,2022-03-08,7,psiphon
0,0,0,5,2022-03-09,5,psiphon
1,0,0,6,2022-03-10,5,psiphon
0,0,0,5,2022-03-11,5,psiphon
0,0,0,4,2022-03-12,4,psiphon
0,0,0,4,2022-03-13,4,psiphon
0,0,0,4,2022-03-14,4,psiphon
0,0,0,4,2022-03-15,4,psiphon
0,0,0,4,2022-03-16,4,psiphon
0,0,0,4,2022-03-17,4,psiphon
0,0,0,5,2022-03-18,5,psiphon
0,0,0,4,2022-03-19,4,psiphon
0,0,0,4,2022-03-20,4,psiphon
0,0,0,4,2022-03-21,4,psiphon
0,0,0,4,2022-03-22,4,psiphon
0,0,0,4,2022-03-23,4,psiphon
0,0,0,4,2022-03-24,4,psiphon
0,0,0,5,2022-03-25,5,psiphon
0,0,0,5,2022-03-26,5,psiphon
0,0,0,5,2022-03-27,5,psiphon
0,0,0,5,2022-03-28,5,psiphon
0,0,0,17,2022-03-29,17,psiphon
0,0,0,10,2022-03-30,10,psiphon
0,0,0,6,2022-03-31,6,psiphon
0,0,0,5,2022-04-01,5,psiphon
0,0,0,4,2022-04-02,4,psiphon
0,0,0,15,2022-04-03,15,psiphon
0,0,0,5,2022-04-04,5,psiphon
0,0,0,4,2022-04-05,4,psiphon
0,0,0,5,2022-04-06,5,psiphon
0,0,0,6,2022-04-07,6,psiphon
0,0,0,5,2022-04-08,5,psiphon
0,0,0,14,2022-04-09,14,psiphon
0,0,0,5,2022-04-10,5,psiphon
0,0,0,5,2022-04-11,5,psiphon
0,0,0,8,2022-04-12,8,psiphon
0,0,0,4,2022-04-13,4,psiphon
0,0,0,5,2022-04-14,5,psiphon
0,0,0,7,2022-04-15,7,psiphon
0,0,0,1,2022-04-16,1,psiphon
0,0,0,1,2022-04-17,1,psiphon
0,0,0,6,2022-04-18,6,psiphon
0,0,0,9,2022-04-19,9,psiphon
0,0,0,15,2022-04-20,15,psiphon
0,0,0,3,2022-04-21,3,psiphon
0,0,0,7,2022-04-22,7,psiphon
0,0,0,5,2022-04-23,5,psiphon
0,0,0,5,2022-04-24,5,psiphon
0,0,0,7,2022-04-25,7,psiphon
0,0,0,2,2022-04-26,2,psiphon
0,0,0,1,2022-04-27,1,psiphon
0,0,0,2,2022-04-28,2,psiphon
0,0,0,1,2022-04-29,1,psiphon
0,0,0,1,2022-04-30,1,psiphon
0,0,0,1,2022-05-01,1,psiphon
0,0,0,1,2022-05-02,1,psiphon
0,0,0,1,2022-05-03,1,psiphon
0,0,0,2,2022-05-04,2,psiphon
0,0,0,1,2022-05-05,1,psiphon
0,0,0,1,2022-05-06,1,psiphon
0,0,0,1,2022-05-07,1,psiphon
0,0,0,1,2022-05-08,1,psiphon
0,0,0,1,2022-05-09,1,psiphon
0,0,0,1,2022-05-10,1,psiphon
0,0,0,1,2022-05-11,1,psiphon
0,0,0,2,2022-05-13,2,psiphon
0,0,0,1,2022-05-14,1,psiphon
0,0,0,1,2022-05-15,1,psiphon
0,0,0,1,2022-05-16,1,psiphon
0,0,0,1,2022-05-17,1,psiphon
0,0,0,1,2022-05-18,1,psiphon
0,0,0,2,2022-05-19,2,psiphon
0,0,0,1,2022-05-20,1,psiphon
0,0,0,1,2022-05-21,1,psiphon
0,0,0,1,2022-05-22,1,psiphon
0,0,0,1,2022-05-23,1,psiphon
0,0,0,2,2022-05-24,2,psiphon
0,0,0,1,2022-05-25,1,psiphon
0,0,0,1,2022-05-27,1,psiphon
0,0,0,2,2022-05-28,2,psiphon
0,0,0,1,2022-05-29,1,psiphon
0,0,0,1,2022-05-30,1,psiphon
0,0,0,2,2022-05-31,2,psiphon
0,0,0,1,2022-06-01,1,psiphon
0,0,0,1,2022-06-02,1,psiphon
0,0,0,1,2022-06-03,1,psiphon
0,0,0,1,2022-06-04,1,psiphon
0,0,0,1,2022-06-06,1,psiphon
0,0,0,1,2022-06-07,1,psiphon
0,0,0,1,2022-06-08,1,psiphon
0,0,0,1,2022-06-09,1,psiphon
0,0,0,1,2022-06-10,1,psiphon
0,0,0,1,2022-06-11,1,psiphon
0,0,0,1,2022-06-12,1,psiphon
0,0,0,1,2022-06-13,1,psiphon
0,0,0,1,2022-06-14,1,psiphon
0,0,0,1,2022-06-15,1,psiphon
0,0,0,2,2022-06-16,2,psiphon
0,0,0,1,2022-06-17,1,psiphon
0,0,0,2,2022-06-18,2,psiphon
0,0,0,1,2022-06-19,1,psiphon
0,0,0,1,2022-06-20,1,psiphon
0,0,0,1,2022-06-21,1,psiphon
0,0,0,1,2022-06-22,1,psiphon
0,0,0,1,2022-06-23,1,psiphon
0,0,0,1,2022-06-24,1,psiphon
0,0,0,1,2022-06-25,1,psiphon
0,0,0,1,2022-06-26,1,psiphon
0,0,0,1,2022-06-27,1,psiphon
