anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-11,1,psiphon
0,0,0,1,2022-01-20,1,psiphon
0,0,0,1,2022-01-21,1,psiphon
0,0,0,1,2022-01-27,1,psiphon
0,0,0,1,2022-01-31,1,psiphon
0,0,0,1,2022-02-02,1,psiphon
0,0,0,3,2022-02-07,3,psiphon
0,0,0,1,2022-02-08,1,psiphon
0,0,0,2,2022-02-17,2,psiphon
0,0,0,2,2022-02-21,2,psiphon
0,0,0,1,2022-02-28,1,psiphon
0,0,0,4,2022-03-01,4,psiphon
1,0,0,16,2022-03-02,15,psiphon
0,0,0,13,2022-03-03,13,psiphon
1,0,0,22,2022-03-04,21,psiphon
1,0,0,9,2022-03-05,8,psiphon
0,0,0,6,2022-03-06,6,psiphon
0,0,0,3,2022-03-07,3,psiphon
0,0,0,2,2022-03-08,2,psiphon
0,0,0,10,2022-03-09,10,psiphon
1,0,0,18,2022-03-10,17,psiphon
0,0,0,24,2022-03-11,24,psiphon
0,0,0,18,2022-03-12,18,psiphon
0,0,0,8,2022-03-13,8,psiphon
0,0,0,17,2022-03-14,17,psiphon
0,0,0,22,2022-03-15,22,psiphon
2,0,0,13,2022-03-16,11,psiphon
0,0,0,7,2022-03-17,7,psiphon
1,0,0,10,2022-03-18,9,psiphon
0,0,0,2,2022-03-19,2,psiphon
0,0,0,9,2022-03-20,9,psiphon
0,0,0,23,2022-03-21,23,psiphon
0,0,0,20,2022-03-22,20,psiphon
0,0,0,14,2022-03-23,14,psiphon
0,0,0,24,2022-03-24,24,psiphon
0,0,0,18,2022-03-25,18,psiphon
0,0,0,23,2022-03-26,23,psiphon
0,0,0,22,2022-03-27,22,psiphon
0,0,0,14,2022-03-28,14,psiphon
0,0,0,26,2022-03-29,26,psiphon
1,0,0,28,2022-03-30,27,psiphon
0,0,0,26,2022-03-31,26,psiphon
0,0,0,24,2022-04-01,24,psiphon
0,0,0,15,2022-04-02,15,psiphon
0,0,0,14,2022-04-03,14,psiphon
2,0,0,16,2022-04-04,14,psiphon
0,0,0,6,2022-04-05,6,psiphon
0,0,0,8,2022-04-06,8,psiphon
0,0,0,16,2022-04-07,16,psiphon
0,0,0,23,2022-04-08,23,psiphon
0,0,0,13,2022-04-09,13,psiphon
1,0,0,9,2022-04-10,8,psiphon
0,0,0,13,2022-04-11,13,psiphon
0,0,0,19,2022-04-12,19,psiphon
4,0,0,30,2022-04-13,26,psiphon
1,0,0,20,2022-04-14,19,psiphon
1,0,0,7,2022-04-15,6,psiphon
7,0,0,12,2022-04-16,5,psiphon
8,0,0,22,2022-04-17,14,psiphon
5,0,0,21,2022-04-18,16,psiphon
10,0,0,27,2022-04-19,17,psiphon
9,0,0,26,2022-04-20,17,psiphon
2,0,0,21,2022-04-21,19,psiphon
7,0,0,24,2022-04-22,17,psiphon
13,0,0,19,2022-04-23,6,psiphon
11,0,0,23,2022-04-24,12,psiphon
4,0,0,18,2022-04-25,14,psiphon
0,0,0,26,2022-04-26,26,psiphon
1,0,0,14,2022-04-27,13,psiphon
0,0,0,16,2022-04-28,16,psiphon
0,0,0,19,2022-04-29,19,psiphon
0,0,0,18,2022-04-30,18,psiphon
0,0,0,8,2022-05-01,8,psiphon
0,0,0,12,2022-05-02,12,psiphon
0,0,0,16,2022-05-03,16,psiphon
0,0,0,15,2022-05-04,15,psiphon
0,0,0,15,2022-05-05,15,psiphon
0,0,0,23,2022-05-06,23,psiphon
0,0,0,3,2022-05-07,3,psiphon
0,0,0,11,2022-05-08,11,psiphon
0,0,0,15,2022-05-09,15,psiphon
0,0,0,15,2022-05-10,15,psiphon
1,0,0,4,2022-05-11,3,psiphon
0,0,0,9,2022-05-12,9,psiphon
0,0,0,18,2022-05-13,18,psiphon
0,0,0,4,2022-05-14,4,psiphon
1,0,0,14,2022-05-15,13,psiphon
0,0,0,12,2022-05-16,12,psiphon
0,0,0,8,2022-05-17,8,psiphon
0,0,0,11,2022-05-18,11,psiphon
0,0,0,2,2022-05-19,2,psiphon
0,0,0,5,2022-05-20,5,psiphon
0,0,0,3,2022-05-21,3,psiphon
0,0,0,3,2022-05-22,3,psiphon
0,0,0,2,2022-05-23,2,psiphon
0,0,0,10,2022-05-24,10,psiphon
0,0,0,7,2022-05-25,7,psiphon
0,0,0,2,2022-05-26,2,psiphon
0,0,0,5,2022-05-27,5,psiphon
0,0,0,4,2022-05-28,4,psiphon
0,0,0,12,2022-05-29,12,psiphon
0,0,0,15,2022-05-30,15,psiphon
1,0,0,11,2022-05-31,10,psiphon
0,0,0,4,2022-06-01,4,psiphon
0,0,0,1,2022-06-02,1,psiphon
0,0,0,5,2022-06-03,5,psiphon
0,0,0,1,2022-06-04,1,psiphon
0,0,0,3,2022-06-05,3,psiphon
0,0,0,1,2022-06-06,1,psiphon
0,0,0,3,2022-06-07,3,psiphon
1,0,0,11,2022-06-08,10,psiphon
1,0,0,3,2022-06-09,2,psiphon
0,0,0,8,2022-06-10,8,psiphon
0,0,0,20,2022-06-11,20,psiphon
0,0,0,4,2022-06-12,4,psiphon
1,0,0,3,2022-06-13,2,psiphon
0,0,0,14,2022-06-14,14,psiphon
0,0,0,13,2022-06-15,13,psiphon
0,0,0,14,2022-06-16,14,psiphon
0,0,0,10,2022-06-17,10,psiphon
0,0,0,5,2022-06-18,5,psiphon
0,0,0,6,2022-06-19,6,psiphon
0,0,0,13,2022-06-20,13,psiphon
0,0,0,13,2022-06-21,13,psiphon
0,0,0,29,2022-06-22,29,psiphon
0,0,0,27,2022-06-23,27,psiphon
0,0,0,20,2022-06-24,20,psiphon
0,0,0,14,2022-06-25,14,psiphon
0,0,0,14,2022-06-26,14,psiphon
0,0,0,12,2022-06-27,12,psiphon
0,0,0,20,2022-06-28,20,psiphon
0,0,0,7,2022-06-30,7,psiphon
0,0,0,15,2022-07-01,15,psiphon
0,0,0,11,2022-07-02,11,psiphon
0,0,0,7,2022-07-03,7,psiphon
0,0,0,12,2022-07-04,12,psiphon
0,0,0,11,2022-07-05,11,psiphon
0,0,0,12,2022-07-06,12,psiphon
0,0,0,11,2022-07-07,11,psiphon
0,0,0,8,2022-07-08,8,psiphon
0,0,0,17,2022-07-09,17,psiphon
0,0,0,41,2022-07-10,41,psiphon
0,0,0,23,2022-07-11,23,psiphon
0,0,0,24,2022-07-12,24,psiphon
0,0,0,20,2022-07-13,20,psiphon
0,0,0,20,2022-07-14,20,psiphon
0,0,0,13,2022-07-15,13,psiphon
0,0,0,31,2022-07-16,31,psiphon
0,0,0,33,2022-07-17,33,psiphon
0,0,0,26,2022-07-18,26,psiphon
0,0,0,24,2022-07-19,24,psiphon
0,0,0,22,2022-07-20,22,psiphon
0,0,0,42,2022-07-21,42,psiphon
0,0,0,35,2022-07-22,35,psiphon
0,0,0,33,2022-07-23,33,psiphon
0,0,0,32,2022-07-24,32,psiphon
0,0,0,17,2022-07-25,17,psiphon
0,0,0,18,2022-07-26,18,psiphon
0,0,0,22,2022-07-27,22,psiphon
0,0,0,20,2022-07-28,20,psiphon
0,0,0,13,2022-07-29,13,psiphon
0,0,0,21,2022-07-30,21,psiphon
0,0,0,27,2022-07-31,27,psiphon
0,0,0,4,2022-08-01,4,psiphon
0,0,0,2,2022-08-02,2,psiphon
0,0,0,3,2022-08-03,3,psiphon
0,0,0,3,2022-08-04,3,psiphon
0,0,0,4,2022-08-05,4,psiphon
0,0,0,2,2022-08-06,2,psiphon
0,0,0,6,2022-08-07,6,psiphon
0,0,0,2,2022-08-08,2,psiphon
0,0,0,3,2022-08-11,3,psiphon
0,0,0,2,2022-08-12,2,psiphon
0,0,0,8,2022-08-13,8,psiphon
0,0,0,5,2022-08-14,5,psiphon
0,0,0,6,2022-08-15,6,psiphon
0,0,0,6,2022-08-16,6,psiphon
0,0,0,2,2022-08-17,2,psiphon
0,0,0,2,2022-08-18,2,psiphon
0,0,0,4,2022-08-19,4,psiphon
0,0,0,12,2022-08-20,12,psiphon
0,0,0,6,2022-08-21,6,psiphon
0,0,0,2,2022-08-22,2,psiphon
0,0,0,4,2022-08-23,4,psiphon
0,0,0,4,2022-08-24,4,psiphon
0,0,0,2,2022-08-25,2,psiphon
0,0,0,2,2022-08-26,2,psiphon
0,0,0,2,2022-08-27,2,psiphon
0,0,0,1,2022-08-28,1,psiphon
0,0,0,2,2022-08-29,2,psiphon
0,0,0,6,2022-08-30,6,psiphon
0,0,0,10,2022-08-31,10,psiphon
0,0,0,1,2022-09-01,1,psiphon
0,0,0,3,2022-09-02,3,psiphon
0,0,0,29,2022-09-03,29,psiphon
0,0,0,17,2022-09-04,17,psiphon
0,0,0,18,2022-09-05,18,psiphon
0,0,0,10,2022-09-06,10,psiphon
0,0,0,6,2022-09-07,6,psiphon
0,0,0,1,2022-09-08,1,psiphon
0,0,0,3,2022-09-09,3,psiphon
0,0,0,6,2022-09-10,6,psiphon
0,0,0,4,2022-09-11,4,psiphon
0,0,0,2,2022-09-12,2,psiphon
1,0,0,2,2022-09-13,1,psiphon
0,0,0,11,2022-09-14,11,psiphon
0,0,0,7,2022-09-15,7,psiphon
0,0,0,3,2022-09-16,3,psiphon
0,0,0,3,2022-09-17,3,psiphon
0,0,0,6,2022-09-18,6,psiphon
0,0,0,3,2022-09-19,3,psiphon
0,0,0,4,2022-09-20,4,psiphon
0,0,0,1,2022-09-21,1,psiphon
0,0,0,6,2022-09-22,6,psiphon
0,0,0,8,2022-09-23,8,psiphon
0,0,0,2,2022-09-24,2,psiphon
0,0,0,10,2022-09-25,10,psiphon
0,0,0,4,2022-09-26,4,psiphon
0,0,0,8,2022-09-27,8,psiphon
0,0,0,21,2022-09-28,21,psiphon
0,0,0,11,2022-09-29,11,psiphon
1,0,0,5,2022-09-30,4,psiphon
2,0,0,17,2022-10-01,15,psiphon
0,0,0,6,2022-10-02,6,psiphon
0,0,0,12,2022-10-03,12,psiphon
0,0,0,9,2022-10-04,9,psiphon
0,0,0,17,2022-10-05,17,psiphon
0,0,0,35,2022-10-06,35,psiphon
0,0,0,20,2022-10-07,20,psiphon
0,0,0,19,2022-10-08,19,psiphon
0,0,0,13,2022-10-09,13,psiphon
1,0,0,10,2022-10-10,9,psiphon
0,0,0,2,2022-10-11,2,psiphon
0,0,0,8,2022-10-12,8,psiphon
0,0,0,12,2022-10-13,12,psiphon
0,0,0,10,2022-10-14,10,psiphon
0,0,0,16,2022-10-15,16,psiphon
0,0,0,16,2022-10-16,16,psiphon
0,0,0,23,2022-10-17,23,psiphon
0,0,0,9,2022-10-18,9,psiphon
1,0,0,26,2022-10-19,25,psiphon
1,0,0,14,2022-10-20,13,psiphon
0,0,0,7,2022-10-21,7,psiphon
0,0,0,2,2022-10-22,2,psiphon
0,0,0,1,2022-10-23,1,psiphon
0,0,0,4,2022-10-24,4,psiphon
0,0,0,9,2022-10-25,9,psiphon
0,0,0,1,2022-10-26,1,psiphon
0,0,0,2,2022-10-27,2,psiphon
0,0,0,1,2022-10-28,1,psiphon
0,0,0,2,2022-10-29,2,psiphon
0,0,0,2,2022-10-30,2,psiphon
0,0,0,4,2022-10-31,4,psiphon
0,0,0,4,2022-11-01,4,psiphon
1,0,0,21,2022-11-02,20,psiphon
0,0,0,19,2022-11-03,19,psiphon
0,0,0,8,2022-11-04,8,psiphon
0,0,0,13,2022-11-05,13,psiphon
0,0,0,13,2022-11-06,13,psiphon
0,0,0,14,2022-11-07,14,psiphon
5,0,0,21,2022-11-08,16,psiphon
5,0,0,12,2022-11-09,7,psiphon
0,0,0,14,2022-11-10,14,psiphon
0,0,0,8,2022-11-11,8,psiphon
0,0,0,8,2022-11-12,8,psiphon
0,0,0,16,2022-11-13,16,psiphon
0,0,0,13,2022-11-14,13,psiphon
