anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,34,2022-01-01,34,psiphon
0,0,0,49,2022-01-02,49,psiphon
0,0,0,54,2022-01-03,54,psiphon
1,0,0,33,2022-01-04,32,psiphon
0,0,0,26,2022-01-05,26,psiphon
0,0,0,28,2022-01-06,28,psiphon
0,0,0,24,2022-01-07,24,psiphon
0,0,0,26,2022-01-08,26,psiphon
0,0,0,22,2022-01-09,22,psiphon
0,0,0,45,2022-01-10,45,psiphon
1,0,0,58,2022-01-11,57,psiphon
0,0,0,41,2022-01-12,41,psiphon
0,0,0,62,2022-01-13,62,psiphon
0,0,0,61,2022-01-14,61,psiphon
0,0,0,47,2022-01-15,47,psiphon
0,0,1,38,2022-01-16,37,psiphon
0,0,0,26,2022-01-17,26,psiphon
0,0,0,36,2022-01-18,36,psiphon
0,0,0,47,2022-01-19,47,psiphon
0,0,0,46,2022-01-20,46,psiphon
0,0,0,52,2022-01-21,52,psiphon
0,0,0,46,2022-01-22,46,psiphon
0,0,0,71,2022-01-23,71,psiphon
0,0,0,44,2022-01-24,44,psiphon
0,0,0,80,2022-01-25,80,psiphon
0,0,0,60,2022-01-26,60,psiphon
0,0,0,68,2022-01-27,68,psiphon
5,0,0,60,2022-01-28,55,psiphon
0,0,0,35,2022-01-29,35,psiphon
1,0,0,46,2022-01-30,45,psiphon
1,0,0,61,2022-01-31,60,psiphon
1,0,0,48,2022-02-01,47,psiphon
1,0,0,50,2022-02-02,49,psiphon
1,0,0,65,2022-02-03,64,psiphon
1,0,0,59,2022-02-04,58,psiphon
0,0,0,37,2022-02-05,37,psiphon
0,0,0,28,2022-02-06,28,psiphon
0,0,0,53,2022-02-07,53,psiphon
0,0,0,52,2022-02-08,52,psiphon
0,0,0,63,2022-02-09,63,psiphon
1,0,0,69,2022-02-10,68,psiphon
0,0,0,52,2022-02-11,52,psiphon
1,0,0,57,2022-02-12,56,psiphon
0,0,0,62,2022-02-13,62,psiphon
1,0,0,60,2022-02-14,59,psiphon
1,0,0,82,2022-02-15,81,psiphon
0,0,0,49,2022-02-16,49,psiphon
0,0,0,36,2022-02-17,36,psiphon
4,0,0,46,2022-02-18,42,psiphon
0,0,0,48,2022-02-19,48,psiphon
1,0,0,41,2022-02-20,40,psiphon
0,0,0,59,2022-02-21,59,psiphon
0,0,0,55,2022-02-22,55,psiphon
0,0,0,53,2022-02-23,53,psiphon
2,0,0,50,2022-02-24,48,psiphon
0,0,0,49,2022-02-25,49,psiphon
0,0,0,39,2022-02-26,39,psiphon
0,0,0,30,2022-02-27,30,psiphon
0,0,0,63,2022-02-28,63,psiphon
0,0,0,52,2022-03-01,52,psiphon
1,0,0,47,2022-03-02,46,psiphon
1,0,0,61,2022-03-03,60,psiphon
7,0,0,65,2022-03-04,58,psiphon
