anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
1,0,1,16,2022-01-01,14,psiphon
0,0,0,17,2022-01-02,17,psiphon
0,0,0,11,2022-01-03,11,psiphon
0,0,0,21,2022-01-04,21,psiphon
0,0,0,12,2022-01-05,12,psiphon
0,0,0,11,2022-01-06,11,psiphon
0,0,0,12,2022-01-07,12,psiphon
0,0,0,8,2022-01-08,8,psiphon
0,0,0,3,2022-01-09,3,psiphon
0,0,0,11,2022-01-10,11,psiphon
1,0,0,8,2022-01-11,7,psiphon
0,0,0,21,2022-01-12,21,psiphon
0,0,0,14,2022-01-13,14,psiphon
0,0,0,12,2022-01-14,12,psiphon
0,0,0,28,2022-01-15,28,psiphon
0,0,0,18,2022-01-16,18,psiphon
0,0,0,5,2022-01-17,5,psiphon
0,0,0,24,2022-01-18,24,psiphon
0,0,0,14,2022-01-19,14,psiphon
0,0,0,17,2022-01-20,17,psiphon
0,0,0,18,2022-01-21,18,psiphon
0,0,0,25,2022-01-22,25,psiphon
0,0,0,16,2022-01-23,16,psiphon
0,0,0,18,2022-01-24,18,psiphon
0,0,0,18,2022-01-25,18,psiphon
0,0,0,11,2022-01-26,11,psiphon
0,0,0,7,2022-01-27,7,psiphon
0,0,0,2,2022-01-29,2,psiphon
0,0,0,1,2022-01-30,1,psiphon
0,0,0,9,2022-01-31,9,psiphon
0,0,0,3,2022-02-01,3,psiphon
0,0,0,1,2022-02-02,1,psiphon
0,0,0,7,2022-02-03,7,psiphon
0,0,0,1,2022-02-04,1,psiphon
0,0,0,1,2022-02-05,1,psiphon
0,0,0,2,2022-02-06,2,psiphon
0,0,0,3,2022-02-07,3,psiphon
0,0,0,5,2022-02-08,5,psiphon
0,0,0,12,2022-02-09,12,psiphon
0,0,0,3,2022-02-10,3,psiphon
0,0,0,8,2022-02-11,8,psiphon
0,0,0,2,2022-02-12,2,psiphon
0,0,0,4,2022-02-13,4,psiphon
0,0,0,10,2022-02-14,10,psiphon
0,0,0,1,2022-02-15,1,psiphon
0,0,0,5,2022-02-16,5,psiphon
0,0,0,5,2022-02-17,5,psiphon
0,0,0,8,2022-02-18,8,psiphon
1,0,0,12,2022-02-19,11,psiphon
0,0,0,16,2022-02-20,16,psiphon
0,0,0,27,2022-02-21,27,psiphon
1,0,0,25,2022-02-22,24,psiphon
0,0,0,10,2022-02-23,10,psiphon
0,0,0,20,2022-02-24,20,psiphon
0,0,0,4,2022-02-25,4,psiphon
0,0,0,15,2022-02-26,15,psiphon
0,0,0,21,2022-02-27,21,psiphon
0,0,0,14,2022-02-28,14,psiphon
0,0,0,4,2022-03-01,4,psiphon
1,0,0,20,2022-03-02,19,psiphon
0,0,0,18,2022-03-03,18,psiphon
0,0,0,12,2022-03-04,12,psiphon
0,0,0,26,2022-03-05,26,psiphon
1,0,0,13,2022-03-06,12,psiphon
0,0,0,26,2022-03-07,26,psiphon
0,0,0,6,2022-03-08,6,psiphon
0,0,0,5,2022-03-09,5,psiphon
0,0,0,9,2022-03-10,9,psiphon
0,0,0,15,2022-03-11,15,psiphon
0,0,0,11,2022-03-12,11,psiphon
0,0,0,10,2022-03-13,10,psiphon
0,0,0,26,2022-03-14,26,psiphon
0,0,0,21,2022-03-15,21,psiphon
0,0,0,12,2022-03-16,12,psiphon
0,0,0,24,2022-03-17,24,psiphon
0,0,0,37,2022-03-18,37,psiphon
0,0,0,42,2022-03-19,42,psiphon
0,0,0,20,2022-03-20,20,psiphon
0,0,0,20,2022-03-21,20,psiphon
1,0,0,33,2022-03-22,32,psiphon
0,0,0,35,2022-03-23,35,psiphon
0,0,0,20,2022-03-24,20,psiphon
0,0,0,17,2022-03-25,17,psiphon
2,0,0,10,2022-03-26,8,psiphon
3,0,0,40,2022-03-27,37,psiphon
0,0,0,19,2022-03-28,19,psiphon
0,0,0,23,2022-03-29,23,psiphon
0,0,0,18,2022-03-30,18,psiphon
