anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
30,0,0,111,2022-01-01,81,psiphon
31,0,0,91,2022-01-02,60,psiphon
21,0,0,83,2022-01-03,62,psiphon
18,0,0,75,2022-01-04,57,psiphon
45,0,0,106,2022-01-05,61,psiphon
35,0,0,86,2022-01-06,51,psiphon
43,0,0,81,2022-01-07,38,psiphon
42,0,0,98,2022-01-08,56,psiphon
36,0,0,104,2022-01-09,68,psiphon
39,0,0,94,2022-01-10,55,psiphon
24,0,0,83,2022-01-11,59,psiphon
20,0,0,87,2022-01-12,67,psiphon
17,0,0,68,2022-01-13,51,psiphon
23,0,0,73,2022-01-14,50,psiphon
24,0,0,89,2022-01-15,65,psiphon
19,0,0,84,2022-01-16,65,psiphon
23,0,0,100,2022-01-17,77,psiphon
25,0,0,85,2022-01-18,60,psiphon
20,0,0,78,2022-01-19,58,psiphon
18,0,0,81,2022-01-20,63,psiphon
20,0,0,78,2022-01-21,58,psiphon
11,0,0,62,2022-01-22,51,psiphon
22,0,0,93,2022-01-23,71,psiphon
25,0,0,97,2022-01-24,72,psiphon
20,0,0,94,2022-01-25,74,psiphon
7,0,0,75,2022-01-26,68,psiphon
9,0,0,76,2022-01-27,67,psiphon
16,0,0,83,2022-01-28,67,psiphon
11,0,0,77,2022-01-29,66,psiphon
12,0,0,77,2022-01-30,65,psiphon
12,0,0,80,2022-01-31,68,psiphon
21,0,0,84,2022-02-01,63,psiphon
13,0,0,74,2022-02-02,61,psiphon
12,0,0,81,2022-02-03,69,psiphon
10,0,0,73,2022-02-04,63,psiphon
15,0,0,88,2022-02-05,73,psiphon
18,0,0,91,2022-02-06,73,psiphon
15,0,0,75,2022-02-07,60,psiphon
14,0,0,79,2022-02-08,65,psiphon
22,0,0,85,2022-02-09,63,psiphon
17,0,0,95,2022-02-10,78,psiphon
26,0,0,108,2022-02-11,82,psiphon
21,0,0,122,2022-02-12,101,psiphon
25,0,0,122,2022-02-13,97,psiphon
26,0,0,123,2022-02-14,97,psiphon
31,0,0,124,2022-02-15,93,psiphon
31,0,0,131,2022-02-16,100,psiphon
41,0,0,144,2022-02-17,103,psiphon
23,0,0,133,2022-02-18,110,psiphon
38,0,0,126,2022-02-19,88,psiphon
23,0,0,116,2022-02-20,93,psiphon
33,0,0,106,2022-02-21,73,psiphon
28,0,0,115,2022-02-22,87,psiphon
30,0,0,124,2022-02-23,94,psiphon
18,0,0,103,2022-02-24,85,psiphon
18,0,0,106,2022-02-25,88,psiphon
13,0,0,102,2022-02-26,89,psiphon
12,0,4,103,2022-02-27,87,psiphon
16,0,12,119,2022-02-28,91,psiphon
14,0,12,139,2022-03-01,113,psiphon
14,0,9,146,2022-03-02,123,psiphon
15,0,6,124,2022-03-03,103,psiphon
17,0,0,115,2022-03-04,98,psiphon
16,0,0,134,2022-03-05,118,psiphon
10,0,0,130,2022-03-06,120,psiphon
8,0,0,109,2022-03-07,101,psiphon
8,0,0,116,2022-03-08,108,psiphon
10,0,0,101,2022-03-09,91,psiphon
7,0,0,96,2022-03-10,89,psiphon
9,0,0,92,2022-03-11,83,psiphon
9,0,0,148,2022-03-12,139,psiphon
10,0,0,122,2022-03-13,112,psiphon
11,0,0,133,2022-03-14,122,psiphon
7,0,0,135,2022-03-15,128,psiphon
11,0,0,132,2022-03-16,121,psiphon
12,0,0,127,2022-03-17,115,psiphon
8,0,0,119,2022-03-18,111,psiphon
15,0,0,131,2022-03-19,116,psiphon
8,0,0,117,2022-03-20,109,psiphon
13,0,0,106,2022-03-21,93,psiphon
16,0,0,104,2022-03-22,88,psiphon
13,0,0,77,2022-03-23,64,psiphon
14,0,0,118,2022-03-24,104,psiphon
14,0,0,121,2022-03-25,107,psiphon
16,0,0,131,2022-03-26,115,psiphon
17,0,0,165,2022-03-27,148,psiphon
13,0,0,153,2022-03-28,140,psiphon
26,0,0,145,2022-03-29,119,psiphon
11,0,0,96,2022-03-30,85,psiphon
14,0,0,66,2022-03-31,52,psiphon
14,0,0,78,2022-04-01,64,psiphon
8,0,0,70,2022-04-02,62,psiphon
5,0,0,115,2022-04-03,110,psiphon
7,0,0,118,2022-04-04,111,psiphon
9,0,0,109,2022-04-05,100,psiphon
9,0,0,107,2022-04-06,98,psiphon
5,0,0,116,2022-04-07,111,psiphon
2,0,0,110,2022-04-08,108,psiphon
10,0,0,122,2022-04-09,112,psiphon
7,0,0,105,2022-04-10,98,psiphon
9,0,0,101,2022-04-11,92,psiphon
4,0,0,111,2022-04-12,107,psiphon
13,0,0,119,2022-04-13,106,psiphon
15,0,0,109,2022-04-14,94,psiphon
12,0,0,81,2022-04-15,69,psiphon
13,0,0,94,2022-04-16,81,psiphon
6,0,0,78,2022-04-17,72,psiphon
7,0,0,93,2022-04-18,86,psiphon
8,0,0,89,2022-04-19,81,psiphon
6,0,0,79,2022-04-20,73,psiphon
5,0,0,75,2022-04-21,70,psiphon
6,0,0,81,2022-04-22,75,psiphon
8,0,0,91,2022-04-23,83,psiphon
1,0,1,72,2022-04-24,70,psiphon
10,0,1,93,2022-04-25,82,psiphon
12,0,4,91,2022-04-26,75,psiphon
13,0,2,100,2022-04-27,85,psiphon
17,0,11,118,2022-04-28,90,psiphon
11,0,3,115,2022-04-29,101,psiphon
16,0,6,107,2022-04-30,85,psiphon
12,0,10,92,2022-05-01,70,psiphon
20,0,4,97,2022-05-02,73,psiphon
5,0,2,74,2022-05-03,67,psiphon
12,0,11,81,2022-05-04,58,psiphon
11,0,11,76,2022-05-05,54,psiphon
15,0,1,81,2022-05-06,65,psiphon
26,0,0,102,2022-05-07,76,psiphon
24,0,0,88,2022-05-08,64,psiphon
11,0,0,81,2022-05-09,70,psiphon
21,0,0,98,2022-05-10,77,psiphon
10,0,0,81,2022-05-11,71,psiphon
14,0,0,117,2022-05-12,103,psiphon
16,0,0,122,2022-05-13,106,psiphon
12,0,0,115,2022-05-14,103,psiphon
10,0,0,97,2022-05-15,87,psiphon
17,0,0,132,2022-05-16,115,psiphon
29,0,0,137,2022-05-17,108,psiphon
20,0,0,110,2022-05-18,90,psiphon
10,0,0,112,2022-05-19,102,psiphon
14,0,0,139,2022-05-20,125,psiphon
20,0,0,110,2022-05-21,90,psiphon
20,0,0,116,2022-05-22,96,psiphon
25,0,0,129,2022-05-23,104,psiphon
15,0,0,109,2022-05-24,94,psiphon
8,0,0,117,2022-05-25,109,psiphon
8,0,0,114,2022-05-26,106,psiphon
13,0,0,106,2022-05-27,93,psiphon
19,0,0,121,2022-05-28,102,psiphon
18,0,0,124,2022-05-29,106,psiphon
18,0,0,132,2022-05-30,114,psiphon
24,0,0,140,2022-05-31,116,psiphon
17,0,0,132,2022-06-01,115,psiphon
21,0,0,164,2022-06-02,143,psiphon
26,0,0,162,2022-06-03,136,psiphon
10,0,0,124,2022-06-04,114,psiphon
14,0,0,129,2022-06-05,115,psiphon
17,0,0,155,2022-06-06,138,psiphon
21,0,0,146,2022-06-07,125,psiphon
20,0,0,157,2022-06-08,137,psiphon
18,0,0,138,2022-06-09,120,psiphon
20,0,0,142,2022-06-10,122,psiphon
13,0,0,154,2022-06-11,141,psiphon
14,0,0,177,2022-06-12,163,psiphon
14,0,0,141,2022-06-13,127,psiphon
14,0,0,154,2022-06-14,140,psiphon
16,0,0,192,2022-06-15,176,psiphon
13,0,0,155,2022-06-16,142,psiphon
10,0,0,148,2022-06-17,138,psiphon
8,0,0,125,2022-06-18,117,psiphon
19,0,0,150,2022-06-19,131,psiphon
13,0,0,139,2022-06-20,126,psiphon
19,0,0,130,2022-06-21,111,psiphon
17,0,0,138,2022-06-22,121,psiphon
29,0,0,132,2022-06-23,103,psiphon
57,0,0,171,2022-06-24,114,psiphon
53,0,0,150,2022-06-25,97,psiphon
46,0,0,135,2022-06-26,89,psiphon
65,0,0,161,2022-06-27,96,psiphon
17,0,0,148,2022-06-28,131,psiphon
18,0,0,163,2022-06-29,145,psiphon
14,0,0,152,2022-06-30,138,psiphon
14,0,0,158,2022-07-01,144,psiphon
21,0,0,151,2022-07-02,130,psiphon
10,0,0,148,2022-07-03,138,psiphon
20,0,0,163,2022-07-04,143,psiphon
13,0,0,150,2022-07-05,137,psiphon
13,0,0,136,2022-07-06,123,psiphon
15,0,0,188,2022-07-07,173,psiphon
11,0,0,200,2022-07-08,189,psiphon
15,0,0,166,2022-07-09,151,psiphon
16,0,0,179,2022-07-10,163,psiphon
12,0,0,180,2022-07-11,168,psiphon
19,0,0,166,2022-07-12,147,psiphon
18,0,0,170,2022-07-13,152,psiphon
18,0,0,177,2022-07-14,159,psiphon
26,0,0,195,2022-07-15,169,psiphon
