anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,236,2022-01-01,236,psiphon
2,0,0,508,2022-01-02,506,psiphon
0,0,0,122,2022-01-03,122,psiphon
0,0,0,23,2022-01-04,23,psiphon
0,0,0,95,2022-01-05,95,psiphon
0,0,0,356,2022-01-06,356,psiphon
2,0,0,720,2022-01-07,718,psiphon
6,0,0,797,2022-01-08,791,psiphon
0,0,0,983,2022-01-09,983,psiphon
0,0,0,1127,2022-01-10,1127,psiphon
0,0,0,1346,2022-01-11,1346,psiphon
1,0,0,1216,2022-01-12,1215,psiphon
0,0,0,573,2022-01-13,573,psiphon
0,0,0,729,2022-01-14,729,psiphon
2,0,0,1491,2022-01-15,1489,psiphon
0,0,0,1270,2022-01-16,1270,psiphon
12,0,0,1305,2022-01-17,1293,psiphon
0,0,0,1395,2022-01-18,1395,psiphon
1,0,0,1132,2022-01-19,1131,psiphon
0,0,0,1144,2022-01-20,1144,psiphon
1,0,0,1048,2022-01-21,1047,psiphon
1,0,0,1274,2022-01-22,1273,psiphon
0,0,0,1055,2022-01-23,1055,psiphon
2,0,0,1111,2022-01-24,1109,psiphon
2,0,0,278,2022-01-25,276,psiphon
3,0,0,404,2022-01-26,401,psiphon
8,0,0,76,2022-01-27,68,psiphon
0,0,0,37,2022-01-28,37,psiphon
0,0,0,66,2022-01-29,66,psiphon
1,0,0,832,2022-01-30,831,psiphon
0,0,0,1915,2022-01-31,1915,psiphon
0,0,0,2213,2022-02-01,2213,psiphon
17,0,0,3161,2022-02-02,3144,psiphon
1,0,0,3549,2022-02-03,3548,psiphon
7,0,0,3678,2022-02-04,3671,psiphon
0,0,0,1697,2022-02-05,1697,psiphon
13,0,0,1938,2022-02-06,1925,psiphon
30,0,0,3048,2022-02-07,3018,psiphon
53,0,0,3074,2022-02-08,3021,psiphon
48,0,0,3581,2022-02-09,3533,psiphon
6,0,0,2490,2022-02-10,2484,psiphon
1,0,0,2033,2022-02-11,2032,psiphon
0,0,0,2430,2022-02-12,2430,psiphon
3,0,0,1796,2022-02-13,1793,psiphon
0,0,1,2320,2022-02-14,2319,psiphon
0,0,0,115,2022-02-15,115,psiphon
0,0,0,68,2022-02-16,68,psiphon
0,0,0,58,2022-02-17,58,psiphon
0,0,0,600,2022-02-18,600,psiphon
3,0,0,2964,2022-02-19,2961,psiphon
1,0,0,2114,2022-02-20,2113,psiphon
0,0,0,877,2022-02-21,877,psiphon
0,0,0,2065,2022-02-22,2065,psiphon
0,0,0,3044,2022-02-23,3044,psiphon
84,0,0,2317,2022-02-24,2233,psiphon
182,0,0,1986,2022-02-25,1804,psiphon
194,0,0,1756,2022-02-26,1562,psiphon
83,0,0,1507,2022-02-27,1424,psiphon
146,0,0,2159,2022-02-28,2013,psiphon
215,0,0,1943,2022-03-01,1728,psiphon
216,0,0,2358,2022-03-02,2142,psiphon
188,0,0,2949,2022-03-03,2761,psiphon
252,0,0,2975,2022-03-04,2723,psiphon
260,0,0,2839,2022-03-05,2579,psiphon
222,0,0,2792,2022-03-06,2570,psiphon
160,0,0,2025,2022-03-07,1865,psiphon
0,0,0,72,2022-03-08,72,psiphon
637,0,0,931,2022-03-09,294,psiphon
1263,0,0,1769,2022-03-10,506,psiphon
1023,0,0,1496,2022-03-11,473,psiphon
982,0,0,1407,2022-03-12,425,psiphon
1241,0,0,1717,2022-03-13,476,psiphon
1175,0,0,1633,2022-03-14,458,psiphon
1139,0,0,1585,2022-03-15,446,psiphon
1262,0,0,1719,2022-03-16,457,psiphon
1223,0,0,1714,2022-03-17,491,psiphon
1071,0,0,1573,2022-03-18,502,psiphon
894,0,0,1279,2022-03-19,385,psiphon
1176,0,0,1638,2022-03-20,462,psiphon
1113,0,0,1516,2022-03-21,403,psiphon
1231,0,0,1673,2022-03-22,442,psiphon
1289,0,0,1711,2022-03-23,422,psiphon
1098,0,0,1480,2022-03-24,382,psiphon
1290,0,0,1752,2022-03-25,462,psiphon
986,0,0,1394,2022-03-26,408,psiphon
1238,0,0,1643,2022-03-27,405,psiphon
1110,0,0,1494,2022-03-28,384,psiphon
1249,0,0,1670,2022-03-29,421,psiphon
1180,0,0,1658,2022-03-30,478,psiphon
1117,0,0,1534,2022-03-31,417,psiphon
829,0,0,1172,2022-04-01,343,psiphon
885,0,0,1259,2022-04-02,374,psiphon
833,0,0,1209,2022-04-03,376,psiphon
1016,0,0,1415,2022-04-04,399,psiphon
785,0,0,1125,2022-04-05,340,psiphon
996,0,0,1453,2022-04-06,457,psiphon
936,0,0,1403,2022-04-07,467,psiphon
823,0,0,1237,2022-04-08,414,psiphon
587,0,0,865,2022-04-09,278,psiphon
0,0,0,19,2022-04-10,19,psiphon
690,0,0,1007,2022-04-11,317,psiphon
453,0,0,721,2022-04-12,268,psiphon
191,0,0,376,2022-04-13,185,psiphon
956,0,0,1358,2022-04-14,402,psiphon
1241,0,0,1750,2022-04-15,509,psiphon
1009,0,0,1405,2022-04-16,396,psiphon
0,0,0,14,2022-04-17,14,psiphon
262,0,0,378,2022-04-18,116,psiphon
1167,0,0,1589,2022-04-19,422,psiphon
332,0,0,523,2022-04-20,191,psiphon
148,0,0,229,2022-04-21,81,psiphon
