anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,3,2022-01-01,3,psiphon
0,0,0,6,2022-01-02,6,psiphon
0,0,0,1,2022-01-03,1,psiphon
0,0,0,6,2022-01-05,6,psiphon
0,0,0,4,2022-01-06,4,psiphon
0,0,0,6,2022-01-07,6,psiphon
0,0,0,10,2022-01-08,10,psiphon
0,0,0,6,2022-01-09,6,psiphon
0,0,0,9,2022-01-10,9,psiphon
0,0,0,15,2022-01-11,15,psiphon
0,0,0,11,2022-01-12,11,psiphon
0,0,0,8,2022-01-13,8,psiphon
0,0,0,5,2022-01-14,5,psiphon
0,0,0,9,2022-01-15,9,psiphon
0,0,0,11,2022-01-16,11,psiphon
0,0,0,8,2022-01-17,8,psiphon
0,0,0,13,2022-01-18,13,psiphon
0,0,0,11,2022-01-19,11,psiphon
0,0,0,6,2022-01-20,6,psiphon
0,0,0,12,2022-01-21,12,psiphon
0,0,0,13,2022-01-22,13,psiphon
0,0,0,14,2022-01-23,14,psiphon
0,0,0,11,2022-01-24,11,psiphon
0,0,0,10,2022-01-25,10,psiphon
0,0,0,12,2022-01-26,12,psiphon
0,0,0,8,2022-01-27,8,psiphon
0,0,0,5,2022-01-28,5,psiphon
0,0,0,11,2022-01-29,11,psiphon
0,0,0,4,2022-01-30,4,psiphon
0,0,0,8,2022-01-31,8,psiphon
0,0,0,14,2022-02-01,14,psiphon
0,0,0,11,2022-02-02,11,psiphon
0,0,0,7,2022-02-03,7,psiphon
0,0,0,5,2022-02-04,5,psiphon
0,0,0,12,2022-02-05,12,psiphon
0,0,0,7,2022-02-06,7,psiphon
0,0,0,9,2022-02-07,9,psiphon
0,0,0,7,2022-02-08,7,psiphon
0,0,0,5,2022-02-09,5,psiphon
0,0,0,4,2022-02-10,4,psiphon
0,0,0,7,2022-02-11,7,psiphon
0,0,0,9,2022-02-12,9,psiphon
0,0,0,8,2022-02-13,8,psiphon
0,0,0,14,2022-02-14,14,psiphon
0,0,0,10,2022-02-15,10,psiphon
0,0,0,6,2022-02-16,6,psiphon
0,0,0,6,2022-02-17,6,psiphon
0,0,0,6,2022-02-18,6,psiphon
0,0,0,6,2022-02-19,6,psiphon
0,0,0,9,2022-02-20,9,psiphon
0,0,0,11,2022-02-21,11,psiphon
0,0,0,9,2022-02-22,9,psiphon
0,0,0,9,2022-02-23,9,psiphon
0,0,0,6,2022-02-24,6,psiphon
0,0,0,6,2022-02-25,6,psiphon
0,0,0,10,2022-02-26,10,psiphon
1,0,0,10,2022-02-27,9,psiphon
0,0,0,5,2022-02-28,5,psiphon
0,0,0,4,2022-03-01,4,psiphon
0,0,0,8,2022-03-02,8,psiphon
0,0,0,7,2022-03-03,7,psiphon
0,0,0,9,2022-03-04,9,psiphon
0,0,0,4,2022-03-05,4,psiphon
0,0,0,11,2022-03-06,11,psiphon
1,0,0,14,2022-03-07,13,psiphon
0,0,0,5,2022-03-08,5,psiphon
0,0,0,10,2022-03-09,10,psiphon
0,0,0,7,2022-03-10,7,psiphon
0,0,0,9,2022-03-11,9,psiphon
0,0,0,14,2022-03-12,14,psiphon
0,0,0,15,2022-03-13,15,psiphon
0,0,0,15,2022-03-14,15,psiphon
0,0,0,11,2022-03-15,11,psiphon
0,0,0,7,2022-03-16,7,psiphon
0,0,0,8,2022-03-17,8,psiphon
0,0,0,6,2022-03-18,6,psiphon
0,0,0,12,2022-03-19,12,psiphon
0,0,0,11,2022-03-20,11,psiphon
0,0,0,10,2022-03-21,10,psiphon
0,0,0,10,2022-03-22,10,psiphon
0,0,0,10,2022-03-23,10,psiphon
0,0,0,11,2022-03-24,11,psiphon
0,0,0,12,2022-03-25,12,psiphon
0,0,0,17,2022-03-26,17,psiphon
0,0,0,10,2022-03-27,10,psiphon
0,0,0,9,2022-03-28,9,psiphon
0,0,0,2,2022-03-29,2,psiphon
0,0,0,10,2022-03-30,10,psiphon
0,0,0,11,2022-03-31,11,psiphon
0,0,0,13,2022-04-01,13,psiphon
0,0,0,19,2022-04-02,19,psiphon
0,0,0,13,2022-04-03,13,psiphon
0,0,0,10,2022-04-04,10,psiphon
0,0,0,19,2022-04-05,19,psiphon
0,0,0,14,2022-04-06,14,psiphon
0,0,0,21,2022-04-07,21,psiphon
0,0,0,11,2022-04-08,11,psiphon
0,0,0,22,2022-04-09,22,psiphon
0,0,0,7,2022-04-10,7,psiphon
0,0,0,14,2022-04-11,14,psiphon
0,0,0,18,2022-04-12,18,psiphon
0,0,0,25,2022-04-13,25,psiphon
0,0,0,16,2022-04-14,16,psiphon
0,0,0,9,2022-04-15,9,psiphon
0,0,0,8,2022-04-16,8,psiphon
0,0,0,20,2022-04-17,20,psiphon
0,0,0,15,2022-04-18,15,psiphon
0,0,0,14,2022-04-19,14,psiphon
0,0,0,4,2022-04-20,4,psiphon
0,0,0,11,2022-04-21,11,psiphon
0,0,0,22,2022-04-22,22,psiphon
2,0,0,20,2022-04-23,18,psiphon
0,0,0,5,2022-04-24,5,psiphon
0,0,0,22,2022-04-25,22,psiphon
0,0,0,16,2022-04-26,16,psiphon
0,0,0,12,2022-04-27,12,psiphon
0,0,0,26,2022-04-28,26,psiphon
3,0,0,19,2022-04-29,16,psiphon
1,0,0,23,2022-04-30,22,psiphon
1,0,0,19,2022-05-01,18,psiphon
1,0,0,12,2022-05-02,11,psiphon
0,0,0,20,2022-05-03,20,psiphon
0,0,0,7,2022-05-04,7,psiphon
0,0,0,11,2022-05-05,11,psiphon
0,0,0,22,2022-05-06,22,psiphon
0,0,0,18,2022-05-07,18,psiphon
