anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
1,0,0,7,2022-01-01,6,psiphon
0,0,0,9,2022-01-02,9,psiphon
0,0,0,4,2022-01-03,4,psiphon
0,0,0,28,2022-01-04,28,psiphon
0,0,0,27,2022-01-05,27,psiphon
0,0,0,2,2022-01-07,2,psiphon
1,0,0,8,2022-01-08,7,psiphon
0,0,0,3,2022-01-09,3,psiphon
2,0,0,23,2022-01-10,21,psiphon
0,0,0,52,2022-01-11,52,psiphon
0,0,0,27,2022-01-12,27,psiphon
0,0,0,55,2022-01-13,55,psiphon
0,0,0,29,2022-01-14,29,psiphon
0,0,0,17,2022-01-15,17,psiphon
0,0,0,15,2022-01-16,15,psiphon
1,0,0,22,2022-01-17,21,psiphon
0,0,0,30,2022-01-18,30,psiphon
0,0,0,30,2022-01-19,30,psiphon
0,0,0,30,2022-01-20,30,psiphon
0,0,0,29,2022-01-21,29,psiphon
0,0,0,7,2022-01-22,7,psiphon
0,0,0,13,2022-01-23,13,psiphon
1,0,0,15,2022-01-24,14,psiphon
0,0,0,16,2022-01-25,16,psiphon
0,0,0,24,2022-01-26,24,psiphon
0,0,0,19,2022-01-27,19,psiphon
0,0,0,27,2022-01-28,27,psiphon
0,0,0,19,2022-01-29,19,psiphon
0,0,0,32,2022-01-30,32,psiphon
0,0,0,28,2022-01-31,28,psiphon
0,0,0,23,2022-02-01,23,psiphon
0,0,0,27,2022-02-02,27,psiphon
0,0,1,23,2022-02-03,22,psiphon
1,0,0,27,2022-02-04,26,psiphon
0,0,0,18,2022-02-05,18,psiphon
0,0,0,25,2022-02-06,25,psiphon
0,0,0,23,2022-02-07,23,psiphon
0,0,0,22,2022-02-08,22,psiphon
0,0,0,27,2022-02-09,27,psiphon
1,0,0,20,2022-02-10,19,psiphon
0,0,0,18,2022-02-11,18,psiphon
0,0,0,14,2022-02-12,14,psiphon
0,0,0,21,2022-02-13,21,psiphon
0,0,0,16,2022-02-14,16,psiphon
1,0,0,35,2022-02-15,34,psiphon
0,0,0,20,2022-02-16,20,psiphon
0,0,0,13,2022-02-17,13,psiphon
0,0,0,22,2022-02-18,22,psiphon
0,0,0,20,2022-02-19,20,psiphon
0,0,0,28,2022-02-20,28,psiphon
0,0,0,23,2022-02-21,23,psiphon
0,0,0,29,2022-02-22,29,psiphon
0,0,0,26,2022-02-23,26,psiphon
0,0,0,19,2022-02-24,19,psiphon
0,0,0,15,2022-02-25,15,psiphon
0,0,0,17,2022-02-26,17,psiphon
0,0,0,18,2022-02-27,18,psiphon
0,0,0,3,2022-02-28,3,psiphon
1,0,0,11,2022-03-01,10,psiphon
0,0,0,14,2022-03-02,14,psiphon
0,0,0,5,2022-03-03,5,psiphon
0,0,0,18,2022-03-04,18,psiphon
0,0,0,9,2022-03-05,9,psiphon
0,0,0,16,2022-03-06,16,psiphon
0,0,0,9,2022-03-07,9,psiphon
0,0,0,16,2022-03-08,16,psiphon
0,0,0,31,2022-03-09,31,psiphon
0,0,0,28,2022-03-10,28,psiphon
0,0,0,30,2022-03-11,30,psiphon
0,0,0,26,2022-03-12,26,psiphon
0,0,0,20,2022-03-13,20,psiphon
0,0,0,23,2022-03-14,23,psiphon
0,0,0,25,2022-03-15,25,psiphon
0,0,0,19,2022-03-16,19,psiphon
0,0,0,22,2022-03-17,22,psiphon
0,0,0,23,2022-03-18,23,psiphon
0,0,0,36,2022-03-19,36,psiphon
0,0,0,29,2022-03-20,29,psiphon
0,0,0,30,2022-03-21,30,psiphon
0,0,0,17,2022-03-22,17,psiphon
0,0,0,21,2022-03-23,21,psiphon
1,0,0,16,2022-03-24,15,psiphon
0,0,0,19,2022-03-25,19,psiphon
1,0,0,18,2022-03-26,17,psiphon
0,0,0,5,2022-03-27,5,psiphon
0,0,0,21,2022-03-28,21,psiphon
0,0,0,22,2022-03-29,22,psiphon
0,0,0,31,2022-03-30,31,psiphon
0,0,0,25,2022-03-31,25,psiphon
0,0,0,39,2022-04-01,39,psiphon
0,0,0,27,2022-04-02,27,psiphon
0,0,0,29,2022-04-03,29,psiphon
0,0,0,26,2022-04-04,26,psiphon
2,0,0,33,2022-04-05,31,psiphon
1,0,0,41,2022-04-06,40,psiphon
0,0,0,41,2022-04-07,41,psiphon
0,0,0,40,2022-04-08,40,psiphon
0,0,0,28,2022-04-09,28,psiphon
0,0,0,41,2022-04-10,41,psiphon
0,0,0,33,2022-04-11,33,psiphon
0,0,0,43,2022-04-12,43,psiphon
1,0,0,26,2022-04-13,25,psiphon
0,0,0,43,2022-04-14,43,psiphon
0,0,0,17,2022-04-15,17,psiphon
2,0,0,37,2022-04-16,35,psiphon
0,0,0,30,2022-04-17,30,psiphon
0,0,0,43,2022-04-18,43,psiphon
1,0,0,31,2022-04-19,30,psiphon
0,0,0,22,2022-04-20,22,psiphon
0,0,0,23,2022-04-21,23,psiphon
0,0,0,29,2022-04-22,29,psiphon
0,0,0,39,2022-04-23,39,psiphon
0,0,0,37,2022-04-24,37,psiphon
1,0,0,29,2022-04-25,28,psiphon
0,0,0,25,2022-04-26,25,psiphon
0,0,0,32,2022-04-27,32,psiphon
0,0,0,12,2022-04-28,12,psiphon
0,0,0,30,2022-04-29,30,psiphon
3,0,0,39,2022-04-30,36,psiphon
0,0,0,26,2022-05-01,26,psiphon
0,0,0,28,2022-05-02,28,psiphon
0,0,0,32,2022-05-03,32,psiphon
0,0,0,32,2022-05-04,32,psiphon
0,0,0,31,2022-05-05,31,psiphon
0,0,0,22,2022-05-06,22,psiphon
0,0,0,18,2022-05-07,18,psiphon
0,0,0,30,2022-05-08,30,psiphon
0,0,0,34,2022-05-09,34,psiphon
