anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-01,1,psiphon
0,0,0,10,2022-01-02,10,psiphon
0,0,0,4,2022-01-03,4,psiphon
0,0,0,6,2022-01-04,6,psiphon
0,0,0,13,2022-01-05,13,psiphon
0,0,0,1,2022-01-06,1,psiphon
0,0,0,1,2022-01-07,1,psiphon
0,0,0,7,2022-01-08,7,psiphon
0,0,0,1,2022-01-09,1,psiphon
0,0,0,7,2022-01-10,7,psiphon
0,0,0,5,2022-01-11,5,psiphon
0,0,0,4,2022-01-12,4,psiphon
1,0,0,5,2022-01-13,4,psiphon
0,0,0,4,2022-01-14,4,psiphon
0,0,0,5,2022-01-15,5,psiphon
0,0,0,5,2022-01-16,5,psiphon
0,0,0,4,2022-01-17,4,psiphon
0,0,0,1,2022-01-18,1,psiphon
0,0,0,23,2022-01-19,23,psiphon
0,0,0,7,2022-01-20,7,psiphon
0,0,0,5,2022-01-21,5,psiphon
0,0,0,3,2022-01-22,3,psiphon
0,0,0,1,2022-01-23,1,psiphon
0,0,0,2,2022-01-24,2,psiphon
0,0,0,2,2022-01-26,2,psiphon
0,0,0,6,2022-01-27,6,psiphon
0,0,0,2,2022-01-28,2,psiphon
0,0,0,6,2022-01-29,6,psiphon
0,0,0,2,2022-01-30,2,psiphon
0,0,0,5,2022-01-31,5,psiphon
0,0,0,5,2022-02-01,5,psiphon
0,0,0,3,2022-02-02,3,psiphon
0,0,0,1,2022-02-03,1,psiphon
0,0,0,1,2022-02-04,1,psiphon
0,0,0,5,2022-02-05,5,psiphon
0,0,0,2,2022-02-06,2,psiphon
0,0,0,3,2022-02-07,3,psiphon
0,0,0,1,2022-02-08,1,psiphon
0,0,0,8,2022-02-09,8,psiphon
0,0,0,5,2022-02-10,5,psiphon
0,0,0,5,2022-02-11,5,psiphon
0,0,0,8,2022-02-12,8,psiphon
1,0,0,6,2022-02-13,5,psiphon
0,0,0,8,2022-02-14,8,psiphon
0,0,0,2,2022-02-15,2,psiphon
0,0,0,1,2022-02-16,1,psiphon
0,0,0,1,2022-02-17,1,psiphon
0,0,0,1,2022-02-18,1,psiphon
