anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-01,1,psiphon
0,0,0,1,2022-01-02,1,psiphon
0,0,0,10,2022-01-03,10,psiphon
0,0,0,1,2022-01-04,1,psiphon
0,0,0,5,2022-01-05,5,psiphon
0,0,0,5,2022-01-06,5,psiphon
0,0,0,1,2022-01-07,1,psiphon
0,0,0,3,2022-01-08,3,psiphon
0,0,0,4,2022-01-09,4,psiphon
0,0,0,1,2022-01-10,1,psiphon
0,0,0,4,2022-01-11,4,psiphon
0,0,0,3,2022-01-12,3,psiphon
0,0,0,1,2022-01-13,1,psiphon
0,0,0,6,2022-01-14,6,psiphon
0,0,0,1,2022-01-15,1,psiphon
0,0,0,1,2022-01-16,1,psiphon
0,0,0,1,2022-01-17,1,psiphon
0,0,0,2,2022-01-18,2,psiphon
0,0,0,3,2022-01-19,3,psiphon
0,0,0,15,2022-01-20,15,psiphon
0,0,0,1,2022-01-21,1,psiphon
0,0,0,1,2022-01-22,1,psiphon
0,0,0,2,2022-01-23,2,psiphon
0,0,0,9,2022-01-24,9,psiphon
0,0,0,3,2022-01-25,3,psiphon
0,0,0,2,2022-01-26,2,psiphon
0,0,0,2,2022-01-27,2,psiphon
0,0,0,1,2022-01-29,1,psiphon
0,0,0,4,2022-01-30,4,psiphon
0,0,0,1,2022-02-01,1,psiphon
0,0,0,2,2022-02-02,2,psiphon
0,0,0,2,2022-02-03,2,psiphon
0,0,0,10,2022-02-04,10,psiphon
0,0,0,2,2022-02-05,2,psiphon
0,0,0,6,2022-02-06,6,psiphon
0,0,0,24,2022-02-07,24,psiphon
0,0,0,26,2022-02-08,26,psiphon
0,0,0,17,2022-02-09,17,psiphon
0,0,0,14,2022-02-10,14,psiphon
0,0,0,6,2022-02-11,6,psiphon
0,0,0,23,2022-02-12,23,psiphon
0,0,0,23,2022-02-13,23,psiphon
0,0,0,2,2022-02-14,2,psiphon
0,0,0,7,2022-02-15,7,psiphon
0,0,0,18,2022-02-16,18,psiphon
0,0,0,3,2022-02-17,3,psiphon
0,0,0,4,2022-02-18,4,psiphon
0,0,0,2,2022-02-19,2,psiphon
0,0,0,8,2022-02-20,8,psiphon
0,0,0,2,2022-02-21,2,psiphon
0,0,0,7,2022-02-22,7,psiphon
0,0,0,3,2022-02-23,3,psiphon
0,0,0,4,2022-02-24,4,psiphon
0,0,0,3,2022-02-25,3,psiphon
0,0,0,3,2022-02-26,3,psiphon
0,0,0,5,2022-02-27,5,psiphon
0,0,0,5,2022-02-28,5,psiphon
0,0,0,2,2022-03-01,2,psiphon
0,0,0,8,2022-03-02,8,psiphon
0,0,0,2,2022-03-04,2,psiphon
0,0,0,1,2022-03-05,1,psiphon
0,0,0,2,2022-03-06,2,psiphon
0,0,0,1,2022-03-07,1,psiphon
0,0,0,5,2022-03-08,5,psiphon
0,0,0,2,2022-03-09,2,psiphon
0,0,0,1,2022-03-10,1,psiphon
0,0,0,2,2022-03-11,2,psiphon
1,0,0,4,2022-03-12,3,psiphon
0,0,0,2,2022-03-13,2,psiphon
0,0,0,2,2022-03-14,2,psiphon
0,0,0,1,2022-03-15,1,psiphon
0,0,0,1,2022-03-16,1,psiphon
1,0,0,12,2022-03-17,11,psiphon
0,0,0,21,2022-03-18,21,psiphon
0,0,0,7,2022-03-19,7,psiphon
