anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,7,2022-01-01,7,psiphon
0,0,0,4,2022-01-02,4,psiphon
0,0,0,19,2022-01-03,19,psiphon
0,0,0,4,2022-01-04,4,psiphon
1,0,0,11,2022-01-05,10,psiphon
0,0,0,3,2022-01-06,3,psiphon
0,0,0,13,2022-01-07,13,psiphon
0,0,0,24,2022-01-08,24,psiphon
0,0,0,11,2022-01-09,11,psiphon
0,0,0,5,2022-01-10,5,psiphon
0,0,0,9,2022-01-11,9,psiphon
0,0,0,7,2022-01-12,7,psiphon
0,0,0,5,2022-01-13,5,psiphon
0,0,0,9,2022-01-14,9,psiphon
0,0,0,4,2022-01-15,4,psiphon
0,0,0,4,2022-01-16,4,psiphon
0,0,0,3,2022-01-17,3,psiphon
0,0,0,9,2022-01-18,9,psiphon
0,0,0,13,2022-01-19,13,psiphon
0,0,0,11,2022-01-20,11,psiphon
0,0,0,4,2022-01-21,4,psiphon
0,0,0,12,2022-01-22,12,psiphon
0,0,0,13,2022-01-23,13,psiphon
0,0,0,10,2022-01-24,10,psiphon
0,0,0,8,2022-01-25,8,psiphon
0,0,0,15,2022-01-26,15,psiphon
0,0,0,8,2022-01-27,8,psiphon
0,0,0,6,2022-01-28,6,psiphon
0,0,0,6,2022-01-29,6,psiphon
0,0,0,8,2022-01-30,8,psiphon
0,0,0,5,2022-01-31,5,psiphon
0,0,0,7,2022-02-01,7,psiphon
0,0,0,6,2022-02-02,6,psiphon
0,0,0,4,2022-02-03,4,psiphon
0,0,0,1,2022-02-04,1,psiphon
0,0,0,8,2022-02-05,8,psiphon
0,0,0,12,2022-02-06,12,psiphon
0,0,0,12,2022-02-07,12,psiphon
0,0,0,4,2022-02-09,4,psiphon
0,0,0,7,2022-02-10,7,psiphon
0,0,0,4,2022-02-12,4,psiphon
0,0,0,2,2022-02-13,2,psiphon
0,0,0,10,2022-02-14,10,psiphon
0,0,0,13,2022-02-15,13,psiphon
0,0,0,5,2022-02-17,5,psiphon
0,0,0,2,2022-02-18,2,psiphon
0,0,0,5,2022-02-19,5,psiphon
1,0,0,8,2022-02-21,7,psiphon
0,0,0,11,2022-02-22,11,psiphon
0,0,0,5,2022-02-23,5,psiphon
0,0,0,7,2022-02-24,7,psiphon
0,0,0,6,2022-02-25,6,psiphon
0,0,0,7,2022-02-26,7,psiphon
0,0,0,4,2022-02-27,4,psiphon
1,0,0,7,2022-02-28,6,psiphon
0,0,0,3,2022-03-01,3,psiphon
1,0,0,11,2022-03-02,10,psiphon
1,0,0,8,2022-03-03,7,psiphon
0,0,0,4,2022-03-04,4,psiphon
0,0,0,5,2022-03-05,5,psiphon
0,0,0,6,2022-03-06,6,psiphon
1,0,0,10,2022-03-07,9,psiphon
1,0,0,7,2022-03-08,6,psiphon
0,0,0,13,2022-03-09,13,psiphon
0,0,0,5,2022-03-10,5,psiphon
0,0,0,12,2022-03-11,12,psiphon
0,0,0,8,2022-03-12,8,psiphon
0,0,0,4,2022-03-13,4,psiphon
0,0,0,13,2022-03-14,13,psiphon
0,0,0,7,2022-03-15,7,psiphon
1,0,0,2,2022-03-17,1,psiphon
0,0,0,6,2022-03-18,6,psiphon
1,0,0,14,2022-03-19,13,psiphon
1,0,0,15,2022-03-20,14,psiphon
0,0,0,10,2022-03-21,10,psiphon
0,0,0,10,2022-03-22,10,psiphon
0,0,0,7,2022-03-23,7,psiphon
0,0,0,14,2022-03-24,14,psiphon
0,0,0,9,2022-03-25,9,psiphon
0,0,0,9,2022-03-26,9,psiphon
0,0,0,28,2022-03-27,28,psiphon
0,0,0,16,2022-03-28,16,psiphon
0,0,0,7,2022-03-29,7,psiphon
1,0,0,10,2022-03-30,9,psiphon
0,0,0,5,2022-03-31,5,psiphon
0,0,0,12,2022-04-01,12,psiphon
0,0,0,10,2022-04-02,10,psiphon
0,0,0,5,2022-04-03,5,psiphon
0,0,0,2,2022-04-04,2,psiphon
0,0,0,1,2022-04-05,1,psiphon
0,0,0,2,2022-04-06,2,psiphon
0,0,0,1,2022-04-07,1,psiphon
0,0,0,4,2022-04-08,4,psiphon
0,0,0,3,2022-04-09,3,psiphon
0,0,0,5,2022-04-10,5,psiphon
0,0,0,3,2022-04-11,3,psiphon
0,0,0,7,2022-04-12,7,psiphon
0,0,0,1,2022-04-13,1,psiphon
0,0,0,1,2022-04-14,1,psiphon
0,0,0,3,2022-04-15,3,psiphon
0,0,0,2,2022-04-16,2,psiphon
0,0,0,11,2022-04-17,11,psiphon
0,0,0,11,2022-04-18,11,psiphon
0,0,0,7,2022-04-19,7,psiphon
0,0,0,9,2022-04-20,9,psiphon
0,0,0,10,2022-04-21,10,psiphon
0,0,0,2,2022-04-22,2,psiphon
0,0,0,12,2022-04-23,12,psiphon
0,0,0,2,2022-04-24,2,psiphon
0,0,0,5,2022-04-25,5,psiphon
0,0,0,2,2022-04-27,2,psiphon
0,0,0,11,2022-04-28,11,psiphon
0,0,0,2,2022-04-29,2,psiphon
0,0,0,4,2022-04-30,4,psiphon
1,0,0,9,2022-05-02,8,psiphon
0,0,0,6,2022-05-03,6,psiphon
0,0,0,2,2022-05-04,2,psiphon
0,0,0,3,2022-05-05,3,psiphon
0,0,0,9,2022-05-06,9,psiphon
0,0,0,17,2022-05-07,17,psiphon
0,0,0,7,2022-05-08,7,psiphon
0,0,0,11,2022-05-09,11,psiphon
0,0,0,7,2022-05-10,7,psiphon
0,0,0,17,2022-05-11,17,psiphon
0,0,0,8,2022-05-12,8,psiphon
0,0,0,6,2022-05-13,6,psiphon
0,0,0,16,2022-05-14,16,psiphon
0,0,0,2,2022-05-15,2,psiphon
1,0,0,6,2022-05-16,5,psiphon
0,0,0,4,2022-05-17,4,psiphon
0,0,0,1,2022-05-18,1,psiphon
0,0,0,7,2022-05-19,7,psiphon
0,0,0,5,2022-05-21,5,psiphon
