anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-01,1,psiphon
0,0,0,1,2022-01-04,1,psiphon
0,0,0,2,2022-01-05,2,psiphon
0,0,0,1,2022-01-09,1,psiphon
0,0,0,1,2022-01-10,1,psiphon
0,0,0,1,2022-01-13,1,psiphon
0,0,0,1,2022-01-14,1,psiphon
0,0,0,13,2022-01-16,13,psiphon
0,0,0,6,2022-01-17,6,psiphon
0,0,0,2,2022-01-22,2,psiphon
0,0,0,5,2022-01-23,5,psiphon
0,0,0,4,2022-01-26,4,psiphon
0,0,0,1,2022-01-29,1,psiphon
0,0,0,1,2022-01-31,1,psiphon
0,0,0,1,2022-02-02,1,psiphon
0,0,0,2,2022-02-03,2,psiphon
0,0,0,3,2022-02-04,3,psiphon
0,0,0,1,2022-02-07,1,psiphon
0,0,0,1,2022-02-10,1,psiphon
0,0,0,12,2022-02-11,12,psiphon
0,0,0,11,2022-02-12,11,psiphon
1,0,0,26,2022-02-13,25,psiphon
0,0,0,38,2022-02-14,38,psiphon
0,0,0,8,2022-02-15,8,psiphon
0,0,0,1,2022-02-17,1,psiphon
0,0,0,3,2022-02-20,3,psiphon
0,0,0,1,2022-02-22,1,psiphon
0,0,0,1,2022-02-23,1,psiphon
0,0,0,10,2022-02-25,10,psiphon
0,0,0,2,2022-02-26,2,psiphon
0,0,0,5,2022-02-27,5,psiphon
0,0,0,7,2022-02-28,7,psiphon
0,0,0,11,2022-03-01,11,psiphon
0,0,0,11,2022-03-02,11,psiphon
1,0,0,16,2022-03-03,15,psiphon
1,0,0,20,2022-03-04,19,psiphon
0,0,0,4,2022-03-05,4,psiphon
0,0,0,15,2022-03-06,15,psiphon
0,0,0,6,2022-03-07,6,psiphon
0,0,0,22,2022-03-08,22,psiphon
0,0,0,16,2022-03-09,16,psiphon
0,0,0,9,2022-03-10,9,psiphon
0,0,0,10,2022-03-11,10,psiphon
1,0,0,18,2022-03-12,17,psiphon
0,0,0,13,2022-03-13,13,psiphon
0,0,0,7,2022-03-14,7,psiphon
0,0,0,31,2022-03-15,31,psiphon
0,0,0,8,2022-03-16,8,psiphon
0,0,0,8,2022-03-17,8,psiphon
0,0,0,9,2022-03-19,9,psiphon
