anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,49,2022-01-01,49,psiphon
2,0,0,31,2022-01-02,29,psiphon
0,0,0,65,2022-01-03,65,psiphon
2,0,0,43,2022-01-04,41,psiphon
4,0,0,48,2022-01-05,44,psiphon
4,0,0,59,2022-01-06,55,psiphon
4,0,0,50,2022-01-07,46,psiphon
4,0,0,54,2022-01-08,50,psiphon
1,0,0,46,2022-01-09,45,psiphon
1,0,0,77,2022-01-10,76,psiphon
0,0,0,89,2022-01-11,89,psiphon
2,0,0,59,2022-01-12,57,psiphon
2,0,0,86,2022-01-13,84,psiphon
1,0,0,53,2022-01-14,52,psiphon
1,0,0,49,2022-01-15,48,psiphon
2,0,0,60,2022-01-16,58,psiphon
1,0,0,65,2022-01-17,64,psiphon
0,0,0,71,2022-01-18,71,psiphon
2,0,0,86,2022-01-19,84,psiphon
1,0,0,64,2022-01-20,63,psiphon
0,0,0,91,2022-01-21,91,psiphon
1,0,0,67,2022-01-22,66,psiphon
0,0,0,34,2022-01-23,34,psiphon
1,0,0,78,2022-01-24,77,psiphon
1,0,0,66,2022-01-25,65,psiphon
2,0,0,84,2022-01-26,82,psiphon
2,0,0,89,2022-01-27,87,psiphon
1,0,0,89,2022-01-28,88,psiphon
1,0,0,62,2022-01-29,61,psiphon
5,0,0,66,2022-01-30,61,psiphon
1,0,0,74,2022-01-31,73,psiphon
2,0,0,72,2022-02-01,70,psiphon
1,0,0,74,2022-02-02,73,psiphon
1,0,0,94,2022-02-03,93,psiphon
0,0,0,101,2022-02-04,101,psiphon
1,0,0,63,2022-02-05,62,psiphon
0,0,0,82,2022-02-06,82,psiphon
1,0,0,84,2022-02-07,83,psiphon
2,0,0,89,2022-02-08,87,psiphon
6,0,0,84,2022-02-09,78,psiphon
2,0,0,87,2022-02-10,85,psiphon
0,0,0,72,2022-02-11,72,psiphon
0,0,0,64,2022-02-12,64,psiphon
0,0,0,69,2022-02-13,69,psiphon
0,0,0,79,2022-02-14,79,psiphon
3,0,0,69,2022-02-15,66,psiphon
1,0,0,78,2022-02-16,77,psiphon
1,0,0,81,2022-02-17,80,psiphon
6,0,0,128,2022-02-18,122,psiphon
2,0,0,114,2022-02-19,112,psiphon
4,0,0,75,2022-02-20,71,psiphon
3,0,0,85,2022-02-21,82,psiphon
2,0,0,76,2022-02-22,74,psiphon
2,0,0,78,2022-02-23,76,psiphon
3,0,0,84,2022-02-24,81,psiphon
3,0,0,77,2022-02-25,74,psiphon
2,0,0,60,2022-02-26,58,psiphon
4,0,0,57,2022-02-27,53,psiphon
1,0,0,65,2022-02-28,64,psiphon
2,0,0,80,2022-03-01,78,psiphon
2,0,0,31,2022-03-02,29,psiphon
2,0,0,58,2022-03-03,56,psiphon
5,0,0,70,2022-03-04,65,psiphon
3,0,0,53,2022-03-05,50,psiphon
3,0,0,30,2022-03-06,27,psiphon
8,0,0,43,2022-03-07,35,psiphon
6,0,0,70,2022-03-08,64,psiphon
1,0,0,60,2022-03-09,59,psiphon
0,0,0,56,2022-03-10,56,psiphon
0,0,0,60,2022-03-11,60,psiphon
3,0,0,56,2022-03-12,53,psiphon
4,0,0,35,2022-03-13,31,psiphon
0,0,0,41,2022-03-14,41,psiphon
1,0,0,54,2022-03-15,53,psiphon
1,0,2,36,2022-03-16,33,psiphon
1,0,0,41,2022-03-17,40,psiphon
1,0,0,21,2022-03-18,20,psiphon
1,0,0,31,2022-03-19,30,psiphon
0,0,0,29,2022-03-20,29,psiphon
0,0,0,38,2022-03-21,38,psiphon
0,0,0,35,2022-03-22,35,psiphon
0,0,0,34,2022-03-23,34,psiphon
0,0,0,45,2022-03-24,45,psiphon
0,0,0,28,2022-03-25,28,psiphon
0,0,0,26,2022-03-26,26,psiphon
0,0,0,21,2022-03-27,21,psiphon
0,0,0,50,2022-03-28,50,psiphon
0,0,0,34,2022-03-29,34,psiphon
0,0,0,46,2022-03-30,46,psiphon
0,0,0,27,2022-03-31,27,psiphon
0,0,0,54,2022-04-01,54,psiphon
0,0,0,24,2022-04-02,24,psiphon
0,0,0,30,2022-04-03,30,psiphon
1,0,0,49,2022-04-04,48,psiphon
1,0,0,45,2022-04-05,44,psiphon
1,0,0,38,2022-04-06,37,psiphon
1,0,0,39,2022-04-07,38,psiphon
0,0,0,47,2022-04-08,47,psiphon
0,0,0,27,2022-04-09,27,psiphon
0,0,0,22,2022-04-10,22,psiphon
0,0,0,11,2022-04-11,11,psiphon
0,0,0,17,2022-04-12,17,psiphon
0,0,0,36,2022-04-13,36,psiphon
1,0,0,36,2022-04-14,35,psiphon
0,0,0,20,2022-04-15,20,psiphon
1,0,0,13,2022-04-16,12,psiphon
1,0,0,18,2022-04-17,17,psiphon
0,0,0,26,2022-04-18,26,psiphon
0,0,0,17,2022-04-19,17,psiphon
0,0,0,29,2022-04-20,29,psiphon
1,0,0,31,2022-04-21,30,psiphon
1,0,0,51,2022-04-22,50,psiphon
0,0,0,32,2022-04-23,32,psiphon
0,0,0,22,2022-04-24,22,psiphon
2,0,0,22,2022-04-25,20,psiphon
0,0,0,31,2022-04-26,31,psiphon
0,0,0,21,2022-04-27,21,psiphon
1,0,0,42,2022-04-28,41,psiphon
1,0,0,35,2022-04-29,34,psiphon
0,0,0,29,2022-04-30,29,psiphon
0,0,0,22,2022-05-01,22,psiphon
0,0,0,26,2022-05-02,26,psiphon
1,0,0,25,2022-05-03,24,psiphon
0,0,0,30,2022-05-04,30,psiphon
1,0,0,19,2022-05-05,18,psiphon
0,0,0,21,2022-05-06,21,psiphon
0,0,0,19,2022-05-07,19,psiphon
0,0,0,25,2022-05-08,25,psiphon
0,0,0,40,2022-05-09,40,psiphon
0,0,0,21,2022-05-10,21,psiphon
0,0,0,45,2022-05-11,45,psiphon
0,0,0,32,2022-05-12,32,psiphon
0,0,0,23,2022-05-13,23,psiphon
0,0,0,40,2022-05-14,40,psiphon
0,0,0,58,2022-05-15,58,psiphon
1,0,0,37,2022-05-16,36,psiphon
0,0,0,42,2022-05-17,42,psiphon
0,0,0,46,2022-05-18,46,psiphon
1,0,0,38,2022-05-19,37,psiphon
0,0,0,31,2022-05-20,31,psiphon
0,0,0,16,2022-05-21,16,psiphon
0,0,0,31,2022-05-22,31,psiphon
1,0,0,33,2022-05-23,32,psiphon
0,0,0,46,2022-05-24,46,psiphon
2,0,0,61,2022-05-25,59,psiphon
0,0,0,57,2022-05-26,57,psiphon
0,0,0,27,2022-05-27,27,psiphon
0,0,0,26,2022-05-28,26,psiphon
1,0,0,39,2022-05-29,38,psiphon
4,0,0,53,2022-05-30,49,psiphon
2,0,0,44,2022-05-31,42,psiphon
3,0,0,44,2022-06-01,41,psiphon
0,0,0,38,2022-06-02,38,psiphon
0,0,0,29,2022-06-03,29,psiphon
0,0,0,46,2022-06-04,46,psiphon
2,0,0,93,2022-06-05,91,psiphon
1,0,0,40,2022-06-06,39,psiphon
0,0,0,53,2022-06-07,53,psiphon
1,0,0,70,2022-06-08,69,psiphon
1,0,0,50,2022-06-09,49,psiphon
3,0,0,32,2022-06-10,29,psiphon
0,0,0,52,2022-06-11,52,psiphon
2,0,0,67,2022-06-12,65,psiphon
0,0,0,59,2022-06-13,59,psiphon
1,0,0,58,2022-06-14,57,psiphon
0,0,0,56,2022-06-15,56,psiphon
0,0,0,56,2022-06-16,56,psiphon
2,0,0,40,2022-06-17,38,psiphon
0,0,0,41,2022-06-18,41,psiphon
1,0,0,54,2022-06-19,53,psiphon
3,0,0,57,2022-06-20,54,psiphon
1,0,0,67,2022-06-21,66,psiphon
2,0,0,41,2022-06-22,39,psiphon
1,0,0,89,2022-06-23,88,psiphon
0,0,0,35,2022-06-24,35,psiphon
0,0,0,61,2022-06-25,61,psiphon
0,0,0,70,2022-06-26,70,psiphon
1,0,0,36,2022-06-27,35,psiphon
1,0,0,82,2022-06-28,81,psiphon
0,0,0,36,2022-06-29,36,psiphon
1,0,0,51,2022-06-30,50,psiphon
1,0,0,52,2022-07-01,51,psiphon
1,0,0,65,2022-07-02,64,psiphon
1,0,0,73,2022-07-03,72,psiphon
1,0,0,48,2022-07-04,47,psiphon
1,0,0,34,2022-07-05,33,psiphon
0,0,0,62,2022-07-06,62,psiphon
2,0,0,51,2022-07-07,49,psiphon
0,0,0,36,2022-07-08,36,psiphon
2,0,0,28,2022-07-09,26,psiphon
2,0,0,54,2022-07-10,52,psiphon
0,0,0,42,2022-07-11,42,psiphon
0,0,0,74,2022-07-12,74,psiphon
0,0,0,48,2022-07-13,48,psiphon
0,0,0,54,2022-07-14,54,psiphon
3,0,0,46,2022-07-15,43,psiphon
1,0,0,50,2022-07-16,49,psiphon
