anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,45,2022-01-01,45,psiphon
0,0,0,58,2022-01-02,58,psiphon
0,0,0,23,2022-01-03,23,psiphon
0,0,0,49,2022-01-04,49,psiphon
0,0,0,43,2022-01-05,43,psiphon
0,0,0,40,2022-01-06,40,psiphon
1,0,0,53,2022-01-07,52,psiphon
0,0,0,34,2022-01-08,34,psiphon
1,0,0,23,2022-01-09,22,psiphon
0,0,0,60,2022-01-10,60,psiphon
1,0,0,53,2022-01-11,52,psiphon
1,0,0,68,2022-01-12,67,psiphon
0,0,0,45,2022-01-13,45,psiphon
0,0,0,37,2022-01-14,37,psiphon
0,0,0,35,2022-01-15,35,psiphon
0,0,0,39,2022-01-16,39,psiphon
0,0,0,63,2022-01-17,63,psiphon
0,0,0,37,2022-01-18,37,psiphon
0,0,0,66,2022-01-19,66,psiphon
1,0,0,71,2022-01-20,70,psiphon
0,0,0,85,2022-01-21,85,psiphon
0,0,0,74,2022-01-22,74,psiphon
0,0,0,99,2022-01-23,99,psiphon
1,0,0,107,2022-01-24,106,psiphon
0,0,0,96,2022-01-25,96,psiphon
0,0,0,121,2022-01-26,121,psiphon
0,0,0,118,2022-01-27,118,psiphon
0,0,0,125,2022-01-28,125,psiphon
0,0,0,97,2022-01-29,97,psiphon
0,0,0,105,2022-01-30,105,psiphon
0,0,0,96,2022-01-31,96,psiphon
0,0,0,92,2022-02-01,92,psiphon
0,0,0,128,2022-02-02,128,psiphon
0,0,0,90,2022-02-03,90,psiphon
0,0,0,75,2022-02-04,75,psiphon
0,0,0,70,2022-02-05,70,psiphon
0,0,0,108,2022-02-06,108,psiphon
0,0,0,100,2022-02-07,100,psiphon
1,0,0,113,2022-02-08,112,psiphon
0,0,0,97,2022-02-09,97,psiphon
0,0,0,63,2022-02-10,63,psiphon
0,0,0,84,2022-02-11,84,psiphon
0,0,0,94,2022-02-12,94,psiphon
0,0,0,70,2022-02-13,70,psiphon
0,0,0,68,2022-02-14,68,psiphon
0,0,0,74,2022-02-15,74,psiphon
0,0,0,68,2022-02-16,68,psiphon
0,0,0,50,2022-02-17,50,psiphon
0,0,0,65,2022-02-18,65,psiphon
0,0,0,59,2022-02-19,59,psiphon
1,0,0,80,2022-02-20,79,psiphon
1,0,0,78,2022-02-21,77,psiphon
0,0,0,78,2022-02-22,78,psiphon
0,0,0,87,2022-02-23,87,psiphon
0,0,0,79,2022-02-24,79,psiphon
0,0,0,63,2022-02-25,63,psiphon
0,0,0,57,2022-02-26,57,psiphon
0,0,0,64,2022-02-27,64,psiphon
2,0,0,91,2022-02-28,89,psiphon
0,0,0,106,2022-03-01,106,psiphon
0,0,0,94,2022-03-02,94,psiphon
0,0,0,82,2022-03-03,82,psiphon
0,0,0,94,2022-03-04,94,psiphon
0,0,0,81,2022-03-05,81,psiphon
0,0,0,94,2022-03-06,94,psiphon
1,0,0,63,2022-03-07,62,psiphon
0,0,0,75,2022-03-08,75,psiphon
0,0,0,93,2022-03-09,93,psiphon
0,0,0,73,2022-03-10,73,psiphon
0,0,0,87,2022-03-11,87,psiphon
0,0,1,84,2022-03-12,83,psiphon
0,0,0,86,2022-03-13,86,psiphon
0,0,0,95,2022-03-14,95,psiphon
1,0,0,111,2022-03-15,110,psiphon
1,0,0,109,2022-03-16,108,psiphon
1,0,0,89,2022-03-17,88,psiphon
1,0,0,106,2022-03-18,105,psiphon
0,0,0,120,2022-03-19,120,psiphon
0,0,0,71,2022-03-20,71,psiphon
1,0,0,88,2022-03-21,87,psiphon
0,0,1,82,2022-03-22,81,psiphon
0,0,1,91,2022-03-23,90,psiphon
0,0,0,84,2022-03-24,84,psiphon
1,0,0,82,2022-03-25,81,psiphon
0,0,0,102,2022-03-26,102,psiphon
0,0,0,101,2022-03-27,101,psiphon
0,0,0,110,2022-03-28,110,psiphon
0,0,0,84,2022-03-29,84,psiphon
1,0,0,90,2022-03-30,89,psiphon
0,0,0,91,2022-03-31,91,psiphon
0,0,0,86,2022-04-01,86,psiphon
0,0,0,103,2022-04-02,103,psiphon
0,0,0,95,2022-04-03,95,psiphon
0,0,0,83,2022-04-04,83,psiphon
0,0,0,126,2022-04-05,126,psiphon
0,0,0,118,2022-04-06,118,psiphon
0,0,0,95,2022-04-07,95,psiphon
0,0,0,96,2022-04-08,96,psiphon
0,0,0,88,2022-04-09,88,psiphon
0,0,0,115,2022-04-10,115,psiphon
0,0,0,104,2022-04-11,104,psiphon
0,0,0,99,2022-04-12,99,psiphon
0,0,0,101,2022-04-13,101,psiphon
0,0,0,62,2022-04-14,62,psiphon
0,0,0,89,2022-04-15,89,psiphon
1,0,0,98,2022-04-16,97,psiphon
0,0,0,89,2022-04-17,89,psiphon
0,0,0,70,2022-04-18,70,psiphon
0,0,0,86,2022-04-19,86,psiphon
1,0,0,96,2022-04-20,95,psiphon
0,0,0,100,2022-04-21,100,psiphon
0,0,0,77,2022-04-22,77,psiphon
0,0,0,78,2022-04-23,78,psiphon
0,0,0,103,2022-04-24,103,psiphon
1,0,0,109,2022-04-25,108,psiphon
0,0,0,112,2022-04-26,112,psiphon
0,0,0,125,2022-04-27,125,psiphon
0,0,0,113,2022-04-28,113,psiphon
2,0,0,93,2022-04-29,91,psiphon
0,0,0,117,2022-04-30,117,psiphon
0,0,0,105,2022-05-01,105,psiphon
1,0,0,95,2022-05-02,94,psiphon
0,0,0,114,2022-05-03,114,psiphon
2,0,0,79,2022-05-04,77,psiphon
1,0,0,105,2022-05-05,104,psiphon
0,0,0,100,2022-05-06,100,psiphon
0,0,0,103,2022-05-07,103,psiphon
0,0,0,80,2022-05-08,80,psiphon
0,0,0,109,2022-05-09,109,psiphon
0,0,0,138,2022-05-10,138,psiphon
1,0,0,117,2022-05-11,116,psiphon
0,0,0,105,2022-05-12,105,psiphon
0,0,0,107,2022-05-13,107,psiphon
1,0,0,83,2022-05-14,82,psiphon
0,0,0,104,2022-05-15,104,psiphon
0,0,0,134,2022-05-16,134,psiphon
0,0,0,98,2022-05-17,98,psiphon
0,0,0,101,2022-05-18,101,psiphon
0,0,0,96,2022-05-19,96,psiphon
1,0,0,110,2022-05-20,109,psiphon
1,0,0,65,2022-05-21,64,psiphon
0,0,0,72,2022-05-22,72,psiphon
0,0,0,88,2022-05-23,88,psiphon
0,0,0,96,2022-05-24,96,psiphon
0,0,0,119,2022-05-25,119,psiphon
0,0,0,123,2022-05-26,123,psiphon
1,0,0,125,2022-05-27,124,psiphon
0,0,0,101,2022-05-28,101,psiphon
0,0,0,105,2022-05-29,105,psiphon
1,0,0,117,2022-05-30,116,psiphon
0,0,0,111,2022-05-31,111,psiphon
0,0,0,127,2022-06-01,127,psiphon
0,0,0,120,2022-06-02,120,psiphon
1,0,0,119,2022-06-03,118,psiphon
0,0,0,86,2022-06-04,86,psiphon
0,0,0,76,2022-06-05,76,psiphon
1,0,0,109,2022-06-06,108,psiphon
0,0,0,139,2022-06-07,139,psiphon
1,0,0,112,2022-06-08,111,psiphon
0,0,0,123,2022-06-09,123,psiphon
0,0,0,116,2022-06-10,116,psiphon
1,0,0,108,2022-06-11,107,psiphon
0,0,0,73,2022-06-12,73,psiphon
0,0,0,123,2022-06-13,123,psiphon
0,0,0,123,2022-06-14,123,psiphon
0,0,0,132,2022-06-15,132,psiphon
0,0,0,115,2022-06-16,115,psiphon
0,0,0,111,2022-06-17,111,psiphon
0,0,0,93,2022-06-18,93,psiphon
0,0,0,78,2022-06-19,78,psiphon
0,0,0,77,2022-06-20,77,psiphon
0,0,0,130,2022-06-21,130,psiphon
0,0,0,137,2022-06-22,137,psiphon
0,0,0,161,2022-06-23,161,psiphon
0,0,0,183,2022-06-24,183,psiphon
0,0,0,134,2022-06-25,134,psiphon
0,0,0,144,2022-06-26,144,psiphon
0,0,0,135,2022-06-27,135,psiphon
0,0,0,174,2022-06-28,174,psiphon
0,0,0,178,2022-06-29,178,psiphon
0,0,0,128,2022-06-30,128,psiphon
0,0,0,125,2022-07-01,125,psiphon
1,0,0,117,2022-07-02,116,psiphon
