anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,45,2022-01-01,45,psiphon
1,0,0,61,2022-01-02,60,psiphon
2,0,0,63,2022-01-03,61,psiphon
2,0,0,56,2022-01-04,54,psiphon
0,0,0,98,2022-01-05,98,psiphon
1,0,0,66,2022-01-06,65,psiphon
0,0,0,64,2022-01-07,64,psiphon
0,0,0,53,2022-01-08,53,psiphon
0,0,0,29,2022-01-09,29,psiphon
0,0,0,24,2022-01-10,24,psiphon
0,0,0,32,2022-01-11,32,psiphon
1,0,0,51,2022-01-12,50,psiphon
1,0,0,57,2022-01-13,56,psiphon
2,0,0,62,2022-01-14,60,psiphon
1,0,0,53,2022-01-15,52,psiphon
3,0,0,51,2022-01-16,48,psiphon
0,0,0,56,2022-01-17,56,psiphon
3,0,0,63,2022-01-18,60,psiphon
2,0,0,71,2022-01-19,69,psiphon
3,0,0,59,2022-01-20,56,psiphon
3,0,0,63,2022-01-21,60,psiphon
0,0,0,62,2022-01-22,62,psiphon
0,0,0,60,2022-01-23,60,psiphon
0,0,0,68,2022-01-24,68,psiphon
0,0,0,72,2022-01-25,72,psiphon
0,0,0,34,2022-01-26,34,psiphon
0,0,0,50,2022-01-27,50,psiphon
0,0,0,42,2022-01-28,42,psiphon
0,0,0,32,2022-01-29,32,psiphon
0,0,0,37,2022-01-30,37,psiphon
0,0,0,18,2022-01-31,18,psiphon
0,0,0,10,2022-02-01,10,psiphon
0,0,0,38,2022-02-02,38,psiphon
0,0,0,57,2022-02-03,57,psiphon
1,0,0,51,2022-02-04,50,psiphon
0,0,0,33,2022-02-05,33,psiphon
0,0,0,45,2022-02-06,45,psiphon
0,0,0,57,2022-02-07,57,psiphon
0,0,0,48,2022-02-08,48,psiphon
3,0,0,57,2022-02-09,54,psiphon
0,0,0,54,2022-02-10,54,psiphon
1,0,0,55,2022-02-11,54,psiphon
0,0,0,58,2022-02-12,58,psiphon
0,0,0,51,2022-02-13,51,psiphon
0,0,0,66,2022-02-14,66,psiphon
0,0,0,58,2022-02-15,58,psiphon
0,0,0,55,2022-02-16,55,psiphon
0,0,1,66,2022-02-17,65,psiphon
2,0,0,61,2022-02-18,59,psiphon
0,0,0,58,2022-02-19,58,psiphon
2,0,0,55,2022-02-20,53,psiphon
0,0,0,52,2022-02-21,52,psiphon
0,0,0,36,2022-02-22,36,psiphon
0,0,0,70,2022-02-23,70,psiphon
0,0,0,51,2022-02-24,51,psiphon
0,0,0,44,2022-02-25,44,psiphon
0,0,0,52,2022-02-26,52,psiphon
1,0,0,56,2022-02-27,55,psiphon
2,0,0,54,2022-02-28,52,psiphon
2,0,0,60,2022-03-01,58,psiphon
1,0,0,62,2022-03-02,61,psiphon
0,0,0,56,2022-03-03,56,psiphon
0,0,0,53,2022-03-04,53,psiphon
0,0,0,53,2022-03-05,53,psiphon
2,0,0,63,2022-03-06,61,psiphon
0,0,0,56,2022-03-07,56,psiphon
0,0,0,55,2022-03-08,55,psiphon
0,0,0,43,2022-03-09,43,psiphon
0,0,0,32,2022-03-10,32,psiphon
3,0,0,42,2022-03-11,39,psiphon
0,0,0,49,2022-03-12,49,psiphon
0,0,0,55,2022-03-13,55,psiphon
0,0,0,37,2022-03-14,37,psiphon
0,0,0,18,2022-03-15,18,psiphon
0,0,0,67,2022-03-16,67,psiphon
3,0,0,62,2022-03-17,59,psiphon
5,0,0,82,2022-03-18,77,psiphon
2,0,0,42,2022-03-19,40,psiphon
0,0,0,56,2022-03-20,56,psiphon
0,0,0,55,2022-03-21,55,psiphon
0,0,0,68,2022-03-22,68,psiphon
0,0,0,52,2022-03-23,52,psiphon
2,0,0,38,2022-03-24,36,psiphon
0,0,0,51,2022-03-25,51,psiphon
0,0,0,49,2022-03-26,49,psiphon
0,0,0,56,2022-03-27,56,psiphon
0,0,0,58,2022-03-28,58,psiphon
0,0,0,57,2022-03-29,57,psiphon
0,0,0,36,2022-03-30,36,psiphon
0,0,0,48,2022-03-31,48,psiphon
0,0,0,35,2022-04-01,35,psiphon
0,0,0,20,2022-04-02,20,psiphon
1,0,0,46,2022-04-03,45,psiphon
1,0,0,49,2022-04-04,48,psiphon
0,0,0,63,2022-04-05,63,psiphon
1,0,0,48,2022-04-06,47,psiphon
0,0,0,49,2022-04-07,49,psiphon
0,0,0,48,2022-04-08,48,psiphon
0,0,0,53,2022-04-09,53,psiphon
0,0,0,45,2022-04-10,45,psiphon
1,0,0,55,2022-04-11,54,psiphon
0,0,0,69,2022-04-12,69,psiphon
0,0,0,59,2022-04-13,59,psiphon
1,0,0,62,2022-04-14,61,psiphon
0,0,0,29,2022-04-15,29,psiphon
0,0,0,52,2022-04-16,52,psiphon
0,0,0,40,2022-04-17,40,psiphon
1,0,0,63,2022-04-18,62,psiphon
0,0,0,58,2022-04-19,58,psiphon
0,0,0,63,2022-04-20,63,psiphon
2,0,0,56,2022-04-21,54,psiphon
0,0,0,70,2022-04-22,70,psiphon
0,0,0,44,2022-04-23,44,psiphon
0,0,0,57,2022-04-24,57,psiphon
0,0,0,88,2022-04-25,88,psiphon
0,0,0,69,2022-04-26,69,psiphon
0,0,0,80,2022-04-27,80,psiphon
1,0,0,55,2022-04-28,54,psiphon
1,0,0,75,2022-04-29,74,psiphon
2,0,0,58,2022-04-30,56,psiphon
0,0,0,48,2022-05-01,48,psiphon
1,0,0,47,2022-05-02,46,psiphon
0,0,0,37,2022-05-03,37,psiphon
0,0,0,15,2022-05-04,15,psiphon
1,0,0,61,2022-05-05,60,psiphon
0,0,0,28,2022-05-06,28,psiphon
0,0,0,44,2022-05-07,44,psiphon
0,0,0,46,2022-05-08,46,psiphon
0,0,0,62,2022-05-09,62,psiphon
0,0,0,69,2022-05-10,69,psiphon
0,0,0,72,2022-05-11,72,psiphon
0,0,0,66,2022-05-12,66,psiphon
0,0,0,41,2022-05-13,41,psiphon
0,0,0,51,2022-05-14,51,psiphon
0,0,0,52,2022-05-15,52,psiphon
0,0,0,74,2022-05-16,74,psiphon
0,0,0,81,2022-05-17,81,psiphon
0,0,0,95,2022-05-18,95,psiphon
0,0,0,75,2022-05-19,75,psiphon
1,0,0,80,2022-05-20,79,psiphon
1,0,0,84,2022-05-21,83,psiphon
1,0,0,80,2022-05-22,79,psiphon
0,0,0,65,2022-05-23,65,psiphon
0,0,0,93,2022-05-24,93,psiphon
0,0,0,73,2022-05-25,73,psiphon
1,0,0,82,2022-05-26,81,psiphon
2,0,0,73,2022-05-27,71,psiphon
13,0,0,74,2022-05-28,61,psiphon
12,0,0,81,2022-05-29,69,psiphon
3,0,0,75,2022-05-30,72,psiphon
3,0,0,88,2022-05-31,85,psiphon
9,0,0,71,2022-06-01,62,psiphon
2,0,0,75,2022-06-02,73,psiphon
0,0,0,101,2022-06-03,101,psiphon
1,0,0,92,2022-06-04,91,psiphon
0,0,0,76,2022-06-05,76,psiphon
0,0,0,60,2022-06-06,60,psiphon
0,0,0,86,2022-06-07,86,psiphon
1,0,0,76,2022-06-08,75,psiphon
2,0,0,77,2022-06-09,75,psiphon
0,0,0,70,2022-06-10,70,psiphon
0,0,0,67,2022-06-11,67,psiphon
0,0,0,71,2022-06-12,71,psiphon
0,0,0,85,2022-06-13,85,psiphon
0,0,0,100,2022-06-14,100,psiphon
0,0,0,99,2022-06-15,99,psiphon
0,0,0,88,2022-06-16,88,psiphon
0,0,0,82,2022-06-17,82,psiphon
0,0,0,44,2022-06-18,44,psiphon
0,0,0,28,2022-06-19,28,psiphon
0,0,0,71,2022-06-20,71,psiphon
0,0,0,52,2022-06-21,52,psiphon
0,0,0,76,2022-06-22,76,psiphon
0,0,0,47,2022-06-23,47,psiphon
0,0,0,52,2022-06-24,52,psiphon
0,0,0,49,2022-06-25,49,psiphon
0,0,0,71,2022-06-26,71,psiphon
0,0,0,80,2022-06-27,80,psiphon
0,0,0,88,2022-06-28,88,psiphon
0,0,0,98,2022-06-29,98,psiphon
0,0,0,69,2022-06-30,69,psiphon
0,0,0,71,2022-07-01,71,psiphon
0,0,0,58,2022-07-02,58,psiphon
0,0,0,40,2022-07-03,40,psiphon
0,0,0,71,2022-07-04,71,psiphon
1,0,0,55,2022-07-05,54,psiphon
0,0,0,72,2022-07-06,72,psiphon
0,0,0,57,2022-07-07,57,psiphon
1,0,0,79,2022-07-08,78,psiphon
