anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-05,1,psiphon
0,0,0,4,2022-01-17,4,psiphon
0,0,0,2,2022-01-18,2,psiphon
1,0,0,5,2022-01-19,4,psiphon
0,0,0,5,2022-01-20,5,psiphon
0,0,0,7,2022-01-27,7,psiphon
0,0,0,1,2022-01-28,1,psiphon
0,0,0,1,2022-01-30,1,psiphon
0,0,0,6,2022-01-31,6,psiphon
0,0,0,9,2022-02-01,9,psiphon
1,0,0,4,2022-02-02,3,psiphon
1,0,0,10,2022-02-04,9,psiphon
0,0,0,4,2022-02-07,4,psiphon
0,0,0,6,2022-02-08,6,psiphon
1,0,0,7,2022-02-09,6,psiphon
0,0,0,7,2022-02-10,7,psiphon
0,0,0,3,2022-02-15,3,psiphon
0,0,0,2,2022-02-17,2,psiphon
0,0,0,1,2022-02-21,1,psiphon
0,0,0,1,2022-02-22,1,psiphon
3,0,0,3,2022-02-23,0,psiphon
1,0,0,3,2022-02-24,2,psiphon
0,0,0,7,2022-02-25,7,psiphon
0,0,0,8,2022-02-28,8,psiphon
1,0,0,7,2022-03-01,6,psiphon
0,0,0,1,2022-03-02,1,psiphon
0,0,0,2,2022-03-04,2,psiphon
0,0,0,1,2022-03-07,1,psiphon
1,0,0,6,2022-03-09,5,psiphon
3,0,0,10,2022-03-10,7,psiphon
1,0,0,7,2022-03-11,6,psiphon
0,0,0,1,2022-03-22,1,psiphon
0,0,0,1,2022-03-23,1,psiphon
2,0,0,16,2022-03-24,14,psiphon
1,0,0,10,2022-03-25,9,psiphon
0,0,0,1,2022-03-27,1,psiphon
0,0,0,1,2022-03-28,1,psiphon
0,0,0,1,2022-04-04,1,psiphon
0,0,0,1,2022-04-06,1,psiphon
0,0,0,1,2022-04-14,1,psiphon
2,0,0,3,2022-04-27,1,psiphon
0,0,0,2,2022-05-03,2,psiphon
0,0,0,1,2022-05-11,1,psiphon
0,0,0,1,2022-05-12,1,psiphon
0,0,0,1,2022-05-16,1,psiphon
1,0,0,2,2022-05-18,1,psiphon
0,0,0,10,2022-06-03,10,psiphon
0,0,0,1,2022-06-06,1,psiphon
0,0,0,5,2022-06-07,5,psiphon
0,0,0,2,2022-06-08,2,psiphon
0,0,0,2,2022-06-13,2,psiphon
1,0,0,1,2022-06-14,0,psiphon
0,0,0,3,2022-06-15,3,psiphon
1,0,0,5,2022-06-20,4,psiphon
0,0,0,4,2022-06-21,4,psiphon
0,0,0,1,2022-06-23,1,psiphon
0,0,0,7,2022-06-27,7,psiphon
0,0,0,5,2022-06-28,5,psiphon
0,0,0,4,2022-06-29,4,psiphon
1,0,0,5,2022-07-01,4,psiphon
0,0,0,1,2022-07-02,1,psiphon
0,0,0,3,2022-07-06,3,psiphon
0,0,0,3,2022-07-08,3,psiphon
0,0,0,2,2022-07-11,2,psiphon
0,0,0,2,2022-07-12,2,psiphon
0,0,0,3,2022-07-13,3,psiphon
0,0,0,1,2022-07-15,1,psiphon
0,0,0,1,2022-07-17,1,psiphon
0,0,0,4,2022-07-18,4,psiphon
0,0,0,2,2022-07-20,2,psiphon
0,0,0,1,2022-07-21,1,psiphon
0,0,0,3,2022-07-22,3,psiphon
0,0,0,2,2022-07-25,2,psiphon
1,0,0,3,2022-07-26,2,psiphon
1,0,0,3,2022-07-27,2,psiphon
0,0,0,3,2022-07-29,3,psiphon
0,0,0,12,2022-07-30,12,psiphon
0,0,0,9,2022-07-31,9,psiphon
0,0,0,2,2022-08-01,2,psiphon
1,0,0,7,2022-08-02,6,psiphon
