anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-07,1,psiphon
0,0,0,1,2022-01-08,1,psiphon
0,0,0,1,2022-01-21,1,psiphon
0,0,0,1,2022-01-26,1,psiphon
0,0,0,2,2022-01-27,2,psiphon
0,0,0,1,2022-02-07,1,psiphon
0,0,0,5,2022-02-10,5,psiphon
0,0,0,5,2022-02-11,5,psiphon
0,0,0,6,2022-02-12,6,psiphon
0,0,0,3,2022-02-13,3,psiphon
0,0,0,6,2022-02-14,6,psiphon
0,0,0,9,2022-02-15,9,psiphon
0,0,0,5,2022-02-16,5,psiphon
0,0,0,6,2022-02-17,6,psiphon
0,0,0,7,2022-02-18,7,psiphon
0,0,0,9,2022-02-20,9,psiphon
0,0,0,6,2022-02-21,6,psiphon
0,0,0,4,2022-02-22,4,psiphon
0,0,0,1,2022-02-23,1,psiphon
0,0,0,10,2022-02-24,10,psiphon
0,0,0,1,2022-02-25,1,psiphon
0,0,0,2,2022-02-26,2,psiphon
0,0,0,2,2022-02-27,2,psiphon
0,0,0,2,2022-02-28,2,psiphon
0,0,0,6,2022-03-02,6,psiphon
0,0,0,3,2022-03-03,3,psiphon
0,0,0,2,2022-03-04,2,psiphon
0,0,0,2,2022-03-07,2,psiphon
0,0,0,6,2022-03-08,6,psiphon
0,0,0,3,2022-03-09,3,psiphon
0,0,0,5,2022-03-10,5,psiphon
0,0,0,3,2022-03-11,3,psiphon
0,0,0,3,2022-03-12,3,psiphon
0,0,0,3,2022-03-13,3,psiphon
0,0,0,1,2022-03-14,1,psiphon
0,0,0,5,2022-03-15,5,psiphon
0,0,0,6,2022-03-16,6,psiphon
0,0,0,7,2022-03-17,7,psiphon
0,0,0,4,2022-03-18,4,psiphon
0,0,0,8,2022-03-20,8,psiphon
0,0,0,3,2022-03-21,3,psiphon
0,0,0,7,2022-03-22,7,psiphon
0,0,0,4,2022-03-23,4,psiphon
0,0,0,6,2022-03-24,6,psiphon
0,0,0,1,2022-03-25,1,psiphon
0,0,0,1,2022-03-26,1,psiphon
0,0,0,6,2022-03-27,6,psiphon
0,0,0,3,2022-03-28,3,psiphon
0,0,0,4,2022-03-29,4,psiphon
0,0,0,8,2022-03-30,8,psiphon
0,0,0,6,2022-03-31,6,psiphon
0,0,0,6,2022-04-01,6,psiphon
0,0,0,6,2022-04-03,6,psiphon
0,0,0,3,2022-04-04,3,psiphon
0,0,0,5,2022-04-05,5,psiphon
0,0,0,3,2022-04-06,3,psiphon
0,0,0,5,2022-04-08,5,psiphon
0,0,0,3,2022-04-09,3,psiphon
0,0,0,3,2022-04-10,3,psiphon
0,0,0,3,2022-04-11,3,psiphon
0,0,0,3,2022-04-12,3,psiphon
0,0,0,3,2022-04-13,3,psiphon
0,0,0,4,2022-04-14,4,psiphon
0,0,0,3,2022-04-15,3,psiphon
0,0,0,3,2022-04-16,3,psiphon
0,0,0,5,2022-04-17,5,psiphon
0,0,0,7,2022-04-18,7,psiphon
0,0,0,5,2022-04-19,5,psiphon
0,0,0,3,2022-04-20,3,psiphon
0,0,0,3,2022-04-21,3,psiphon
0,0,0,11,2022-04-22,11,psiphon
0,0,0,7,2022-04-23,7,psiphon
0,0,0,13,2022-04-24,13,psiphon
0,0,0,4,2022-04-25,4,psiphon
0,0,0,3,2022-04-26,3,psiphon
0,0,0,6,2022-04-27,6,psiphon
