anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-05,1,psiphon
0,0,0,1,2022-01-06,1,psiphon
0,0,0,2,2022-01-12,2,psiphon
0,0,0,5,2022-01-13,5,psiphon
0,0,0,1,2022-01-19,1,psiphon
0,0,0,6,2022-01-21,6,psiphon
0,0,0,1,2022-03-01,1,psiphon
0,0,0,2,2022-03-04,2,psiphon
0,0,0,1,2022-03-19,1,psiphon
0,0,0,1,2022-04-01,1,psiphon
0,0,0,1,2022-04-10,1,psiphon
0,0,0,1,2022-04-17,1,psiphon
0,0,0,1,2022-04-25,1,psiphon
0,0,0,1,2022-04-29,1,psiphon
0,0,0,1,2022-05-20,1,psiphon
0,0,0,1,2022-05-23,1,psiphon
0,0,0,1,2022-06-09,1,psiphon
0,0,0,1,2022-06-19,1,psiphon
0,0,0,2,2022-06-28,2,psiphon
0,0,0,1,2022-07-08,1,psiphon
0,0,0,1,2022-07-15,1,psiphon
0,0,0,2,2022-07-16,2,psiphon
0,0,0,1,2022-07-30,1,psiphon
0,0,0,2,2022-08-04,2,psiphon
0,0,0,1,2022-08-06,1,psiphon
0,0,0,10,2022-08-16,10,psiphon
0,0,0,5,2022-08-18,5,psiphon
0,0,0,5,2022-09-10,5,psiphon
0,0,0,12,2022-09-11,12,psiphon
0,0,0,2,2022-09-14,2,psiphon
0,0,0,9,2022-09-18,9,psiphon
0,0,0,5,2022-09-21,5,psiphon
0,0,0,4,2022-09-22,4,psiphon
0,0,0,4,2022-09-23,4,psiphon
0,0,0,3,2022-09-24,3,psiphon
0,0,0,1,2022-09-28,1,psiphon
0,0,0,3,2022-09-30,3,psiphon
0,0,0,2,2022-10-08,2,psiphon
0,0,0,3,2022-10-10,3,psiphon
0,0,0,1,2022-10-13,1,psiphon
0,0,0,5,2022-10-14,5,psiphon
0,0,0,2,2022-10-17,2,psiphon
0,0,0,4,2022-10-18,4,psiphon
0,0,0,1,2022-10-19,1,psiphon
0,0,0,3,2022-10-25,3,psiphon
0,0,0,7,2022-10-26,7,psiphon
0,0,0,4,2022-10-29,4,psiphon
0,0,0,1,2022-10-30,1,psiphon
0,0,0,1,2022-11-03,1,psiphon
0,0,0,3,2022-11-05,3,psiphon
0,0,0,3,2022-11-08,3,psiphon
0,0,0,4,2022-11-10,4,psiphon
0,0,0,4,2022-11-12,4,psiphon
0,0,0,3,2022-11-14,3,psiphon
0,0,0,2,2022-11-16,2,psiphon
0,0,0,1,2022-11-20,1,psiphon
0,0,0,5,2022-11-21,5,psiphon
0,0,0,1,2022-11-22,1,psiphon
0,0,0,1,2022-11-23,1,psiphon
0,0,0,9,2022-11-24,9,psiphon
0,0,0,4,2022-11-25,4,psiphon
0,0,0,1,2022-11-29,1,psiphon
0,0,0,4,2022-11-30,4,psiphon
0,0,0,1,2022-12-04,1,psiphon
0,0,0,5,2022-12-10,5,psiphon
0,0,0,2,2022-12-18,2,psiphon
0,0,0,3,2022-12-19,3,psiphon
0,0,0,1,2022-12-20,1,psiphon
0,0,0,2,2022-12-21,2,psiphon
0,0,0,2,2022-12-22,2,psiphon
0,0,0,2,2022-12-24,2,psiphon
0,0,0,2,2022-12-26,2,psiphon
0,0,0,1,2022-12-28,1,psiphon
0,0,0,1,2022-12-30,1,psiphon
0,0,12,12,2022-01-05,0,stunreachability
0,0,12,12,2022-01-06,0,stunreachability
0,0,12,12,2022-01-12,0,stunreachability
0,0,24,24,2022-01-13,0,stunreachability
0,0,12,12,2022-01-19,0,stunreachability
0,0,0,12,2022-03-01,12,stunreachability
0,0,0,12,2022-03-19,12,stunreachability
0,0,0,12,2022-04-01,12,stunreachability
0,0,0,12,2022-04-17,12,stunreachability
