anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,5,2022-01-01,5,psiphon
0,0,0,10,2022-01-03,10,psiphon
0,0,0,6,2022-01-04,6,psiphon
0,0,0,12,2022-01-05,12,psiphon
0,0,0,13,2022-01-06,13,psiphon
0,0,0,4,2022-01-07,4,psiphon
0,0,0,5,2022-01-08,5,psiphon
0,0,0,8,2022-01-09,8,psiphon
0,0,0,11,2022-01-10,11,psiphon
0,0,0,9,2022-01-11,9,psiphon
0,0,0,7,2022-01-12,7,psiphon
0,0,0,16,2022-01-13,16,psiphon
0,0,0,14,2022-01-14,14,psiphon
0,0,0,7,2022-01-15,7,psiphon
0,0,0,13,2022-01-16,13,psiphon
0,0,0,15,2022-01-17,15,psiphon
0,0,0,18,2022-01-18,18,psiphon
0,0,0,13,2022-01-19,13,psiphon
0,0,0,12,2022-01-20,12,psiphon
0,0,0,9,2022-01-21,9,psiphon
0,0,0,9,2022-01-22,9,psiphon
0,0,0,14,2022-01-23,14,psiphon
0,0,0,19,2022-01-24,19,psiphon
0,0,0,20,2022-01-25,20,psiphon
0,0,0,26,2022-01-26,26,psiphon
0,0,0,11,2022-01-27,11,psiphon
0,0,0,15,2022-01-28,15,psiphon
0,0,0,9,2022-01-29,9,psiphon
0,0,0,16,2022-01-30,16,psiphon
0,0,0,17,2022-01-31,17,psiphon
0,0,0,21,2022-02-01,21,psiphon
0,0,0,27,2022-02-02,27,psiphon
0,0,0,22,2022-02-03,22,psiphon
0,0,0,21,2022-02-04,21,psiphon
0,0,0,9,2022-02-05,9,psiphon
0,0,0,20,2022-02-06,20,psiphon
0,0,0,25,2022-02-07,25,psiphon
0,0,0,14,2022-02-08,14,psiphon
1,0,0,17,2022-02-09,16,psiphon
0,0,0,23,2022-02-10,23,psiphon
0,0,0,14,2022-02-11,14,psiphon
1,0,0,11,2022-02-12,10,psiphon
0,0,0,12,2022-02-13,12,psiphon
0,0,0,9,2022-02-14,9,psiphon
0,0,0,17,2022-02-15,17,psiphon
0,0,0,19,2022-02-16,19,psiphon
0,0,0,25,2022-02-17,25,psiphon
0,0,0,18,2022-02-18,18,psiphon
0,0,0,8,2022-02-19,8,psiphon
0,0,0,5,2022-02-20,5,psiphon
0,0,0,18,2022-02-21,18,psiphon
0,0,0,21,2022-02-22,21,psiphon
0,0,0,9,2022-02-23,9,psiphon
0,0,0,19,2022-02-24,19,psiphon
0,0,0,16,2022-02-25,16,psiphon
0,0,0,7,2022-02-26,7,psiphon
0,0,0,6,2022-02-27,6,psiphon
0,0,0,27,2022-02-28,27,psiphon
0,0,0,11,2022-03-01,11,psiphon
0,0,0,12,2022-03-02,12,psiphon
0,0,0,19,2022-03-03,19,psiphon
0,0,0,11,2022-03-04,11,psiphon
0,0,0,12,2022-03-05,12,psiphon
0,0,0,9,2022-03-06,9,psiphon
0,0,0,7,2022-03-07,7,psiphon
0,0,0,10,2022-03-08,10,psiphon
0,0,0,19,2022-03-09,19,psiphon
0,0,0,8,2022-03-10,8,psiphon
0,0,0,19,2022-03-11,19,psiphon
0,0,0,16,2022-03-12,16,psiphon
0,0,0,8,2022-03-13,8,psiphon
1,0,0,8,2022-03-14,7,psiphon
0,0,0,9,2022-03-15,9,psiphon
0,0,0,2,2022-03-16,2,psiphon
0,0,0,9,2022-03-17,9,psiphon
0,0,0,2,2022-03-18,2,psiphon
0,0,0,8,2022-03-19,8,psiphon
0,0,0,13,2022-03-20,13,psiphon
0,0,0,10,2022-03-21,10,psiphon
0,0,0,9,2022-03-22,9,psiphon
0,0,0,4,2022-03-23,4,psiphon
0,0,0,8,2022-03-24,8,psiphon
0,0,0,18,2022-03-25,18,psiphon
0,0,0,11,2022-03-26,11,psiphon
0,0,0,16,2022-03-27,16,psiphon
0,0,0,22,2022-03-28,22,psiphon
0,0,0,16,2022-03-29,16,psiphon
0,0,0,26,2022-03-30,26,psiphon
0,0,0,17,2022-03-31,17,psiphon
0,0,0,25,2022-04-01,25,psiphon
0,0,0,12,2022-04-02,12,psiphon
0,0,0,14,2022-04-03,14,psiphon
0,0,0,26,2022-04-04,26,psiphon
0,0,0,12,2022-04-05,12,psiphon
0,0,0,21,2022-04-06,21,psiphon
0,0,0,12,2022-04-07,12,psiphon
0,0,0,14,2022-04-08,14,psiphon
0,0,0,8,2022-04-09,8,psiphon
0,0,0,11,2022-04-10,11,psiphon
0,0,0,18,2022-04-11,18,psiphon
0,0,0,16,2022-04-12,16,psiphon
0,0,0,13,2022-04-13,13,psiphon
0,0,0,12,2022-04-14,12,psiphon
0,0,0,7,2022-04-15,7,psiphon
0,0,0,6,2022-04-16,6,psiphon
0,0,0,12,2022-04-17,12,psiphon
0,0,0,19,2022-04-18,19,psiphon
0,0,0,22,2022-04-19,22,psiphon
0,0,0,13,2022-04-20,13,psiphon
0,0,0,16,2022-04-21,16,psiphon
0,0,0,31,2022-04-22,31,psiphon
0,0,0,18,2022-04-23,18,psiphon
0,0,0,3,2022-04-24,3,psiphon
0,0,0,13,2022-04-25,13,psiphon
0,0,0,27,2022-04-26,27,psiphon
0,0,0,16,2022-04-27,16,psiphon
0,0,0,11,2022-04-28,11,psiphon
0,0,0,18,2022-04-29,18,psiphon
0,0,0,8,2022-04-30,8,psiphon
0,0,0,5,2022-05-01,5,psiphon
0,0,0,22,2022-05-02,22,psiphon
0,0,0,9,2022-05-03,9,psiphon
0,0,0,13,2022-05-04,13,psiphon
0,0,0,9,2022-05-05,9,psiphon
0,0,0,13,2022-05-06,13,psiphon
0,0,0,3,2022-05-07,3,psiphon
0,0,0,10,2022-05-08,10,psiphon
0,0,0,11,2022-05-09,11,psiphon
0,0,0,18,2022-05-10,18,psiphon
0,0,0,10,2022-05-11,10,psiphon
0,0,0,13,2022-05-12,13,psiphon
0,0,0,9,2022-05-13,9,psiphon
0,0,0,18,2022-05-14,18,psiphon
0,0,0,8,2022-05-15,8,psiphon
0,0,0,13,2022-05-16,13,psiphon
0,0,0,10,2022-05-17,10,psiphon
0,0,0,5,2022-05-18,5,psiphon
0,0,0,11,2022-05-19,11,psiphon
