anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-09,1,psiphon
0,0,0,2,2022-01-11,2,psiphon
0,0,0,1,2022-04-20,1,psiphon
0,0,0,1,2022-06-24,1,psiphon
0,0,0,1,2022-06-27,1,psiphon
0,0,0,1,2022-06-29,1,psiphon
0,0,0,1,2022-07-14,1,psiphon
0,0,0,1,2022-08-02,1,psiphon
1,0,0,1,2022-10-17,0,psiphon
0,0,12,12,2022-01-09,0,stunreachability
0,0,0,12,2022-06-24,12,stunreachability
0,0,0,12,2022-06-27,12,stunreachability
1,0,0,12,2022-06-29,11,stunreachability
0,0,0,12,2022-07-14,12,stunreachability
0,0,0,12,2022-08-02,12,stunreachability
0,0,0,12,2022-09-06,12,stunreachability
0,0,0,1,2022-01-09,1,tor
0,0,0,2,2022-01-11,2,tor
0,0,0,1,2022-06-24,1,tor
0,0,0,1,2022-06-27,1,tor
0,0,0,1,2022-06-29,1,tor
0,0,0,1,2022-07-14,1,tor
0,0,0,1,2022-08-02,1,tor
1,0,0,1,2022-06-29,0,torsf
0,0,0,1,2022-07-14,1,torsf
