anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-08,1,psiphon
0,0,0,1,2022-01-11,1,psiphon
0,0,0,1,2022-01-13,1,psiphon
0,0,0,3,2022-01-15,3,psiphon
0,0,0,1,2022-01-20,1,psiphon
0,0,0,1,2022-01-29,1,psiphon
0,0,0,1,2022-01-30,1,psiphon
0,0,0,1,2022-02-01,1,psiphon
0,0,0,4,2022-02-03,4,psiphon
0,0,0,5,2022-02-04,5,psiphon
0,0,0,13,2022-02-05,13,psiphon
0,0,0,6,2022-02-06,6,psiphon
0,0,0,2,2022-02-07,2,psiphon
0,0,0,3,2022-02-08,3,psiphon
0,0,0,3,2022-02-09,3,psiphon
0,0,0,8,2022-02-10,8,psiphon
0,0,0,5,2022-02-11,5,psiphon
0,0,0,15,2022-02-12,15,psiphon
0,0,0,6,2022-02-13,6,psiphon
0,0,0,7,2022-02-14,7,psiphon
0,0,0,3,2022-02-15,3,psiphon
0,0,0,3,2022-02-16,3,psiphon
0,0,0,2,2022-02-18,2,psiphon
0,0,0,1,2022-02-19,1,psiphon
0,0,0,3,2022-02-20,3,psiphon
0,0,0,2,2022-02-23,2,psiphon
0,0,0,1,2022-02-24,1,psiphon
0,0,0,3,2022-02-26,3,psiphon
0,0,0,5,2022-02-28,5,psiphon
0,0,0,1,2022-03-01,1,psiphon
0,0,0,2,2022-03-02,2,psiphon
0,0,0,3,2022-03-03,3,psiphon
0,0,0,1,2022-03-04,1,psiphon
0,0,0,1,2022-03-06,1,psiphon
0,0,0,2,2022-03-10,2,psiphon
0,0,0,2,2022-03-15,2,psiphon
0,0,0,4,2022-03-16,4,psiphon
0,0,0,1,2022-03-19,1,psiphon
0,0,0,3,2022-03-21,3,psiphon
0,0,0,3,2022-03-22,3,psiphon
0,0,0,2,2022-03-24,2,psiphon
0,0,0,4,2022-03-30,4,psiphon
0,0,0,1,2022-03-31,1,psiphon
0,0,0,4,2022-04-01,4,psiphon
0,0,0,3,2022-04-02,3,psiphon
0,0,0,4,2022-04-04,4,psiphon
0,0,0,3,2022-04-06,3,psiphon
0,0,0,1,2022-04-07,1,psiphon
0,0,0,4,2022-04-09,4,psiphon
0,0,0,2,2022-04-10,2,psiphon
0,0,0,1,2022-04-11,1,psiphon
0,0,0,6,2022-04-14,6,psiphon
0,0,0,4,2022-04-15,4,psiphon
0,0,0,2,2022-04-16,2,psiphon
0,0,0,2,2022-04-17,2,psiphon
0,0,0,1,2022-04-18,1,psiphon
0,0,0,11,2022-04-19,11,psiphon
0,0,0,1,2022-04-20,1,psiphon
0,0,0,2,2022-04-24,2,psiphon
0,0,0,1,2022-04-25,1,psiphon
0,0,0,2,2022-04-27,2,psiphon
0,0,0,5,2022-04-28,5,psiphon
0,0,0,1,2022-04-29,1,psiphon
0,0,0,4,2022-04-30,4,psiphon
0,0,0,2,2022-05-01,2,psiphon
0,0,0,3,2022-05-02,3,psiphon
0,0,0,2,2022-05-03,2,psiphon
0,0,0,2,2022-05-04,2,psiphon
0,0,0,1,2022-05-05,1,psiphon
0,0,0,1,2022-05-06,1,psiphon
0,0,0,3,2022-05-10,3,psiphon
0,0,0,1,2022-05-12,1,psiphon
0,0,0,3,2022-05-16,3,psiphon
0,0,0,4,2022-05-17,4,psiphon
0,0,0,1,2022-05-18,1,psiphon
0,0,0,2,2022-05-21,2,psiphon
0,0,0,5,2022-05-22,5,psiphon
0,0,0,2,2022-05-24,2,psiphon
0,0,0,2,2022-05-25,2,psiphon
0,0,0,1,2022-05-28,1,psiphon
0,0,0,2,2022-05-29,2,psiphon
0,0,0,2,2022-05-31,2,psiphon
0,0,0,5,2022-06-01,5,psiphon
0,0,0,1,2022-06-04,1,psiphon
0,0,0,6,2022-06-06,6,psiphon
0,0,0,4,2022-06-08,4,psiphon
0,0,0,6,2022-06-10,6,psiphon
0,0,0,8,2022-06-12,8,psiphon
0,0,0,5,2022-06-14,5,psiphon
0,0,0,5,2022-06-15,5,psiphon
