anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,9,2022-01-01,9,psiphon
0,0,0,18,2022-01-02,18,psiphon
0,0,0,25,2022-01-03,25,psiphon
0,0,0,5,2022-01-04,5,psiphon
0,0,0,9,2022-01-05,9,psiphon
0,0,0,8,2022-01-06,8,psiphon
0,0,0,3,2022-01-07,3,psiphon
0,0,0,12,2022-01-08,12,psiphon
0,0,0,10,2022-01-09,10,psiphon
0,0,0,42,2022-01-10,42,psiphon
0,0,0,27,2022-01-11,27,psiphon
0,0,0,34,2022-01-12,34,psiphon
0,0,0,43,2022-01-13,43,psiphon
0,0,0,38,2022-01-14,38,psiphon
0,0,0,37,2022-01-15,37,psiphon
0,0,0,32,2022-01-16,32,psiphon
0,0,0,12,2022-01-17,12,psiphon
0,0,0,20,2022-01-18,20,psiphon
0,0,0,15,2022-01-19,15,psiphon
0,0,0,18,2022-01-20,18,psiphon
0,0,0,25,2022-01-21,25,psiphon
0,0,0,17,2022-01-22,17,psiphon
0,0,0,33,2022-01-23,33,psiphon
0,0,0,26,2022-01-24,26,psiphon
0,0,0,8,2022-01-25,8,psiphon
0,0,0,17,2022-01-26,17,psiphon
0,0,0,19,2022-01-27,19,psiphon
0,0,0,26,2022-01-28,26,psiphon
0,0,0,5,2022-01-29,5,psiphon
0,0,0,7,2022-01-30,7,psiphon
0,0,0,30,2022-01-31,30,psiphon
0,0,0,22,2022-02-01,22,psiphon
0,0,0,29,2022-02-02,29,psiphon
0,0,0,22,2022-02-03,22,psiphon
0,0,0,23,2022-02-04,23,psiphon
0,0,0,15,2022-02-05,15,psiphon
0,0,0,14,2022-02-06,14,psiphon
1,0,0,38,2022-02-07,37,psiphon
0,0,0,30,2022-02-08,30,psiphon
0,0,0,39,2022-02-09,39,psiphon
0,0,0,27,2022-02-10,27,psiphon
1,0,0,53,2022-02-11,52,psiphon
0,0,0,54,2022-02-12,54,psiphon
1,0,0,66,2022-02-13,65,psiphon
0,0,0,26,2022-02-14,26,psiphon
