anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
488,0,0,1175,2022-01-01,687,psiphon
513,0,0,1211,2022-01-02,698,psiphon
486,0,0,1181,2022-01-03,695,psiphon
549,0,0,1200,2022-01-04,651,psiphon
617,0,0,1316,2022-01-05,699,psiphon
586,0,0,1265,2022-01-06,679,psiphon
604,0,0,1358,2022-01-07,754,psiphon
633,0,0,1325,2022-01-08,692,psiphon
616,0,0,1381,2022-01-09,765,psiphon
545,0,0,1281,2022-01-10,736,psiphon
551,0,0,1333,2022-01-11,782,psiphon
447,0,1,1281,2022-01-12,833,psiphon
203,0,0,1229,2022-01-13,1026,psiphon
1,0,6,1237,2022-01-14,1230,psiphon
1,0,3,1330,2022-01-15,1326,psiphon
2,0,0,1376,2022-01-16,1374,psiphon
0,0,0,1354,2022-01-17,1354,psiphon
342,0,0,1296,2022-01-18,954,psiphon
536,0,0,1326,2022-01-19,790,psiphon
479,0,0,1293,2022-01-20,814,psiphon
235,0,0,1397,2022-01-21,1162,psiphon
1,0,0,1337,2022-01-22,1336,psiphon
1,0,0,1357,2022-01-23,1356,psiphon
0,0,0,1346,2022-01-24,1346,psiphon
3,0,0,1367,2022-01-25,1364,psiphon
0,0,0,1429,2022-01-26,1429,psiphon
3,0,1,1168,2022-01-27,1164,psiphon
14,0,0,1128,2022-01-28,1114,psiphon
12,0,0,1062,2022-01-29,1050,psiphon
19,0,0,1219,2022-01-30,1200,psiphon
57,0,0,1283,2022-01-31,1226,psiphon
45,0,0,1163,2022-02-01,1118,psiphon
18,0,0,1313,2022-02-02,1295,psiphon
20,0,0,1224,2022-02-03,1204,psiphon
65,0,0,1247,2022-02-04,1182,psiphon
101,0,0,1293,2022-02-05,1192,psiphon
86,0,0,1251,2022-02-06,1165,psiphon
86,0,0,1262,2022-02-07,1176,psiphon
79,0,0,1225,2022-02-08,1146,psiphon
83,0,0,1143,2022-02-09,1060,psiphon
84,0,3,1250,2022-02-10,1163,psiphon
31,0,0,1206,2022-02-11,1175,psiphon
17,0,0,1232,2022-02-12,1215,psiphon
17,0,0,1284,2022-02-13,1267,psiphon
19,0,0,1242,2022-02-14,1223,psiphon
7,0,0,987,2022-02-15,980,psiphon
2,0,0,971,2022-02-16,969,psiphon
0,0,0,1003,2022-02-17,1003,psiphon
3,0,0,1032,2022-02-18,1029,psiphon
3,0,9,1169,2022-02-19,1157,psiphon
3,0,13,1116,2022-02-20,1100,psiphon
3,0,8,1055,2022-02-21,1044,psiphon
3,0,16,1228,2022-02-22,1209,psiphon
4,0,5,1283,2022-02-23,1274,psiphon
3,0,0,1271,2022-02-24,1268,psiphon
5,0,5,1165,2022-02-25,1155,psiphon
7,0,0,1302,2022-02-26,1295,psiphon
4,0,0,1145,2022-02-27,1141,psiphon
6,0,0,1191,2022-02-28,1185,psiphon
7,0,0,1328,2022-03-01,1321,psiphon
6,0,0,1399,2022-03-02,1393,psiphon
1,0,0,1181,2022-03-03,1180,psiphon
8,0,0,1408,2022-03-04,1400,psiphon
8,0,0,1297,2022-03-05,1289,psiphon
2,0,0,1276,2022-03-06,1274,psiphon
5,0,0,1139,2022-03-07,1134,psiphon
4,0,0,1089,2022-03-08,1085,psiphon
3,0,0,1179,2022-03-09,1176,psiphon
5,0,0,1355,2022-03-10,1350,psiphon
3,0,0,1171,2022-03-11,1168,psiphon
5,0,0,1290,2022-03-12,1285,psiphon
4,0,5,1397,2022-03-13,1388,psiphon
5,0,0,1464,2022-03-14,1459,psiphon
7,0,10,1407,2022-03-15,1390,psiphon
257,0,0,1416,2022-03-16,1159,psiphon
458,0,0,1354,2022-03-17,896,psiphon
450,0,0,1328,2022-03-18,878,psiphon
410,0,0,1254,2022-03-19,844,psiphon
455,0,0,1391,2022-03-20,936,psiphon
380,0,1,1252,2022-03-21,871,psiphon
383,0,0,1172,2022-03-22,789,psiphon
378,0,0,1230,2022-03-23,852,psiphon
361,0,0,1170,2022-03-24,809,psiphon
347,0,0,1114,2022-03-25,767,psiphon
345,0,0,1173,2022-03-26,828,psiphon
341,0,0,1155,2022-03-27,814,psiphon
332,0,1,1126,2022-03-28,793,psiphon
343,0,0,1111,2022-03-29,768,psiphon
147,0,1,1137,2022-03-30,989,psiphon
9,0,0,1235,2022-03-31,1226,psiphon
10,0,0,1130,2022-04-01,1120,psiphon
9,0,0,1226,2022-04-02,1217,psiphon
11,0,0,1208,2022-04-03,1197,psiphon
20,0,0,1096,2022-04-04,1076,psiphon
5,0,0,1078,2022-04-05,1073,psiphon
10,0,0,1172,2022-04-06,1162,psiphon
5,0,1,1290,2022-04-07,1284,psiphon
2,0,0,1119,2022-04-08,1117,psiphon
6,0,0,1044,2022-04-09,1038,psiphon
8,0,0,1005,2022-04-10,997,psiphon
8,0,0,1078,2022-04-11,1070,psiphon
7,0,0,1116,2022-04-12,1109,psiphon
0,0,0,1086,2022-04-13,1086,psiphon
5,0,0,1108,2022-04-14,1103,psiphon
9,0,0,992,2022-04-15,983,psiphon
5,0,0,921,2022-04-16,916,psiphon
6,0,0,980,2022-04-17,974,psiphon
3,0,0,1059,2022-04-18,1056,psiphon
6,0,0,1066,2022-04-19,1060,psiphon
6,0,0,1047,2022-04-20,1041,psiphon
8,0,0,961,2022-04-21,953,psiphon
2,0,0,939,2022-04-22,937,psiphon
2,0,0,870,2022-04-23,868,psiphon
4,0,0,903,2022-04-24,899,psiphon
3,0,0,931,2022-04-25,928,psiphon
2,0,0,851,2022-04-26,849,psiphon
62,0,0,858,2022-04-27,796,psiphon
9,0,0,923,2022-04-28,914,psiphon
5,0,0,980,2022-04-29,975,psiphon
10,0,0,930,2022-04-30,920,psiphon
6,0,0,907,2022-05-01,901,psiphon
8,0,0,912,2022-05-02,904,psiphon
9,0,0,980,2022-05-03,971,psiphon
9,0,0,903,2022-05-04,894,psiphon
2,0,0,931,2022-05-05,929,psiphon
1,0,0,875,2022-05-06,874,psiphon
3,0,1,835,2022-05-07,831,psiphon
0,0,0,804,2022-05-08,804,psiphon
0,0,0,832,2022-05-09,832,psiphon
10,0,0,893,2022-05-10,883,psiphon
3,0,0,991,2022-05-11,988,psiphon
3,0,0,901,2022-05-12,898,psiphon
3,0,0,946,2022-05-13,943,psiphon
6,0,1,939,2022-05-14,932,psiphon
2,0,0,949,2022-05-15,947,psiphon
