anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,5,2022-02-24,5,psiphon
0,0,0,8,2022-02-25,8,psiphon
0,0,0,2,2022-02-26,2,psiphon
0,0,0,3,2022-02-27,3,psiphon
0,0,0,3,2022-02-28,3,psiphon
0,0,0,1,2022-03-05,1,psiphon
0,0,0,8,2022-03-06,8,psiphon
0,0,0,3,2022-03-07,3,psiphon
0,0,0,8,2022-03-10,8,psiphon
0,0,0,3,2022-03-14,3,psiphon
0,0,0,1,2022-03-15,1,psiphon
0,0,0,10,2022-03-17,10,psiphon
0,0,0,5,2022-03-18,5,psiphon
0,0,0,1,2022-03-29,1,psiphon
0,0,0,3,2022-03-30,3,psiphon
0,0,0,1,2022-05-16,1,psiphon
0,0,0,4,2022-05-17,4,psiphon
0,0,0,1,2022-07-14,1,psiphon
0,0,0,1,2022-08-17,1,psiphon
0,0,0,1,2022-08-18,1,psiphon
0,0,0,2,2022-08-21,2,psiphon
0,0,0,13,2022-08-22,13,psiphon
0,0,0,9,2022-08-23,9,psiphon
0,0,0,10,2022-08-24,10,psiphon
0,0,0,13,2022-08-25,13,psiphon
0,0,0,5,2022-08-26,5,psiphon
0,0,0,1,2022-10-12,1,psiphon
0,0,0,1,2022-10-24,1,psiphon
0,0,0,4,2022-10-25,4,psiphon
0,0,0,5,2022-10-26,5,psiphon
0,0,0,8,2022-10-27,8,psiphon
0,0,0,1,2022-11-29,1,psiphon
0,0,0,1,2022-12-24,1,psiphon
2,0,0,2,2022-08-21,0,riseupvpn
13,0,0,13,2022-08-22,0,riseupvpn
4,0,0,4,2022-08-23,0,riseupvpn
4,0,0,4,2022-08-24,0,riseupvpn
5,0,0,5,2022-08-25,0,riseupvpn
2,0,0,2,2022-08-26,0,riseupvpn
1,0,0,1,2022-11-29,0,riseupvpn
0,0,0,12,2022-02-24,12,stunreachability
0,0,0,12,2022-03-30,12,stunreachability
0,0,0,12,2022-05-17,12,stunreachability
0,0,0,12,2022-08-17,12,stunreachability
0,0,0,12,2022-08-18,12,stunreachability
0,0,0,60,2022-08-23,60,stunreachability
0,0,0,72,2022-08-24,72,stunreachability
0,0,0,96,2022-08-25,96,stunreachability
0,0,0,36,2022-08-26,36,stunreachability
0,0,0,12,2022-10-12,12,stunreachability
2,0,0,15,2022-10-22,13,stunreachability
2,0,0,14,2022-12-24,12,stunreachability
0,0,0,5,2022-02-24,5,tor
0,0,0,8,2022-02-25,8,tor
0,0,0,2,2022-02-26,2,tor
0,0,0,3,2022-02-27,3,tor
0,0,0,3,2022-02-28,3,tor
0,0,0,1,2022-03-05,1,tor
0,0,0,8,2022-03-06,8,tor
0,0,0,3,2022-03-07,3,tor
0,0,0,8,2022-03-10,8,tor
0,0,0,3,2022-03-14,3,tor
0,0,0,1,2022-03-15,1,tor
0,0,0,10,2022-03-17,10,tor
0,0,0,5,2022-03-18,5,tor
0,0,0,1,2022-03-29,1,tor
0,0,0,3,2022-03-30,3,tor
0,0,0,1,2022-05-16,1,tor
0,0,0,3,2022-05-17,3,tor
0,0,0,1,2022-07-14,1,tor
0,0,0,1,2022-08-17,1,tor
0,0,0,1,2022-08-18,1,tor
1,0,0,2,2022-08-21,1,tor
1,0,0,13,2022-08-22,12,tor
1,0,0,9,2022-08-23,8,tor
0,0,0,9,2022-08-24,9,tor
0,0,0,13,2022-08-25,13,tor
0,0,0,5,2022-08-26,5,tor
0,0,0,1,2022-10-12,1,tor
0,0,0,1,2022-10-22,1,tor
0,0,0,1,2022-10-24,1,tor
0,0,0,4,2022-10-25,4,tor
0,0,0,5,2022-10-26,5,tor
0,0,0,8,2022-10-27,8,tor
0,0,0,1,2022-11-29,1,tor
0,0,0,1,2022-03-30,1,torsf
0,0,0,1,2022-05-17,1,torsf
0,0,0,1,2022-08-17,1,torsf
0,0,0,1,2022-08-18,1,torsf
0,0,0,5,2022-08-23,5,torsf
0,0,0,6,2022-08-24,6,torsf
0,0,0,8,2022-08-25,8,torsf
0,0,0,3,2022-08-26,3,torsf
