anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,2,2022-01-01,2,psiphon
0,0,0,2,2022-01-02,2,psiphon
0,0,0,2,2022-01-10,2,psiphon
0,0,0,1,2022-01-13,1,psiphon
0,0,0,1,2022-01-15,1,psiphon
0,0,0,1,2022-01-18,1,psiphon
0,0,0,1,2022-01-19,1,psiphon
0,0,0,2,2022-01-29,2,psiphon
0,0,0,1,2022-01-30,1,psiphon
0,0,0,1,2022-02-04,1,psiphon
0,0,0,5,2022-02-06,5,psiphon
0,0,0,2,2022-02-07,2,psiphon
0,0,0,1,2022-02-08,1,psiphon
0,0,0,1,2022-02-10,1,psiphon
0,0,0,1,2022-02-12,1,psiphon
0,0,0,2,2022-02-13,2,psiphon
0,0,0,1,2022-02-17,1,psiphon
0,0,0,1,2022-02-18,1,psiphon
0,0,0,1,2022-02-23,1,psiphon
0,0,0,2,2022-02-25,2,psiphon
0,0,0,2,2022-02-26,2,psiphon
0,0,0,1,2022-03-03,1,psiphon
0,0,0,3,2022-03-05,3,psiphon
1,0,0,4,2022-03-06,3,psiphon
0,0,0,9,2022-03-08,9,psiphon
0,0,0,10,2022-03-09,10,psiphon
0,0,0,6,2022-03-10,6,psiphon
0,0,0,8,2022-03-11,8,psiphon
0,0,0,21,2022-03-12,21,psiphon
0,0,0,18,2022-03-13,18,psiphon
0,0,0,12,2022-03-14,12,psiphon
0,0,0,3,2022-03-15,3,psiphon
0,0,0,11,2022-03-16,11,psiphon
0,0,0,14,2022-03-17,14,psiphon
0,0,0,10,2022-03-18,10,psiphon
0,0,0,15,2022-03-19,15,psiphon
0,0,0,19,2022-03-20,19,psiphon
0,0,0,16,2022-03-21,16,psiphon
0,0,0,13,2022-03-22,13,psiphon
0,0,0,16,2022-03-23,16,psiphon
0,0,0,9,2022-03-24,9,psiphon
0,0,0,22,2022-03-25,22,psiphon
0,0,0,6,2022-03-26,6,psiphon
0,0,0,12,2022-03-27,12,psiphon
0,0,0,7,2022-03-28,7,psiphon
0,0,0,13,2022-03-29,13,psiphon
0,0,0,8,2022-04-01,8,psiphon
0,0,0,1,2022-04-02,1,psiphon
0,0,0,2,2022-04-03,2,psiphon
0,0,0,1,2022-04-04,1,psiphon
0,0,0,13,2022-04-05,13,psiphon
0,0,0,8,2022-04-06,8,psiphon
0,0,0,5,2022-04-07,5,psiphon
0,0,0,11,2022-04-08,11,psiphon
0,0,0,17,2022-04-09,17,psiphon
0,0,0,8,2022-04-10,8,psiphon
0,0,0,9,2022-04-11,9,psiphon
0,0,0,15,2022-04-12,15,psiphon
0,0,0,12,2022-04-13,12,psiphon
1,0,0,34,2022-04-14,33,psiphon
1,0,0,32,2022-04-15,31,psiphon
1,0,0,30,2022-04-16,29,psiphon
0,0,0,14,2022-04-17,14,psiphon
0,0,0,6,2022-04-18,6,psiphon
0,0,0,12,2022-04-19,12,psiphon
0,0,0,9,2022-04-20,9,psiphon
0,0,0,5,2022-04-21,5,psiphon
0,0,0,1,2022-04-23,1,psiphon
0,0,0,2,2022-04-24,2,psiphon
1,0,0,5,2022-04-28,4,psiphon
0,0,0,1,2022-05-02,1,psiphon
0,0,0,1,2022-05-03,1,psiphon
0,0,0,3,2022-05-05,3,psiphon
0,0,0,2,2022-05-07,2,psiphon
0,0,0,1,2022-05-08,1,psiphon
0,0,0,1,2022-05-10,1,psiphon
0,0,0,6,2022-05-13,6,psiphon
0,0,0,3,2022-05-18,3,psiphon
0,0,0,3,2022-05-19,3,psiphon
0,0,0,1,2022-05-20,1,psiphon
0,0,0,1,2022-05-22,1,psiphon
0,0,0,1,2022-05-23,1,psiphon
0,0,0,1,2022-05-24,1,psiphon
0,0,0,1,2022-05-25,1,psiphon
0,0,0,12,2022-05-26,12,psiphon
0,0,0,34,2022-05-27,34,psiphon
0,0,0,34,2022-05-28,34,psiphon
0,0,0,15,2022-05-29,15,psiphon
0,0,0,14,2022-05-30,14,psiphon
0,0,0,23,2022-05-31,23,psiphon
0,0,0,34,2022-06-01,34,psiphon
0,0,0,31,2022-06-02,31,psiphon
0,0,0,29,2022-06-03,29,psiphon
0,0,0,15,2022-06-04,15,psiphon
0,0,0,13,2022-06-05,13,psiphon
0,0,0,4,2022-06-06,4,psiphon
1,0,0,35,2022-06-07,34,psiphon
0,0,0,14,2022-06-08,14,psiphon
0,0,0,14,2022-06-09,14,psiphon
0,0,0,1,2022-06-10,1,psiphon
0,0,0,5,2022-06-13,5,psiphon
0,0,0,5,2022-06-14,5,psiphon
0,0,0,3,2022-06-15,3,psiphon
0,0,0,1,2022-06-16,1,psiphon
0,0,0,4,2022-06-17,4,psiphon
0,0,0,2,2022-06-19,2,psiphon
0,0,0,1,2022-06-20,1,psiphon
0,0,0,1,2022-06-21,1,psiphon
0,0,0,4,2022-06-23,4,psiphon
0,0,0,3,2022-06-25,3,psiphon
0,0,0,7,2022-06-26,7,psiphon
0,0,0,4,2022-06-27,4,psiphon
0,0,0,2,2022-06-29,2,psiphon
0,0,0,4,2022-06-30,4,psiphon
0,0,0,1,2022-07-01,1,psiphon
0,0,0,1,2022-07-05,1,psiphon
0,0,0,3,2022-07-10,3,psiphon
0,0,0,7,2022-07-11,7,psiphon
0,0,0,3,2022-07-12,3,psiphon
0,0,0,8,2022-07-13,8,psiphon
0,0,0,9,2022-07-14,9,psiphon
0,0,0,1,2022-07-16,1,psiphon
0,0,0,3,2022-07-17,3,psiphon
0,0,0,1,2022-07-18,1,psiphon
0,0,0,7,2022-07-19,7,psiphon
0,0,0,1,2022-07-21,1,psiphon
0,0,0,1,2022-07-23,1,psiphon
0,0,0,7,2022-07-24,7,psiphon
0,0,0,1,2022-07-25,1,psiphon
0,0,0,1,2022-07-27,1,psiphon
0,0,0,2,2022-07-30,2,psiphon
0,0,0,2,2022-07-31,2,psiphon
0,0,0,1,2022-08-01,1,psiphon
0,0,0,3,2022-08-02,3,psiphon
0,0,0,5,2022-08-03,5,psiphon
0,0,0,3,2022-08-05,3,psiphon
0,0,0,2,2022-08-06,2,psiphon
0,0,0,5,2022-08-07,5,psiphon
0,0,0,6,2022-08-08,6,psiphon
0,0,0,2,2022-08-12,2,psiphon
0,0,0,1,2022-08-13,1,psiphon
0,0,0,1,2022-08-14,1,psiphon
0,0,0,1,2022-08-15,1,psiphon
0,0,0,1,2022-08-16,1,psiphon
0,0,0,1,2022-08-18,1,psiphon
0,0,0,1,2022-08-20,1,psiphon
0,0,0,2,2022-08-22,2,psiphon
0,0,0,1,2022-08-24,1,psiphon
0,0,0,1,2022-08-27,1,psiphon
0,0,0,2,2022-08-30,2,psiphon
0,0,0,1,2022-08-31,1,psiphon
0,0,0,1,2022-09-02,1,psiphon
0,0,0,4,2022-09-07,4,psiphon
0,0,0,1,2022-09-08,1,psiphon
0,0,0,2,2022-09-10,2,psiphon
0,0,0,1,2022-09-11,1,psiphon
0,0,0,1,2022-09-13,1,psiphon
0,0,0,5,2022-09-14,5,psiphon
0,0,0,14,2022-09-15,14,psiphon
1,0,0,10,2022-09-16,9,psiphon
0,0,0,4,2022-09-17,4,psiphon
0,0,0,4,2022-09-18,4,psiphon
0,0,0,4,2022-09-19,4,psiphon
0,0,0,1,2022-09-20,1,psiphon
0,0,0,1,2022-09-21,1,psiphon
0,0,0,3,2022-09-22,3,psiphon
0,0,0,3,2022-09-23,3,psiphon
0,0,0,4,2022-09-24,4,psiphon
0,0,0,2,2022-09-25,2,psiphon
0,0,0,5,2022-09-26,5,psiphon
0,0,0,1,2022-09-27,1,psiphon
0,0,0,1,2022-09-28,1,psiphon
0,0,0,2,2022-09-30,2,psiphon
0,0,0,2,2022-10-01,2,psiphon
0,0,0,1,2022-10-02,1,psiphon
0,0,0,2,2022-10-03,2,psiphon
0,0,0,4,2022-10-04,4,psiphon
0,0,0,1,2022-10-05,1,psiphon
0,0,0,2,2022-10-11,2,psiphon
0,0,0,1,2022-10-12,1,psiphon
0,0,0,2,2022-10-15,2,psiphon
0,0,0,1,2022-10-16,1,psiphon
0,0,0,2,2022-10-18,2,psiphon
0,0,0,8,2022-10-19,8,psiphon
0,0,0,1,2022-10-20,1,psiphon
0,0,0,1,2022-10-22,1,psiphon
0,0,0,1,2022-10-23,1,psiphon
0,0,0,2,2022-10-24,2,psiphon
0,0,0,1,2022-10-27,1,psiphon
0,0,0,1,2022-10-29,1,psiphon
0,0,0,3,2022-10-30,3,psiphon
0,0,0,4,2022-10-31,4,psiphon
0,0,0,2,2022-11-02,2,psiphon
0,0,0,1,2022-11-05,1,psiphon
0,0,0,1,2022-11-08,1,psiphon
0,0,0,2,2022-11-09,2,psiphon
0,0,0,2,2022-11-10,2,psiphon
0,0,0,2,2022-11-11,2,psiphon
0,0,0,3,2022-11-12,3,psiphon
0,0,0,5,2022-11-13,5,psiphon
0,0,0,3,2022-11-15,3,psiphon
0,0,0,2,2022-11-16,2,psiphon
0,0,0,1,2022-11-18,1,psiphon
0,0,0,3,2022-11-19,3,psiphon
