anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-03,1,psiphon
0,0,0,1,2022-01-30,1,psiphon
0,0,0,1,2022-02-09,1,psiphon
0,0,0,1,2022-02-16,1,psiphon
0,0,0,4,2022-09-06,4,psiphon
0,0,0,9,2022-09-07,9,psiphon
0,0,0,3,2022-09-08,3,psiphon
0,0,0,1,2022-09-30,1,psiphon
0,0,0,2,2022-11-16,2,psiphon
0,0,0,1,2022-11-22,1,psiphon
0,0,12,12,2022-01-03,0,stunreachability
0,0,12,12,2022-02-16,0,stunreachability
0,0,0,48,2022-09-06,48,stunreachability
1,0,0,93,2022-09-07,92,stunreachability
0,0,0,36,2022-09-08,36,stunreachability
4,0,0,12,2022-09-30,8,stunreachability
2,0,0,24,2022-11-16,22,stunreachability
1,0,0,12,2022-11-22,11,stunreachability
0,0,0,1,2022-01-03,1,tor
0,0,0,1,2022-01-30,1,tor
0,0,0,1,2022-02-09,1,tor
0,0,0,1,2022-02-16,1,tor
0,0,0,4,2022-09-06,4,tor
0,0,0,8,2022-09-07,8,tor
0,0,0,3,2022-09-08,3,tor
0,0,0,1,2022-09-30,1,tor
0,0,0,2,2022-11-16,2,tor
0,0,0,1,2022-11-22,1,tor
2,0,0,4,2022-09-06,2,torsf
0,0,0,8,2022-09-07,8,torsf
0,0,0,3,2022-09-08,3,torsf
0,0,0,2,2022-11-16,2,torsf
1,0,0,1,2022-11-22,0,torsf
