anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
4,0,0,178,2022-01-01,174,psiphon
0,0,0,113,2022-01-02,113,psiphon
1,0,0,191,2022-01-03,190,psiphon
1,0,0,164,2022-01-04,163,psiphon
1,0,0,197,2022-01-05,196,psiphon
1,0,0,152,2022-01-06,151,psiphon
0,0,0,169,2022-01-07,169,psiphon
1,0,0,159,2022-01-08,158,psiphon
0,0,0,186,2022-01-09,186,psiphon
0,0,0,151,2022-01-10,151,psiphon
10,0,0,226,2022-01-11,216,psiphon
6,0,0,189,2022-01-12,183,psiphon
0,0,0,164,2022-01-13,164,psiphon
2,0,0,166,2022-01-14,164,psiphon
1,0,0,176,2022-01-15,175,psiphon
0,0,0,184,2022-01-16,184,psiphon
0,0,0,150,2022-01-17,150,psiphon
0,0,0,156,2022-01-18,156,psiphon
2,0,0,200,2022-01-19,198,psiphon
0,0,0,221,2022-01-20,221,psiphon
0,0,0,182,2022-01-21,182,psiphon
3,0,0,150,2022-01-22,147,psiphon
0,0,0,172,2022-01-23,172,psiphon
0,0,0,168,2022-01-24,168,psiphon
2,0,0,163,2022-01-25,161,psiphon
0,0,0,207,2022-01-26,207,psiphon
1,0,0,118,2022-01-27,117,psiphon
0,0,0,104,2022-01-28,104,psiphon
2,0,0,85,2022-01-29,83,psiphon
1,0,0,116,2022-01-30,115,psiphon
2,0,0,148,2022-01-31,146,psiphon
1,0,0,155,2022-02-01,154,psiphon
0,0,0,161,2022-02-02,161,psiphon
0,0,0,163,2022-02-03,163,psiphon
1,0,0,149,2022-02-04,148,psiphon
0,0,0,150,2022-02-05,150,psiphon
2,0,0,154,2022-02-06,152,psiphon
0,0,0,163,2022-02-07,163,psiphon
1,0,0,156,2022-02-08,155,psiphon
1,0,0,183,2022-02-09,182,psiphon
1,0,0,188,2022-02-10,187,psiphon
3,0,0,164,2022-02-11,161,psiphon
0,0,0,157,2022-02-12,157,psiphon
0,0,0,164,2022-02-13,164,psiphon
0,0,0,177,2022-02-14,177,psiphon
0,0,0,120,2022-02-15,120,psiphon
