anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-02,1,psiphon
0,0,0,1,2022-01-05,1,psiphon
0,0,0,1,2022-01-06,1,psiphon
0,0,0,10,2022-01-10,10,psiphon
0,0,0,16,2022-01-11,16,psiphon
1,0,0,15,2022-01-12,14,psiphon
2,0,0,16,2022-01-13,14,psiphon
0,0,0,16,2022-01-14,16,psiphon
0,0,0,26,2022-01-15,26,psiphon
0,0,0,24,2022-01-16,24,psiphon
0,0,0,19,2022-01-17,19,psiphon
0,0,0,16,2022-01-18,16,psiphon
0,0,0,9,2022-01-19,9,psiphon
0,0,0,11,2022-01-20,11,psiphon
0,0,0,5,2022-01-21,5,psiphon
0,0,0,19,2022-01-22,19,psiphon
0,0,0,28,2022-01-23,28,psiphon
0,0,0,12,2022-01-24,12,psiphon
0,0,0,21,2022-01-25,21,psiphon
0,0,0,18,2022-01-26,18,psiphon
1,0,0,16,2022-01-27,15,psiphon
0,0,0,17,2022-01-28,17,psiphon
0,0,0,25,2022-01-29,25,psiphon
0,0,0,29,2022-01-30,29,psiphon
0,0,0,19,2022-01-31,19,psiphon
0,0,0,18,2022-02-01,18,psiphon
0,0,0,21,2022-02-02,21,psiphon
0,0,0,19,2022-02-03,19,psiphon
0,0,0,7,2022-02-04,7,psiphon
0,0,0,29,2022-02-05,29,psiphon
0,0,0,26,2022-02-06,26,psiphon
0,0,0,12,2022-02-07,12,psiphon
0,0,0,19,2022-02-08,19,psiphon
0,0,0,11,2022-02-09,11,psiphon
0,0,0,4,2022-02-10,4,psiphon
0,0,0,27,2022-02-11,27,psiphon
0,0,0,33,2022-02-12,33,psiphon
0,0,0,23,2022-02-13,23,psiphon
0,0,0,18,2022-02-14,18,psiphon
0,0,0,23,2022-02-15,23,psiphon
0,0,0,22,2022-02-16,22,psiphon
0,0,0,27,2022-02-17,27,psiphon
0,0,0,20,2022-02-18,20,psiphon
0,0,0,24,2022-02-19,24,psiphon
0,0,0,24,2022-02-20,24,psiphon
0,0,0,21,2022-02-21,21,psiphon
1,0,0,7,2022-02-22,6,psiphon
0,0,0,22,2022-02-23,22,psiphon
0,0,0,12,2022-02-24,12,psiphon
0,0,0,28,2022-02-25,28,psiphon
0,0,0,31,2022-02-26,31,psiphon
0,0,0,17,2022-02-27,17,psiphon
0,0,0,18,2022-02-28,18,psiphon
0,0,0,27,2022-03-01,27,psiphon
0,0,0,18,2022-03-02,18,psiphon
0,0,0,9,2022-03-03,9,psiphon
0,0,0,19,2022-03-04,19,psiphon
0,0,0,27,2022-03-05,27,psiphon
0,0,0,28,2022-03-06,28,psiphon
0,0,0,16,2022-03-07,16,psiphon
0,0,0,17,2022-03-08,17,psiphon
0,0,0,18,2022-03-09,18,psiphon
0,0,0,23,2022-03-10,23,psiphon
2,0,0,24,2022-03-11,22,psiphon
1,0,0,25,2022-03-12,24,psiphon
0,0,0,32,2022-03-13,32,psiphon
1,0,0,20,2022-03-14,19,psiphon
0,0,0,16,2022-03-15,16,psiphon
1,0,0,23,2022-03-16,22,psiphon
0,0,0,22,2022-03-17,22,psiphon
0,0,0,9,2022-03-18,9,psiphon
1,0,0,23,2022-03-19,22,psiphon
0,0,0,29,2022-03-20,29,psiphon
0,0,0,19,2022-03-21,19,psiphon
0,0,0,18,2022-03-22,18,psiphon
0,0,0,21,2022-03-23,21,psiphon
0,0,0,25,2022-03-24,25,psiphon
0,0,0,27,2022-03-25,27,psiphon
0,0,0,31,2022-03-26,31,psiphon
0,0,0,7,2022-03-27,7,psiphon
0,0,0,10,2022-03-28,10,psiphon
0,0,0,17,2022-03-29,17,psiphon
1,0,0,38,2022-03-30,37,psiphon
0,0,0,19,2022-03-31,19,psiphon
0,0,0,27,2022-04-01,27,psiphon
0,0,0,12,2022-04-02,12,psiphon
0,0,0,31,2022-04-03,31,psiphon
0,0,0,27,2022-04-04,27,psiphon
0,0,0,29,2022-04-05,29,psiphon
1,0,0,34,2022-04-06,33,psiphon
0,0,0,47,2022-04-07,47,psiphon
1,0,0,36,2022-04-08,35,psiphon
0,0,0,54,2022-04-09,54,psiphon
0,0,0,48,2022-04-10,48,psiphon
1,0,0,52,2022-04-11,51,psiphon
0,0,0,36,2022-04-12,36,psiphon
0,0,0,32,2022-04-13,32,psiphon
0,0,0,44,2022-04-14,44,psiphon
1,0,0,31,2022-04-15,30,psiphon
0,0,0,46,2022-04-16,46,psiphon
0,0,0,42,2022-04-17,42,psiphon
0,0,0,44,2022-04-18,44,psiphon
0,0,0,43,2022-04-19,43,psiphon
1,0,0,55,2022-04-20,54,psiphon
0,0,0,65,2022-04-21,65,psiphon
2,0,0,69,2022-04-22,67,psiphon
0,0,0,58,2022-04-23,58,psiphon
1,0,0,60,2022-04-24,59,psiphon
0,0,0,51,2022-04-25,51,psiphon
0,0,0,83,2022-04-26,83,psiphon
0,0,0,61,2022-04-27,61,psiphon
0,0,0,56,2022-04-28,56,psiphon
0,0,0,49,2022-04-29,49,psiphon
1,0,0,46,2022-04-30,45,psiphon
1,0,0,44,2022-05-01,43,psiphon
2,0,0,27,2022-05-02,25,psiphon
1,0,0,63,2022-05-03,62,psiphon
1,0,0,70,2022-05-04,69,psiphon
0,0,0,74,2022-05-05,74,psiphon
0,0,0,49,2022-05-06,49,psiphon
0,0,0,89,2022-05-07,89,psiphon
0,0,0,67,2022-05-08,67,psiphon
1,0,0,45,2022-05-09,44,psiphon
0,0,0,43,2022-05-10,43,psiphon
0,0,0,30,2022-05-11,30,psiphon
0,0,0,59,2022-05-12,59,psiphon
0,0,0,47,2022-05-13,47,psiphon
0,0,0,59,2022-05-14,59,psiphon
0,0,0,47,2022-05-15,47,psiphon
0,0,0,55,2022-05-16,55,psiphon
0,0,0,55,2022-05-17,55,psiphon
0,0,0,40,2022-05-18,40,psiphon
0,0,0,50,2022-05-19,50,psiphon
0,0,0,41,2022-05-20,41,psiphon
1,0,0,47,2022-05-21,46,psiphon
0,0,0,62,2022-05-22,62,psiphon
0,0,0,46,2022-05-23,46,psiphon
0,0,0,52,2022-05-24,52,psiphon
0,0,0,59,2022-05-25,59,psiphon
0,0,0,44,2022-05-26,44,psiphon
0,0,0,44,2022-05-27,44,psiphon
0,0,0,58,2022-05-28,58,psiphon
0,0,0,57,2022-05-29,57,psiphon
0,0,0,64,2022-05-30,64,psiphon
0,0,0,47,2022-05-31,47,psiphon
0,0,0,53,2022-06-01,53,psiphon
0,0,0,49,2022-06-02,49,psiphon
0,0,0,32,2022-06-03,32,psiphon
0,0,0,45,2022-06-04,45,psiphon
0,0,0,39,2022-06-05,39,psiphon
1,0,0,49,2022-06-06,48,psiphon
0,0,0,40,2022-06-07,40,psiphon
0,0,0,36,2022-06-08,36,psiphon
0,0,0,43,2022-06-09,43,psiphon
0,0,0,28,2022-06-10,28,psiphon
1,0,0,39,2022-06-11,38,psiphon
1,0,0,51,2022-06-12,50,psiphon
1,0,0,53,2022-06-13,52,psiphon
0,0,0,34,2022-06-14,34,psiphon
1,0,0,26,2022-06-15,25,psiphon
0,0,0,24,2022-06-16,24,psiphon
0,0,0,34,2022-06-17,34,psiphon
0,0,0,17,2022-06-18,17,psiphon
0,0,0,29,2022-06-19,29,psiphon
0,0,0,42,2022-06-20,42,psiphon
0,0,0,42,2022-06-21,42,psiphon
0,0,0,33,2022-06-22,33,psiphon
1,0,0,37,2022-06-23,36,psiphon
0,0,0,20,2022-06-24,20,psiphon
0,0,0,14,2022-06-25,14,psiphon
0,0,0,15,2022-06-26,15,psiphon
0,0,0,26,2022-06-27,26,psiphon
0,0,0,30,2022-06-28,30,psiphon
0,0,0,27,2022-06-29,27,psiphon
0,0,0,35,2022-06-30,35,psiphon
0,0,0,42,2022-07-01,42,psiphon
0,0,0,19,2022-07-02,19,psiphon
0,0,0,31,2022-07-03,31,psiphon
0,0,0,32,2022-07-04,32,psiphon
1,0,0,33,2022-07-05,32,psiphon
1,0,0,25,2022-07-06,24,psiphon
0,0,0,15,2022-07-07,15,psiphon
0,0,0,6,2022-07-08,6,psiphon
0,0,0,7,2022-07-09,7,psiphon
0,0,0,17,2022-07-10,17,psiphon
0,0,0,20,2022-07-11,20,psiphon
0,0,0,28,2022-07-12,28,psiphon
0,0,0,29,2022-07-13,29,psiphon
2,0,0,25,2022-07-14,23,psiphon
0,0,0,28,2022-07-15,28,psiphon
1,0,0,31,2022-07-16,30,psiphon
0,0,0,25,2022-07-17,25,psiphon
0,0,0,26,2022-07-18,26,psiphon
0,0,0,37,2022-07-19,37,psiphon
1,0,0,18,2022-07-20,17,psiphon
0,0,0,34,2022-07-21,34,psiphon
0,0,0,29,2022-07-22,29,psiphon
0,0,0,15,2022-07-23,15,psiphon
0,0,0,19,2022-07-24,19,psiphon
0,0,0,35,2022-07-25,35,psiphon
0,0,0,24,2022-07-26,24,psiphon
0,0,0,32,2022-07-27,32,psiphon
0,0,0,25,2022-07-28,25,psiphon
0,0,0,35,2022-07-29,35,psiphon
0,0,0,39,2022-07-30,39,psiphon
0,0,0,29,2022-07-31,29,psiphon
0,0,0,33,2022-08-01,33,psiphon
0,0,0,29,2022-08-02,29,psiphon
0,0,0,41,2022-08-03,41,psiphon
0,0,0,29,2022-08-04,29,psiphon
0,0,0,32,2022-08-05,32,psiphon
1,0,0,54,2022-08-06,53,psiphon
0,0,0,28,2022-08-07,28,psiphon
1,0,0,44,2022-08-08,43,psiphon
0,0,0,30,2022-08-09,30,psiphon
0,0,0,50,2022-08-10,50,psiphon
1,0,0,41,2022-08-11,40,psiphon
0,0,0,33,2022-08-12,33,psiphon
1,0,0,45,2022-08-13,44,psiphon
0,0,0,46,2022-08-14,46,psiphon
0,0,0,33,2022-08-15,33,psiphon
1,0,0,25,2022-08-16,24,psiphon
0,0,0,18,2022-08-17,18,psiphon
1,0,0,16,2022-08-18,15,psiphon
0,0,0,18,2022-08-19,18,psiphon
0,0,0,26,2022-08-20,26,psiphon
0,0,0,11,2022-08-21,11,psiphon
0,0,0,9,2022-08-22,9,psiphon
0,0,0,19,2022-08-23,19,psiphon
0,0,0,12,2022-08-24,12,psiphon
0,0,0,15,2022-08-25,15,psiphon
0,0,0,20,2022-08-26,20,psiphon
0,0,0,30,2022-08-27,30,psiphon
0,0,0,30,2022-08-28,30,psiphon
0,0,0,41,2022-08-29,41,psiphon
0,0,0,38,2022-08-30,38,psiphon
0,0,0,35,2022-08-31,35,psiphon
0,0,0,39,2022-09-01,39,psiphon
0,0,0,43,2022-09-02,43,psiphon
1,0,0,38,2022-09-03,37,psiphon
0,0,0,29,2022-09-04,29,psiphon
0,0,0,29,2022-09-05,29,psiphon
0,0,0,41,2022-09-06,41,psiphon
0,0,0,39,2022-09-07,39,psiphon
0,0,0,25,2022-09-08,25,psiphon
0,0,0,33,2022-09-09,33,psiphon
0,0,0,19,2022-09-10,19,psiphon
0,0,0,24,2022-09-11,24,psiphon
0,0,0,34,2022-09-12,34,psiphon
2,0,0,34,2022-09-13,32,psiphon
0,0,0,37,2022-09-14,37,psiphon
0,0,0,32,2022-09-15,32,psiphon
1,0,0,29,2022-09-16,28,psiphon
0,0,0,48,2022-09-17,48,psiphon
0,0,0,42,2022-09-18,42,psiphon
0,0,0,34,2022-09-19,34,psiphon
0,0,0,31,2022-09-20,31,psiphon
0,0,0,25,2022-09-21,25,psiphon
1,0,0,26,2022-09-22,25,psiphon
3,0,0,37,2022-09-23,34,psiphon
0,0,0,31,2022-09-24,31,psiphon
1,0,0,38,2022-09-25,37,psiphon
0,0,0,31,2022-09-26,31,psiphon
0,0,0,29,2022-09-27,29,psiphon
0,0,0,39,2022-09-28,39,psiphon
0,0,0,37,2022-09-29,37,psiphon
0,0,0,31,2022-09-30,31,psiphon
0,0,0,41,2022-10-01,41,psiphon
1,0,0,51,2022-10-02,50,psiphon
1,0,0,32,2022-10-03,31,psiphon
2,0,0,34,2022-10-04,32,psiphon
1,0,0,24,2022-10-05,23,psiphon
1,0,0,21,2022-10-06,20,psiphon
0,0,0,37,2022-10-07,37,psiphon
0,0,0,31,2022-10-08,31,psiphon
0,0,0,37,2022-10-09,37,psiphon
0,0,0,34,2022-10-10,34,psiphon
0,0,0,19,2022-10-11,19,psiphon
0,0,0,27,2022-10-12,27,psiphon
0,0,0,23,2022-10-13,23,psiphon
0,0,0,31,2022-10-14,31,psiphon
0,0,0,39,2022-10-15,39,psiphon
1,0,0,40,2022-10-16,39,psiphon
0,0,0,37,2022-10-17,37,psiphon
0,0,0,40,2022-10-18,40,psiphon
0,0,0,33,2022-10-19,33,psiphon
0,0,0,44,2022-10-20,44,psiphon
0,0,0,41,2022-10-21,41,psiphon
0,0,0,33,2022-10-22,33,psiphon
0,0,0,34,2022-10-23,34,psiphon
0,0,0,37,2022-10-24,37,psiphon
0,0,0,45,2022-10-25,45,psiphon
0,0,0,28,2022-10-26,28,psiphon
0,0,0,32,2022-10-27,32,psiphon
0,0,0,44,2022-10-28,44,psiphon
0,0,0,34,2022-10-29,34,psiphon
0,0,0,28,2022-10-30,28,psiphon
0,0,0,34,2022-10-31,34,psiphon
0,0,0,31,2022-11-01,31,psiphon
0,0,0,26,2022-11-02,26,psiphon
0,0,0,38,2022-11-03,38,psiphon
1,0,0,41,2022-11-04,40,psiphon
1,0,0,28,2022-11-05,27,psiphon
1,0,0,35,2022-11-06,34,psiphon
0,0,0,49,2022-11-07,49,psiphon
1,0,0,43,2022-11-08,42,psiphon
2,0,0,45,2022-11-09,43,psiphon
0,0,0,51,2022-11-10,51,psiphon
0,0,0,35,2022-11-11,35,psiphon
0,0,0,30,2022-11-12,30,psiphon
0,0,0,38,2022-11-13,38,psiphon
1,0,0,49,2022-11-14,48,psiphon
0,0,0,39,2022-11-15,39,psiphon
1,0,0,36,2022-11-16,35,psiphon
0,0,0,47,2022-11-17,47,psiphon
1,0,0,38,2022-11-18,37,psiphon
2,0,0,30,2022-11-19,28,psiphon
4,0,0,52,2022-11-20,48,psiphon
2,0,0,39,2022-11-21,37,psiphon
3,0,0,49,2022-11-22,46,psiphon
2,0,0,57,2022-11-23,55,psiphon
2,0,0,53,2022-11-24,51,psiphon
1,0,0,47,2022-11-25,46,psiphon
5,0,0,45,2022-11-26,40,psiphon
2,0,0,34,2022-11-27,32,psiphon
2,0,0,49,2022-11-28,47,psiphon
3,0,0,41,2022-11-29,38,psiphon
0,0,0,29,2022-11-30,29,psiphon
2,0,0,60,2022-12-01,58,psiphon
0,0,0,39,2022-12-02,39,psiphon
0,0,0,24,2022-12-03,24,psiphon
0,0,0,60,2022-12-04,60,psiphon
0,0,0,47,2022-12-05,47,psiphon
1,0,0,47,2022-12-06,46,psiphon
0,0,0,43,2022-12-07,43,psiphon
2,0,0,45,2022-12-08,43,psiphon
1,0,0,35,2022-12-09,34,psiphon
1,0,0,41,2022-12-10,40,psiphon
0,0,0,37,2022-12-11,37,psiphon
0,0,0,27,2022-12-12,27,psiphon
0,0,0,47,2022-12-13,47,psiphon
1,0,0,39,2022-12-14,38,psiphon
0,0,0,40,2022-12-15,40,psiphon
0,0,0,43,2022-12-16,43,psiphon
0,0,0,36,2022-12-17,36,psiphon
0,0,0,49,2022-12-18,49,psiphon
1,0,0,35,2022-12-19,34,psiphon
0,0,0,46,2022-12-20,46,psiphon
1,0,0,43,2022-12-21,42,psiphon
3,0,0,45,2022-12-22,42,psiphon
0,0,0,46,2022-12-23,46,psiphon
0,0,0,43,2022-12-24,43,psiphon
0,0,0,54,2022-12-25,54,psiphon
0,0,0,45,2022-12-26,45,psiphon
1,0,0,29,2022-12-27,28,psiphon
0,0,0,44,2022-12-28,44,psiphon
0,0,0,56,2022-12-29,56,psiphon
0,0,0,55,2022-12-30,55,psiphon
9,0,0,9,2022-08-03,0,riseupvpn
17,0,0,17,2022-08-04,0,riseupvpn
19,0,0,19,2022-08-05,0,riseupvpn
24,0,0,24,2022-08-06,0,riseupvpn
24,0,0,24,2022-08-07,0,riseupvpn
15,0,0,15,2022-08-08,0,riseupvpn
18,0,0,18,2022-08-09,0,riseupvpn
23,0,0,23,2022-08-10,0,riseupvpn
18,0,0,18,2022-08-11,0,riseupvpn
21,0,0,21,2022-08-12,0,riseupvpn
24,0,0,24,2022-08-13,0,riseupvpn
24,0,0,24,2022-08-14,0,riseupvpn
18,0,0,18,2022-08-15,0,riseupvpn
19,0,0,19,2022-08-16,0,riseupvpn
8,0,0,8,2022-08-17,0,riseupvpn
5,0,0,5,2022-08-26,0,riseupvpn
24,0,0,24,2022-08-27,0,riseupvpn
23,0,0,23,2022-08-28,0,riseupvpn
23,0,0,23,2022-08-29,0,riseupvpn
24,0,0,24,2022-08-30,0,riseupvpn
24,0,0,24,2022-08-31,0,riseupvpn
24,0,0,24,2022-09-01,0,riseupvpn
24,0,0,24,2022-09-02,0,riseupvpn
24,0,0,24,2022-09-03,0,riseupvpn
24,0,0,24,2022-09-04,0,riseupvpn
17,0,0,17,2022-09-05,0,riseupvpn
18,0,0,18,2022-09-06,0,riseupvpn
23,0,0,23,2022-09-07,0,riseupvpn
17,0,0,17,2022-09-08,0,riseupvpn
18,0,0,18,2022-09-09,0,riseupvpn
5,0,0,5,2022-09-10,0,riseupvpn
13,0,0,13,2022-09-11,0,riseupvpn
17,0,0,17,2022-09-12,0,riseupvpn
17,0,0,17,2022-09-13,0,riseupvpn
14,0,0,14,2022-09-14,0,riseupvpn
17,0,0,17,2022-09-15,0,riseupvpn
15,0,0,15,2022-09-16,0,riseupvpn
22,0,0,22,2022-09-17,0,riseupvpn
23,0,0,23,2022-09-18,0,riseupvpn
16,0,0,16,2022-09-19,0,riseupvpn
16,0,0,16,2022-09-20,0,riseupvpn
16,0,0,16,2022-09-21,0,riseupvpn
17,0,0,17,2022-09-22,0,riseupvpn
21,0,0,21,2022-09-23,0,riseupvpn
24,0,0,24,2022-09-24,0,riseupvpn
23,0,0,23,2022-09-25,0,riseupvpn
16,0,0,16,2022-09-26,0,riseupvpn
16,0,0,16,2022-09-27,0,riseupvpn
16,0,0,16,2022-09-28,0,riseupvpn
17,0,0,17,2022-09-29,0,riseupvpn
18,0,0,18,2022-09-30,0,riseupvpn
23,0,0,23,2022-10-01,0,riseupvpn
24,0,0,24,2022-10-02,0,riseupvpn
14,0,0,14,2022-10-03,0,riseupvpn
16,0,0,16,2022-10-04,0,riseupvpn
18,0,0,18,2022-10-05,0,riseupvpn
16,0,0,16,2022-10-06,0,riseupvpn
18,0,0,18,2022-10-07,0,riseupvpn
23,0,0,23,2022-10-08,0,riseupvpn
23,0,0,23,2022-10-09,0,riseupvpn
20,0,0,20,2022-10-10,0,riseupvpn
15,0,0,15,2022-10-11,0,riseupvpn
15,0,0,15,2022-10-12,0,riseupvpn
15,0,0,15,2022-10-13,0,riseupvpn
24,0,0,24,2022-10-14,0,riseupvpn
24,0,0,24,2022-10-15,0,riseupvpn
17,0,0,17,2022-10-16,0,riseupvpn
15,0,0,15,2022-10-17,0,riseupvpn
16,0,0,16,2022-10-18,0,riseupvpn
15,0,0,15,2022-10-19,0,riseupvpn
15,0,0,15,2022-10-20,0,riseupvpn
23,0,0,23,2022-10-21,0,riseupvpn
23,0,0,23,2022-10-22,0,riseupvpn
24,0,0,24,2022-10-23,0,riseupvpn
17,0,0,17,2022-10-24,0,riseupvpn
16,0,0,16,2022-10-25,0,riseupvpn
16,0,0,16,2022-10-26,0,riseupvpn
16,0,0,16,2022-10-27,0,riseupvpn
24,0,0,24,2022-10-28,0,riseupvpn
24,0,0,24,2022-10-29,0,riseupvpn
23,0,0,23,2022-10-30,0,riseupvpn
16,0,0,16,2022-10-31,0,riseupvpn
16,0,0,16,2022-11-01,0,riseupvpn
16,0,0,16,2022-11-02,0,riseupvpn
16,0,0,16,2022-11-03,0,riseupvpn
20,0,0,20,2022-11-04,0,riseupvpn
23,0,0,23,2022-11-05,0,riseupvpn
24,0,0,24,2022-11-06,0,riseupvpn
17,0,0,17,2022-11-07,0,riseupvpn
24,0,0,24,2022-11-08,0,riseupvpn
24,0,0,24,2022-11-09,0,riseupvpn
24,0,0,24,2022-11-10,0,riseupvpn
24,0,0,24,2022-11-11,0,riseupvpn
23,0,0,23,2022-11-12,0,riseupvpn
24,0,0,24,2022-11-13,0,riseupvpn
24,0,0,24,2022-11-14,0,riseupvpn
22,0,0,22,2022-11-15,0,riseupvpn
23,0,0,23,2022-11-16,0,riseupvpn
24,0,0,24,2022-11-17,0,riseupvpn
22,0,0,22,2022-11-18,0,riseupvpn
19,0,0,19,2022-11-19,0,riseupvpn
24,0,0,24,2022-11-20,0,riseupvpn
23,0,0,23,2022-11-21,0,riseupvpn
23,0,0,23,2022-11-22,0,riseupvpn
24,0,0,24,2022-11-23,0,riseupvpn
24,0,0,24,2022-11-24,0,riseupvpn
22,0,0,22,2022-11-25,0,riseupvpn
23,0,0,23,2022-11-26,0,riseupvpn
24,0,0,24,2022-11-27,0,riseupvpn
23,0,0,23,2022-11-28,0,riseupvpn
24,0,0,24,2022-11-29,0,riseupvpn
21,0,0,21,2022-11-30,0,riseupvpn
24,0,0,24,2022-12-01,0,riseupvpn
24,0,0,24,2022-12-02,0,riseupvpn
21,0,0,21,2022-12-03,0,riseupvpn
23,0,0,23,2022-12-04,0,riseupvpn
24,0,0,24,2022-12-05,0,riseupvpn
22,0,0,22,2022-12-06,0,riseupvpn
24,0,0,24,2022-12-07,0,riseupvpn
24,0,0,24,2022-12-08,0,riseupvpn
23,0,0,23,2022-12-09,0,riseupvpn
24,0,0,24,2022-12-10,0,riseupvpn
23,0,0,23,2022-12-11,0,riseupvpn
22,0,0,22,2022-12-12,0,riseupvpn
23,0,0,23,2022-12-13,0,riseupvpn
23,0,0,23,2022-12-14,0,riseupvpn
23,0,0,23,2022-12-15,0,riseupvpn
24,0,0,24,2022-12-16,0,riseupvpn
23,0,0,23,2022-12-17,0,riseupvpn
24,0,0,24,2022-12-18,0,riseupvpn
24,0,0,24,2022-12-19,0,riseupvpn
23,0,0,23,2022-12-20,0,riseupvpn
23,0,0,23,2022-12-21,0,riseupvpn
24,0,0,24,2022-12-22,0,riseupvpn
24,0,0,24,2022-12-23,0,riseupvpn
22,0,0,22,2022-12-24,0,riseupvpn
24,0,0,24,2022-12-25,0,riseupvpn
23,0,0,23,2022-12-26,0,riseupvpn
24,0,0,24,2022-12-27,0,riseupvpn
24,0,0,24,2022-12-28,0,riseupvpn
18,0,0,24,2022-12-29,6,riseupvpn
0,0,0,24,2022-12-30,24,riseupvpn
0,0,12,12,2022-01-02,0,stunreachability
0,0,12,12,2022-01-05,0,stunreachability
0,0,12,12,2022-01-06,0,stunreachability
0,0,12,12,2022-01-13,0,stunreachability
0,0,24,24,2022-01-15,0,stunreachability
0,0,12,12,2022-01-16,0,stunreachability
0,0,15,15,2022-01-17,0,stunreachability
0,0,36,36,2022-01-19,0,stunreachability
0,0,12,12,2022-01-22,0,stunreachability
0,0,36,36,2022-01-25,0,stunreachability
0,0,12,12,2022-01-28,0,stunreachability
0,0,12,12,2022-01-29,0,stunreachability
0,0,12,12,2022-01-30,0,stunreachability
0,0,12,12,2022-02-01,0,stunreachability
0,0,12,12,2022-02-05,0,stunreachability
0,0,12,12,2022-02-11,0,stunreachability
0,0,12,12,2022-02-13,0,stunreachability
0,0,12,12,2022-02-16,0,stunreachability
0,0,12,12,2022-02-18,0,stunreachability
0,0,0,12,2022-02-23,12,stunreachability
0,0,0,12,2022-03-03,12,stunreachability
