anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,2,2022-01-02,2,psiphon
0,0,0,5,2022-01-03,5,psiphon
0,0,0,4,2022-01-04,4,psiphon
0,0,0,1,2022-01-05,1,psiphon
0,0,0,1,2022-01-06,1,psiphon
0,0,0,5,2022-01-07,5,psiphon
0,0,0,3,2022-01-08,3,psiphon
0,0,0,1,2022-01-09,1,psiphon
0,0,0,2,2022-01-10,2,psiphon
0,0,0,3,2022-01-11,3,psiphon
0,0,0,3,2022-01-12,3,psiphon
0,0,0,6,2022-01-13,6,psiphon
0,0,0,3,2022-01-14,3,psiphon
0,0,0,3,2022-01-15,3,psiphon
0,0,0,2,2022-01-16,2,psiphon
0,0,0,4,2022-01-17,4,psiphon
0,0,0,5,2022-01-18,5,psiphon
0,0,0,5,2022-01-19,5,psiphon
0,0,0,5,2022-01-20,5,psiphon
0,0,0,7,2022-01-21,7,psiphon
0,0,0,5,2022-01-23,5,psiphon
0,0,0,5,2022-01-24,5,psiphon
0,0,0,5,2022-01-25,5,psiphon
0,0,0,5,2022-01-26,5,psiphon
0,0,0,5,2022-01-27,5,psiphon
0,0,0,4,2022-01-29,4,psiphon
0,0,0,6,2022-01-31,6,psiphon
1,0,0,8,2022-02-01,7,psiphon
0,0,0,9,2022-02-02,9,psiphon
1,0,0,1,2022-02-03,0,psiphon
0,0,0,1,2022-02-04,1,psiphon
0,0,0,2,2022-02-05,2,psiphon
0,0,0,2,2022-02-06,2,psiphon
0,0,0,4,2022-02-07,4,psiphon
0,0,0,3,2022-02-08,3,psiphon
0,0,0,6,2022-02-09,6,psiphon
0,0,0,8,2022-02-10,8,psiphon
0,0,0,4,2022-02-11,4,psiphon
0,0,0,3,2022-02-12,3,psiphon
0,0,0,3,2022-02-13,3,psiphon
0,0,0,5,2022-02-14,5,psiphon
0,0,0,4,2022-02-15,4,psiphon
0,0,0,1,2022-02-16,1,psiphon
0,0,0,18,2022-02-17,18,psiphon
1,0,0,4,2022-02-18,3,psiphon
0,0,0,2,2022-02-19,2,psiphon
0,0,0,4,2022-02-20,4,psiphon
0,0,0,2,2022-02-21,2,psiphon
0,0,0,5,2022-02-22,5,psiphon
0,0,0,6,2022-02-23,6,psiphon
0,0,0,3,2022-02-24,3,psiphon
0,0,0,6,2022-02-25,6,psiphon
0,0,0,4,2022-02-26,4,psiphon
0,0,0,3,2022-02-27,3,psiphon
0,0,0,14,2022-02-28,14,psiphon
0,0,0,12,2022-03-01,12,psiphon
1,0,0,5,2022-03-02,4,psiphon
1,0,0,3,2022-03-03,2,psiphon
0,0,0,5,2022-03-04,5,psiphon
0,0,0,6,2022-03-06,6,psiphon
0,0,0,9,2022-03-07,9,psiphon
1,0,0,10,2022-03-08,9,psiphon
0,0,0,1,2022-03-09,1,psiphon
0,0,0,3,2022-03-10,3,psiphon
0,0,0,3,2022-03-11,3,psiphon
0,0,0,4,2022-03-15,4,psiphon
0,0,0,5,2022-03-16,5,psiphon
1,0,0,6,2022-03-17,5,psiphon
1,0,0,13,2022-03-18,12,psiphon
1,0,0,2,2022-03-19,1,psiphon
0,0,0,1,2022-03-20,1,psiphon
0,0,0,7,2022-03-21,7,psiphon
0,0,0,6,2022-03-23,6,psiphon
0,0,0,5,2022-03-24,5,psiphon
0,0,0,10,2022-03-25,10,psiphon
0,0,0,2,2022-03-26,2,psiphon
0,0,0,1,2022-03-27,1,psiphon
1,0,0,9,2022-03-28,8,psiphon
3,0,0,8,2022-03-29,5,psiphon
1,0,0,15,2022-03-30,14,psiphon
3,0,0,14,2022-03-31,11,psiphon
0,0,0,12,2022-04-01,12,psiphon
0,0,0,8,2022-04-02,8,psiphon
0,0,0,4,2022-04-03,4,psiphon
1,0,0,2,2022-04-04,1,psiphon
0,0,0,1,2022-04-05,1,psiphon
0,0,0,6,2022-04-06,6,psiphon
1,0,0,3,2022-04-07,2,psiphon
1,0,0,6,2022-04-08,5,psiphon
0,0,0,10,2022-04-09,10,psiphon
0,0,0,11,2022-04-11,11,psiphon
0,0,0,1,2022-04-12,1,psiphon
0,0,0,13,2022-04-13,13,psiphon
0,0,0,10,2022-04-14,10,psiphon
0,0,0,10,2022-04-15,10,psiphon
0,0,0,6,2022-04-16,6,psiphon
0,0,0,1,2022-04-18,1,psiphon
0,0,0,5,2022-04-19,5,psiphon
0,0,0,5,2022-04-20,5,psiphon
0,0,0,2,2022-04-21,2,psiphon
0,0,0,11,2022-04-22,11,psiphon
0,0,0,2,2022-04-23,2,psiphon
1,0,0,10,2022-04-24,9,psiphon
0,0,0,10,2022-04-25,10,psiphon
0,0,0,6,2022-04-26,6,psiphon
0,0,0,10,2022-04-27,10,psiphon
0,0,0,7,2022-04-28,7,psiphon
0,0,0,8,2022-04-29,8,psiphon
0,0,0,13,2022-04-30,13,psiphon
0,0,0,10,2022-05-01,10,psiphon
2,0,0,11,2022-05-02,9,psiphon
1,0,0,12,2022-05-03,11,psiphon
1,0,0,14,2022-05-04,13,psiphon
0,0,0,26,2022-05-05,26,psiphon
0,0,0,8,2022-05-06,8,psiphon
0,0,0,4,2022-05-07,4,psiphon
