anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,4,2022-01-01,4,psiphon
0,0,0,8,2022-01-02,8,psiphon
0,0,0,10,2022-01-03,10,psiphon
0,0,0,7,2022-01-04,7,psiphon
0,0,0,8,2022-01-05,8,psiphon
0,0,0,14,2022-01-06,14,psiphon
0,0,0,19,2022-01-07,19,psiphon
0,0,0,5,2022-01-08,5,psiphon
0,0,0,8,2022-01-09,8,psiphon
0,0,0,11,2022-01-10,11,psiphon
0,0,0,12,2022-01-11,12,psiphon
0,0,0,15,2022-01-12,15,psiphon
0,0,0,14,2022-01-13,14,psiphon
0,0,0,10,2022-01-14,10,psiphon
0,0,0,10,2022-01-16,10,psiphon
0,0,0,15,2022-01-17,15,psiphon
0,0,0,12,2022-01-18,12,psiphon
0,0,0,18,2022-01-19,18,psiphon
0,0,0,9,2022-01-20,9,psiphon
0,0,0,11,2022-01-21,11,psiphon
0,0,0,7,2022-01-22,7,psiphon
0,0,0,2,2022-01-23,2,psiphon
0,0,0,14,2022-01-24,14,psiphon
0,0,0,14,2022-01-25,14,psiphon
0,0,0,6,2022-01-26,6,psiphon
0,0,0,19,2022-01-27,19,psiphon
0,0,0,22,2022-01-28,22,psiphon
0,0,0,14,2022-01-29,14,psiphon
1,0,0,3,2022-01-30,2,psiphon
0,0,0,13,2022-01-31,13,psiphon
1,0,0,5,2022-02-01,4,psiphon
0,0,0,8,2022-02-02,8,psiphon
0,0,0,15,2022-02-03,15,psiphon
0,0,0,15,2022-02-04,15,psiphon
0,0,0,12,2022-02-05,12,psiphon
0,0,0,3,2022-02-06,3,psiphon
0,0,0,13,2022-02-07,13,psiphon
0,0,0,14,2022-02-08,14,psiphon
0,0,0,11,2022-02-09,11,psiphon
0,0,0,16,2022-02-10,16,psiphon
0,0,0,8,2022-02-11,8,psiphon
0,0,0,5,2022-02-12,5,psiphon
0,0,0,3,2022-02-13,3,psiphon
0,0,0,9,2022-02-14,9,psiphon
0,0,0,20,2022-02-15,20,psiphon
1,0,0,5,2022-02-16,4,psiphon
0,0,0,15,2022-02-17,15,psiphon
0,0,0,9,2022-02-18,9,psiphon
1,0,0,10,2022-02-19,9,psiphon
0,0,0,6,2022-02-20,6,psiphon
1,0,0,18,2022-02-21,17,psiphon
1,0,0,13,2022-02-22,12,psiphon
0,0,0,7,2022-02-23,7,psiphon
1,0,0,10,2022-02-24,9,psiphon
0,0,0,13,2022-02-25,13,psiphon
1,0,0,9,2022-02-26,8,psiphon
0,0,0,8,2022-02-27,8,psiphon
1,0,0,13,2022-02-28,12,psiphon
2,0,0,16,2022-03-01,14,psiphon
1,0,0,13,2022-03-02,12,psiphon
0,0,0,17,2022-03-03,17,psiphon
0,0,0,14,2022-03-04,14,psiphon
0,0,0,4,2022-03-05,4,psiphon
0,0,0,5,2022-03-06,5,psiphon
0,0,0,17,2022-03-07,17,psiphon
0,0,0,7,2022-03-08,7,psiphon
0,0,0,18,2022-03-09,18,psiphon
0,0,0,14,2022-03-10,14,psiphon
1,0,0,16,2022-03-11,15,psiphon
1,0,0,3,2022-03-12,2,psiphon
0,0,0,3,2022-03-13,3,psiphon
0,0,0,13,2022-03-14,13,psiphon
0,0,0,13,2022-03-15,13,psiphon
0,0,0,15,2022-03-16,15,psiphon
0,0,0,17,2022-03-17,17,psiphon
0,0,0,10,2022-03-18,10,psiphon
0,0,0,10,2022-03-19,10,psiphon
1,0,0,7,2022-03-20,6,psiphon
0,0,0,15,2022-03-21,15,psiphon
0,0,0,14,2022-03-22,14,psiphon
1,0,0,16,2022-03-23,15,psiphon
0,0,0,14,2022-03-24,14,psiphon
0,0,0,11,2022-03-25,11,psiphon
0,0,0,5,2022-03-26,5,psiphon
0,0,0,1,2022-03-27,1,psiphon
0,0,0,4,2022-03-28,4,psiphon
1,0,0,8,2022-03-29,7,psiphon
3,0,0,8,2022-03-30,5,psiphon
0,0,0,6,2022-03-31,6,psiphon
0,0,0,4,2022-04-01,4,psiphon
2,0,0,15,2022-04-04,13,psiphon
0,0,0,17,2022-04-05,17,psiphon
0,0,0,13,2022-04-06,13,psiphon
0,0,0,16,2022-04-07,16,psiphon
0,0,0,6,2022-04-08,6,psiphon
1,0,0,8,2022-04-09,7,psiphon
0,0,0,5,2022-04-10,5,psiphon
1,0,0,12,2022-04-11,11,psiphon
0,0,0,7,2022-04-12,7,psiphon
0,0,0,20,2022-04-13,20,psiphon
0,0,0,13,2022-04-14,13,psiphon
0,0,0,2,2022-04-15,2,psiphon
1,0,0,9,2022-04-16,8,psiphon
0,0,0,1,2022-04-17,1,psiphon
0,0,0,7,2022-04-18,7,psiphon
0,0,0,12,2022-04-19,12,psiphon
1,0,0,18,2022-04-20,17,psiphon
0,0,0,28,2022-04-21,28,psiphon
0,0,0,17,2022-04-22,17,psiphon
0,0,0,5,2022-04-23,5,psiphon
0,0,0,11,2022-04-24,11,psiphon
0,0,0,14,2022-04-25,14,psiphon
0,0,0,19,2022-04-26,19,psiphon
0,0,0,15,2022-04-27,15,psiphon
0,0,0,19,2022-04-28,19,psiphon
1,0,0,12,2022-04-29,11,psiphon
1,0,0,6,2022-04-30,5,psiphon
0,0,0,4,2022-05-01,4,psiphon
1,0,0,12,2022-05-02,11,psiphon
0,0,0,14,2022-05-03,14,psiphon
1,0,0,13,2022-05-04,12,psiphon
0,0,0,11,2022-05-05,11,psiphon
0,0,0,14,2022-05-06,14,psiphon
0,0,0,13,2022-05-07,13,psiphon
0,0,0,11,2022-05-08,11,psiphon
0,0,0,19,2022-05-09,19,psiphon
0,0,0,14,2022-05-10,14,psiphon
0,0,0,13,2022-05-11,13,psiphon
1,0,0,10,2022-05-12,9,psiphon
0,0,0,12,2022-05-13,12,psiphon
0,0,0,6,2022-05-14,6,psiphon
1,0,0,3,2022-05-15,2,psiphon
0,0,0,15,2022-05-16,15,psiphon
0,0,0,17,2022-05-17,17,psiphon
1,0,0,9,2022-05-18,8,psiphon
0,0,0,8,2022-05-19,8,psiphon
0,0,0,14,2022-05-20,14,psiphon
0,0,0,2,2022-05-21,2,psiphon
0,0,0,9,2022-05-22,9,psiphon
1,0,0,16,2022-05-23,15,psiphon
0,0,0,17,2022-05-24,17,psiphon
1,0,0,18,2022-05-25,17,psiphon
0,0,0,10,2022-05-26,10,psiphon
0,0,0,16,2022-05-27,16,psiphon
0,0,0,5,2022-05-28,5,psiphon
0,0,0,3,2022-05-29,3,psiphon
0,0,0,17,2022-05-30,17,psiphon
0,0,0,16,2022-05-31,16,psiphon
0,0,0,15,2022-06-01,15,psiphon
0,0,0,13,2022-06-02,13,psiphon
0,0,0,4,2022-06-03,4,psiphon
0,0,0,4,2022-06-04,4,psiphon
1,0,0,4,2022-06-05,3,psiphon
0,0,0,16,2022-06-06,16,psiphon
0,0,0,16,2022-06-07,16,psiphon
0,0,0,15,2022-06-08,15,psiphon
0,0,0,13,2022-06-09,13,psiphon
2,0,0,15,2022-06-10,13,psiphon
1,0,0,6,2022-06-11,5,psiphon
1,0,0,8,2022-06-12,7,psiphon
1,0,0,11,2022-06-13,10,psiphon
0,0,0,16,2022-06-14,16,psiphon
1,0,0,12,2022-06-15,11,psiphon
2,0,0,11,2022-06-16,9,psiphon
1,0,0,18,2022-06-17,17,psiphon
1,0,0,6,2022-06-18,5,psiphon
1,0,0,7,2022-06-19,6,psiphon
1,0,0,9,2022-06-20,8,psiphon
0,0,0,20,2022-06-21,20,psiphon
1,0,0,7,2022-06-22,6,psiphon
2,0,0,17,2022-06-23,15,psiphon
0,0,0,15,2022-06-24,15,psiphon
0,0,0,5,2022-06-25,5,psiphon
0,0,0,4,2022-06-26,4,psiphon
0,0,0,17,2022-06-27,17,psiphon
0,0,0,13,2022-06-28,13,psiphon
0,0,0,16,2022-06-29,16,psiphon
1,0,0,12,2022-06-30,11,psiphon
0,0,0,15,2022-07-01,15,psiphon
0,0,0,11,2022-07-02,11,psiphon
0,0,0,5,2022-07-03,5,psiphon
0,0,0,9,2022-07-04,9,psiphon
0,0,0,8,2022-07-05,8,psiphon
0,0,0,15,2022-07-06,15,psiphon
1,0,0,10,2022-07-07,9,psiphon
0,0,0,14,2022-07-08,14,psiphon
0,0,0,13,2022-07-09,13,psiphon
0,0,0,1,2022-07-10,1,psiphon
0,0,0,15,2022-07-11,15,psiphon
0,0,0,15,2022-07-12,15,psiphon
0,0,0,15,2022-07-13,15,psiphon
0,0,0,8,2022-07-14,8,psiphon
0,0,0,12,2022-07-15,12,psiphon
0,0,0,3,2022-07-16,3,psiphon
1,0,0,11,2022-07-17,10,psiphon
1,0,0,12,2022-07-18,11,psiphon
0,0,0,16,2022-07-19,16,psiphon
0,0,0,20,2022-07-20,20,psiphon
1,0,0,12,2022-07-21,11,psiphon
0,0,0,8,2022-07-22,8,psiphon
1,0,0,4,2022-07-23,3,psiphon
0,0,0,5,2022-07-24,5,psiphon
0,0,0,12,2022-07-25,12,psiphon
0,0,0,10,2022-07-26,10,psiphon
0,0,0,12,2022-07-27,12,psiphon
0,0,0,11,2022-07-28,11,psiphon
1,0,0,10,2022-07-29,9,psiphon
1,0,0,4,2022-07-30,3,psiphon
0,0,0,3,2022-07-31,3,psiphon
1,0,0,13,2022-08-01,12,psiphon
0,0,0,16,2022-08-02,16,psiphon
0,0,0,8,2022-08-03,8,psiphon
0,0,0,19,2022-08-04,19,psiphon
1,0,0,14,2022-08-05,13,psiphon
0,0,0,5,2022-08-06,5,psiphon
0,0,0,2,2022-08-07,2,psiphon
0,0,0,13,2022-08-08,13,psiphon
0,0,0,15,2022-08-09,15,psiphon
0,0,0,16,2022-08-10,16,psiphon
0,0,0,11,2022-08-11,11,psiphon
0,0,0,12,2022-08-12,12,psiphon
0,0,0,13,2022-08-13,13,psiphon
0,0,0,6,2022-08-14,6,psiphon
0,0,0,20,2022-08-15,20,psiphon
0,0,0,10,2022-08-16,10,psiphon
0,0,0,12,2022-08-17,12,psiphon
0,0,0,23,2022-08-18,23,psiphon
0,0,0,14,2022-08-19,14,psiphon
0,0,0,18,2022-08-20,18,psiphon
0,0,0,15,2022-08-21,15,psiphon
0,0,0,17,2022-08-22,17,psiphon
0,0,0,14,2022-08-23,14,psiphon
0,0,0,16,2022-08-24,16,psiphon
0,0,0,14,2022-08-25,14,psiphon
0,0,0,3,2022-08-26,3,psiphon
0,0,0,1,2022-08-27,1,psiphon
0,0,0,5,2022-08-28,5,psiphon
0,0,0,9,2022-08-29,9,psiphon
2,0,0,21,2022-08-30,19,psiphon
0,0,0,18,2022-08-31,18,psiphon
0,0,0,13,2022-09-01,13,psiphon
0,0,0,12,2022-09-02,12,psiphon
0,0,0,2,2022-09-03,2,psiphon
2,0,0,16,2022-09-04,14,psiphon
0,0,0,18,2022-09-05,18,psiphon
2,0,0,25,2022-09-06,23,psiphon
0,0,0,20,2022-09-07,20,psiphon
2,0,0,23,2022-09-08,21,psiphon
0,0,0,6,2022-09-09,6,psiphon
