anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
5,0,0,66,2022-01-01,61,psiphon
3,0,0,43,2022-01-02,40,psiphon
3,0,0,46,2022-01-03,43,psiphon
2,0,0,43,2022-01-04,41,psiphon
2,0,0,77,2022-01-05,75,psiphon
2,0,0,45,2022-01-06,43,psiphon
2,0,0,50,2022-01-07,48,psiphon
3,0,0,73,2022-01-08,70,psiphon
2,0,0,51,2022-01-09,49,psiphon
2,0,0,51,2022-01-10,49,psiphon
2,0,0,48,2022-01-11,46,psiphon
2,0,0,31,2022-01-12,29,psiphon
4,0,0,42,2022-01-13,38,psiphon
3,0,0,34,2022-01-14,31,psiphon
2,0,0,33,2022-01-15,31,psiphon
2,0,0,25,2022-01-16,23,psiphon
2,0,0,32,2022-01-17,30,psiphon
3,0,0,34,2022-01-18,31,psiphon
2,0,0,38,2022-01-19,36,psiphon
2,0,0,30,2022-01-20,28,psiphon
4,0,0,27,2022-01-21,23,psiphon
3,0,0,24,2022-01-22,21,psiphon
1,0,0,18,2022-01-23,17,psiphon
1,0,0,30,2022-01-24,29,psiphon
2,0,0,23,2022-01-25,21,psiphon
2,0,0,29,2022-01-26,27,psiphon
2,0,0,25,2022-01-27,23,psiphon
2,0,0,23,2022-01-28,21,psiphon
2,0,0,22,2022-01-29,20,psiphon
1,0,0,20,2022-01-30,19,psiphon
4,0,0,28,2022-01-31,24,psiphon
4,0,0,26,2022-02-01,22,psiphon
1,0,0,21,2022-02-02,20,psiphon
1,0,0,26,2022-02-03,25,psiphon
3,0,0,25,2022-02-04,22,psiphon
1,0,0,20,2022-02-05,19,psiphon
4,0,0,26,2022-02-06,22,psiphon
3,0,0,24,2022-02-07,21,psiphon
1,0,0,24,2022-02-08,23,psiphon
3,0,0,25,2022-02-09,22,psiphon
1,0,0,20,2022-02-10,19,psiphon
3,0,0,20,2022-02-11,17,psiphon
4,0,0,22,2022-02-12,18,psiphon
2,0,0,29,2022-02-13,27,psiphon
1,0,0,36,2022-02-14,35,psiphon
1,0,0,27,2022-02-15,26,psiphon
1,0,0,20,2022-02-16,19,psiphon
2,0,0,17,2022-02-17,15,psiphon
1,0,0,18,2022-02-18,17,psiphon
3,0,0,15,2022-02-19,12,psiphon
3,0,0,18,2022-02-20,15,psiphon
3,0,0,31,2022-02-21,28,psiphon
3,0,0,26,2022-02-22,23,psiphon
3,0,0,28,2022-02-23,25,psiphon
1,0,0,22,2022-02-24,21,psiphon
1,0,0,20,2022-02-25,19,psiphon
2,0,0,20,2022-02-26,18,psiphon
1,0,0,17,2022-02-27,16,psiphon
2,0,0,23,2022-02-28,21,psiphon
1,0,0,19,2022-03-01,18,psiphon
2,0,0,21,2022-03-02,19,psiphon
1,0,0,21,2022-03-03,20,psiphon
2,0,0,27,2022-03-04,25,psiphon
2,0,0,18,2022-03-05,16,psiphon
1,0,0,18,2022-03-06,17,psiphon
2,0,0,26,2022-03-07,24,psiphon
1,0,0,25,2022-03-08,24,psiphon
