anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-01-03,1,psiphon
0,0,0,1,2022-01-05,1,psiphon
0,0,0,4,2022-01-07,4,psiphon
0,0,0,4,2022-01-08,4,psiphon
0,0,0,12,2022-01-09,12,psiphon
0,0,0,6,2022-01-10,6,psiphon
0,0,0,13,2022-01-11,13,psiphon
0,0,0,1,2022-01-13,1,psiphon
0,0,0,12,2022-01-14,12,psiphon
0,0,0,10,2022-01-15,10,psiphon
0,0,0,28,2022-01-16,28,psiphon
0,0,0,2,2022-01-17,2,psiphon
0,0,0,4,2022-01-18,4,psiphon
0,0,0,2,2022-01-19,2,psiphon
0,0,0,4,2022-01-21,4,psiphon
0,0,0,3,2022-01-22,3,psiphon
0,0,0,4,2022-01-23,4,psiphon
0,0,0,3,2022-01-26,3,psiphon
0,0,0,4,2022-01-27,4,psiphon
0,0,0,18,2022-01-28,18,psiphon
0,0,0,1,2022-01-29,1,psiphon
0,0,0,20,2022-01-31,20,psiphon
0,0,0,1,2022-02-01,1,psiphon
0,0,0,11,2022-02-04,11,psiphon
0,0,0,3,2022-02-05,3,psiphon
0,0,0,1,2022-02-07,1,psiphon
0,0,0,1,2022-02-08,1,psiphon
0,0,0,1,2022-02-09,1,psiphon
0,0,0,9,2022-02-10,9,psiphon
0,0,0,39,2022-02-11,39,psiphon
0,0,0,6,2022-02-12,6,psiphon
0,0,0,3,2022-02-13,3,psiphon
0,0,0,29,2022-02-14,29,psiphon
0,0,0,2,2022-02-16,2,psiphon
0,0,0,28,2022-02-17,28,psiphon
0,0,0,22,2022-02-18,22,psiphon
1,0,0,24,2022-02-19,23,psiphon
0,0,0,15,2022-02-20,15,psiphon
5,0,0,27,2022-02-21,22,psiphon
5,0,0,36,2022-02-22,31,psiphon
0,0,0,28,2022-02-23,28,psiphon
0,0,0,24,2022-02-24,24,psiphon
0,0,0,14,2022-02-25,14,psiphon
0,0,0,12,2022-02-26,12,psiphon
0,0,0,25,2022-02-27,25,psiphon
0,0,0,38,2022-02-28,38,psiphon
0,0,0,22,2022-03-01,22,psiphon
0,0,0,32,2022-03-02,32,psiphon
0,0,0,44,2022-03-03,44,psiphon
0,0,0,51,2022-03-04,51,psiphon
0,0,0,43,2022-03-05,43,psiphon
0,0,0,45,2022-03-06,45,psiphon
0,0,0,50,2022-03-07,50,psiphon
1,0,0,37,2022-03-08,36,psiphon
0,0,0,59,2022-03-09,59,psiphon
2,0,0,53,2022-03-10,51,psiphon
0,0,0,33,2022-03-11,33,psiphon
0,0,0,33,2022-03-12,33,psiphon
0,0,0,39,2022-03-13,39,psiphon
1,0,0,32,2022-03-14,31,psiphon
0,0,0,36,2022-03-15,36,psiphon
0,0,0,43,2022-03-16,43,psiphon
0,0,0,50,2022-03-17,50,psiphon
0,0,0,49,2022-03-18,49,psiphon
0,0,0,41,2022-03-19,41,psiphon
0,0,0,29,2022-03-20,29,psiphon
0,0,0,21,2022-03-21,21,psiphon
0,0,0,28,2022-03-22,28,psiphon
0,0,0,25,2022-03-23,25,psiphon
0,0,0,30,2022-03-24,30,psiphon
0,0,0,44,2022-03-25,44,psiphon
0,0,0,28,2022-03-26,28,psiphon
2,0,0,36,2022-03-27,34,psiphon
0,0,0,31,2022-03-28,31,psiphon
0,0,0,18,2022-03-29,18,psiphon
0,0,0,26,2022-03-30,26,psiphon
0,0,0,20,2022-03-31,20,psiphon
0,0,0,19,2022-04-01,19,psiphon
0,0,0,12,2022-04-02,12,psiphon
0,0,0,21,2022-04-03,21,psiphon
0,0,0,23,2022-04-04,23,psiphon
0,0,0,17,2022-04-05,17,psiphon
0,0,0,16,2022-04-06,16,psiphon
0,0,0,7,2022-04-07,7,psiphon
0,0,0,14,2022-04-08,14,psiphon
0,0,0,1,2022-04-09,1,psiphon
1,0,0,11,2022-04-10,10,psiphon
0,0,0,19,2022-04-11,19,psiphon
0,0,0,6,2022-04-12,6,psiphon
0,0,0,9,2022-04-13,9,psiphon
0,0,0,22,2022-04-14,22,psiphon
0,0,0,16,2022-04-15,16,psiphon
0,0,0,20,2022-04-16,20,psiphon
0,0,0,18,2022-04-17,18,psiphon
0,0,0,18,2022-04-18,18,psiphon
0,0,0,12,2022-04-19,12,psiphon
0,0,0,22,2022-04-20,22,psiphon
0,0,0,26,2022-04-21,26,psiphon
0,0,0,30,2022-04-22,30,psiphon
0,0,0,26,2022-04-23,26,psiphon
0,0,0,33,2022-04-24,33,psiphon
0,0,0,40,2022-04-25,40,psiphon
0,0,0,24,2022-04-26,24,psiphon
0,0,0,19,2022-04-27,19,psiphon
0,0,0,3,2022-04-29,3,psiphon
0,0,0,2,2022-04-30,2,psiphon
0,0,0,18,2022-05-03,18,psiphon
0,0,0,37,2022-05-04,37,psiphon
0,0,0,32,2022-05-05,32,psiphon
0,0,0,29,2022-05-06,29,psiphon
0,0,0,29,2022-05-07,29,psiphon
0,0,0,9,2022-05-08,9,psiphon
0,0,0,19,2022-05-09,19,psiphon
0,0,0,6,2022-05-10,6,psiphon
0,0,0,4,2022-05-11,4,psiphon
0,0,0,14,2022-05-12,14,psiphon
0,0,0,18,2022-05-13,18,psiphon
0,0,0,10,2022-05-14,10,psiphon
0,0,0,13,2022-05-15,13,psiphon
0,0,0,19,2022-05-16,19,psiphon
0,0,0,53,2022-05-17,53,psiphon
0,0,0,12,2022-05-18,12,psiphon
0,0,0,21,2022-05-19,21,psiphon
0,0,0,24,2022-05-20,24,psiphon
0,0,0,14,2022-05-21,14,psiphon
1,0,0,26,2022-05-22,25,psiphon
