anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,3,2022-01-03,3,psiphon
0,0,0,1,2022-01-09,1,psiphon
0,0,0,3,2022-01-17,3,psiphon
0,0,0,1,2022-01-18,1,psiphon
1,0,0,2,2022-01-30,1,psiphon
0,0,0,1,2022-02-04,1,psiphon
0,0,0,2,2022-02-11,2,psiphon
0,0,0,1,2022-02-13,1,psiphon
0,0,0,3,2022-02-17,3,psiphon
0,0,0,1,2022-02-18,1,psiphon
0,0,0,2,2022-02-19,2,psiphon
0,0,0,1,2022-02-26,1,psiphon
0,0,0,1,2022-03-03,1,psiphon
0,0,0,2,2022-03-05,2,psiphon
1,0,0,2,2022-03-08,1,psiphon
1,0,0,1,2022-03-12,0,psiphon
0,0,0,2,2022-03-14,2,psiphon
0,0,0,2,2022-03-19,2,psiphon
0,0,0,1,2022-03-22,1,psiphon
0,0,0,1,2022-03-24,1,psiphon
0,0,0,1,2022-03-27,1,psiphon
0,0,0,1,2022-04-02,1,psiphon
0,0,0,1,2022-04-07,1,psiphon
0,0,0,1,2022-04-08,1,psiphon
0,0,0,2,2022-04-12,2,psiphon
0,0,0,1,2022-04-13,1,psiphon
0,0,0,1,2022-04-14,1,psiphon
0,0,0,1,2022-04-16,1,psiphon
0,0,0,1,2022-04-18,1,psiphon
0,0,0,1,2022-04-20,1,psiphon
0,0,0,3,2022-04-23,3,psiphon
0,0,0,3,2022-04-25,3,psiphon
0,0,0,1,2022-04-26,1,psiphon
0,0,0,4,2022-04-28,4,psiphon
1,0,0,2,2022-04-29,1,psiphon
0,0,0,1,2022-04-30,1,psiphon
0,0,0,1,2022-05-02,1,psiphon
0,0,0,3,2022-05-03,3,psiphon
0,0,0,1,2022-05-05,1,psiphon
1,0,0,2,2022-05-06,1,psiphon
0,0,0,1,2022-05-10,1,psiphon
0,0,0,1,2022-05-12,1,psiphon
0,0,0,2,2022-05-18,2,psiphon
0,0,0,1,2022-05-19,1,psiphon
1,0,0,2,2022-05-28,1,psiphon
0,0,0,1,2022-06-02,1,psiphon
0,0,0,1,2022-06-04,1,psiphon
0,0,0,1,2022-06-05,1,psiphon
0,0,0,1,2022-06-06,1,psiphon
0,0,0,1,2022-06-08,1,psiphon
1,0,0,2,2022-06-13,1,psiphon
0,0,0,4,2022-06-14,4,psiphon
0,0,0,1,2022-06-16,1,psiphon
0,0,0,2,2022-06-17,2,psiphon
0,0,0,2,2022-06-18,2,psiphon
0,0,0,1,2022-06-19,1,psiphon
0,0,0,2,2022-06-20,2,psiphon
0,0,0,5,2022-06-21,5,psiphon
0,0,0,1,2022-06-23,1,psiphon
0,0,0,1,2022-06-25,1,psiphon
1,0,0,1,2022-06-27,0,psiphon
0,0,0,1,2022-06-28,1,psiphon
0,0,0,1,2022-06-29,1,psiphon
0,0,0,1,2022-06-30,1,psiphon
1,0,0,3,2022-07-01,2,psiphon
1,0,0,3,2022-07-02,2,psiphon
0,0,0,2,2022-07-04,2,psiphon
1,0,0,1,2022-07-05,0,psiphon
0,0,0,1,2022-07-06,1,psiphon
0,0,0,2,2022-07-07,2,psiphon
0,0,0,4,2022-07-10,4,psiphon
0,0,0,5,2022-07-11,5,psiphon
0,0,0,2,2022-07-12,2,psiphon
0,0,0,3,2022-07-14,3,psiphon
0,0,0,2,2022-07-16,2,psiphon
0,0,0,2,2022-07-17,2,psiphon
0,0,0,2,2022-07-18,2,psiphon
0,0,0,3,2022-07-19,3,psiphon
1,0,0,1,2022-07-20,0,psiphon
0,0,0,1,2022-07-27,1,psiphon
0,0,0,1,2022-07-28,1,psiphon
0,0,0,1,2022-07-31,1,psiphon
0,0,0,1,2022-08-07,1,psiphon
0,0,0,1,2022-08-09,1,psiphon
0,0,0,1,2022-08-12,1,psiphon
0,0,0,1,2022-08-13,1,psiphon
0,0,0,5,2022-08-16,5,psiphon
0,0,0,1,2022-08-19,1,psiphon
0,0,0,1,2022-08-23,1,psiphon
0,0,0,1,2022-08-24,1,psiphon
0,0,0,2,2022-09-14,2,psiphon
0,0,0,1,2022-09-17,1,psiphon
0,0,0,1,2022-09-19,1,psiphon
0,0,0,2,2022-09-25,2,psiphon
1,0,0,1,2022-09-26,0,psiphon
0,0,0,4,2022-09-28,4,psiphon
0,0,0,2,2022-09-29,2,psiphon
0,0,0,2,2022-10-02,2,psiphon
0,0,0,4,2022-10-03,4,psiphon
0,0,0,1,2022-10-06,1,psiphon
0,0,0,1,2022-10-10,1,psiphon
0,0,0,1,2022-10-12,1,psiphon
0,0,0,2,2022-10-13,2,psiphon
0,0,0,1,2022-10-14,1,psiphon
0,0,0,2,2022-10-15,2,psiphon
0,0,0,1,2022-10-16,1,psiphon
0,0,0,1,2022-10-18,1,psiphon
0,0,0,1,2022-10-20,1,psiphon
0,0,0,5,2022-10-21,5,psiphon
0,0,0,3,2022-10-22,3,psiphon
0,0,0,2,2022-10-26,2,psiphon
0,0,0,5,2022-10-27,5,psiphon
0,0,0,1,2022-11-01,1,psiphon
0,0,0,1,2022-11-06,1,psiphon
0,0,0,7,2022-11-07,7,psiphon
1,0,0,16,2022-11-08,15,psiphon
0,0,0,14,2022-11-09,14,psiphon
1,0,0,16,2022-11-10,15,psiphon
0,0,0,15,2022-11-11,15,psiphon
0,0,0,17,2022-11-12,17,psiphon
0,0,0,16,2022-11-13,16,psiphon
0,0,0,14,2022-11-14,14,psiphon
0,0,0,5,2022-11-15,5,psiphon
0,0,0,7,2022-11-16,7,psiphon
0,0,0,15,2022-11-17,15,psiphon
2,0,0,9,2022-11-18,7,psiphon
0,0,0,13,2022-11-19,13,psiphon
0,0,0,15,2022-11-20,15,psiphon
0,0,0,19,2022-11-21,19,psiphon
0,0,0,11,2022-11-22,11,psiphon
0,0,0,15,2022-11-23,15,psiphon
0,0,0,11,2022-11-24,11,psiphon
0,0,0,11,2022-11-25,11,psiphon
0,0,0,15,2022-11-26,15,psiphon
0,0,0,15,2022-11-27,15,psiphon
0,0,0,17,2022-11-28,17,psiphon
0,0,0,15,2022-11-29,15,psiphon
0,0,0,1,2022-11-30,1,psiphon
0,0,0,4,2022-12-01,4,psiphon
0,0,0,2,2022-12-02,2,psiphon
1,0,0,7,2022-12-03,6,psiphon
0,0,0,10,2022-12-04,10,psiphon
0,0,0,5,2022-12-05,5,psiphon
0,0,0,5,2022-12-06,5,psiphon
0,0,0,2,2022-12-07,2,psiphon
0,0,0,2,2022-12-08,2,psiphon
0,0,0,1,2022-12-10,1,psiphon
0,0,0,1,2022-12-12,1,psiphon
1,0,0,2,2022-12-14,1,psiphon
0,0,0,6,2022-12-17,6,psiphon
0,0,0,1,2022-12-18,1,psiphon
0,0,0,2,2022-12-19,2,psiphon
0,0,0,1,2022-12-20,1,psiphon
0,0,0,2,2022-12-21,2,psiphon
0,0,0,2,2022-12-22,2,psiphon
0,0,0,2,2022-12-23,2,psiphon
0,0,0,1,2022-12-25,1,psiphon
0,0,0,1,2022-12-26,1,psiphon
0,0,0,4,2022-12-27,4,psiphon
0,0,0,2,2022-12-28,2,psiphon
0,0,0,5,2022-12-29,5,psiphon
0,0,0,2,2022-12-30,2,psiphon
0,0,12,12,2022-01-09,0,stunreachability
0,0,12,12,2022-01-13,0,stunreachability
0,0,1,1,2022-02-11,0,stunreachability
0,0,12,12,2022-02-13,0,stunreachability
0,0,1,1,2022-02-17,0,stunreachability
0,0,24,24,2022-02-18,0,stunreachability
12,0,0,12,2022-03-03,0,stunreachability
11,0,0,12,2022-03-05,1,stunreachability
0,0,0,13,2022-03-08,13,stunreachability
4,0,0,12,2022-03-09,8,stunreachability
6,0,0,24,2022-03-19,18,stunreachability
8,0,0,12,2022-03-22,4,stunreachability
3,0,0,12,2022-03-24,9,stunreachability
0,0,0,1,2022-04-07,1,stunreachability
0,0,0,12,2022-04-08,12,stunreachability
8,0,0,12,2022-04-12,4,stunreachability
0,0,0,12,2022-04-13,12,stunreachability
1,0,0,1,2022-04-14,0,stunreachability
3,0,0,12,2022-04-18,9,stunreachability
