anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
1,0,0,1,2022-01-09,0,psiphon
0,0,0,1,2022-01-11,1,psiphon
0,0,0,1,2022-01-12,1,psiphon
0,0,0,1,2022-01-15,1,psiphon
0,0,0,1,2022-02-02,1,psiphon
0,0,0,1,2022-02-15,1,psiphon
0,0,0,1,2022-02-25,1,psiphon
0,0,0,1,2022-04-06,1,psiphon
0,0,0,1,2022-04-07,1,psiphon
0,0,0,1,2022-04-29,1,psiphon
0,0,0,1,2022-05-27,1,psiphon
0,0,0,2,2022-05-30,2,psiphon
1,0,0,8,2022-05-31,7,psiphon
1,0,0,10,2022-06-01,9,psiphon
1,0,0,2,2022-06-02,1,psiphon
0,0,0,1,2022-06-03,1,psiphon
0,0,0,9,2022-06-04,9,psiphon
0,0,0,2,2022-06-05,2,psiphon
0,0,0,1,2022-06-11,1,psiphon
0,0,0,2,2022-06-12,2,psiphon
0,0,0,3,2022-06-13,3,psiphon
0,0,0,4,2022-06-14,4,psiphon
0,0,0,1,2022-06-22,1,psiphon
0,0,0,3,2022-06-26,3,psiphon
0,0,0,11,2022-06-27,11,psiphon
0,0,0,6,2022-06-28,6,psiphon
0,0,0,1,2022-07-08,1,psiphon
0,0,0,1,2022-07-26,1,psiphon
0,0,0,4,2022-08-05,4,psiphon
0,0,0,1,2022-08-11,1,psiphon
0,0,0,2,2022-08-15,2,psiphon
0,0,0,2,2022-08-24,2,psiphon
0,0,0,2,2022-08-25,2,psiphon
0,0,0,2,2022-08-26,2,psiphon
1,0,0,2,2022-08-31,1,psiphon
0,0,0,1,2022-09-01,1,psiphon
0,0,0,2,2022-09-02,2,psiphon
0,0,0,1,2022-09-05,1,psiphon
0,0,0,2,2022-09-06,2,psiphon
0,0,0,3,2022-09-07,3,psiphon
0,0,0,1,2022-09-13,1,psiphon
0,0,0,2,2022-09-14,2,psiphon
0,0,0,1,2022-09-15,1,psiphon
0,0,0,5,2022-09-22,5,psiphon
0,0,0,1,2022-09-23,1,psiphon
0,0,0,1,2022-09-24,1,psiphon
0,0,0,8,2022-09-25,8,psiphon
0,0,0,13,2022-09-26,13,psiphon
0,0,0,15,2022-09-27,15,psiphon
0,0,0,19,2022-09-28,19,psiphon
0,0,0,29,2022-09-29,29,psiphon
0,0,0,8,2022-09-30,8,psiphon
0,0,0,1,2022-10-06,1,psiphon
0,0,0,5,2022-10-25,5,psiphon
0,0,0,4,2022-11-14,4,psiphon
0,0,0,2,2022-11-15,2,psiphon
0,0,0,2,2022-11-16,2,psiphon
0,0,0,1,2022-11-17,1,psiphon
1,0,0,6,2022-12-07,5,psiphon
0,0,0,2,2022-12-08,2,psiphon
0,0,0,1,2022-12-18,1,psiphon
0,0,0,3,2022-12-20,3,psiphon
0,0,0,2,2022-12-21,2,psiphon
0,0,0,6,2022-12-22,6,psiphon
0,0,0,8,2022-12-23,8,psiphon
0,0,0,5,2022-12-24,5,psiphon
0,0,0,1,2022-12-29,1,psiphon
1,0,0,1,2022-09-29,0,riseupvpn
0,0,0,1,2022-12-29,1,riseupvpn
0,0,1,1,2022-02-02,0,stunreachability
0,0,1,1,2022-02-11,0,stunreachability
0,0,12,12,2022-02-15,0,stunreachability
0,0,0,12,2022-02-25,12,stunreachability
1,0,0,12,2022-04-02,11,stunreachability
0,0,0,12,2022-04-07,12,stunreachability
0,0,0,7,2022-04-23,7,stunreachability
0,0,0,12,2022-04-29,12,stunreachability
0,0,0,12,2022-05-27,12,stunreachability
0,0,0,28,2022-06-01,28,stunreachability
0,0,0,12,2022-06-13,12,stunreachability
0,0,0,12,2022-07-08,12,stunreachability
0,0,0,24,2022-08-05,24,stunreachability
0,0,0,12,2022-08-11,12,stunreachability
0,0,0,24,2022-08-15,24,stunreachability
0,0,0,24,2022-08-24,24,stunreachability
0,0,0,24,2022-08-25,24,stunreachability
2,0,0,24,2022-08-26,22,stunreachability
0,0,0,24,2022-08-31,24,stunreachability
0,0,0,12,2022-09-01,12,stunreachability
0,0,0,24,2022-09-02,24,stunreachability
0,0,0,12,2022-09-05,12,stunreachability
0,0,0,24,2022-09-06,24,stunreachability
0,0,0,24,2022-09-07,24,stunreachability
0,0,0,12,2022-09-13,12,stunreachability
0,0,0,24,2022-09-14,24,stunreachability
0,0,0,12,2022-09-15,12,stunreachability
0,0,0,36,2022-09-22,36,stunreachability
0,0,0,96,2022-09-25,96,stunreachability
2,0,0,108,2022-09-26,106,stunreachability
0,0,0,132,2022-09-27,132,stunreachability
2,0,0,192,2022-09-28,190,stunreachability
2,0,0,288,2022-09-29,286,stunreachability
2,0,0,96,2022-09-30,94,stunreachability
12,0,0,12,2022-10-06,0,stunreachability
3,0,0,36,2022-10-25,33,stunreachability
3,0,0,36,2022-11-14,33,stunreachability
2,0,0,24,2022-11-15,22,stunreachability
1,0,0,12,2022-11-16,11,stunreachability
