anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
2,ALDR,0,395,1655,2020-01-01,1258
47,ANON,0,819,3635,2020-01-01,2769
1,COMM,0,321,1409,2020-01-01,1087
48,COMT,0,995,4334,2020-01-01,3291
127,CULTR,0,2560,9496,2020-01-01,6809
56,DATE,0,198,925,2020-01-01,671
59,ECON,0,357,1455,2020-01-01,1039
4,ENV,0,240,1116,2020-01-01,872
21,FILE,0,168,745,2020-01-01,556
15,GAME,0,235,1029,2020-01-01,779
198,GMB,0,364,1930,2020-01-01,1368
68,GOVT,0,339,1479,2020-01-01,1072
9,GRP,0,226,1036,2020-01-01,801
159,HACK,0,342,1559,2020-01-01,1058
1,HATE,0,91,400,2020-01-01,308
101,HOST,0,738,3276,2020-01-01,2437
114,HUMR,0,1640,7257,2020-01-01,5503
1,IGO,0,60,273,2020-01-01,212
80,LGBT,0,755,3520,2020-01-01,2685
3,MILX,0,45,200,2020-01-01,152
55,MISC,0,254,1316,2020-01-01,1007
230,MMED,0,2276,9348,2020-01-01,6842
159,NEWS,0,3144,13727,2020-01-01,10424
118,POLR,0,6830,23779,2020-01-01,16831
38,PORN,0,593,2970,2020-01-01,2339
29,PROV,0,232,1034,2020-01-01,773
37,PUBH,0,315,1405,2020-01-01,1053
106,REL,0,644,2828,2020-01-01,2078
46,SRCH,0,314,1397,2020-01-01,1037
132,XED,0,1115,4595,2020-01-01,3348
1,ALDR,0,283,958,2020-02-01,674
5,ANON,0,620,2127,2020-02-01,1502
1,COMM,0,229,810,2020-02-01,580
32,COMT,0,706,2548,2020-02-01,1810
94,CULTR,0,1687,5622,2020-02-01,3841
28,DATE,0,143,504,2020-02-01,333
26,ECON,0,245,837,2020-02-01,566
0,ENV,0,166,648,2020-02-01,482
3,FILE,0,132,485,2020-02-01,350
18,GAME,0,163,576,2020-02-01,395
34,GMB,0,304,1111,2020-02-01,773
26,GOVT,0,234,863,2020-02-01,603
2,GRP,0,163,603,2020-02-01,438
94,HACK,0,254,918,2020-02-01,570
0,HATE,0,67,229,2020-02-01,162
32,HOST,0,531,1957,2020-02-01,1394
82,HUMR,0,1171,4118,2020-02-01,2865
1,IGO,0,40,173,2020-02-01,132
51,LGBT,0,563,2087,2020-02-01,1473
1,MILX,0,31,112,2020-02-01,80
39,MISC,0,182,749,2020-02-01,528
119,MMED,0,1572,5307,2020-02-01,3616
51,NEWS,0,2161,7695,2020-02-01,5483
48,POLR,0,4396,13520,2020-02-01,9076
9,PORN,0,441,1703,2020-02-01,1253
15,PROV,0,177,585,2020-02-01,393
19,PUBH,0,220,841,2020-02-01,602
65,REL,0,468,1609,2020-02-01,1076
24,SRCH,0,238,777,2020-02-01,515
112,XED,0,730,2706,2020-02-01,1864
5,ALDR,0,681,2556,2020-03-01,1870
23,ANON,0,1446,6155,2020-03-01,4686
8,COMM,0,571,2149,2020-03-01,1570
106,COMT,0,1729,7145,2020-03-01,5310
218,CULTR,0,4608,15560,2020-03-01,10734
96,DATE,0,365,1534,2020-03-01,1073
100,ECON,0,627,2399,2020-03-01,1672
5,ENV,0,406,1871,2020-03-01,1460
10,FILE,0,306,1192,2020-03-01,876
69,GAME,0,398,1552,2020-03-01,1085
108,GMB,0,759,3025,2020-03-01,2158
109,GOVT,0,594,2346,2020-03-01,1643
7,GRP,0,384,1635,2020-03-01,1244
290,HACK,0,580,2628,2020-03-01,1758
3,HATE,0,157,604,2020-03-01,444
133,HOST,0,1269,5100,2020-03-01,3698
184,HUMR,0,2854,12349,2020-03-01,9311
2,IGO,0,103,490,2020-03-01,385
183,LGBT,0,1370,6145,2020-03-01,4592
16,MILX,0,77,300,2020-03-01,207
81,MISC,0,596,2053,2020-03-01,1376
356,MMED,0,4325,14126,2020-03-01,9445
258,NEWS,0,6080,23651,2020-03-01,17313
104,POLR,0,12173,40240,2020-03-01,27963
49,PORN,0,1250,5169,2020-03-01,3870
30,PROV,0,420,1556,2020-03-01,1106
36,PUBH,0,559,2692,2020-03-01,2097
181,REL,0,1160,4811,2020-03-01,3470
