anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
1,ALDR,0,0,33,2020-01-01,32
12,ANON,1,0,69,2020-01-01,56
4,COMM,0,0,33,2020-01-01,29
18,COMT,1,0,79,2020-01-01,60
82,CULTR,2,0,196,2020-01-01,112
1,DATE,0,0,20,2020-01-01,19
4,ECON,0,0,39,2020-01-01,35
0,ENV,0,0,49,2020-01-01,49
9,FILE,1,0,42,2020-01-01,32
4,GAME,0,0,29,2020-01-01,25
7,GMB,0,0,39,2020-01-01,32
19,GOVT,4,0,65,2020-01-01,42
8,GRP,1,0,55,2020-01-01,46
3,HACK,0,0,45,2020-01-01,42
0,HATE,0,0,13,2020-01-01,13
9,HOST,0,0,87,2020-01-01,78
39,HUMR,5,0,240,2020-01-01,196
1,IGO,0,0,19,2020-01-01,18
12,LGBT,0,0,120,2020-01-01,108
5,MILX,0,0,6,2020-01-01,1
14,MMED,0,0,51,2020-01-01,37
76,NEWS,2,0,233,2020-01-01,155
13,POLR,1,0,50,2020-01-01,36
8,PORN,0,0,23,2020-01-01,15
2,PROV,0,0,14,2020-01-01,12
0,PUBH,0,0,26,2020-01-01,26
19,REL,1,0,74,2020-01-01,54
6,SRCH,0,0,21,2020-01-01,15
1,XED,0,0,29,2020-01-01,28
4,ALDR,0,0,54,2020-02-01,50
35,ANON,3,0,131,2020-02-01,93
8,COMM,0,0,37,2020-02-01,29
32,COMT,4,0,146,2020-02-01,110
43,CULTR,2,0,98,2020-02-01,53
4,DATE,0,0,30,2020-02-01,26
11,ECON,0,0,49,2020-02-01,38
5,ENV,0,0,35,2020-02-01,30
5,FILE,0,0,47,2020-02-01,42
10,GAME,0,0,41,2020-02-01,31
11,GMB,0,0,58,2020-02-01,47
19,GOVT,2,0,74,2020-02-01,53
17,GRP,0,0,51,2020-02-01,34
10,HACK,0,0,56,2020-02-01,46
2,HATE,0,0,11,2020-02-01,9
28,HOST,0,0,123,2020-02-01,95
44,HUMR,3,0,246,2020-02-01,199
2,IGO,0,0,16,2020-02-01,14
28,LGBT,0,0,140,2020-02-01,112
4,MILX,0,0,6,2020-02-01,2
0,MISC,0,0,1,2020-02-01,1
16,MMED,0,0,60,2020-02-01,44
55,NEWS,0,0,214,2020-02-01,159
16,POLR,1,0,54,2020-02-01,37
17,PORN,0,0,30,2020-02-01,13
3,PROV,0,0,25,2020-02-01,22
7,PUBH,0,0,48,2020-02-01,41
13,REL,1,0,79,2020-02-01,65
18,SRCH,1,0,41,2020-02-01,22
6,XED,0,0,48,2020-02-01,42
6,ALDR,0,1,45,2020-03-01,38
40,ANON,7,3,168,2020-03-01,118
5,COMM,0,0,36,2020-03-01,31
15,COMT,2,3,91,2020-03-01,71
22,CULTR,3,6,82,2020-03-01,51
4,DATE,0,1,32,2020-03-01,27
2,ECON,0,1,30,2020-03-01,27
3,ENV,0,0,26,2020-03-01,23
8,FILE,0,0,52,2020-03-01,44
8,GAME,0,3,26,2020-03-01,15
7,GMB,0,0,29,2020-03-01,22
16,GOVT,0,2,51,2020-03-01,33
8,GRP,2,1,47,2020-03-01,36
4,HACK,0,1,39,2020-03-01,34
0,HATE,0,1,7,2020-03-01,6
20,HOST,0,1,89,2020-03-01,68
69,HUMR,2,12,259,2020-03-01,176
0,IGO,0,0,16,2020-03-01,16
22,LGBT,0,5,116,2020-03-01,89
4,MILX,0,0,8,2020-03-01,4
4,MMED,0,4,47,2020-03-01,39
69,NEWS,5,3,226,2020-03-01,149
17,POLR,2,4,72,2020-03-01,49
7,PORN,1,1,22,2020-03-01,13
5,PROV,0,2,22,2020-03-01,15
11,PUBH,0,1,83,2020-03-01,71
13,REL,3,4,54,2020-03-01,34
15,SRCH,1,1,55,2020-03-01,38
7,XED,0,1,43,2020-03-01,35
35,ALDR,0,0,399,2020-04-01,364
194,ANON,24,2,964,2020-04-01,744
60,COMM,0,0,251,2020-04-01,191
129,COMT,37,1,1101,2020-04-01,934
210,CULTR,9,3,820,2020-04-01,598
30,DATE,0,0,221,2020-04-01,191
34,ECON,0,0,318,2020-04-01,284
8,ENV,0,0,308,2020-04-01,300
35,FILE,0,0,267,2020-04-01,232
32,GAME,1,0,256,2020-04-01,223
72,GMB,0,2,413,2020-04-01,339
111,GOVT,7,1,415,2020-04-01,296
91,GRP,3,0,490,2020-04-01,396
53,HACK,0,0,433,2020-04-01,380
4,HATE,0,0,82,2020-04-01,78
153,HOST,1,2,875,2020-04-01,719
270,HUMR,24,1,1832,2020-04-01,1537
1,IGO,0,0,132,2020-04-01,131
112,LGBT,2,1,1081,2020-04-01,966
32,MILX,0,0,55,2020-04-01,23
0,MISC,0,0,13,2020-04-01,13
105,MMED,5,0,562,2020-04-01,452
412,NEWS,20,2,1542,2020-04-01,1108
69,POLR,13,0,398,2020-04-01,316
101,PORN,0,0,214,2020-04-01,113
19,PROV,0,0,204,2020-04-01,185
70,PUBH,3,0,762,2020-04-01,689
60,REL,5,0,611,2020-04-01,546
85,SRCH,0,0,246,2020-04-01,161
29,XED,0,1,330,2020-04-01,300
22,ALDR,0,0,241,2020-05-01,219
133,ANON,25,0,548,2020-05-01,390
37,COMM,1,0,161,2020-05-01,123
87,COMT,22,0,554,2020-05-01,445
108,CULTR,13,0,495,2020-05-01,374
16,DATE,0,0,131,2020-05-01,115
15,ECON,0,0,208,2020-05-01,193
5,ENV,0,0,179,2020-05-01,174
