anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
65,ALDR,1,1125,3459,2020-01-01,2268
186,ANON,1,2344,7858,2020-01-01,5327
91,COMM,0,698,2094,2020-01-01,1305
198,COMT,0,2771,9140,2020-01-01,6171
0,CTRL,0,0,1,2020-01-01,1
117,CULTR,0,2191,7157,2020-01-01,4849
115,DATE,0,619,1913,2020-01-01,1179
26,ECON,0,805,2253,2020-01-01,1422
28,ENV,0,763,2334,2020-01-01,1543
35,FILE,0,463,1665,2020-01-01,1167
36,GAME,0,665,2145,2020-01-01,1444
309,GMB,1,1254,3740,2020-01-01,2176
168,GOVT,0,1043,3178,2020-01-01,1967
17,GRP,0,696,2149,2020-01-01,1436
176,HACK,0,875,3353,2020-01-01,2302
15,HATE,0,160,847,2020-01-01,672
267,HOST,1,2141,7043,2020-01-01,4634
223,HUMR,1,4357,14148,2020-01-01,9567
1,IGO,0,192,629,2020-01-01,436
256,LGBT,2,2183,7625,2020-01-01,5184
24,MILX,0,122,407,2020-01-01,261
41,MISC,0,26,149,2020-01-01,82
303,MMED,0,1594,4861,2020-01-01,2964
121,NEWS,1,2301,7202,2020-01-01,4779
115,POLR,0,890,2665,2020-01-01,1660
138,PORN,1,541,1889,2020-01-01,1209
35,PROV,0,694,2120,2020-01-01,1391
33,PUBH,0,688,2173,2020-01-01,1452
112,REL,0,1378,5113,2020-01-01,3623
102,SRCH,0,694,2126,2020-01-01,1330
50,XED,2,819,2657,2020-01-01,1786
72,ALDR,0,2025,3386,2020-02-01,1289
146,ANON,3,4289,7700,2020-02-01,3262
57,COMM,0,1255,2070,2020-02-01,758
251,COMT,0,5130,9279,2020-02-01,3898
0,CTRL,0,0,3,2020-02-01,3
173,CULTR,0,4002,7252,2020-02-01,3077
73,DATE,1,1131,1918,2020-02-01,713
40,ECON,0,1408,2292,2020-02-01,844
41,ENV,0,1351,2318,2020-02-01,926
37,FILE,0,849,1646,2020-02-01,760
77,GAME,0,1214,2156,2020-02-01,865
138,GMB,1,2261,3812,2020-02-01,1412
