anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
23,ALDR,0,0,904,2020-01-01,881
102,ANON,0,2,1980,2020-01-01,1876
5,COMM,0,0,633,2020-01-01,628
64,COMT,0,0,2493,2020-01-01,2429
36,CULTR,1,0,3816,2020-01-01,3779
126,DATE,0,1,656,2020-01-01,529
1,ECON,0,0,628,2020-01-01,627
0,ENV,0,1,676,2020-01-01,675
195,FILE,25,0,989,2020-01-01,769
22,GAME,0,0,564,2020-01-01,542
93,GMB,0,1,982,2020-01-01,888
51,GOVT,0,4,1119,2020-01-01,1064
10,GRP,0,0,529,2020-01-01,519
14,HACK,2,1,859,2020-01-01,842
5,HATE,0,0,212,2020-01-01,207
19,HOST,0,0,1872,2020-01-01,1853
70,HUMR,0,20,4132,2020-01-01,4042
0,IGO,0,0,173,2020-01-01,173
72,LGBT,0,0,2164,2020-01-01,2092
11,MILX,0,0,150,2020-01-01,139
0,MISC,0,0,39,2020-01-01,39
197,MMED,10,0,1345,2020-01-01,1138
123,NEWS,11,0,3279,2020-01-01,3145
41,POLR,3,2,2099,2020-01-01,2053
207,PORN,3,2,495,2020-01-01,283
22,PROV,0,0,549,2020-01-01,527
4,PUBH,0,0,549,2020-01-01,545
16,REL,0,1,1461,2020-01-01,1444
11,SRCH,0,0,582,2020-01-01,571
9,XED,0,0,768,2020-01-01,759
4,ALDR,0,24,638,2020-02-01,610
48,ANON,0,53,1490,2020-02-01,1389
0,COMM,0,14,445,2020-02-01,431
53,COMT,0,66,1873,2020-02-01,1754
30,CULTR,0,38,2690,2020-02-01,2622
69,DATE,1,14,503,2020-02-01,419
0,ECON,0,16,468,2020-02-01,452
1,ENV,0,15,504,2020-02-01,488
168,FILE,0,11,751,2020-02-01,572
1,GAME,0,15,406,2020-02-01,390
56,GMB,1,25,771,2020-02-01,689
33,GOVT,0,28,831,2020-02-01,770
2,GRP,0,14,420,2020-02-01,404
8,HACK,0,22,648,2020-02-01,618
1,HATE,0,6,176,2020-02-01,169
9,HOST,1,45,1416,2020-02-01,1361
54,HUMR,1,118,3093,2020-02-01,2920
0,IGO,0,4,131,2020-02-01,127
70,LGBT,2,52,1645,2020-02-01,1521
12,MILX,0,4,111,2020-02-01,95
2,MISC,0,0,25,2020-02-01,23
130,MMED,0,31,1008,2020-02-01,847
69,NEWS,0,55,2470,2020-02-01,2346
55,POLR,1,22,1487,2020-02-01,1409
156,PORN,0,12,378,2020-02-01,210
9,PROV,1,15,412,2020-02-01,387
0,PUBH,0,15,461,2020-02-01,446
7,REL,0,37,1104,2020-02-01,1060
0,SRCH,0,15,450,2020-02-01,435
5,XED,0,17,587,2020-02-01,565
6,ALDR,0,0,233,2020-03-01,227
19,ANON,0,0,546,2020-03-01,527
1,COMM,0,0,163,2020-03-01,162
12,COMT,0,0,659,2020-03-01,647
21,CULTR,1,0,848,2020-03-01,826
20,DATE,1,0,170,2020-03-01,149
1,ECON,0,0,167,2020-03-01,166
2,ENV,0,0,171,2020-03-01,169
93,FILE,0,0,266,2020-03-01,173
3,GAME,0,0,145,2020-03-01,142
18,GMB,0,0,260,2020-03-01,242
39,GOVT,0,1,288,2020-03-01,248
7,GRP,0,0,242,2020-03-01,235
22,HACK,0,0,219,2020-03-01,197
3,HATE,0,0,58,2020-03-01,55
8,HOST,0,0,527,2020-03-01,519
22,HUMR,0,0,1130,2020-03-01,1108
0,IGO,0,0,64,2020-03-01,64
25,LGBT,0,0,639,2020-03-01,614
5,MILX,0,0,33,2020-03-01,28
1,MISC,0,0,13,2020-03-01,12
48,MMED,0,0,351,2020-03-01,303
84,NEWS,1,0,895,2020-03-01,810
32,POLR,0,0,536,2020-03-01,504
70,PORN,0,0,129,2020-03-01,59
8,PROV,0,0,147,2020-03-01,139
5,PUBH,0,0,246,2020-03-01,241
7,REL,0,0,389,2020-03-01,382
1,SRCH,0,0,134,2020-03-01,133
3,XED,0,0,196,2020-03-01,193
10,ALDR,0,0,456,2020-04-01,446
17,ANON,0,0,1148,2020-04-01,1131
1,COMM,0,0,386,2020-04-01,385
34,COMT,0,0,1484,2020-04-01,1450
67,CULTR,0,0,2214,2020-04-01,2147
44,DATE,0,0,362,2020-04-01,318
3,ECON,0,0,354,2020-04-01,351
7,ENV,0,0,433,2020-04-01,426
178,FILE,1,0,576,2020-04-01,397
5,GAME,0,0,329,2020-04-01,324
34,GMB,0,0,539,2020-04-01,505
38,GOVT,0,0,597,2020-04-01,559
12,GRP,0,0,595,2020-04-01,583
9,HACK,0,0,548,2020-04-01,539
2,HATE,0,0,129,2020-04-01,127
17,HOST,0,0,1121,2020-04-01,1104
56,HUMR,0,0,2309,2020-04-01,2253
3,IGO,0,0,145,2020-04-01,142
71,LGBT,0,0,1487,2020-04-01,1416
2,MILX,0,0,71,2020-04-01,69
0,MISC,0,0,26,2020-04-01,26
106,MMED,0,0,816,2020-04-01,710
178,NEWS,0,0,1918,2020-04-01,1740
46,POLR,0,0,979,2020-04-01,933
146,PORN,0,0,298,2020-04-01,152
26,PROV,0,0,320,2020-04-01,294
8,PUBH,0,0,999,2020-04-01,991
16,REL,0,0,756,2020-04-01,740
6,SRCH,0,0,297,2020-04-01,291
11,XED,0,0,496,2020-04-01,485
3,ALDR,0,0,265,2020-05-01,262
15,ANON,0,0,675,2020-05-01,660
3,COMM,0,0,200,2020-05-01,197
20,COMT,0,0,899,2020-05-01,879
28,CULTR,0,0,1419,2020-05-01,1391
27,DATE,0,0,215,2020-05-01,188
1,ECON,0,0,189,2020-05-01,188
3,ENV,0,0,251,2020-05-01,248
112,FILE,0,0,325,2020-05-01,213
3,GAME,0,0,228,2020-05-01,225
16,GMB,0,0,299,2020-05-01,283
34,GOVT,0,0,338,2020-05-01,304
4,GRP,0,0,277,2020-05-01,273
8,HACK,0,0,353,2020-05-01,345
0,HATE,0,0,65,2020-05-01,65
6,HOST,0,0,649,2020-05-01,643
34,HUMR,0,0,1246,2020-05-01,1212
0,IGO,0,0,75,2020-05-01,75
35,LGBT,0,0,905,2020-05-01,870
2,MILX,0,0,41,2020-05-01,39
0,MISC,0,0,10,2020-05-01,10
55,MMED,0,0,463,2020-05-01,408
106,NEWS,0,0,1091,2020-05-01,985
32,POLR,0,0,624,2020-05-01,592
72,PORN,0,0,163,2020-05-01,91
15,PROV,0,0,183,2020-05-01,168
0,PUBH,0,0,511,2020-05-01,511
9,REL,0,0,440,2020-05-01,431
2,SRCH,0,0,183,2020-05-01,181
2,XED,0,0,266,2020-05-01,264
13,ALDR,0,0,223,2020-06-01,210
37,ANON,0,0,537,2020-06-01,500
5,COMM,0,0,204,2020-06-01,199
39,COMT,0,0,749,2020-06-01,710
58,CULTR,0,0,1175,2020-06-01,1117
20,DATE,0,0,174,2020-06-01,154
3,ECON,0,0,159,2020-06-01,156
7,ENV,0,0,203,2020-06-01,196
89,FILE,0,0,263,2020-06-01,174
1,GAME,0,0,180,2020-06-01,179
18,GMB,0,0,227,2020-06-01,209
31,GOVT,0,0,259,2020-06-01,228
0,GRP,0,0,294,2020-06-01,294
5,HACK,0,0,265,2020-06-01,260
0,HATE,0,0,61,2020-06-01,61
21,HOST,0,0,599,2020-06-01,578
28,HUMR,0,0,1088,2020-06-01,1060
3,IGO,0,0,56,2020-06-01,53
25,LGBT,0,0,683,2020-06-01,658
12,MILX,0,0,44,2020-06-01,32
0,MISC,0,0,12,2020-06-01,12
62,MMED,0,0,380,2020-06-01,318
95,NEWS,0,0,951,2020-06-01,856
36,POLR,0,0,482,2020-06-01,446
62,PORN,0,0,119,2020-06-01,57
16,PROV,0,0,139,2020-06-01,123
46,PUBH,0,0,475,2020-06-01,429
1,REL,0,0,370,2020-06-01,369
3,SRCH,0,0,144,2020-06-01,141
6,XED,0,0,234,2020-06-01,228
8,ALDR,0,0,424,2020-07-01,416
54,ANON,0,0,1023,2020-07-01,969
1,COMM,0,0,315,2020-07-01,314
55,COMT,0,0,1454,2020-07-01,1399
70,CULTR,0,0,1973,2020-07-01,1903
37,DATE,0,0,307,2020-07-01,270
4,ECON,0,0,284,2020-07-01,280
9,ENV,0,0,343,2020-07-01,334
156,FILE,0,0,467,2020-07-01,311
0,GAME,0,0,275,2020-07-01,275
21,GMB,0,0,496,2020-07-01,475
48,GOVT,0,0,500,2020-07-01,452
12,GRP,0,0,477,2020-07-01,465
4,HACK,0,0,500,2020-07-01,496
4,HATE,0,0,108,2020-07-01,104
13,HOST,0,0,1090,2020-07-01,1077
45,HUMR,0,0,2032,2020-07-01,1987
2,IGO,0,0,120,2020-07-01,118
52,LGBT,0,0,1312,2020-07-01,1260
4,MILX,0,0,57,2020-07-01,53
1,MISC,0,0,24,2020-07-01,23
91,MMED,0,0,649,2020-07-01,558
123,NEWS,0,0,1635,2020-07-01,1512
77,POLR,0,0,910,2020-07-01,833
107,PORN,0,0,247,2020-07-01,140
21,PROV,0,0,249,2020-07-01,228
56,PUBH,0,0,759,2020-07-01,703
6,REL,0,0,719,2020-07-01,713
17,SRCH,0,0,287,2020-07-01,270
17,XED,0,0,448,2020-07-01,431
10,ALDR,0,24,376,2020-08-01,342
15,ANON,0,62,877,2020-08-01,800
4,COMM,0,15,263,2020-08-01,244
45,COMT,0,66,1235,2020-08-01,1124
33,CULTR,0,42,1423,2020-08-01,1348
36,DATE,0,14,267,2020-08-01,217
1,ECON,0,16,262,2020-08-01,245
0,ENV,0,18,290,2020-08-01,272
100,FILE,0,13,343,2020-08-01,230
3,GAME,0,16,249,2020-08-01,230
33,GMB,0,26,424,2020-08-01,365
30,GOVT,0,23,398,2020-08-01,345
8,GRP,0,16,386,2020-08-01,362
12,HACK,0,22,399,2020-08-01,365
1,HATE,0,6,94,2020-08-01,87
15,HOST,0,46,1006,2020-08-01,945
37,HUMR,0,109,1700,2020-08-01,1554
2,IGO,0,4,114,2020-08-01,108
41,LGBT,0,52,1109,2020-08-01,1016
5,MILX,0,4,55,2020-08-01,46
3,MISC,0,0,19,2020-08-01,16
60,MMED,0,33,585,2020-08-01,492
77,NEWS,0,58,1284,2020-08-01,1149
30,POLR,0,22,608,2020-08-01,556
75,PORN,0,14,213,2020-08-01,124
14,PROV,0,15,225,2020-08-01,196
20,PUBH,0,15,615,2020-08-01,580
12,REL,0,37,626,2020-08-01,577
5,SRCH,0,16,257,2020-08-01,236
13,XED,0,18,376,2020-08-01,345
3,ALDR,0,0,447,2020-09-01,444
18,ANON,0,0,1159,2020-09-01,1141
3,COMM,0,0,345,2020-09-01,342
55,COMT,0,1,1644,2020-09-01,1588
73,CULTR,0,0,2273,2020-09-01,2200
40,DATE,0,0,364,2020-09-01,324
3,ECON,0,0,330,2020-09-01,327
3,ENV,0,0,417,2020-09-01,414
145,FILE,0,0,520,2020-09-01,375
2,GAME,0,0,319,2020-09-01,317
28,GMB,0,0,494,2020-09-01,466
39,GOVT,0,2,564,2020-09-01,523
7,GRP,0,0,549,2020-09-01,542
