anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,3,2020-01-01,3
0,ANON,0,0,13,2020-01-01,13
0,COMM,0,0,3,2020-01-01,3
2,COMT,0,0,13,2020-01-01,11
0,CULTR,0,0,11,2020-01-01,11
4,DATE,0,0,8,2020-01-01,4
2,ECON,0,0,11,2020-01-01,9
0,ENV,0,0,1,2020-01-01,1
0,FILE,0,0,2,2020-01-01,2
0,GAME,0,0,5,2020-01-01,5
3,GMB,0,0,8,2020-01-01,5
4,GOVT,0,0,7,2020-01-01,3
0,GRP,0,0,3,2020-01-01,3
0,HACK,0,0,6,2020-01-01,6
1,HATE,0,0,3,2020-01-01,2
0,HOST,0,0,8,2020-01-01,8
0,HUMR,0,0,29,2020-01-01,29
0,IGO,0,0,1,2020-01-01,1
0,LGBT,0,0,27,2020-01-01,27
0,MISC,0,0,1,2020-01-01,1
0,MMED,0,0,5,2020-01-01,5
8,NEWS,0,0,37,2020-01-01,29
2,POLR,0,0,9,2020-01-01,7
1,PORN,0,0,4,2020-01-01,3
0,PUBH,0,0,1,2020-01-01,1
1,REL,0,0,17,2020-01-01,16
0,SRCH,0,0,5,2020-01-01,5
1,XED,0,0,6,2020-01-01,5
0,ALDR,0,0,5,2020-02-01,5
0,ANON,0,0,10,2020-02-01,10
0,COMM,0,0,3,2020-02-01,3
3,COMT,0,0,24,2020-02-01,21
0,CULTR,0,0,75,2020-02-01,75
0,DATE,0,0,24,2020-02-01,24
0,ECON,0,0,4,2020-02-01,4
1,ENV,0,0,6,2020-02-01,5
0,FILE,0,0,4,2020-02-01,4
0,GAME,0,0,9,2020-02-01,9
2,GMB,0,0,11,2020-02-01,9
0,GOVT,0,0,21,2020-02-01,21
0,GRP,0,0,8,2020-02-01,8
0,HACK,0,0,8,2020-02-01,8
0,HATE,0,0,1,2020-02-01,1
1,HOST,0,0,27,2020-02-01,26
1,HUMR,0,0,66,2020-02-01,65
0,IGO,0,0,2,2020-02-01,2
4,LGBT,0,0,57,2020-02-01,53
2,MILX,0,0,3,2020-02-01,1
1,MMED,0,0,15,2020-02-01,14
1,NEWS,0,0,32,2020-02-01,31
0,POLR,0,0,30,2020-02-01,30
1,PORN,0,0,10,2020-02-01,9
0,PROV,0,0,1,2020-02-01,1
0,PUBH,0,0,7,2020-02-01,7
3,REL,0,0,73,2020-02-01,70
0,SRCH,0,0,7,2020-02-01,7
1,XED,0,0,8,2020-02-01,7
0,ALDR,0,0,11,2020-03-01,11
3,ANON,0,0,28,2020-03-01,25
0,COMM,0,0,9,2020-03-01,9
6,COMT,0,0,29,2020-03-01,23
2,CULTR,0,0,101,2020-03-01,99
0,DATE,0,0,11,2020-03-01,11
0,ECON,0,0,12,2020-03-01,12
3,ENV,0,0,10,2020-03-01,7
0,FILE,0,0,9,2020-03-01,9
0,GAME,0,0,7,2020-03-01,7
5,GMB,0,0,16,2020-03-01,11
1,GOVT,0,0,11,2020-03-01,10
0,GRP,0,0,9,2020-03-01,9
2,HACK,0,0,11,2020-03-01,9
3,HATE,0,0,5,2020-03-01,2
0,HOST,0,0,32,2020-03-01,32
16,HUMR,0,0,105,2020-03-01,89
1,IGO,0,0,3,2020-03-01,2
5,LGBT,0,0,54,2020-03-01,49
1,MILX,0,0,4,2020-03-01,3
2,MMED,0,0,12,2020-03-01,10
11,NEWS,0,0,82,2020-03-01,71
0,POLR,0,0,79,2020-03-01,79
0,PORN,0,0,9,2020-03-01,9
1,PROV,0,0,3,2020-03-01,2
5,PUBH,0,0,12,2020-03-01,7
19,REL,0,0,120,2020-03-01,101
2,SRCH,0,0,6,2020-03-01,4
4,XED,0,0,10,2020-03-01,6
0,ALDR,0,0,57,2020-04-01,57
1,ANON,0,0,148,2020-04-01,147
0,COMM,0,0,39,2020-04-01,39
7,COMT,0,0,184,2020-04-01,177
0,CULTR,0,0,124,2020-04-01,124
2,DATE,0,0,54,2020-04-01,52
0,ECON,0,0,40,2020-04-01,40
0,ENV,0,0,48,2020-04-01,48
0,FILE,0,0,37,2020-04-01,37
0,GAME,0,0,35,2020-04-01,35
7,GMB,0,0,65,2020-04-01,58
3,GOVT,0,0,68,2020-04-01,65
2,GRP,0,0,67,2020-04-01,65
3,HACK,0,0,63,2020-04-01,60
0,HATE,0,0,15,2020-04-01,15
3,HOST,0,0,141,2020-04-01,138
2,HUMR,0,0,284,2020-04-01,282
0,IGO,0,0,18,2020-04-01,18
8,LGBT,0,0,182,2020-04-01,174
1,MILX,0,0,11,2020-04-01,10
0,MISC,0,0,3,2020-04-01,3
0,MMED,0,0,77,2020-04-01,77
12,NEWS,0,0,159,2020-04-01,147
2,POLR,0,0,86,2020-04-01,84
3,PORN,0,0,34,2020-04-01,31
2,PROV,0,0,37,2020-04-01,35
