anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
8,ALDR,0,0,83,2022-01-12,75
6,ALDR,0,0,55,2022-01-16,49
2,ALDR,0,0,28,2022-01-17,26
1,ALDR,2,0,67,2022-01-25,64
8,ALDR,0,0,83,2022-02-19,75
1,ALDR,0,0,1,2022-02-23,0
11,ALDR,0,0,92,2022-02-26,81
6,ALDR,0,0,75,2022-02-27,69
3,ALDR,0,0,47,2022-03-01,44
7,ALDR,0,0,43,2022-03-02,36
0,ALDR,0,1,1,2022-03-03,0
1,ALDR,0,2,30,2022-03-04,27
4,ALDR,0,0,26,2022-03-05,22
3,ALDR,0,0,30,2022-03-06,27
0,ALDR,1,1,75,2022-03-07,73
1,ALDR,0,0,6,2022-03-10,5
1,ALDR,0,0,1,2022-03-11,0
3,ALDR,0,0,30,2022-03-12,27
4,ALDR,0,0,26,2022-03-13,22
3,ALDR,0,0,30,2022-03-14,27
6,ALDR,0,0,75,2022-03-15,69
1,ALDR,0,0,6,2022-03-18,5
1,ALDR,0,0,1,2022-03-19,0
3,ALDR,0,0,30,2022-03-20,27
4,ALDR,0,0,26,2022-03-21,22
1,ALDR,0,0,28,2022-03-22,27
1,ALDR,0,0,1,2022-03-23,0
1,ALDR,0,0,1,2022-03-26,0
8,ALDR,0,0,82,2022-03-27,74
3,ALDR,0,0,30,2022-03-28,27
4,ALDR,0,0,26,2022-03-29,22
0,ALDR,3,1,112,2022-03-30,108
0,ALDR,0,0,1,2022-03-31,1
1,ALDR,0,0,1,2022-04-04,0
2,ALDR,0,0,21,2022-05-01,19
8,ALDR,0,0,28,2022-05-13,20
5,ALDR,0,0,13,2022-05-15,8
13,ALDR,0,0,91,2022-06-14,78
11,ALDR,2,0,91,2022-06-17,78
13,ALDR,0,0,91,2022-06-20,78
20,ALDR,0,0,31,2022-06-22,11
4,ALDR,0,0,15,2022-06-24,11
0,ALDR,0,0,6,2022-06-25,6
1,ALDR,0,0,5,2022-06-26,4
3,ALDR,1,0,61,2022-06-27,57
5,ALDR,0,0,59,2022-06-28,54
8,ALDR,4,1,180,2022-06-29,167
13,ALDR,0,0,32,2022-07-01,19
13,ALDR,2,1,60,2022-07-04,44
0,ALDR,0,0,91,2022-07-07,91
8,ALDR,0,0,32,2022-07-08,24
4,ALDR,0,0,9,2022-07-09,5
10,ALDR,3,0,102,2022-07-12,89
27,ALDR,2,0,71,2022-07-13,42
10,ALDR,3,0,32,2022-07-15,19
23,ALDR,1,0,64,2022-07-17,40
5,ALDR,1,0,28,2022-07-20,22
21,ALDR,0,0,61,2022-07-23,40
0,ALDR,0,0,180,2022-07-25,180
18,ALDR,0,0,185,2022-07-26,167
2,ALDR,0,0,36,2022-07-27,34
1,ALDR,0,0,23,2022-07-31,22
8,ALDR,0,0,58,2022-08-02,50
4,ALDR,0,0,10,2022-08-03,6
24,ALDR,0,0,56,2022-08-04,32
4,ALDR,0,0,4,2022-08-07,0
6,ALDR,0,0,14,2022-08-08,8
