anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,25,2022-04-09,25
0,ALDR,0,0,25,2022-04-10,25
0,ALDR,0,31,74,2022-04-11,43
0,ALDR,0,0,26,2022-04-12,26
0,ALDR,0,0,25,2022-04-13,25
0,ALDR,0,0,25,2022-04-14,25
0,ALDR,0,0,25,2022-04-15,25
0,ALDR,0,0,25,2022-04-16,25
0,ALDR,0,0,25,2022-04-18,25
0,ALDR,0,0,40,2022-04-19,40
0,ALDR,0,0,4,2022-04-20,4
0,ALDR,0,0,6,2022-04-21,6
0,ALDR,0,0,25,2022-04-22,25
0,ALDR,0,0,18,2022-04-23,18
0,ALDR,0,0,57,2022-04-24,57
0,ALDR,0,0,40,2022-04-27,40
0,ALDR,0,1,32,2022-08-22,31
1,ANON,0,1,70,2022-01-04,68
1,ANON,0,2,82,2022-01-13,79
1,ANON,0,0,4,2022-01-14,3
6,ANON,0,1,87,2022-02-01,80
0,ANON,0,0,1,2022-02-02,1
0,ANON,0,0,7,2022-03-29,7
1,ANON,0,0,187,2022-04-09,186
2,ANON,0,0,188,2022-04-10,186
8,ANON,0,94,375,2022-04-11,273
4,ANON,0,0,219,2022-04-12,215
2,ANON,0,0,216,2022-04-13,214
3,ANON,0,0,219,2022-04-14,216
1,ANON,0,0,190,2022-04-15,189
1,ANON,0,0,61,2022-04-16,60
2,ANON,0,0,126,2022-04-17,124
3,ANON,0,0,187,2022-04-18,184
0,ANON,0,0,94,2022-04-19,94
1,ANON,0,0,32,2022-04-20,31
2,ANON,0,1,120,2022-04-21,117
2,ANON,0,0,211,2022-04-22,209
1,ANON,0,0,106,2022-04-23,105
4,ANON,0,0,249,2022-04-24,245
0,ANON,0,0,32,2022-04-25,32
1,ANON,0,0,187,2022-04-26,186
0,ANON,0,0,21,2022-04-27,21
0,ANON,0,1,29,2022-05-04,28
0,ANON,0,0,18,2022-05-18,18
0,ANON,0,0,19,2022-06-18,19
1,ANON,0,0,81,2022-06-19,80
5,ANON,0,0,12,2022-07-25,7
2,ANON,0,1,32,2022-08-19,29
3,ANON,0,6,106,2022-08-21,97
2,ANON,0,4,79,2022-08-22,73
0,ANON,0,0,63,2022-08-23,63
9,ANON,0,4,87,2022-09-19,74
4,ANON,0,4,81,2022-09-20,73
1,ANON,0,3,80,2022-09-21,76
0,ANON,0,0,22,2022-09-22,22
0,ANON,0,0,15,2022-09-23,15
6,ANON,0,2,33,2022-11-20,25
0,ANON,0,4,51,2022-11-21,47
0,ANON,0,0,3,2022-11-22,3
0,ANON,0,0,2,2022-11-30,2
9,ANON,0,2,24,2022-12-06,13
5,ANON,0,0,46,2022-12-07,41
6,ANON,0,6,122,2022-12-17,110
2,ANON,0,1,34,2022-12-25,31
0,COMM,0,0,18,2022-04-09,18
0,COMM,0,0,18,2022-04-10,18
0,COMM,0,18,36,2022-04-11,18
0,COMM,0,0,18,2022-04-12,18
0,COMM,0,0,18,2022-04-13,18
0,COMM,0,0,18,2022-04-14,18
0,COMM,0,0,18,2022-04-15,18
0,COMM,0,0,18,2022-04-17,18
0,COMM,0,0,18,2022-04-18,18
0,COMM,0,0,18,2022-04-19,18
0,COMM,0,0,18,2022-04-22,18
0,COMM,0,0,18,2022-04-23,18
0,COMM,0,0,18,2022-04-24,18
0,COMM,0,0,16,2022-04-25,16
0,COMM,0,0,2,2022-04-26,2
0,COMM,0,0,18,2022-04-27,18
0,COMM,0,0,20,2022-08-22,20
0,COMT,0,0,56,2022-01-04,56
1,COMT,0,0,37,2022-01-05,36
0,COMT,0,0,14,2022-01-13,14
1,COMT,0,2,86,2022-02-01,83
0,COMT,0,0,15,2022-02-02,15
0,COMT,0,0,7,2022-02-18,7
0,COMT,0,0,7,2022-03-02,7
0,COMT,0,0,6,2022-03-25,6
0,COMT,0,0,6,2022-04-05,6
1,COMT,0,0,206,2022-04-09,205
1,COMT,0,0,135,2022-04-10,134
0,COMT,0,158,434,2022-04-11,276
0,COMT,0,0,224,2022-04-12,224
0,COMT,0,0,230,2022-04-13,230
1,COMT,0,0,218,2022-04-14,217
1,COMT,0,0,230,2022-04-15,229
0,COMT,0,0,6,2022-04-16,6
0,COMT,0,1,200,2022-04-17,199
0,COMT,0,0,75,2022-04-18,75
0,COMT,0,0,155,2022-04-19,155
0,COMT,0,0,6,2022-04-20,6
1,COMT,0,0,121,2022-04-21,120
1,COMT,0,0,218,2022-04-22,217
0,COMT,0,0,218,2022-04-23,218
0,COMT,0,0,204,2022-04-24,204
0,COMT,0,0,123,2022-04-25,123
0,COMT,0,0,52,2022-04-26,52
0,COMT,0,0,71,2022-04-27,71
0,COMT,0,0,6,2022-05-08,6
0,COMT,0,1,6,2022-05-13,5
0,COMT,0,0,6,2022-05-24,6
0,COMT,0,0,6,2022-06-01,6
0,COMT,0,0,6,2022-06-18,6
0,COMT,0,0,103,2022-06-19,103
0,COMT,0,0,6,2022-07-25,6
0,COMT,0,0,3,2022-08-01,3
0,COMT,0,0,3,2022-08-07,3
0,COMT,0,0,3,2022-08-14,3
0,COMT,0,0,1,2022-08-18,1
3,COMT,0,0,98,2022-08-21,95
0,COMT,0,0,30,2022-08-22,30
0,COMT,0,0,18,2022-08-23,18
0,COMT,0,0,6,2022-09-07,6
0,COMT,0,2,6,2022-09-12,4
0,COMT,0,1,6,2022-09-17,5
1,COMT,0,0,10,2022-09-19,9
0,COMT,0,0,9,2022-09-20,9
1,COMT,0,0,120,2022-09-22,119
0,COMT,0,0,2,2022-09-23,2
0,COMT,0,0,6,2022-11-13,6
0,COMT,0,1,6,2022-11-20,5
0,COMT,0,0,6,2022-12-05,6
0,COMT,0,1,18,2022-12-06,17
0,COMT,0,0,24,2022-12-07,24
0,COMT,0,0,5,2022-12-14,5
0,COMT,0,1,6,2022-12-17,5
0,COMT,0,0,4,2022-12-23,4
0,COMT,0,0,6,2022-12-25,6
0,CTRL,0,0,18,2022-04-09,18
1,CTRL,0,0,18,2022-04-10,17
0,CTRL,0,18,36,2022-04-11,18
0,CTRL,0,0,18,2022-04-12,18
0,CTRL,0,0,18,2022-04-13,18
0,CTRL,0,0,18,2022-04-14,18
0,CTRL,0,0,18,2022-04-15,18
0,CTRL,0,0,18,2022-04-17,18
0,CTRL,0,0,19,2022-04-18,19
0,CTRL,0,0,17,2022-04-19,17
0,CTRL,0,0,18,2022-04-22,18
0,CTRL,0,0,18,2022-04-23,18
0,CTRL,0,0,18,2022-04-24,18
0,CTRL,0,0,15,2022-04-25,15
0,CTRL,0,0,4,2022-04-26,4
0,CTRL,0,0,17,2022-04-27,17
0,CTRL,0,0,24,2022-08-22,24
0,CULTR,0,0,1,2022-01-04,1
0,CULTR,0,0,1,2022-02-01,1
0,CULTR,0,0,65,2022-02-02,65
0,CULTR,0,0,1,2022-02-22,1
0,CULTR,0,0,1,2022-03-03,1
0,CULTR,0,0,1,2022-03-26,1
0,CULTR,0,0,129,2022-04-09,129
0,CULTR,0,0,250,2022-04-10,250
0,CULTR,0,129,261,2022-04-11,132
0,CULTR,0,0,197,2022-04-12,197
0,CULTR,0,0,183,2022-04-13,183
0,CULTR,0,0,129,2022-04-14,129
0,CULTR,0,0,130,2022-04-15,130
0,CULTR,0,0,124,2022-04-16,124
0,CULTR,0,0,129,2022-04-17,129
0,CULTR,0,1,124,2022-04-18,123
0,CULTR,0,0,7,2022-04-19,7
0,CULTR,0,0,70,2022-04-20,70
0,CULTR,0,1,172,2022-04-21,171
0,CULTR,0,0,124,2022-04-22,124
0,CULTR,0,0,17,2022-04-23,17
0,CULTR,0,0,254,2022-04-24,254
0,CULTR,0,0,126,2022-04-25,126
0,CULTR,0,0,123,2022-04-26,123
0,CULTR,0,0,3,2022-04-27,3
0,CULTR,0,0,1,2022-05-14,1
0,CULTR,0,0,1,2022-06-19,1
0,CULTR,0,0,2,2022-06-24,2
0,CULTR,0,0,1,2022-08-21,1
0,CULTR,0,0,136,2022-08-22,136
0,CULTR,0,0,1,2022-10-22,1
1,DATE,0,0,13,2022-04-09,12
1,DATE,0,0,13,2022-04-10,12
2,DATE,0,15,39,2022-04-11,22
1,DATE,0,0,13,2022-04-12,12
1,DATE,0,0,13,2022-04-13,12
1,DATE,0,0,13,2022-04-14,12
1,DATE,0,0,13,2022-04-15,12
1,DATE,0,0,13,2022-04-16,12
