anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,18,2022-01-27,18
0,ALDR,0,0,6,2022-01-30,6
0,ALDR,0,0,13,2022-02-05,13
0,ALDR,0,0,5,2022-02-06,5
0,ALDR,0,0,6,2022-02-07,6
0,ALDR,0,0,1,2022-02-09,1
0,ALDR,0,0,23,2022-02-10,23
1,ALDR,0,0,13,2022-02-13,12
0,ALDR,0,1,29,2022-02-14,28
0,ALDR,0,0,6,2022-02-15,6
0,ALDR,0,0,9,2022-02-21,9
0,ALDR,0,0,10,2022-02-22,10
0,ALDR,0,0,11,2022-02-23,11
0,ALDR,0,1,20,2022-02-24,19
0,ALDR,0,0,34,2022-03-01,34
0,ALDR,0,0,10,2022-03-02,10
0,ALDR,0,0,11,2022-03-03,11
0,ALDR,0,0,20,2022-03-04,20
0,ALDR,0,0,25,2022-03-12,25
0,ALDR,0,0,23,2022-03-29,23
0,ALDR,0,0,2,2022-03-31,2
0,ALDR,0,0,23,2022-04-06,23
0,ALDR,0,0,2,2022-04-08,2
0,ALDR,0,0,23,2022-04-14,23
0,ALDR,0,1,2,2022-04-16,1
0,ALDR,0,0,23,2022-04-22,23
0,ALDR,0,0,2,2022-04-24,2
0,ALDR,0,0,5,2022-04-30,5
0,ALDR,0,0,18,2022-05-01,18
0,ALDR,0,0,2,2022-05-03,2
0,ALDR,0,0,4,2022-05-09,4
0,ALDR,0,0,19,2022-05-10,19
0,ALDR,0,0,1,2022-05-11,1
0,ALDR,0,0,1,2022-05-12,1
0,ALDR,0,0,8,2022-06-22,8
0,ALDR,0,0,18,2022-07-08,18
0,ALDR,0,0,25,2022-07-09,25
0,ALDR,0,0,32,2022-07-15,32
0,ALDR,0,0,32,2022-07-18,32
0,ALDR,0,0,1,2022-07-23,1
0,ALDR,0,0,32,2022-08-07,32
0,ALDR,0,1,23,2022-08-13,22
0,ALDR,0,1,9,2022-08-26,8
0,ALDR,0,1,23,2022-08-27,22
0,ALDR,0,1,29,2022-09-14,28
0,ALDR,0,0,3,2022-09-15,3
0,ALDR,0,2,56,2022-09-20,54
1,ALDR,0,0,14,2022-09-21,13
1,ALDR,0,0,57,2022-09-22,56
3,ALDR,0,0,31,2022-09-23,28
0,ALDR,0,1,44,2022-09-24,43
1,ALDR,0,2,43,2022-09-26,40
0,ALDR,0,0,9,2022-09-27,9
1,ALDR,0,2,59,2022-09-28,56
1,ALDR,0,0,28,2022-09-29,27
0,ALDR,0,0,9,2022-09-30,9
0,ALDR,0,0,20,2022-10-01,20
1,ALDR,0,2,48,2022-10-02,45
1,ALDR,0,4,84,2022-10-06,79
0,ALDR,0,0,16,2022-10-07,16
0,ALDR,0,0,4,2022-10-08,4
1,ALDR,0,5,102,2022-10-09,96
0,ALDR,0,0,8,2022-10-10,8
0,ALDR,0,0,24,2022-10-11,24
1,ALDR,0,2,43,2022-10-12,40
0,ALDR,0,0,7,2022-10-13,7
0,ALDR,0,1,27,2022-10-15,26
0,ALDR,0,3,47,2022-10-21,44
0,ALDR,0,0,10,2022-10-22,10
0,ALDR,0,0,3,2022-10-23,3
0,ALDR,0,1,39,2022-10-25,38
0,ALDR,0,1,22,2022-10-28,21
0,ALDR,0,0,58,2022-11-04,58
0,ALDR,0,0,13,2022-11-05,13
0,ALDR,0,1,37,2022-11-06,36
0,ALDR,0,1,39,2022-11-07,38
0,ALDR,0,1,58,2022-11-08,57
0,ALDR,0,0,32,2022-11-09,32
0,ALDR,0,0,28,2022-11-10,28
0,ALDR,0,2,40,2022-11-13,38
0,ALDR,0,0,75,2022-11-15,75
0,ALDR,0,0,24,2022-11-17,24
0,ALDR,0,3,114,2022-11-18,111
0,ALDR,0,0,21,2022-11-20,21
0,ALDR,0,0,56,2022-11-23,56
0,ALDR,0,3,101,2022-11-26,98
0,ALDR,0,1,61,2022-11-28,60
0,ALDR,0,2,7,2022-11-29,5
0,ANON,0,0,1,2022-01-01,1
0,ANON,0,0,29,2022-01-02,29
0,ANON,0,0,16,2022-01-04,16
0,ANON,0,0,5,2022-01-05,5
0,ANON,0,0,2,2022-01-07,2
0,ANON,0,0,16,2022-01-09,16
0,ANON,0,0,12,2022-01-10,12
0,ANON,0,0,16,2022-01-11,16
0,ANON,0,0,17,2022-01-12,17
1,ANON,0,0,9,2022-01-13,8
0,ANON,0,0,2,2022-01-15,2
0,ANON,0,0,16,2022-01-17,16
0,ANON,0,0,12,2022-01-18,12
0,ANON,0,0,16,2022-01-19,16
0,ANON,0,0,17,2022-01-20,17
1,ANON,0,0,9,2022-01-21,8
0,ANON,0,0,2,2022-01-23,2
0,ANON,0,0,1,2022-01-24,1
0,ANON,0,0,18,2022-01-26,18
1,ANON,0,0,41,2022-01-27,40
0,ANON,0,0,17,2022-01-28,17
1,ANON,0,0,9,2022-01-29,8
0,ANON,0,0,2,2022-01-31,2
0,ANON,0,0,1,2022-02-01,1
