anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,16,84,2022-12-02,68
2,ANON,2,6,85,2022-03-03,75
0,ANON,8,0,9,2022-03-04,1
2,ANON,0,5,68,2022-04-05,61
22,ANON,0,26,170,2022-04-06,122
0,ANON,0,1,8,2022-04-11,7
17,ANON,10,4,95,2022-04-19,64
1,ANON,2,4,19,2022-04-20,12
4,ANON,0,8,54,2022-07-20,42
17,ANON,0,17,135,2022-07-21,101
10,ANON,0,11,92,2022-07-22,71
13,ANON,17,35,270,2022-07-23,205
1,ANON,0,0,1,2022-10-24,0
0,ANON,0,6,6,2022-11-01,0
19,ANON,0,41,193,2022-11-04,133
15,ANON,0,16,136,2022-11-05,105
8,ANON,0,3,46,2022-11-12,35
1,ANON,0,0,6,2022-11-25,5
41,ANON,7,4,193,2022-11-26,141
14,ANON,0,12,304,2022-12-02,278
5,ANON,0,15,122,2022-12-03,102
0,ANON,0,0,30,2022-12-04,30
12,ANON,0,1,49,2022-12-05,36
12,ANON,0,1,38,2022-12-06,25
0,ANON,0,0,37,2022-12-07,37
0,ANON,0,3,143,2022-12-08,140
13,ANON,0,8,119,2022-12-09,98
12,ANON,0,42,241,2022-12-10,187
3,ANON,0,8,54,2022-12-11,43
1,ANON,0,0,20,2022-12-12,19
1,ANON,0,1,23,2022-12-13,21
0,ANON,0,1,40,2022-12-14,39
0,ANON,0,0,56,2022-12-15,56
0,ANON,0,0,22,2022-12-16,22
0,ANON,0,0,10,2022-12-17,10
1,ANON,0,0,29,2022-12-18,28
1,ANON,0,0,28,2022-12-19,27
13,ANON,0,1,45,2022-12-20,31
1,ANON,0,0,50,2022-12-21,49
1,ANON,0,0,41,2022-12-22,40
0,ANON,0,0,36,2022-12-23,36
0,ANON,0,0,31,2022-12-24,31
1,ANON,0,1,7,2022-12-25,5
4,ANON,0,1,38,2022-12-26,33
0,ANON,0,4,105,2022-12-27,101
2,ANON,0,0,94,2022-12-28,92
0,ANON,0,0,46,2022-12-29,46
36,ANON,5,27,190,2022-12-30,122
1,COMM,0,0,33,2022-12-02,32
0,COMT,0,0,7,2022-03-03,7
0,COMT,0,0,6,2022-03-14,6
0,COMT,0,0,6,2022-03-28,6
1,COMT,0,0,6,2022-04-05,5
0,COMT,0,0,6,2022-04-16,6
1,COMT,0,0,6,2022-04-30,5
0,COMT,0,0,6,2022-06-18,6
0,COMT,0,0,12,2022-07-20,12
0,COMT,0,0,106,2022-07-22,106
0,COMT,0,0,4,2022-07-23,4
0,COMT,0,0,34,2022-07-24,34
0,COMT,0,0,6,2022-08-21,6
0,COMT,0,0,6,2022-09-08,6
0,COMT,0,0,6,2022-09-10,6
0,COMT,0,0,6,2022-09-29,6
0,COMT,0,0,5,2022-09-30,5
0,COMT,0,0,6,2022-10-19,6
0,COMT,0,0,6,2022-10-30,6
0,COMT,0,5,6,2022-11-01,1
0,COMT,0,0,11,2022-11-04,11
0,COMT,0,0,6,2022-11-25,6
3,COMT,0,1,145,2022-12-02,141
0,COMT,0,0,11,2022-12-03,11
0,COMT,0,0,1,2022-12-04,1
0,COMT,0,0,1,2022-12-05,1
0,COMT,0,2,138,2022-12-10,136
0,COMT,0,0,11,2022-12-11,11
0,COMT,0,0,4,2022-12-12,4
0,COMT,0,0,3,2022-12-13,3
0,COMT,0,0,2,2022-12-14,2
0,COMT,0,0,2,2022-12-15,2
0,COMT,0,0,2,2022-12-16,2
0,COMT,0,0,2,2022-12-17,2
0,COMT,0,0,3,2022-12-18,3
0,COMT,0,0,3,2022-12-19,3
0,COMT,0,0,2,2022-12-20,2
0,COMT,0,0,7,2022-12-21,7
0,COMT,0,0,1,2022-12-22,1
0,COMT,0,0,1,2022-12-23,1
0,COMT,0,0,3,2022-12-25,3
0,COMT,0,0,2,2022-12-26,2
0,COMT,0,0,6,2022-12-28,6
0,COMT,0,0,9,2022-12-30,9
0,CTRL,0,1,69,2022-12-02,68
0,CULTR,0,0,1,2022-03-03,1
0,CULTR,0,0,1,2022-04-05,1
0,CULTR,0,0,1,2022-04-19,1
0,CULTR,0,0,2,2022-07-22,2
0,CULTR,0,6,161,2022-12-02,155
0,CULTR,0,0,10,2022-12-11,10
0,CULTR,0,0,2,2022-12-15,2
0,DATE,0,0,5,2022-04-06,5
0,DATE,0,0,5,2022-07-22,5
0,DATE,0,0,5,2022-07-23,5
6,DATE,0,15,248,2022-12-02,227
0,ECON,0,0,4,2022-03-03,4
