anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,1,2022-01-11,1
0,ALDR,0,1,24,2022-01-24,23
0,ALDR,0,0,29,2022-12-20,29
1,ANON,0,0,11,2022-01-11,10
1,ANON,0,0,61,2022-01-24,60
0,ANON,0,0,67,2022-03-15,67
1,ANON,0,0,25,2022-03-16,24
0,ANON,0,0,1,2022-03-17,1
0,ANON,0,0,7,2022-05-04,7
1,ANON,0,0,13,2022-07-03,12
3,ANON,0,0,34,2022-07-04,31
0,ANON,0,0,5,2022-07-15,5
0,ANON,0,0,9,2022-07-28,9
3,ANON,0,0,58,2022-07-29,55
0,ANON,0,0,9,2022-07-30,9
3,ANON,0,2,79,2022-09-06,74
0,ANON,0,1,28,2022-09-07,27
6,ANON,0,16,106,2022-09-08,84
16,ANON,0,26,246,2022-09-09,204
7,ANON,0,0,196,2022-09-10,189
0,ANON,0,0,9,2022-09-11,9
0,ANON,0,0,12,2022-09-12,12
0,ANON,0,0,4,2022-09-14,4
2,ANON,0,2,17,2022-10-01,13
6,ANON,0,8,153,2022-10-02,139
0,ANON,0,0,14,2022-10-03,14
0,ANON,0,0,21,2022-10-04,21
0,ANON,0,1,3,2022-10-05,2
0,ANON,0,0,4,2022-10-06,4
0,ANON,0,2,11,2022-10-07,9
0,ANON,0,5,27,2022-10-12,22
1,ANON,0,4,42,2022-10-13,37
1,ANON,0,3,46,2022-10-14,42
3,ANON,0,10,125,2022-10-17,112
14,ANON,0,22,298,2022-10-19,262
3,ANON,0,2,50,2022-10-21,45
2,ANON,0,3,32,2022-10-23,27
1,ANON,0,1,15,2022-10-24,13
4,ANON,0,6,80,2022-10-25,70
3,ANON,0,8,100,2022-10-26,89
0,ANON,0,1,23,2022-10-27,22
0,ANON,0,1,20,2022-10-28,19
0,ANON,0,9,87,2022-10-29,78
4,ANON,0,12,113,2022-10-30,97
1,ANON,0,2,39,2022-10-31,36
2,ANON,0,0,7,2022-12-10,5
10,ANON,0,6,153,2022-12-12,137
6,ANON,0,3,104,2022-12-13,95
6,ANON,0,2,52,2022-12-14,44
0,ANON,0,0,10,2022-12-15,10
0,ANON,0,0,1,2022-12-16,1
0,ANON,0,1,2,2022-12-18,1
0,ANON,0,4,6,2022-12-19,2
0,ANON,0,3,3,2022-12-20,0
0,COMM,0,0,1,2022-01-11,1
1,COMM,0,0,17,2022-01-24,16
0,COMT,0,0,5,2022-01-11,5
2,COMT,0,0,87,2022-01-24,85
0,COMT,0,0,6,2022-03-13,6
0,COMT,0,0,3,2022-03-16,3
1,COMT,0,2,93,2022-03-17,90
0,COMT,0,0,6,2022-05-04,6
0,COMT,0,0,6,2022-06-13,6
0,COMT,0,0,6,2022-06-28,6
0,COMT,0,0,18,2022-07-01,18
0,COMT,0,0,2,2022-07-03,2
0,COMT,0,0,4,2022-07-04,4
2,COMT,0,0,20,2022-07-27,18
0,COMT,0,0,8,2022-07-29,8
0,COMT,0,0,6,2022-08-17,6
0,COMT,0,0,6,2022-08-28,6
0,COMT,0,0,26,2022-09-06,26
0,COMT,0,0,5,2022-09-07,5
0,COMT,0,0,19,2022-09-08,19
0,COMT,0,0,26,2022-09-09,26
0,COMT,0,0,4,2022-09-12,4
0,COMT,0,0,4,2022-09-14,4
0,COMT,0,0,2,2022-09-15,2
0,COMT,0,0,9,2022-09-17,9
0,COMT,0,0,12,2022-10-01,12
0,COMT,0,0,26,2022-10-02,26
0,COMT,0,0,2,2022-10-03,2
0,COMT,0,0,64,2022-10-04,64
0,COMT,0,0,12,2022-10-05,12
0,COMT,0,0,38,2022-10-06,38
3,COMT,0,2,202,2022-10-07,197
0,COMT,0,0,4,2022-10-12,4
0,COMT,0,0,5,2022-10-17,5
1,COMT,0,0,7,2022-10-23,6
0,COMT,0,0,3,2022-10-24,3
0,COMT,0,0,6,2022-10-25,6
0,COMT,0,0,10,2022-10-26,10
0,COMT,0,0,1,2022-10-27,1
0,COMT,0,0,1,2022-10-28,1
0,COMT,0,3,59,2022-10-29,56
0,COMT,0,0,13,2022-10-30,13
3,COMT,0,2,451,2022-10-31,446
0,COMT,0,0,41,2022-11-01,41
7,COMT,0,0,44,2022-11-02,37
0,COMT,0,0,6,2022-11-19,6
0,COMT,0,0,6,2022-12-10,6
0,COMT,0,0,3,2022-12-12,3
0,COMT,0,4,219,2022-12-14,215
0,COMT,0,2,82,2022-12-15,80
0,COMT,0,0,4,2022-12-16,4
0,COMT,0,0,7,2022-12-18,7
0,COMT,0,0,13,2022-12-19,13
0,COMT,0,0,4,2022-12-20,4
0,CULTR,0,0,6,2022-01-11,6
0,CULTR,0,2,53,2022-01-24,51
0,CULTR,0,0,1,2022-03-15,1
0,CULTR,0,0,1,2022-03-16,1
0,CULTR,0,0,3,2022-03-17,3
0,CULTR,0,0,1,2022-05-04,1
0,CULTR,0,0,60,2022-12-19,60
0,CULTR,0,0,62,2022-12-20,62
0,DATE,0,0,15,2022-01-24,15
0,DATE,0,0,11,2022-12-20,11
0,ECON,0,0,16,2022-01-24,16
0,ENV,0,0,2,2022-01-11,2
0,ENV,0,0,19,2022-01-24,19
0,ENV,0,0,24,2022-03-17,24
0,ENV,0,0,43,2022-12-15,43
0,ENV,0,0,20,2022-12-16,20
0,ENV,0,0,8,2022-12-18,8
0,ENV,0,0,25,2022-12-19,25
0,ENV,0,0,3,2022-12-20,3
0,FILE,0,0,2,2022-01-11,2
0,FILE,0,0,16,2022-01-24,16
0,FILE,0,0,1,2022-03-16,1
0,FILE,0,2,86,2022-12-19,84
0,FILE,0,4,47,2022-12-20,43
0,GAME,0,0,1,2022-01-11,1
0,GAME,0,0,18,2022-01-24,18
0,GMB,0,0,1,2022-01-11,1
1,GMB,0,0,27,2022-01-24,26
0,GMB,0,0,15,2022-12-20,15
0,GOVT,0,0,23,2022-01-24,23
0,GOVT,0,0,1,2022-03-17,1
0,GOVT,0,0,12,2022-12-19,12
1,GOVT,0,1,30,2022-12-20,28
1,GRP,0,0,4,2022-01-11,3
0,GRP,0,0,1,2022-01-15,1
1,GRP,0,0,28,2022-01-24,27
0,GRP,0,0,10,2022-03-13,10
0,GRP,0,0,52,2022-03-15,52
0,GRP,0,0,4,2022-03-16,4
0,GRP,0,0,9,2022-03-17,9
0,GRP,0,0,54,2022-05-04,54
0,GRP,0,0,26,2022-06-13,26
0,GRP,0,0,70,2022-06-28,70
0,GRP,0,0,19,2022-07-01,19
2,GRP,0,0,26,2022-07-02,24
0,GRP,0,0,7,2022-07-03,7
0,GRP,0,0,56,2022-07-04,56
0,GRP,0,0,16,2022-07-15,16
8,GRP,0,0,170,2022-07-27,162
10,GRP,0,0,131,2022-07-28,121
0,GRP,0,0,25,2022-07-29,25
0,GRP,0,0,11,2022-07-30,11
0,GRP,0,0,13,2022-08-17,13
0,GRP,0,0,11,2022-08-28,11
1,GRP,0,0,244,2022-09-06,243
0,GRP,0,0,50,2022-09-07,50
1,GRP,0,0,185,2022-09-08,184
1,GRP,0,0,283,2022-09-09,282
2,GRP,0,0,18,2022-09-10,16
0,GRP,0,0,2,2022-09-11,2
2,GRP,0,0,8,2022-09-12,6
0,GRP,0,0,6,2022-09-14,6
4,GRP,0,1,35,2022-09-15,30
1,GRP,0,0,7,2022-09-17,6
0,GRP,0,1,160,2022-10-01,159
0,GRP,0,1,296,2022-10-02,295
0,GRP,0,0,6,2022-10-03,6
0,GRP,0,0,6,2022-10-04,6
0,GRP,0,0,2,2022-10-05,2
0,GRP,0,0,3,2022-10-06,3
0,GRP,0,1,10,2022-10-07,9
0,GRP,0,0,137,2022-10-12,137
0,GRP,0,0,76,2022-10-13,76
4,GRP,0,3,74,2022-10-14,67
1,GRP,0,0,54,2022-10-17,53
1,GRP,0,1,60,2022-10-19,58
0,GRP,0,0,10,2022-10-21,10
18,GRP,0,1,118,2022-10-23,99
2,GRP,0,1,51,2022-10-24,48
1,GRP,0,4,62,2022-10-25,57
0,GRP,0,0,37,2022-10-26,37
0,GRP,0,0,6,2022-10-27,6
0,GRP,0,0,6,2022-10-28,6
0,GRP,0,0,30,2022-10-29,30
0,GRP,0,3,66,2022-10-30,63
0,GRP,0,0,33,2022-10-31,33
0,GRP,0,0,2,2022-11-01,2
1,GRP,0,0,2,2022-11-02,1
0,GRP,0,0,3,2022-11-19,3
0,GRP,0,0,83,2022-12-10,83
0,GRP,0,0,105,2022-12-12,105
1,GRP,0,0,23,2022-12-13,22
0,GRP,0,0,14,2022-12-14,14
0,GRP,0,0,10,2022-12-15,10
0,GRP,0,0,2,2022-12-16,2
0,GRP,0,0,36,2022-12-18,36
0,GRP,0,0,44,2022-12-19,44
0,GRP,0,0,17,2022-12-20,17
0,GRP,0,0,3,2022-12-24,3
0,HACK,0,0,3,2022-01-11,3
1,HACK,0,1,28,2022-01-24,26
0,HATE,0,0,6,2022-01-24,6
0,HATE,0,0,5,2022-12-20,5
0,HOST,0,0,3,2022-01-11,3
1,HOST,0,1,75,2022-01-24,73
0,HOST,0,0,3,2022-03-15,3
4,HOST,0,0,104,2022-03-17,100
0,HOST,0,0,1,2022-05-04,1
0,HOST,0,0,1,2022-06-28,1
0,HOST,0,0,2,2022-07-15,2
0,HOST,0,0,5,2022-07-28,5
0,HOST,0,0,5,2022-09-06,5
0,HOST,0,0,1,2022-09-09,1
7,HOST,0,1,205,2022-12-15,197
2,HOST,0,0,34,2022-12-16,32
1,HOST,0,1,23,2022-12-18,21
4,HOST,0,0,70,2022-12-19,66
1,HOST,0,0,17,2022-12-20,16
0,HUMR,0,0,10,2022-01-11,10
0,HUMR,0,0,106,2022-01-24,106
1,HUMR,0,0,72,2022-03-15,71
0,HUMR,0,0,43,2022-03-16,43
0,HUMR,0,0,1,2022-03-17,1
0,HUMR,0,0,4,2022-05-04,4
0,HUMR,0,0,4,2022-07-03,4
0,HUMR,0,0,20,2022-07-04,20
0,HUMR,0,0,1,2022-07-15,1
1,HUMR,0,0,43,2022-07-29,42
0,HUMR,0,0,6,2022-07-30,6
0,HUMR,0,0,34,2022-09-06,34
0,HUMR,0,0,3,2022-09-07,3
0,HUMR,0,0,17,2022-09-08,17
0,HUMR,0,0,51,2022-09-09,51
0,HUMR,0,11,202,2022-09-10,191
0,HUMR,0,0,3,2022-09-12,3
0,HUMR,0,0,1,2022-09-14,1
0,HUMR,0,0,2,2022-10-01,2
1,HUMR,0,4,219,2022-10-02,214
