anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,21,2022-01-01,21
0,ALDR,0,0,25,2022-01-04,25
0,ALDR,0,0,1,2022-01-06,1
0,ALDR,0,0,14,2022-01-07,14
0,ALDR,0,0,11,2022-01-08,11
0,ALDR,0,0,9,2022-01-09,9
0,ALDR,0,0,12,2022-01-10,12
0,ALDR,0,1,25,2022-01-12,24
0,ALDR,0,0,8,2022-01-15,8
0,ALDR,0,0,18,2022-01-16,18
0,ALDR,0,0,9,2022-01-17,9
0,ALDR,0,1,12,2022-01-18,11
0,ALDR,0,0,2,2022-01-20,2
0,ALDR,0,0,7,2022-01-23,7
0,ALDR,0,0,18,2022-01-24,18
0,ALDR,0,0,9,2022-01-25,9
0,ALDR,0,0,11,2022-01-26,11
0,ALDR,0,0,1,2022-01-27,1
0,ALDR,0,0,2,2022-01-29,2
0,ALDR,0,0,7,2022-01-31,7
0,ALDR,0,0,18,2022-02-01,18
0,ALDR,0,0,9,2022-02-02,9
0,ALDR,0,1,8,2022-02-03,7
0,ALDR,0,1,21,2022-02-04,20
0,ALDR,0,0,2,2022-02-06,2
0,ALDR,0,0,7,2022-02-08,7
0,ALDR,0,0,18,2022-02-09,18
0,ALDR,0,0,9,2022-02-10,9
0,ALDR,0,1,7,2022-02-11,6
0,ALDR,0,1,15,2022-02-12,14
0,ALDR,0,0,6,2022-02-13,6
0,ALDR,0,0,2,2022-02-14,2
0,ALDR,0,0,1,2022-02-16,1
0,ALDR,0,0,24,2022-02-17,24
0,ALDR,0,1,9,2022-02-23,8
0,ALDR,0,0,24,2022-02-25,24
0,ALDR,0,1,33,2022-02-28,32
0,ALDR,0,0,9,2022-03-03,9
0,ALDR,0,0,24,2022-03-05,24
0,ALDR,0,0,33,2022-03-08,33
0,ALDR,0,0,9,2022-03-12,9
0,ALDR,0,0,24,2022-03-13,24
0,ALDR,0,0,33,2022-03-16,33
0,ALDR,0,0,9,2022-03-20,9
0,ALDR,0,0,24,2022-03-21,24
0,ALDR,0,0,33,2022-03-24,33
0,ALDR,0,1,33,2022-03-31,32
0,ALDR,0,0,33,2022-04-03,33
0,ALDR,0,0,33,2022-04-08,33
0,ALDR,0,0,33,2022-04-11,33
0,ALDR,0,0,33,2022-04-16,33
0,ALDR,0,0,33,2022-04-19,33
1,ALDR,0,0,33,2022-05-13,32
0,ALDR,0,0,33,2022-05-16,33
0,ALDR,0,0,33,2022-05-21,33
22,ALDR,0,0,33,2022-05-24,11
0,ALDR,0,0,33,2022-05-29,33
0,ALDR,0,0,33,2022-06-01,33
0,ALDR,0,0,33,2022-06-06,33
10,ALDR,0,0,33,2022-06-09,23
0,ALDR,0,0,16,2022-06-11,16
0,ALDR,0,0,33,2022-06-14,33
0,ALDR,0,0,33,2022-06-17,33
0,ALDR,0,0,14,2022-06-19,14
0,ALDR,0,0,4,2022-06-22,4
0,ALDR,0,0,20,2022-06-23,20
0,ALDR,0,0,16,2022-06-25,16
0,ALDR,0,0,22,2022-06-29,22
0,ALDR,0,0,11,2022-06-30,11
0,ALDR,0,0,19,2022-07-02,19
0,ALDR,0,0,28,2022-07-03,28
0,ALDR,0,0,40,2022-07-08,40
0,ALDR,0,0,40,2022-07-10,40
0,ALDR,0,0,33,2022-07-11,33
0,ALDR,0,0,33,2022-07-14,33
0,ALDR,0,0,10,2022-07-17,10
0,ALDR,0,0,37,2022-07-18,37
0,ALDR,0,0,40,2022-07-21,40
0,ALDR,0,0,33,2022-07-26,33
0,ALDR,0,0,33,2022-07-28,33
0,ALDR,0,0,14,2022-07-31,14
0,ALDR,0,0,40,2022-08-03,40
0,ALDR,0,0,40,2022-08-06,40
0,ALDR,0,0,9,2022-08-08,9
0,ALDR,0,0,31,2022-08-09,31
0,ALDR,0,0,40,2022-08-16,40
0,ALDR,0,1,46,2022-08-25,45
0,ALDR,0,4,53,2022-08-28,49
0,ALDR,0,1,1,2022-08-29,0
2,ALDR,0,0,52,2022-09-02,50
4,ALDR,0,0,64,2022-09-05,60
8,ALDR,0,0,45,2022-09-06,37
8,ALDR,0,0,20,2022-09-07,12
3,ALDR,0,0,3,2022-09-08,0
2,ALDR,0,0,50,2022-09-10,48
0,ALDR,0,0,41,2022-09-11,41
1,ALDR,0,0,68,2022-09-14,67
0,ALDR,0,0,28,2022-09-15,28
0,ALDR,0,0,12,2022-09-16,12
0,ALDR,0,0,12,2022-09-17,12
1,ALDR,0,0,13,2022-09-25,12
0,ALDR,0,0,29,2022-09-26,29
0,ALDR,0,0,9,2022-09-29,9
