anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,24,2022-01-06,24
0,ALDR,0,0,13,2022-01-17,13
0,ALDR,0,0,11,2022-01-18,11
0,ALDR,0,0,19,2022-01-19,19
0,ALDR,0,0,5,2022-01-20,5
0,ALDR,0,0,37,2022-01-25,37
0,ALDR,0,0,9,2022-01-27,9
0,ALDR,0,0,2,2022-01-28,2
0,ALDR,0,0,37,2022-02-02,37
0,ALDR,0,0,9,2022-02-04,9
0,ALDR,0,0,26,2022-02-05,26
0,ALDR,0,0,13,2022-02-10,13
0,ALDR,0,0,9,2022-02-12,9
0,ALDR,0,0,15,2022-02-14,15
0,ALDR,0,0,6,2022-02-18,6
0,ALDR,0,0,3,2022-02-20,3
0,ALDR,0,0,24,2022-02-21,24
0,ALDR,0,0,1,2022-02-22,1
0,ALDR,0,0,16,2022-02-23,16
0,ALDR,0,0,6,2022-02-26,6
0,ALDR,0,0,3,2022-02-28,3
0,ALDR,0,0,24,2022-03-01,24
0,ALDR,0,0,22,2022-03-02,22
0,ALDR,0,0,2,2022-03-03,2
1,ALDR,0,0,2,2022-03-09,1
0,ALDR,0,0,23,2022-03-11,23
0,ALDR,0,0,25,2022-03-16,25
0,ALDR,0,0,2,2022-03-17,2
0,ALDR,0,0,23,2022-03-19,23
0,ALDR,0,0,25,2022-03-24,25
0,ALDR,0,0,2,2022-03-25,2
0,ALDR,0,0,23,2022-03-27,23
0,ALDR,0,0,3,2022-04-08,3
0,ALDR,0,0,22,2022-04-09,22
0,ALDR,0,0,25,2022-04-12,25
0,ALDR,0,0,25,2022-04-18,25
0,ALDR,0,0,25,2022-04-29,25
0,ALDR,0,0,25,2022-05-01,25
1,ALDR,0,0,25,2022-05-06,24
0,ALDR,0,1,19,2022-05-07,18
0,ALDR,0,0,6,2022-05-08,6
0,ALDR,0,0,25,2022-05-09,25
0,ALDR,0,0,25,2022-05-11,25
0,ALDR,0,0,19,2022-05-15,19
0,ALDR,0,0,6,2022-05-16,6
0,ALDR,0,0,25,2022-05-17,25
0,ALDR,0,0,16,2022-05-20,16
0,ALDR,0,0,3,2022-05-23,3
0,ALDR,0,0,6,2022-05-24,6
0,ALDR,0,0,36,2022-05-25,36
0,ALDR,0,0,5,2022-05-28,5
0,ALDR,0,0,25,2022-05-29,25
0,ALDR,0,0,3,2022-05-31,3
0,ALDR,0,0,31,2022-06-01,31
0,ALDR,0,0,11,2022-06-02,11
