anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,26,2022-01-01,26
0,ALDR,0,0,28,2022-01-03,28
0,ALDR,0,0,27,2022-01-04,27
6,ALDR,0,0,49,2022-01-05,43
1,ALDR,0,0,40,2022-01-06,39
0,ALDR,0,0,13,2022-01-07,13
1,ALDR,0,0,57,2022-01-08,56
0,ALDR,0,0,26,2022-01-09,26
3,ALDR,0,0,31,2022-01-11,28
3,ALDR,0,0,24,2022-01-12,21
0,ALDR,0,0,61,2022-01-13,61
0,ALDR,0,0,28,2022-01-14,28
0,ALDR,0,0,18,2022-01-15,18
0,ALDR,0,0,52,2022-01-16,52
0,ALDR,0,0,26,2022-01-17,26
0,ALDR,0,0,46,2022-01-19,46
0,ALDR,0,1,18,2022-01-20,17
5,ALDR,0,0,98,2022-01-21,93
0,ALDR,0,0,30,2022-01-22,30
2,ALDR,0,0,23,2022-01-23,21
0,ALDR,0,0,85,2022-01-24,85
0,ALDR,0,0,37,2022-01-25,37
0,ALDR,0,0,53,2022-01-27,53
0,ALDR,0,0,46,2022-01-28,46
0,ALDR,0,1,87,2022-01-29,86
0,ALDR,0,0,45,2022-01-30,45
0,ALDR,0,0,23,2022-01-31,23
0,ALDR,0,1,103,2022-02-01,102
0,ALDR,0,0,49,2022-02-02,49
0,ALDR,0,0,5,2022-02-03,5
0,ALDR,0,1,51,2022-02-04,50
0,ALDR,0,0,32,2022-02-05,32
0,ALDR,0,1,96,2022-02-06,95
0,ALDR,0,0,25,2022-02-07,25
0,ALDR,0,0,35,2022-02-08,35
0,ALDR,0,2,109,2022-02-09,107
0,ALDR,0,0,38,2022-02-10,38
0,ALDR,0,0,3,2022-02-11,3
3,ALDR,0,1,46,2022-02-12,42
0,ALDR,0,0,19,2022-02-13,19
0,ALDR,0,0,88,2022-02-14,88
1,ALDR,0,0,40,2022-02-15,39
0,ALDR,0,0,27,2022-02-16,27
0,ALDR,0,2,99,2022-02-17,97
0,ALDR,0,0,47,2022-02-18,47
2,ALDR,0,1,28,2022-02-19,25
0,ALDR,0,0,47,2022-02-20,47
0,ALDR,0,0,23,2022-02-21,23
0,ALDR,0,0,106,2022-02-22,106
0,ALDR,0,0,34,2022-02-23,34
0,ALDR,0,0,24,2022-02-24,24
1,ALDR,0,2,83,2022-02-25,80
0,ALDR,0,0,48,2022-02-26,48
0,ALDR,0,1,21,2022-02-27,20
0,ALDR,0,0,82,2022-02-28,82
0,ALDR,0,0,46,2022-03-01,46
0,ALDR,0,0,134,2022-03-02,134
0,ALDR,0,0,41,2022-03-03,41
0,ALDR,0,0,51,2022-03-04,51
0,ALDR,0,1,83,2022-03-05,82
0,ALDR,0,0,42,2022-03-06,42
0,ALDR,0,0,7,2022-03-07,7
0,ALDR,0,1,81,2022-03-08,80
0,ALDR,0,0,17,2022-03-09,17
0,ALDR,0,0,128,2022-03-10,128
0,ALDR,0,0,21,2022-03-11,21
0,ALDR,0,0,43,2022-03-12,43
0,ALDR,0,0,124,2022-03-13,124
0,ALDR,0,0,55,2022-03-14,55
0,ALDR,0,0,31,2022-03-15,31
0,ALDR,0,2,89,2022-03-16,87
0,ALDR,0,0,45,2022-03-17,45
0,ALDR,0,0,151,2022-03-18,151
0,ALDR,0,0,26,2022-03-19,26
0,ALDR,0,0,64,2022-03-20,64
0,ALDR,0,0,134,2022-03-21,134
0,ALDR,0,0,42,2022-03-22,42
0,ALDR,0,0,6,2022-03-23,6
2,ALDR,0,0,104,2022-03-24,102
0,ALDR,0,0,31,2022-03-25,31
0,ALDR,0,0,147,2022-03-26,147
0,ALDR,0,0,9,2022-03-27,9
0,ALDR,0,0,76,2022-03-28,76
0,ALDR,0,0,88,2022-03-29,88
0,ALDR,0,0,33,2022-03-30,33
0,ALDR,0,0,7,2022-03-31,7
0,ALDR,0,0,67,2022-04-01,67
0,ALDR,0,0,27,2022-04-02,27
0,ALDR,0,4,105,2022-04-03,101
0,ALDR,0,0,9,2022-04-04,9
0,ALDR,0,0,70,2022-04-05,70
0,ALDR,0,1,82,2022-04-06,81
0,ALDR,0,0,36,2022-04-07,36
0,ALDR,0,0,54,2022-04-09,54
0,ALDR,0,0,29,2022-04-10,29
2,ALDR,0,0,106,2022-04-11,104
1,ALDR,0,0,38,2022-04-12,37
1,ALDR,0,0,67,2022-04-13,66
2,ALDR,0,0,101,2022-04-14,99
0,ALDR,0,0,42,2022-04-15,42
0,ALDR,0,0,13,2022-04-16,13
3,ALDR,0,0,79,2022-04-17,76
1,ALDR,0,0,56,2022-04-18,55
0,ALDR,0,2,114,2022-04-19,112
0,ALDR,0,0,21,2022-04-20,21
0,ALDR,0,0,37,2022-04-21,37
0,ALDR,0,0,70,2022-04-22,70
0,ALDR,0,0,40,2022-04-23,40
0,ALDR,0,0,5,2022-04-24,5
1,ALDR,0,1,92,2022-04-25,90
1,ALDR,0,1,52,2022-04-26,50
1,ALDR,0,1,127,2022-04-27,125
0,ALDR,0,0,42,2022-04-28,42
0,ALDR,0,0,28,2022-04-29,28
0,ALDR,0,0,46,2022-04-30,46
0,ALDR,0,0,44,2022-05-01,44
1,ALDR,0,1,48,2022-05-03,46
0,ALDR,0,0,26,2022-05-04,26
1,ALDR,0,0,116,2022-05-05,115
0,ALDR,0,0,25,2022-05-06,25
0,ALDR,0,0,45,2022-05-07,45
0,ALDR,0,0,29,2022-05-08,29
0,ALDR,0,1,41,2022-05-09,40
0,ALDR,0,0,67,2022-05-11,67
0,ALDR,0,0,27,2022-05-12,27
0,ALDR,0,0,110,2022-05-13,110
0,ALDR,0,0,14,2022-05-14,14
0,ALDR,0,0,44,2022-05-15,44
0,ALDR,0,0,47,2022-05-16,47
0,ALDR,0,0,41,2022-05-17,41
0,ALDR,0,0,29,2022-05-18,29
0,ALDR,0,0,76,2022-05-19,76
0,ALDR,0,0,20,2022-05-20,20
0,ALDR,0,0,104,2022-05-21,104
0,ALDR,0,0,4,2022-05-22,4
0,ALDR,0,0,54,2022-05-23,54
0,ALDR,0,0,25,2022-05-24,25
0,ALDR,0,0,50,2022-05-25,50
22,ALDR,0,0,28,2022-05-26,6
3,ALDR,0,0,65,2022-05-27,62
0,ALDR,0,0,23,2022-05-28,23
0,ALDR,0,0,102,2022-05-29,102
0,ALDR,0,0,41,2022-05-30,41
11,ALDR,0,0,73,2022-05-31,62
0,ALDR,0,0,24,2022-06-01,24
0,ALDR,0,0,47,2022-06-02,47
0,ALDR,0,0,25,2022-06-03,25
0,ALDR,0,0,50,2022-06-04,50
0,ALDR,0,0,22,2022-06-05,22
0,ALDR,0,0,93,2022-06-06,93
0,ALDR,0,0,17,2022-06-07,17
0,ALDR,0,0,62,2022-06-08,62
0,ALDR,0,0,21,2022-06-09,21
1,ALDR,0,0,40,2022-06-10,39
0,ALDR,0,0,65,2022-06-11,65
1,ALDR,0,0,67,2022-06-12,66
0,ALDR,0,0,20,2022-06-13,20
0,ALDR,0,0,124,2022-06-14,124
0,ALDR,0,0,69,2022-06-15,69
0,ALDR,0,0,61,2022-06-16,61
1,ALDR,0,0,17,2022-06-17,16
0,ALDR,0,0,57,2022-06-18,57
0,ALDR,0,0,65,2022-06-19,65
0,ALDR,0,0,67,2022-06-20,67
0,ALDR,0,0,52,2022-06-21,52
0,ALDR,0,0,112,2022-06-22,112
0,ALDR,0,0,104,2022-06-23,104
0,ALDR,0,0,11,2022-06-24,11
0,ALDR,0,0,17,2022-06-25,17
2,ALDR,0,0,64,2022-06-26,62
0,ALDR,0,0,43,2022-06-27,43
1,ALDR,0,0,89,2022-06-28,88
0,ALDR,0,0,89,2022-06-29,89
0,ALDR,0,0,57,2022-06-30,57
0,ALDR,0,0,32,2022-07-01,32
0,ALDR,0,0,32,2022-07-02,32
0,ALDR,0,0,53,2022-07-03,53
0,ALDR,0,0,64,2022-07-04,64
0,ALDR,0,0,32,2022-07-05,32
0,ALDR,0,0,64,2022-07-06,64
0,ALDR,0,0,32,2022-07-07,32
0,ALDR,0,0,64,2022-07-08,64
0,ALDR,0,0,32,2022-07-09,32
0,ALDR,0,0,32,2022-07-10,32
0,ALDR,0,0,105,2022-07-11,105
0,ALDR,0,0,81,2022-07-12,81
0,ALDR,0,0,49,2022-07-13,49
0,ALDR,0,0,32,2022-07-14,32
0,ALDR,0,0,57,2022-07-15,57
0,ALDR,0,0,32,2022-07-16,32
0,ALDR,0,0,86,2022-07-17,86
0,ALDR,0,0,31,2022-07-18,31
1,ALDR,0,0,101,2022-07-19,100
0,ALDR,0,0,46,2022-07-20,46
0,ALDR,0,0,55,2022-07-21,55
0,ALDR,0,0,22,2022-07-22,22
0,ALDR,0,0,32,2022-07-23,32
0,ALDR,0,0,40,2022-07-24,40
0,ALDR,0,1,49,2022-07-25,48
0,ALDR,0,0,64,2022-07-26,64
0,ALDR,0,0,40,2022-07-27,40
0,ALDR,0,0,32,2022-07-28,32
1,ALDR,0,0,57,2022-07-29,56
0,ALDR,0,0,32,2022-07-30,32
0,ALDR,0,0,74,2022-07-31,74
0,ALDR,0,0,33,2022-08-01,33
0,ALDR,0,0,63,2022-08-02,63
0,ALDR,0,0,31,2022-08-03,31
0,ALDR,0,0,33,2022-08-04,33
0,ALDR,0,0,70,2022-08-06,70
0,ALDR,0,0,58,2022-08-07,58
0,ALDR,0,0,68,2022-08-08,68
0,ALDR,0,0,59,2022-08-09,59
0,ALDR,0,0,9,2022-08-10,9
1,ALDR,0,0,58,2022-08-11,57
1,ALDR,0,0,30,2022-08-12,29
0,ALDR,0,0,37,2022-08-13,37
1,ALDR,0,0,66,2022-08-14,65
0,ALDR,0,0,163,2022-08-15,163
0,ALDR,0,0,47,2022-08-16,47
0,ALDR,0,1,55,2022-08-17,54
0,ALDR,0,2,76,2022-08-18,74
0,ALDR,0,2,57,2022-08-19,55
3,ALDR,0,5,83,2022-08-20,75
0,ALDR,0,8,137,2022-08-21,129
0,ALDR,0,4,95,2022-08-22,91
0,ALDR,0,1,26,2022-08-23,25
0,ALDR,0,2,78,2022-08-24,76
0,ALDR,0,2,72,2022-08-25,70
0,ALDR,0,2,61,2022-08-26,59
0,ALDR,0,7,96,2022-08-27,89
0,ALDR,0,0,10,2022-08-28,10
0,ALDR,0,2,41,2022-08-29,39
0,ALDR,0,1,56,2022-08-30,55
1,ALDR,0,0,19,2022-08-31,18
2,ALDR,0,0,77,2022-09-01,75
4,ALDR,0,1,108,2022-09-02,103
0,ALDR,0,0,32,2022-09-03,32
3,ALDR,0,0,62,2022-09-04,59
2,ALDR,0,0,41,2022-09-05,39
1,ALDR,0,3,60,2022-09-06,56
3,ALDR,0,0,62,2022-09-07,59
6,ALDR,0,0,88,2022-09-08,82
1,ALDR,0,0,48,2022-09-09,47
0,ALDR,0,0,3,2022-09-10,3
1,ALDR,0,0,40,2022-09-11,39
1,ALDR,0,0,32,2022-09-12,31
2,ALDR,0,0,59,2022-09-14,57
4,ALDR,0,1,69,2022-09-15,64
0,ALDR,0,0,32,2022-09-16,32
0,ALDR,0,0,66,2022-09-17,66
3,ALDR,0,0,65,2022-09-18,62
3,ALDR,0,0,100,2022-09-19,97
2,ALDR,0,0,48,2022-09-20,46
1,ALDR,0,0,29,2022-09-21,28
1,ALDR,0,0,29,2022-09-22,28
1,ALDR,0,1,58,2022-09-23,56
8,ALDR,0,0,208,2022-09-25,200
1,ALDR,0,0,41,2022-09-26,40
1,ALDR,0,0,31,2022-09-27,30
2,ALDR,0,0,43,2022-09-28,41
0,ALDR,0,0,64,2022-09-29,64
1,ALDR,0,1,43,2022-09-30,41
1,ALDR,0,0,28,2022-10-01,27
