anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,32,2022-07-06,32
3,ANON,0,0,104,2022-07-04,101
3,ANON,0,0,96,2022-07-05,93
3,ANON,0,0,17,2022-07-06,14
3,ANON,0,0,83,2022-07-07,80
0,COMM,0,0,20,2022-07-06,20
0,COMT,0,0,6,2022-07-03,6
0,COMT,0,0,109,2022-07-04,109
0,COMT,0,0,6,2022-07-05,6
1,COMT,0,0,109,2022-07-06,108
0,COMT,0,0,104,2022-07-07,104
0,CTRL,0,0,18,2022-07-06,18
0,CULTR,0,0,1,2022-07-04,1
0,CULTR,0,0,71,2022-07-06,71
0,CULTR,0,0,54,2022-07-07,54
0,DATE,0,0,16,2022-07-06,16
0,ECON,0,0,24,2022-07-06,24
0,ENV,0,0,22,2022-07-05,22
0,ENV,0,0,8,2022-07-06,8
0,ENV,0,0,26,2022-07-07,26
0,FILE,0,0,1,2022-07-04,1
0,FILE,0,0,1,2022-07-05,1
3,FILE,0,0,37,2022-07-06,34
3,FILE,0,0,31,2022-07-07,28
0,GAME,0,0,20,2022-07-06,20
0,GMB,0,0,31,2022-07-06,31
0,GOVT,0,0,1,2022-07-05,1
0,GOVT,0,0,26,2022-07-06,26
0,GOVT,0,0,12,2022-07-07,12
0,GRP,0,0,35,2022-07-03,35
0,GRP,0,0,113,2022-07-04,113
0,GRP,0,0,16,2022-07-05,16
0,GRP,0,0,82,2022-07-06,82
0,GRP,0,0,22,2022-07-07,22
1,HACK,0,0,40,2022-07-06,39
0,HATE,0,0,8,2022-07-06,8
0,HOST,0,0,20,2022-07-04,20
1,HOST,0,0,81,2022-07-05,80
1,HOST,0,0,59,2022-07-06,58
1,HOST,0,0,131,2022-07-07,130
2,HUMR,0,0,135,2022-07-04,133
1,HUMR,0,0,135,2022-07-05,134
1,HUMR,0,0,9,2022-07-06,8
2,HUMR,0,0,126,2022-07-07,124
0,IGO,0,0,7,2022-07-06,7
0,IGO,0,0,3,2022-07-07,3
5,LGBT,0,0,81,2022-07-04,76
1,LGBT,0,0,78,2022-07-05,77
0,LGBT,0,0,9,2022-07-06,9
1,LGBT,0,0,75,2022-07-07,74
0,MILX,0,0,4,2022-07-06,4
0,MISC,0,0,1,2022-07-06,1
0,MMED,0,0,3,2022-07-03,3
0,MMED,0,0,55,2022-07-04,55
0,MMED,0,0,16,2022-07-05,16
1,MMED,0,0,55,2022-07-06,54
1,MMED,0,0,59,2022-07-07,58
0,NEWS,0,0,1,2022-07-03,1
1,NEWS,0,1,98,2022-07-04,96
0,NEWS,0,1,97,2022-07-05,96
0,NEWS,0,0,6,2022-07-06,6
1,NEWS,0,1,94,2022-07-07,92
0,POLR,0,0,26,2022-07-04,26
0,POLR,0,0,27,2022-07-05,27
0,POLR,0,0,4,2022-07-06,4
1,POLR,0,0,23,2022-07-07,22
0,PORN,0,0,1,2022-07-04,1
0,PORN,0,0,1,2022-07-05,1
0,PORN,0,0,16,2022-07-06,16
0,PORN,0,0,1,2022-07-07,1
0,PROV,0,0,17,2022-07-06,17
0,PUBH,0,0,50,2022-07-04,50
0,PUBH,0,0,3,2022-07-05,3
0,PUBH,0,0,48,2022-07-06,48
0,PUBH,0,0,50,2022-07-07,50
0,REL,0,0,2,2022-07-04,2
2,REL,0,0,42,2022-07-05,40
0,REL,0,0,11,2022-07-06,11
2,REL,0,0,61,2022-07-07,59
1,SRCH,0,0,28,2022-07-04,27
0,SRCH,0,0,1,2022-07-05,1
0,SRCH,0,0,27,2022-07-06,27
1,SRCH,0,0,28,2022-07-07,27
0,XED,0,0,1,2022-07-04,1
0,XED,0,0,24,2022-07-05,24
0,XED,0,0,10,2022-07-06,10
0,XED,0,0,33,2022-07-07,33
